,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200
SK-MEL-3,0.46311793,-0.88466597,-0.44529414,0.7076746,0.055500835,-0.13439178,-0.5985862,-0.646082,-0.78471255,0.09224986,0.96257645,0.0064986795,0.060339957,0.6140148,-0.9319236,0.8661907,-0.07505365,-0.068157345,-0.53585243,0.19913015,0.59156454,0.5447251,0.42738366,-0.6004904,0.114453584,0.14631972,-0.17113413,0.37579864,-0.4251514,-0.3175443,-0.2860133,-0.14420745,0.26654685,-0.14091888,-0.49290705,0.28812307,0.29693672,-0.05284569,0.09925608,0.02366668,0.2551841,0.5118473,-0.70887876,0.49954152,-0.31334418,0.6411446,0.8943962,-0.29323548,0.5254382,-0.48273212,-0.03482148,-0.43023568,0.46500313,0.3369844,0.25420728,-0.7001485,0.8388564,0.29390845,0.4737066,-0.5951848,-0.7191999,-0.86343443,0.78968287,-0.59342647,-0.64665145,-0.3187493,-0.3570618,-0.5620056,0.20762366,0.42707223,0.51644385,-0.67037266,0.4421745,1.0337015,-0.68429774,0.14113341,0.34454477,-0.28555745,0.12959673,-0.30778527,-0.35966516,-0.67424965,0.20939365,-0.32768044,-0.8069212,0.26433697,-0.21662085,-0.5851113,0.043169558,-0.25049388,0.35572168,-0.5051201,0.33109212,0.4055823,-0.47524884,0.2513362,-0.46208048,-0.41334596,-0.060039982,-0.40053338,0.23308678,0.027867783,0.10144564,0.9021987,0.013399094,0.01067589,0.056913204,-1.0937241,-0.25146174,-0.20229055,0.34041402,0.4047782,-0.44915798,0.44501024,0.26084068,-0.14618497,0.23628406,0.6400361,-0.24371672,-0.047478307,-0.2910533,0.6946259,-0.2801013,0.48663378,-0.1710281,-0.5619581,0.012914835,0.3124814,-0.034377746,-0.2746077,-0.056254443,-0.4489711,-0.3616644,0.29576167,0.6713674,0.57744616,-0.046053197,0.9333252,0.9697749,-0.012755342,-1.3481157,0.017893193,0.3713269,-0.68735194,-1.0811,-0.12167261,0.7078447,0.16264963,0.8895626,1.463783,-0.14333846,0.42402878,0.77731454,0.37638062,2.2950718,0.29787144,-1.3532822,0.43178198,1.9140961,-0.13809262,2.111922,1.2209189,-1.3252463,0.6637385,0.15895443,0.66850746,-0.0031508594,0.3193756,0.7103262,-0.15874214,0.7319079,0.17192739,-2.26531,0.16373646,-0.3033764,0.5605635,-0.7461653,-1.7997279,1.0593706,-0.17454983,-2.1748238,-0.15829544,0.2837819,-0.045769617,-1.2794229,-0.29490086,-1.049104,-0.2328817,-1.451426,-0.4089225,1.1246036,0.52867997,1.3146387,2.2199159,0.084839776,1.6031709,-1.2653028,1.4184564,0.40346348,-1.9916617,-0.12698165
COLO 741,0.46311793,-0.88466597,-0.44529414,0.7076746,0.055500835,-0.13439178,-0.5985862,-0.646082,-0.78471255,0.09224986,0.96257645,0.0064986795,0.060339957,0.6140148,-0.9319236,0.8661907,-0.07505365,-0.068157345,-0.53585243,0.19913015,0.59156454,0.5447251,0.42738366,-0.6004904,0.114453584,0.14631972,-0.17113413,0.37579864,-0.4251514,-0.3175443,-0.2860133,-0.14420745,0.26654685,-0.14091888,-0.49290705,0.28812307,0.29693672,-0.05284569,0.09925608,0.02366668,0.2551841,0.5118473,-0.70887876,0.49954152,-0.31334418,0.6411446,0.8943962,-0.29323548,0.5254382,-0.48273212,-0.03482148,-0.43023568,0.46500313,0.3369844,0.25420728,-0.7001485,0.8388564,0.29390845,0.4737066,-0.5951848,-0.7191999,-0.86343443,0.78968287,-0.59342647,-0.64665145,-0.3187493,-0.3570618,-0.20386389,0.21712548,0.3418126,0.2934794,-0.5485296,0.53020775,0.9354284,-0.90891826,0.46299505,0.40686515,-0.20984979,-0.02013902,-0.37414613,-0.29429746,-0.31164178,0.24327625,0.011067137,-0.41358325,0.099290006,0.10904883,-0.34781086,0.21592537,-0.15794353,0.29084736,-0.59985685,0.21482036,0.5957559,-0.37321886,0.0099326335,-0.062127054,-0.5694584,-0.0789091,-0.29084963,0.42220163,0.18244767,-0.2954897,0.7005442,-0.18524021,0.10556899,-0.02225678,-0.6290307,-0.3748759,0.13317055,0.03136131,0.21837652,-0.35084036,0.123051755,0.09238504,0.07047816,0.19565018,0.61475754,-0.236943,-0.4650591,-0.26571038,0.16013522,-0.19133435,0.60930276,-0.29799128,-0.11615628,-0.22496143,0.3836102,0.14754803,-0.08671385,0.026000604,-0.1575713,-0.21368927,0.27233848,0.64483726,0.35318008,-0.17717154,0.64583206,0.3101567,-0.13544774,-0.22224574,0.092029355,0.36051938,-0.29304597,-0.891119,0.1821199,0.02419944,-0.061803102,0.34574333,-0.10188161,-0.09370968,-0.09576703,-0.1318709,0.047591913,0.07740162,0.13633491,-0.56180793,0.020488324,0.574723,-0.57977724,0.84705293,0.20256308,-0.06432904,-0.09853944,0.2015074,-0.21613334,0.31816763,-0.44232017,-0.0385824,-0.12182365,-0.08693755,-0.42591006,-0.7896425,-0.11184906,-0.41292745,0.26576507,-0.4421388,-0.37015468,0.24421345,-0.3089075,-0.28297144,0.038397998,0.280025,0.5112365,-0.40737188,-0.28569067,-0.4380968,-0.20559256,-1.4204361,0.4734466,0.09881237,0.30871913,0.059271686,0.96475875,-0.10173923,0.62578493,-0.07360801,0.35959238,-0.11076442,-0.1474365,-0.01890954
RKO,-0.3906331,-0.70042443,-0.36816394,0.20547304,-0.06543434,0.36155668,-0.36742178,0.36252946,-0.8220121,0.32378477,0.816849,-0.61903703,0.32127205,0.39166513,-0.62860155,0.6790231,0.8124502,-0.43375793,-0.5301143,0.4850999,0.41671145,0.07313393,1.0388728,-0.1060857,-0.29554644,0.20314315,0.7541493,-0.056919634,-0.37709945,0.5411632,-1.0620192,0.0505096,-0.4234715,-1.0413237,0.15147334,-0.41624686,-0.8515114,0.22834133,-0.15563466,-0.29764178,0.14267685,0.60169137,-0.91911185,-0.18393955,0.15669312,0.45915014,0.46353972,0.023240373,0.38602993,0.16062495,-0.37409317,-0.42789757,-0.27014753,0.06420252,0.12355026,-0.83661836,0.86616904,-0.34126753,-0.31237924,-0.32845658,-0.25689727,-1.0124917,0.7625048,-0.493959,-0.07888234,-0.5513346,0.1223876,-0.22099137,-0.23773617,0.23795,-0.054204684,0.3138708,-0.25239348,0.213785,-0.57785964,0.33797085,0.31331778,-0.2988333,0.015083251,-0.3879113,0.07843654,-0.053248495,0.25761086,-0.5002023,-0.03686328,-0.25212514,-0.17974655,-0.19723557,0.56312376,0.17313732,0.1769028,-0.30737886,0.31241238,0.0020390674,-0.2506342,-0.1381065,-0.36904222,-0.16016576,-0.064437486,-0.1240587,0.114391066,0.394683,-0.517019,0.064801745,0.21194321,0.3035683,-0.012955304,-0.23558465,0.04914983,0.10770882,0.036349192,-0.12679185,-0.4180686,0.37238115,-0.40767044,0.22183745,-0.10357771,-0.2049866,-0.12556627,0.14745189,0.22986194,0.04813784,0.26455396,0.3292347,0.29512325,-0.28809023,0.23569015,0.046010464,0.5592783,0.3594859,0.177888,-0.18949786,0.059066363,0.61019,-0.9007503,-0.95627254,-0.103033856,-1.4144741,-0.9914595,0.5436457,0.5791646,-0.27459103,-0.4270472,-0.55408674,0.45088527,-0.07932129,-0.65339607,-0.33992046,-0.15869088,-0.34082928,0.052533206,-0.37339002,-0.700815,0.35213354,-0.963002,0.40061742,0.60203975,0.5404294,0.24114905,-0.73858553,-0.89440864,0.23404315,-0.031727597,-0.3834108,0.13196196,-0.79985577,-0.08789511,-0.40145716,-1.1678735,-0.7076104,0.09024733,-1.0830929,0.7152875,-0.37972218,0.92245543,0.08562387,0.41865483,0.82934356,-0.7071081,0.017879795,2.0915596,0.397067,-1.0206239,-1.1251924,-0.22081728,-0.22140497,0.29662737,-0.08722057,0.5335092,0.002423454,-1.1040854,-0.2865224,0.083276145,-1.2350001,-0.6737031,-0.31687114,0.15430681,-0.012802172,-0.03161583,1.1686945,0.75839156
MPP 89,0.06250045,-0.22572467,-0.13722241,0.55051494,-0.009462833,-0.018357486,-0.05523827,-0.505734,-0.5256007,-0.10733314,0.20000231,0.2631445,0.055085614,0.24076156,-0.8183564,0.42005718,0.14012755,-0.319561,-0.5032785,0.2063986,0.49276203,-0.49872434,0.49243325,-0.19406766,-0.08841343,0.074626714,0.59507525,0.06866327,-0.3104812,0.057035662,-0.4596864,0.39617428,-0.31335682,-0.38044527,-0.452969,0.42718259,-0.18069649,-0.27268255,-0.0052357856,-0.25757378,0.0863045,0.41293812,-0.66269934,0.12540774,-0.15490426,0.3087107,0.5568596,0.0973693,0.074545056,-0.13776758,0.49281394,-0.11009151,0.1643419,0.40847442,0.4098827,-0.2647963,0.6401053,0.34678835,-0.19126649,-0.5224834,-0.5467793,-0.23260757,0.930632,-0.33267093,-0.38852197,-0.8604822,0.46108294,0.37699214,0.074908964,0.5144522,0.7128438,0.21635036,0.49384513,0.55182,0.43236846,0.23725064,0.006829339,-0.24794546,0.024720512,-0.37856138,-0.06746246,-0.67446345,-0.07931418,0.0061939433,-0.07601063,0.12784244,0.07367502,-0.37310037,-0.0690573,-0.5612908,0.010629047,-0.7338672,0.08563207,0.6754352,-0.507442,0.14018464,0.34456417,0.07026482,-0.08191225,-0.27436802,0.15593076,0.11148022,0.595105,0.86289585,0.13551638,-0.25852785,-0.32915777,-0.51399183,0.3723149,-0.44006854,0.37275767,0.56521046,-0.38742638,0.16903916,0.07446476,-0.29303846,-0.015926717,0.09503248,-0.28103337,-0.7021842,-0.038532548,0.15431216,-0.33897972,-0.035185825,0.39069614,-0.18836202,-0.012432205,0.21646836,-0.20194072,-0.65099716,-0.24233557,0.3575546,0.18377401,0.09571143,0.29938203,0.36102992,-0.3612697,0.40039518,0.58647615,0.02444747,-0.5801098,0.3260043,0.09378736,-0.12239678,-0.59673756,0.16502285,0.38393858,0.12382069,0.13963148,0.88844126,-0.26228076,0.47008052,0.35142085,0.26700377,1.3506712,0.006077364,-0.51192385,0.27490655,0.87207156,0.05929234,0.7606449,0.6208899,-0.2066414,0.06246564,-0.14113455,0.5011621,0.056142513,0.15500855,0.5726384,0.011741503,0.24625893,0.3377881,-1.2252979,-0.07557143,-0.4198006,0.08751264,-0.31131288,-0.9165335,0.47096786,-0.30762243,-1.2213179,-0.27284986,0.20813195,-0.051123608,-0.57716614,0.21622814,-0.67074585,-0.28203806,-0.47768065,-0.15164816,0.6252509,0.022391561,0.74284047,0.9756245,0.27913344,0.29889145,-0.5559782,0.5949456,0.35184315,-1.2424831,-0.024299886
BDCM,0.7072402,-0.40468958,-0.4788803,0.67305744,0.36104634,-0.40123382,-0.2254301,-0.3815322,-0.60145116,-0.25134325,0.42857537,0.2948926,-0.19543283,0.16823779,-0.5041792,0.3205221,0.0538917,-0.6896384,0.020177186,0.47534892,0.4723823,0.08876975,0.31928787,-0.36536258,0.05412658,0.07009897,0.21236986,0.12467017,-0.46855852,0.10231388,-0.7209298,0.22748633,-0.031273484,-0.3561204,-0.21535856,0.69242036,0.078127205,0.05797528,-0.2172938,0.10159364,0.083740115,0.15723811,-0.28398073,0.5321562,-0.27059785,0.30695656,0.61086535,-0.08679439,0.48198175,-0.0642151,0.5183586,-0.55296123,0.1847174,0.67100406,-0.24301723,0.36623833,0.17038271,0.5886042,0.35130256,-0.4142806,-0.8601816,0.07969406,0.5211969,-0.08447163,-0.120005965,-0.27253285,0.05824001,-0.05127626,0.5739901,1.740872,1.947997,0.040873144,-1.1482635,-0.9612617,-1.0003978,-0.50896305,0.6469248,-1.0124437,-1.0898486,1.9867606,0.64082843,1.410411,-0.13244401,1.3339214,-1.0125254,-1.0180209,-1.7647675,-0.7385427,0.6166885,2.0600402,0.72923946,1.3121023,0.4198335,0.5577839,-0.77029556,-0.28285563,-0.8512197,-0.12512389,0.88467926,0.4887489,-0.010285035,-0.47767952,-0.7903076,0.7725714,0.66345733,0.78169304,1.1759781,0.6225134,-0.44918713,0.07734394,1.0309514,-0.20964594,-1.5568994,0.74369985,-0.16503625,0.3955553,0.25978625,-2.3761144,-0.8135138,2.5953126,1.9679509,1.1266187,0.92412585,0.6374704,2.509676,0.28813946,-0.019153088,0.24948356,0.829566,-0.14844422,-0.25973892,-1.7632843,1.4552578,2.6372957,-0.9999124,-1.1793425,-0.032451924,-1.7178125,-1.0262066,0.59693545,0.7351961,-0.6027928,-0.43590522,-0.95065653,0.44373664,-0.15129046,-0.73500186,-0.2681295,0.10007722,-0.64109373,0.25474793,-0.47414574,-0.9944078,0.42899516,-1.6256561,0.5579019,0.85501033,0.5815747,0.15266787,-0.91829216,-0.9309904,0.26201904,-0.00091406703,-0.26075473,0.13187961,-1.1850865,-0.16123222,-0.65182066,-1.3956552,-0.82681745,0.2023892,-1.1886388,1.0128939,-0.47789758,1.0632781,0.20952207,0.55608207,1.168717,-0.9104664,-0.03165997,2.6212995,0.25510812,-1.1517926,-1.2393639,-0.2621422,-0.5148851,0.4290378,-0.17029372,0.7999988,0.036868528,-1.3195179,-0.3074796,-0.12017065,-1.5445795,-0.8369823,-0.4370937,0.21917936,0.0338819,-0.20982946,1.5509427,0.9391019
AML-193,0.09793231,-0.58987164,-0.2993634,0.3449469,0.1689054,0.11020443,-0.28153172,-0.2033248,-0.5688463,0.2363899,0.6194632,-0.15394089,0.05178611,0.4468955,-0.60042894,0.5439051,0.29064816,-0.30828834,-0.38248906,0.38771528,0.36918747,0.050663814,0.56443024,-0.26605564,-0.07668488,0.31174904,0.29841042,0.0920414,-0.28187153,0.17355564,-0.59786266,0.13210437,-0.2508337,-0.5741533,-0.2654727,0.087141454,-0.23878413,0.051867086,-0.020208726,-0.2190541,0.026927486,0.25138313,-0.6647153,0.1646733,-0.11464493,0.3260497,0.42225432,-0.108957425,0.3021888,-0.04796326,0.025518179,-0.37387818,0.15419903,0.27127498,0.11590033,-0.4584553,0.5289852,0.14351171,-0.02303337,-0.29346037,-0.41529524,-0.71469724,0.6284557,-0.36756355,-0.22500333,-0.44268358,0.07670456,-0.41833907,0.09111661,1.6553001,1.1085739,-0.14289683,-1.0090694,-0.9848365,-1.272142,0.086658314,0.8000789,0.2136469,-1.0693872,1.2953898,0.87586915,2.2988114,-0.36663154,1.066801,0.0858589,-1.0101593,-1.0328203,-1.2562857,1.0619948,1.6087313,1.0553311,1.700196,0.7220371,-0.0047357865,0.6239917,0.5258644,-1.095379,-0.808439,0.5548786,1.3922054,0.76648676,-0.5705404,-1.5105581,-0.02584334,0.8389898,2.0104787,0.37968782,1.2267394,-0.50802374,0.08915346,1.1372294,0.27571055,-1.2319505,0.8419192,0.4972501,0.71688646,-0.46755126,-1.9486107,-0.7690629,1.5080845,1.2403656,0.4764781,1.5286621,0.90728027,2.5369487,-0.28523076,-0.08990642,-0.27339068,1.8757432,0.26142737,0.12041541,-1.2486353,1.6470188,2.5927224,-0.7034012,-0.87413514,-0.04971656,-1.2098658,-0.7363734,0.44947055,0.555394,-0.5113864,-0.33098373,-0.6663305,0.2522223,-0.25940767,-0.5308173,-0.34321117,0.0506695,-0.48830423,0.15152517,-0.38197133,-0.7054193,0.29336113,-1.179385,0.39968443,0.7842068,0.48075375,-0.02724876,-0.74333465,-0.7426767,0.077023834,0.014122851,-0.14795037,0.13553585,-0.75848657,-0.09657454,-0.48703566,-0.9375434,-0.5879574,0.21112566,-0.78469217,0.9406733,-0.43470913,0.8425835,0.069868095,0.50232416,0.8287166,-0.7067367,0.009904577,1.9372851,0.13753456,-0.7217308,-0.85052025,-0.2748725,-0.3660978,0.30675745,-0.11177402,0.61893076,-0.035321154,-0.95798683,-0.16377518,-0.13109943,-1.0352178,-0.48555723,-0.26284105,0.17167936,0.058998454,-0.3023183,1.1393753,0.8378617
EFO-21,0.052340418,-0.22809169,-0.1382953,0.5512922,-0.017916918,-0.014434546,-0.05810883,-0.49822193,-0.5329704,-0.108355954,0.20437133,0.2560575,0.062114283,0.23968582,-0.82387555,0.42538065,0.1486689,-0.31979823,-0.5099726,0.20538604,0.49658567,-0.49885285,0.50245553,-0.19223776,-0.09239055,0.069156915,0.60468924,0.0672321,-0.31377923,0.060802914,-0.4666363,0.39398524,-0.31413645,-0.38671473,-0.44669765,0.41852632,-0.19093907,-0.272169,-0.0068931226,-0.25843337,0.09134574,0.42501664,-0.6699119,0.11880559,-0.1501369,0.31439662,0.562534,0.100685224,0.07605913,-0.13719144,0.48576868,-0.10919362,0.15689644,0.40442178,0.4145209,-0.2759164,0.6524268,0.3373248,-0.19622959,-0.5275398,-0.5457269,-0.23850414,0.9379848,-0.33787334,-0.39021307,-0.86597514,0.46187472,-0.40361196,-0.01563647,0.34221497,0.04096994,-0.3040686,-0.07155816,0.19344172,-0.04374376,0.5727871,-0.41827506,-0.072456956,0.0670963,-0.84436655,-0.061769094,-0.09913248,-0.19827649,-0.08860138,0.46645507,-0.11968991,-0.24624804,-0.32333103,0.15346055,-0.10664756,0.49421042,-0.2189971,0.15972432,0.08566938,-0.07980607,-0.47106904,0.10672659,0.2543967,-0.5891362,-0.19248192,0.24604341,-0.16088697,0.37314376,0.2740172,0.2365376,-0.11545716,0.2511195,-0.4492013,0.03039028,-0.23264723,-0.22340593,0.46870676,-0.6081975,0.2028279,-0.0022211988,0.089716166,-0.050703377,0.2897385,0.026109332,-0.77369124,0.39172435,-0.14331293,0.110545605,-0.21899544,-0.31877533,0.21184725,0.027969085,0.17729905,0.4026519,0.39775473,0.08627949,-0.14420635,0.1353414,-0.24995951,0.7643228,0.21068668,0.032898713,0.85028565,0.5879047,-0.09308907,-1.0480092,0.023230305,0.45127836,-0.52662885,-0.5712338,-0.25713998,0.62080485,0.08663963,0.6869992,0.8721663,-0.07848489,0.108499624,0.52662104,0.3043057,1.3776315,0.18123001,-1.047157,0.18568027,1.2469941,-0.35416242,1.6980817,0.70947325,-0.80476075,0.69272786,0.16638604,0.34718573,-0.09341878,0.12550065,0.35325268,-0.18418889,0.31871217,-0.16862246,-1.461989,0.25499597,-0.20966248,0.5259213,-0.51827085,-1.38853,0.9414213,0.023420904,-1.2849212,0.07097525,0.27197155,-0.07647406,-0.8887201,-0.29686698,-0.68466157,0.09576913,-1.3036455,0.011187008,0.779153,0.54873043,0.7550221,1.5374026,0.03499131,1.3717434,-0.8033583,1.1180592,0.1663248,-1.2520626,-0.09249419
SNU-1040,0.36901712,-0.35742685,-0.20559967,0.31813487,0.4222585,-0.023934215,-0.069968365,-0.43896037,-0.28550643,0.18584482,0.30039144,0.16545546,-0.1829823,0.38264892,-0.41199443,0.2713049,0.04277588,-0.36941865,-0.15181455,0.41514933,0.24172604,-0.17703201,0.24479207,-0.24576895,0.0151997395,0.4445925,0.15662755,0.077860534,-0.16670293,0.11731932,-0.41089046,0.32573572,-0.33129364,-0.40109065,-0.4634816,0.4366708,0.010558663,-0.025093328,0.0026802924,-0.23259428,-0.1584811,-0.14401232,-0.40919176,0.31639233,-0.24426971,0.080414586,0.19506894,-0.124832585,0.16310331,-0.0050990866,0.4012469,-0.33408535,0.3326042,0.4407589,-0.001423751,0.028938372,0.090393126,0.48593622,0.013620985,-0.13908882,-0.4448486,-0.33913562,0.43585083,-0.13679701,-0.12562501,-0.3898599,0.23139937,-0.65648246,-1.948194,-0.850892,-2.1806247,0.5371677,-0.3592391,0.13766994,0.26354063,-0.29073644,-0.72009236,-0.3974969,-0.16762653,-0.7897829,-0.39148706,-1.1038089,0.85632086,-0.37207216,1.2183913,-0.72869897,-0.11864562,-0.25288844,-0.24495652,-0.32893217,0.9472206,-0.18554331,-0.69006604,-1.0990303,-0.008075885,-0.8802993,0.38722375,0.008744951,-2.4349947,-1.2280895,0.622633,0.9518906,-0.2634212,-0.54791576,0.028804671,0.044955917,-0.5340681,-0.43137586,-1.0280815,-0.72883624,-0.6657973,0.63023704,0.09990996,-0.34302458,-0.863232,0.23747551,-1.5295966,0.8878058,-0.19564933,0.11234844,-0.33598432,-1.6053978,1.646959,0.12065041,-0.14944118,0.90844214,-0.3839179,-0.74218434,-0.5296139,2.4562042,1.2101983,-0.29516196,-1.1004484,-1.6050901,-0.8846301,-0.8607131,-0.06975874,-1.3450505,-0.9326524,0.5587546,0.5266277,-0.37696868,-0.43753517,-0.5293942,0.3299285,-0.03273989,-0.6973989,-0.3663997,-0.034006007,-0.4207333,0.07728797,-0.4206207,-0.75618446,0.3618268,-1.1399734,0.4236888,0.57597333,0.6013866,0.17221479,-0.7445964,-0.72441053,0.17071195,-0.08264112,-0.4177059,0.26676682,-0.7626387,-0.105720736,-0.47558457,-1.2138615,-0.6664294,0.113518104,-1.1435695,0.7478526,-0.2934294,0.91698265,0.08471529,0.36503917,0.8570445,-0.6759762,0.07083441,2.0976083,0.4067785,-0.94675404,-1.0935987,-0.09331097,-0.2881724,0.29109472,-0.122274235,0.4404493,0.009360822,-1.1579044,-0.27606466,0.072516166,-1.2366642,-0.61591923,-0.28594545,0.16714843,-0.001578439,-0.07156946,1.2065011,0.76655495
JHOS-2,0.09793231,-0.58987164,-0.2993634,0.3449469,0.1689054,0.11020443,-0.28153172,-0.2033248,-0.5688463,0.2363899,0.6194632,-0.15394089,0.05178611,0.4468955,-0.60042894,0.5439051,0.29064816,-0.30828834,-0.38248906,0.38771528,0.36918747,0.050663814,0.56443024,-0.26605564,-0.07668488,0.31174904,0.29841042,0.0920414,-0.28187153,0.17355564,-0.59786266,0.13210437,-0.2508337,-0.5741533,-0.2654727,0.087141454,-0.23878413,0.051867086,-0.020208726,-0.2190541,0.026927486,0.25138313,-0.6647153,0.1646733,-0.11464493,0.3260497,0.42225432,-0.108957425,0.3021888,-0.04796326,0.025518179,-0.37387818,0.15419903,0.27127498,0.11590033,-0.4584553,0.5289852,0.14351171,-0.02303337,-0.29346037,-0.41529524,-0.71469724,0.6284557,-0.36756355,-0.22500333,-0.44268358,0.07670456,-0.24957412,0.211714,0.5435086,-0.11980654,-0.49353,-0.09166578,0.02708316,0.19650555,0.60826486,-0.7194791,-0.28139493,0.5033154,-0.80049837,-0.3224819,-0.39433894,-0.2761499,-0.34935352,0.6673895,-0.087606445,-0.4685326,0.19190982,-0.09118378,-0.5191269,0.28295824,-0.6449596,0.2762792,0.26489606,0.046714436,-0.4880983,0.041055612,0.006131213,-0.60615826,-0.26041353,0.80821645,-0.12761289,0.3628667,-0.08291802,0.14290297,-0.36099482,-0.15381062,-0.63270974,-0.051848542,-0.0104295835,-0.4948771,0.3096771,-0.39243752,0.13019428,-0.0908162,-0.052601367,-0.08346372,0.4228867,-0.15340894,-0.49482977,0.16017689,0.24023257,0.24267554,-0.23151445,-0.6940716,0.13367249,0.07182506,0.034725156,0.16464135,0.17156303,0.08068064,0.03248211,-0.37747145,-0.060460992,-0.93342566,-1.0608377,-0.10765275,-1.4769092,-0.8133835,0.34420738,0.7542439,-0.2942249,-0.45608544,-0.45191967,0.71793514,-0.36035776,-0.84533983,-0.25656596,0.027816953,-0.36044785,-0.10979128,-0.60730785,-0.672568,0.45709372,-1.0479941,0.6430922,0.96304184,0.5420508,0.040489063,-1.0922828,-0.76761955,-0.12279322,-0.056136668,-0.612535,-0.3607436,-0.8248936,0.11344759,-0.18028016,-0.9008686,-1.004455,0.16371459,-1.0592936,1.0156221,-0.20768751,0.98386806,-0.037793145,0.5811508,1.0208657,-0.65609324,-0.058800757,2.3082983,0.46941596,-0.79976207,-1.2392111,-0.46604168,0.012453214,0.29918662,0.10909651,0.4899677,-0.074662566,-1.1618881,-0.25040942,-0.050649285,-1.2976496,-0.75017625,-0.2656708,0.2546393,0.32260862,-0.22911061,1.4971513,0.9401914
CHP-212,0.7072402,-0.40468958,-0.4788803,0.67305744,0.36104634,-0.40123382,-0.2254301,-0.3815322,-0.60145116,-0.25134325,0.42857537,0.2948926,-0.19543283,0.16823779,-0.5041792,0.3205221,0.0538917,-0.6896384,0.020177186,0.47534892,0.4723823,0.08876975,0.31928787,-0.36536258,0.05412658,0.07009897,0.21236986,0.12467017,-0.46855852,0.10231388,-0.7209298,0.22748633,-0.031273484,-0.3561204,-0.21535856,0.69242036,0.078127205,0.05797528,-0.2172938,0.10159364,0.083740115,0.15723811,-0.28398073,0.5321562,-0.27059785,0.30695656,0.61086535,-0.08679439,0.48198175,-0.0642151,0.5183586,-0.55296123,0.1847174,0.67100406,-0.24301723,0.36623833,0.17038271,0.5886042,0.35130256,-0.4142806,-0.8601816,0.07969406,0.5211969,-0.08447163,-0.120005965,-0.27253285,0.05824001,-0.028256848,0.30623165,0.3674007,0.5690668,0.14009602,0.34525037,0.9260751,-0.21584514,0.196419,0.38056546,-0.4742144,-0.44337517,-0.08754355,-0.24608554,-0.32651928,0.24007903,-0.40166864,-0.24145375,-0.37235782,-0.17577973,-0.2867138,0.118581586,-0.268379,0.12468839,0.14614175,0.59456766,0.46659663,-0.68609244,0.48736587,-0.054843027,-0.54483694,-0.16507298,-0.27143252,-0.07789971,0.23489778,0.22683455,0.69504225,0.1149989,0.10295083,-0.26954153,-0.53923917,-0.13785224,-0.3865229,0.3450794,0.04032662,0.103164,0.27924132,0.025466349,-0.22482094,-0.0060484707,-0.17063256,-0.47150028,-0.33131072,-0.009450005,0.29419324,0.06925212,-0.26845497,0.5944523,-0.5117344,0.2882247,0.5243211,0.40239155,-0.141163,-0.1916242,0.028710544,0.20927306,0.147514,-0.6350702,-0.54779106,-0.1359261,-1.0282111,-0.5855944,0.40893742,0.5131149,-0.6834826,-0.2539643,-0.7204689,0.2352999,-0.031486284,-0.5468354,-0.21811382,0.3225221,-0.31997052,0.12947695,-0.06589594,-0.78608435,0.18584314,-1.054678,0.3078078,0.7901978,0.42343372,-0.1477576,-0.3357253,-0.49442786,-0.028404342,0.06493293,0.094132364,0.207049,-0.65875787,-0.3282133,-0.47198367,-0.73004913,-0.30705756,0.09333031,-0.5612332,0.77154523,-0.23058845,0.5848095,0.11090949,0.4360055,0.6947552,-0.53310084,-0.12846836,1.4973356,-0.00951319,-0.3835073,-0.3735034,-0.15801539,-0.35165438,0.06555255,-0.07793969,0.47066483,0.28769085,-0.7867874,-0.11868456,-0.07378399,-0.6656638,-0.46380386,-0.22432573,0.07131235,-0.003650669,-0.06525751,0.9408539,0.65217406
