,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
JHOS-2,-1.5734229,-0.78135544,0.76667297,0.36590213,0.479422,-1.1509074,-0.97947294,2.1695092,-0.19339785,-0.5789775,-0.5565064,0.113646075,-0.92536163,0.39497742,1.2339928,0.6340514
22Rv1,0.08322869,4.391251,-0.5422856,0.5557204,-0.92232287,3.752298,0.8145299,-3.3555217,-0.9468158,0.7694806,2.597897,-1.7351141,1.235266,-0.37979603,-0.38449162,-3.6808262
DFCI024,-1.0265129,0.17754404,0.40523922,-0.16368988,0.026288938,0.053916328,-0.72996825,0.18064237,0.07273322,-0.28930926,0.03846693,0.408524,-0.45801845,-0.3290939,0.5777869,-0.34189636
OE21,0.05990894,-0.58702207,-0.10918037,-0.38857985,0.18996823,-0.13624035,-0.48572737,0.026809392,0.4714745,-0.37316412,-0.06643815,0.094239675,-0.1338131,-0.105747916,0.0226582,0.17103626
OCI-M1,0.30850127,-0.89905465,0.8807066,-0.77713656,-0.0941962,-1.0837026,-1.0513861,1.1291624,0.13728741,-0.85219085,0.7978577,0.21820924,-0.8060372,0.00996274,-0.010221079,-1.0085433
SNU-668,2.3441052,-1.2951171,-1.7510698,0.3727087,0.6571146,0.27896363,1.3760275,-1.668656,0.36157912,0.73977774,-0.5680818,-0.38671303,1.150965,-0.33742806,-1.6359183,1.6315296
AML-193,-1.4935321,-0.7462345,0.7766025,0.30076045,0.47526237,-1.196611,-0.9999765,2.081295,-0.19815132,-0.59490424,-0.5573164,0.0146597475,-0.927623,0.3589104,1.1652694,0.7239616
KNS-42,0.53702295,-0.8963421,0.9006409,-0.8357381,-0.09074018,-1.0555617,-1.0845524,1.1295834,-0.036207058,-0.94380087,0.8086628,0.23977241,-0.716239,0.016483588,0.2841311,-0.82237184
59M,-0.93307924,0.21114674,0.516758,-0.14599124,0.13714251,-0.07655433,-0.6779711,0.22758129,0.102357574,-0.2868278,-0.029638404,0.4456313,-0.605453,-0.31854105,0.4282494,-0.2757535
EHEB,0.13209824,-0.5970235,-0.10692092,-0.3378817,0.24359672,-0.04026754,-0.32461667,0.07688072,0.50781417,-0.35454074,-0.03402757,0.096279874,-0.1700782,-0.07162651,0.22225532,0.17761591
RL95-2,-2.3674905,5.168095,1.6939254,2.0580196,-3.9820304,-0.3834196,3.8777435,1.4924828,-2.2130024,3.0040226,-1.5425056,1.9703946,0.93683064,3.1223881,0.7372648,-0.2942865
NCI-H2030,-0.60342276,-0.9700398,0.37215978,0.25820816,0.4683432,-1.4248911,-0.092603184,0.885155,-0.013597424,0.18623008,-1.1976876,1.1797429,-0.6376015,-0.41100737,0.23153813,1.359717
G-401,0.13037704,-0.61002666,-0.10572653,-0.34145913,0.15004043,0.031921312,-0.41359875,0.013839204,0.50908685,-0.38254616,-0.017425952,0.09399671,-0.21773794,-0.14761445,0.45582005,0.37858495
