,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21
OVK18,-1.0719142,2.3456285,0.3331915,-0.79361033,-3.878732,2.9934916,-2.408589,-1.5901388,0.64469296,-1.5237619,-0.33736205,-1.2919668,0.09746909,-2.1064305,-1.0705568,0.66811556,-0.33281645,0.6148636,2.390582,0.98039466,-0.98479545,0.30654702
SU.86.86,-0.04197399,-1.5689994,-0.524151,-0.09594697,0.22575846,-0.81949526,-0.2704558,1.0043583,2.1111932,1.9983922,-1.5408695,2.1226513,0.11364916,-0.72092235,1.6804101,-0.4424329,-0.037526637,-0.30545008,-1.0404595,-2.9505847,1.7806476,-0.72053397
Hs 840.T,-0.6130003,-0.19700931,0.28883097,-0.7382295,-1.6958897,-0.68191105,1.6312543,0.2277646,-0.10542049,0.07123557,0.31285882,-0.080344126,-0.96624637,1.7462037,-1.3161266,1.8137243,-0.20087731,0.18967614,-1.7939007,0.24020137,-0.76503676,-3.1718178
NCI-H2009,1.5137953,-0.66925,-1.0765194,-0.64086366,-0.34299135,-0.14293234,0.27778554,0.0409151,-0.9665869,-1.4988298,-0.16669647,0.50826573,-0.86617744,-0.42479983,1.071599,0.13677272,0.5969937,1.5575174,-0.046758875,-1.1745421,0.22184336,-1.2908394
LS411N,-4.7378197,-2.1695263,-0.9642198,-0.6817435,0.53547263,0.16680086,-4.8553205,0.730059,2.1697257,3.8296673,0.14700614,-0.44336897,1.8468076,0.6491069,0.07599282,0.818526,1.4257001,-4.7502995,1.347027,1.4219115,0.7778492,0.8228201
OCI-M1,-1.9253007,1.9897623,1.8648186,-0.15759706,1.7130091,-3.969856,0.4792238,-0.47642276,-0.102506235,-0.9015595,0.80831784,-0.72107863,-0.6961203,-0.40288904,-2.365096,0.68414766,-1.1119148,-1.6759889,-1.1125578,2.21142,2.4516258,1.2927225
SNU-1272,0.24715959,-0.40177664,0.09427689,-3.1097054,1.2991134,0.039612684,2.0893166,0.27471143,1.4452369,-3.493711,-1.358875,-0.8801925,-0.8357216,-0.42595387,0.9821036,-3.4897552,-0.41108307,1.0478032,0.15985331,-0.001789391,1.398015,-0.5172161
Panc 03.27,-0.69301283,-0.547772,-0.13075243,-1.3755195,2.149076,-1.8794819,0.26943234,1.604556,1.5152007,-0.05093932,-1.4457132,0.3471559,-0.09566361,-0.14810911,-0.039165217,1.169095,-0.8159872,-0.25318617,-1.3669394,-1.056647,1.0387716,0.2829001
VMRC-RCZ,2.9086165,1.014715,-1.3597859,-1.8909583,-0.3665654,1.2689959,2.5568774,-0.9044513,-0.16536489,-2.7659464,-0.66580635,-0.60352284,-1.0525138,-0.90822095,1.5278958,-3.1604538,0.46086416,0.23844361,1.0719365,0.29420882,2.9076393,-1.2340155
Hs 944.T,-1.8946025,1.579981,-0.16920038,-1.4957103,2.4085495,0.19051698,0.28073546,1.1823227,0.6884339,0.83959675,1.654052,-2.025428,-1.9556048,0.84832567,-1.3527229,1.40645,-1.6425866,-1.4553078,-0.44848818,-0.18718064,-0.3879485,-0.2673264
NCI-H2023,0.74722385,0.5913329,1.8603557,-1.0233402,0.09887083,1.1338878,0.7515975,2.082785,-0.30597153,0.2552439,1.1177307,-0.14042974,-0.16167909,0.5301917,-0.6443245,-0.10288794,0.33328238,-0.1847147,0.5124506,1.4843475,1.5369306,-1.1060867
PaTu 8988s,0.9544884,-1.5258061,0.7023819,1.6329814,0.50523543,-0.49589407,-0.9782448,0.080856666,1.0969856,0.52470016,-1.0391052,-0.57699746,0.054598346,0.83873874,-0.9462278,-0.5821966,0.19837855,0.7217952,1.3919625,0.26471666,2.4595428,-0.8777568
YKG-1,-2.7926981,-0.6278074,-1.3004746,1.3158995,-0.5549946,2.071272,2.481085,-0.63690615,0.9169071,3.3982139,-0.8310891,-1.5868173,1.1012142,-1.4075125,-0.7431281,0.13679278,-0.84346247,0.16389409,1.2353691,1.0213587,-1.8025026,1.8920685
NCI-H3255,7.1466475,-1.7671605,-1.6916125,-2.3679762,0.40544048,0.8743419,2.853776,-3.6050334,0.5398116,-5.463102,-4.16395,-3.0207798,-7.242429,-0.75441307,-0.7266717,-4.565196,0.65101457,4.20621,4.8606935,-1.6793348,4.5823812,-0.78936845
JHH-4,-2.063231,-0.8995923,-0.55864197,0.12749735,-0.10923786,-0.6643511,2.309032,0.090289965,1.6224613,-0.289391,-1.8623534,0.67100555,1.5948887,-0.8029491,1.5972795,-1.31222,0.4868189,-1.3243027,0.18525574,-0.08616744,0.5905915,0.0043813065
TOV-21G,1.2577369,1.849507,0.477538,-1.3279948,0.8203021,0.5904384,-0.27645913,0.77766204,0.29652166,-1.303613,0.49458706,-0.46761334,-0.8597362,-0.9559313,-0.04370451,-0.24296895,-0.41178524,-0.069085926,0.36611217,2.1258817,-0.291701,-1.0050957
A-204,-0.45655662,0.3117933,0.03416531,1.9249517,-1.0584476,1.9744834,0.5815394,0.01509539,-1.7705487,1.0714118,0.7638384,-0.2482076,0.47292873,-0.4474189,-0.079991445,-0.9130039,-0.110504135,1.6022553,0.30893782,1.7994691,-1.4536121,-0.11146221
HCC33,1.7926289,0.4333799,0.70931154,1.497985,-0.5647438,-0.6928019,-0.29416606,-1.112027,-1.6818221,-0.7262852,2.3699443,-1.260826,1.7415427,-0.12965097,1.0500671,-0.14788178,0.72602326,0.47529784,0.8733654,0.08447119,-1.9129843,0.57566494
HMC-1-8,-1.9189767,-1.8146725,0.21012616,0.7415897,-0.20460863,-1.3449489,0.167564,0.06857501,-0.6989478,-0.5555106,0.41313064,-0.4710173,1.0376261,-0.65134305,0.24966311,-0.34264907,0.5111751,0.5902173,-3.7222552,0.33551875,-0.75037634,0.62720275
KMS-21-BM,-3.861176,0.43190783,0.19520478,0.37269393,0.8233629,0.7677976,0.32250482,-0.6234059,-1.6032779,1.7987884,0.9241456,0.6198381,1.9829404,-1.6222106,0.13302979,-1.5750884,-2.8730621,-1.9220712,-0.32403713,-0.8064902,0.036434375,2.754544
NCI-H2228,-0.48607692,-2.5796146,0.17314664,-1.5088881,-1.3920504,-0.5896115,1.3438065,1.6903276,1.6973644,-0.37998536,-2.5342817,-0.9664293,-1.2635658,-0.31247392,-0.29148555,-3.2389271,-0.37202847,1.2189373,-0.62243253,-1.0498064,-0.46585754,0.47997198
YD-15,2.525318,1.1095706,-0.22289209,-2.8294246,0.3668701,0.73391783,0.65529984,0.08529551,0.7441894,-1.2028652,-0.39867395,-0.48540112,-3.254791,-0.76229376,-1.0785921,1.1646851,0.27042705,0.60879815,1.5917765,0.6696966,-0.47290838,1.107687
SNU-1076,0.3344108,-1.147777,-0.6946954,-0.99424833,0.3759773,0.15655744,1.8448403,2.207957,2.4064734,-1.6451688,-2.818329,0.27941933,-0.9676094,2.300717,-1.5554476,0.0832673,-0.19405755,-1.031909,1.4850001,-0.99876714,0.2664603,0.9000262
Hs 739.T,0.63673466,-0.5654293,0.37710363,-0.36063123,-1.3392518,1.1143519,2.2097597,0.50004315,-0.19442947,0.68807214,0.10335293,-0.23773536,-0.15455365,1.3893752,-0.39615273,1.0714843,-0.51151943,0.59622306,-1.2496167,0.8328258,-0.37616092,-1.6120934
BICR 18,2.7371786,-0.43864587,-0.412328,0.49532098,1.1135927,1.3882606,0.12324187,1.0024458,-1.1135218,-0.28329885,-0.07053653,-0.6874644,-2.8254404,0.1424499,-0.18095824,0.12467748,0.4231865,0.8551351,0.91567093,1.7463554,-1.2570062,1.2208467
HCC78,0.2692534,0.75589,0.59387016,-0.51271826,0.61478823,-0.56678593,-0.55986756,0.6579233,1.0585229,1.8773215,-1.1098752,1.5162971,0.9520854,-0.8130273,1.0704967,0.67132974,-0.33832732,0.03451501,-1.0928513,-1.5660422,0.36712205,0.7396961
NCI-H854,1.1901886,0.36114877,0.4843805,1.7364866,-0.8642223,-0.24908932,-1.4188467,1.7774335,1.0388935,0.5616639,1.7421466,0.5103266,0.99841017,-0.36647373,0.68727267,1.9841671,-1.000597,0.3159834,1.3910155,-0.66759926,0.3587012,-0.32827067
JHOS-4,2.1308384,0.46267164,-0.35879096,0.024283364,0.27272072,0.5233154,-0.9154664,0.044421446,-0.29552233,-2.5363107,-1.3601764,0.15288845,0.69049555,-0.07231501,1.3503368,0.17866878,-1.1029986,0.5251242,-0.04617411,-0.86949223,0.9157768,-0.09916987
NCI-H2444,2.6767476,0.5838979,-0.46076924,-1.9966832,0.59959286,0.8093395,0.57132006,0.26033965,1.1660908,-0.43303797,-0.81199,0.9480775,-2.5823958,-0.71825856,0.029599108,-0.35156393,-0.37806132,-0.07795257,2.6263397,-1.1414448,1.1777117,-0.86426365
H4,-0.9922187,-1.4121629,-0.9957916,-0.40829393,-0.8797321,-0.38562366,2.4452608,0.24472022,0.3745293,0.41054332,-0.19395134,-0.45665252,0.8014948,1.6023514,-0.6773778,-1.6740322,-0.14108697,-0.2550183,1.7232728,0.74414235,-0.5692906,-0.4863728
SNU-1197,0.33756065,-0.9527832,-1.8971066,-0.21683542,2.1572788,0.5995518,-0.12538025,2.632479,-1.5755419,2.1314623,0.4621042,1.2103113,-1.5585728,-0.50490373,0.09367103,1.5440848,-0.53585196,0.21304473,-0.4464866,-0.5626973,2.1239367,-1.9837769
NCI-H929,-0.8841748,1.9183526,1.6984513,0.23417607,-1.375796,-0.8957281,-0.641145,-0.5739491,-1.8023512,1.1581352,2.6364148,0.533246,1.4629142,0.552663,-0.19862852,-1.1632627,0.3071326,-1.343455,-1.6608706,-3.0657241,0.76756597,-1.6952766
CCK-81,-2.1149724,-3.4229293,-1.2741948,0.72001666,0.33725336,-0.20970884,-1.511994,-0.09848352,-0.19185036,-2.5157788,-1.3983845,-3.3796725,-0.675552,1.5177097,-2.2779083,-0.2200485,1.9590043,0.062243357,2.2534766,-0.29956555,3.300345,-0.474473
TUHR10TKB,2.2520363,0.8203631,-0.39327973,-2.365747,0.058574274,0.45706972,1.9787596,-0.34492278,0.26731634,-1.422535,-0.113447994,-0.3641534,-1.744647,-0.8743707,0.2726964,-1.9625359,-0.44249493,1.3923001,0.7292739,-0.21403673,2.17906,-1.7361796
Granta-519,-1.431799,2.7324517,0.93840677,0.38968983,0.19803695,-1.2486168,-0.81463075,0.85560864,-1.9618337,1.6919563,2.4890814,2.070441,0.6248636,0.11994504,0.20464629,0.76356685,-1.4487531,-1.0898978,-1.3330767,-1.4745005,-1.5304396,0.59430957
OC 316,-1.744189,-1.3929054,-1.5640472,-1.9842153,1.9191871,0.68898535,-2.4250488,-1.2928,-1.4081963,-1.1192304,0.6453281,-0.41123372,-0.13014586,-0.935931,0.044525713,-0.034911923,0.48927397,-0.7570917,-0.65380234,-0.78695583,2.0558078,-1.4789042
Capan-2,-1.7409681,-0.45260298,-0.16660503,-0.41694263,1.367242,-1.5079957,0.16752596,2.2247484,0.949091,0.2522154,-1.9971089,0.62614393,-0.0068760514,0.26839057,-0.92040175,0.8628934,-1.0390229,-0.24473068,-0.72083646,-0.91841006,1.1922615,-0.16544938
Hs 683,0.2343646,-0.4262091,-0.63420856,-0.11458663,-1.528552,0.67287475,1.943488,-0.40594685,-0.34235722,1.4194291,0.13696009,-0.07685713,0.35535514,0.03813001,0.27038008,0.25059548,-0.560868,1.5850086,-0.3353256,-0.8585016,0.20880151,-1.7224609
KMS-20,-3.2757645,-1.1410056,-0.1842645,1.0735334,1.1824222,-1.0925237,0.11781027,-0.78877056,-1.522035,-0.11791149,0.4890917,0.8358204,1.7576513,-0.22711188,0.27708796,-2.2101026,-0.74753594,-0.824429,-2.4767122,-2.5791054,-0.24794671,0.473975
LOU-NH91,2.5666094,-0.11899752,-0.73714566,-1.4848815,-0.39319995,0.60056216,1.7397733,-1.1351576,-0.49882507,-2.3162558,-1.3726033,0.040973384,-2.0113678,-0.5706853,0.21021941,-1.8906565,0.024659216,2.2590806,0.0836487,-0.2308559,1.1427789,-1.6099745
KP-2,-2.3206053,-1.0486174,-1.7367027,0.46804467,0.3056447,-0.74963164,-0.035353087,0.84897673,0.8690174,0.63770455,-2.948336,1.1274679,0.47840822,0.5989837,1.4926921,-0.022580177,0.7248622,-1.3804569,-1.4727905,-1.3031688,0.42472115,0.92908275
UT-7,-1.2350266,-0.027206747,0.3860369,1.2094586,1.7806062,-3.7595756,-0.029618312,-1.8678571,1.162126,-0.70684683,0.5161563,1.3074836,-1.7108003,-1.0779405,-2.6373367,-0.85986316,-1.6628618,-0.21836907,-0.2959503,1.4182829,-0.44928715,1.1889404
HCC1897,2.7280982,0.25880817,-0.6409385,-0.0872609,-0.75114167,0.3145003,0.6960435,-1.1232193,-0.43326136,-1.873089,-0.8294271,-0.7579047,-1.6610347,0.14790094,0.55812806,-1.1691023,-0.023430984,1.9889508,0.7564177,-0.6104712,1.388787,-0.5970953
