,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
ME-1 [Human leukemia],-3.0650346,-13.185613,1.9806157,2.4873664,-4.162083,-13.323785,-12.51802,12.892412,-1.4155929,0.6865904,-2.9410863,-2.0224612,-7.666928,16.199913,-8.28014,23.292288
Calu-3,-1.5975089,2.017178,-0.7465784,0.074256554,0.42869124,0.7661642,-0.124639526,-0.19496045,-0.19000676,-3.1499033,1.9840112,-3.0541723,-1.4809299,1.6534061,-0.43108696,0.30858317
DK-MG,-0.93141866,-2.1441703,4.69484,2.816281,5.5893426,1.0212884,5.0593715,2.4065144,-2.4329798,4.423609,-0.82722,9.839789,-4.610303,-9.785871,-0.23161572,-0.40176582
HCC1588,-2.0452762,5.5085187,-0.9092662,3.167486,-4.5826616,0.8568405,-0.8607891,4.9954343,0.63290143,-6.454736,2.5466704,-2.0323262,0.27992308,6.322468,-0.31730267,4.9103036
Reh,-2.5821548,-10.689714,2.9251704,4.740959,-4.540645,-10.306339,-8.095633,13.056771,-1.7856289,-1.8936497,0.371185,1.5384338,-5.878872,14.427999,-7.866805,20.021307
HCC70,-1.4583024,1.1986032,0.034139343,-0.91723233,1.2487713,-0.9348999,-0.97659093,0.1383198,-0.11412395,-1.9536134,2.217925,-2.9292176,-1.6198709,1.9861418,-0.6860992,1.0796429
IMR-32,3.4999614,1.5506625,6.8808465,10.014317,-6.097591,2.6112382,8.425047,9.012979,2.3540444,-8.537024,4.107264,13.356973,4.2947354,2.712127,2.375809,10.188937
CAL-78,-1.2927186,-1.8985415,4.01256,2.1796603,5.112722,0.22658834,4.3748093,1.8466156,-1.4137161,4.0135636,-1.1602211,7.9722886,-4.409304,-8.06616,-0.18356046,0.21752144
HEL,-2.3024302,-9.709897,1.981475,2.7420006,-3.4410834,-9.204591,-8.160972,9.397894,-1.9232987,-1.1694949,-1.9345428,-0.16711336,-4.993198,12.00701,-5.927738,17.366959
OVCAR-8,-0.463795,0.022682272,2.2382581,1.966275,1.4337888,0.74371946,2.7812033,0.8541995,0.59552896,0.4298335,-0.81509864,3.5860631,-1.4072971,-3.245603,0.21701935,0.5786182
KMRC-20,-1.426765,0.39350945,0.76430756,2.0645888,1.222823,1.9955386,3.7078807,-1.9764279,0.7803816,-1.2424113,0.10097932,2.4874458,-1.2524934,-3.0369484,0.4917386,-0.30363482
MFE-280,0.47186366,2.0100644,0.18416351,1.2270182,-1.7608069,1.8825908,1.3134567,-0.26643974,-0.34632617,-2.5182285,2.1309671,0.23831256,1.7321838,1.2282854,1.0412958,-0.16513227
TCC-PAN2,-1.9532006,1.5710737,1.0658094,1.5970423,-0.2201345,-1.672517,0.1519736,2.6787457,1.4800425,0.4683504,-1.0678492,1.2540119,-1.9948194,0.15365325,-0.25872993,3.4576313
SNU-324,-1.8780836,0.8929771,-1.3169781,-0.55164135,1.3997505,1.0951227,-0.62336403,-0.78235924,-1.9520072,-2.6813984,3.1265264,-3.906,-2.2259848,1.440994,-1.1549811,-0.4942785
UM-UC-3,-0.75168896,-0.67777634,2.608703,2.0596428,2.0725484,-0.81844723,1.5932645,2.0070558,0.6666101,2.5585358,-1.2117698,4.619,-2.0691283,-3.8206265,-0.3782678,1.7788503
LC-1/sq-SF,0.13464755,0.59451884,0.90834516,0.54599833,-0.15994552,0.9643166,1.5605531,-0.4442705,-0.21874814,-0.37684855,0.9927884,0.8041316,0.26997715,-0.52076215,0.72812796,-0.52323145
BEN,-0.7986597,5.7779503,2.0826602,9.162481,-7.921598,1.933937,5.6987486,7.325851,2.7572029,-9.2113495,2.8875117,6.2961297,4.060202,5.7204027,2.0064054,9.454304
KM-H2,-3.461891,-8.157761,1.5233312,2.8552053,-1.835956,-7.2979236,-4.7890677,8.055649,-3.4338014,-0.6731233,0.41721493,0.99312437,-5.8427234,8.753027,-6.1369843,12.616385
BL-70,-4.904438,-12.531825,2.6904569,5.629633,-5.3351874,-12.898257,-9.003856,14.847111,-3.5140352,-2.1626341,0.018636107,1.1918129,-8.426015,17.26419,-10.333421,22.689108
NCI-H1693,-1.1339285,0.823484,0.5293227,0.1497146,1.3922555,0.9802611,0.7818988,-0.58144224,-0.03857583,-1.3425313,0.94960654,-1.0499325,-0.9281749,-0.5140616,-0.14517322,-0.28335047
NCI-H2444,-2.7073882,0.3009293,1.5135193,0.3159133,2.5019,-2.0948606,0.33150724,1.9847292,0.2165667,0.4773649,0.2540326,0.113875344,-4.1671124,-0.7436426,-1.0411555,3.0142238
SCLC-21H,2.083462,4.2530313,5.4499,12.217883,-8.826515,3.1814866,9.465165,9.833652,2.3905165,-11.938963,4.6482506,12.55153,5.03662,5.973884,2.9324958,12.128998
HCC2108,-1.2359405,-1.0012199,2.4443681,1.52383,2.590231,-1.1724604,1.946789,1.8226911,0.2485165,2.9229326,-1.1972129,4.191556,-2.9509606,-3.8945131,-0.5114519,1.6015854
U2OS,-0.38549507,-0.714573,2.275419,1.1052654,2.402703,0.6929641,2.7457304,0.3295864,-0.48119837,1.6384518,-0.3845551,3.769339,-1.9880879,-4.0906916,0.10151313,-0.25703794
NCI-H2122,-1.4394133,2.3306584,-0.07509137,0.43938527,-0.55831325,-1.1095077,-1.3713061,1.6302238,0.8174342,-1.9622741,1.3298401,-2.1263108,-1.180327,2.780394,-0.3806758,2.9100497
HuNS1,-5.351592,-11.772124,1.334011,3.4999588,-2.9943867,-10.830426,-7.6532545,11.111849,-4.997398,-0.98559016,0.33413458,-0.17197137,-8.939989,13.909145,-9.465368,17.747084
