,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115
HT-144,1.7779455,1.5672288,-0.47416478,-1.5389311,0.13228443,1.6486554,-0.0020351708,1.1817724,-1.1173509,-1.5694901,0.2417142,-0.21347561,-0.30302066,-0.031733163,0.6559095,1.8569846,-0.48197752,-1.625512,0.3030622,-0.5034769,-0.0865735,1.2370368,0.38841516,1.3804321,-0.9021472,-0.77358747,1.2993716,2.0659,-0.16577227,-1.248007,0.85698414,-0.32009062,0.9205295,0.9158469,0.2958273,3.092453,-0.4324674,-0.6531488,1.2808266,-0.09566823,0.0589384,-0.98661697,0.84443504,0.13116583,-0.37982756,2.4985743,-0.30173194,-0.33854002,1.2891062,0.44037583,-0.93664104,0.514142,2.0986094,0.5718596,-1.9827286,1.2070422,1.1782221,0.49170148,-0.8553862,-0.6391746,-0.21760023,1.562204,-0.10701048,-0.6229616,0.54734206,0.5245615,-0.5289545,-2.2890253,-0.23192835,-2.3373697,0.56233066,0.8475754,-0.08328542,-0.9899068,-0.43087187,1.4993558,0.15519825,2.1039078,1.0668435,2.3485146,-0.777908,-1.0528705,-1.7288698,2.3071644,1.2259307,2.0070627,-0.2707942,-0.88716996,-2.089651,-1.2804105,-0.6366276,0.50468516,-0.32369667,-0.68952274,1.7427759,-0.8429333,1.2147208,1.9119921,1.0437094,-0.60783744,1.6959364,1.268189,-0.8888938,0.014061502,0.05860444,-1.0172797,-0.67101514,-0.72303975,-0.5275827,-0.0053213686,0.18181144,0.9361656,-0.3860036,-0.30258498,-0.57580024,1.0834094
HCC1419,-0.90637255,-1.2761294,1.5041264,-5.732277,-1.0993426,-0.46646923,-0.08674475,-1.8071316,-1.9922744,0.85461575,-1.8203162,-0.97615033,-1.3312579,0.8143414,-2.348831,-4.267381,-1.0204903,0.5701293,2.319236,-0.44075698,-2.1336908,-4.964688,-1.1051239,-0.54426813,0.6869372,0.60800004,-0.11185074,1.7141808,-2.641486,-1.7434577,0.31230277,-3.109724,-2.106956,1.6929812,2.0205898,-1.3929547,-2.3424435,0.99826837,-0.2066094,-3.3742716,-1.3399217,0.22148171,-2.5918965,-4.1347265,3.1325746,-1.9240433,-2.70355,0.5453579,1.8375891,-0.22973415,-0.19720751,2.561885,-1.0518711,1.2279993,-0.30134597,-1.2087079,-0.12430267,0.96609676,1.8514875,0.52432185,0.17501575,0.017752469,-6.587753,0.9204573,1.6428721,7.473796,-4.6028805,-0.29765236,3.3102002,2.8835013,1.315771,-6.5200834,-0.04261311,-0.99253154,-3.2020593,3.447122,-0.15669672,-1.3479351,-3.7455108,1.394557,2.805671,-1.4189438,-2.6648617,-0.2518126,-2.0749993,3.3596575,0.46456867,2.7473083,0.13997605,1.661908,-0.039738268,-0.4776249,-1.7540478,-0.040877506,1.1499883,-1.1249208,-3.189022,-2.8438258,-1.5900824,-1.9332743,-3.096036,-1.8394253,2.3220832,1.7335652,2.1622114,0.08317521,2.4967966,-1.0524298,0.4272787,-0.23213524,1.516671,-2.0924656,-1.7782111,-2.0656147,1.953908,-0.8110843
NCI-H508,-1.7337264,0.12643403,1.2967951,-2.1160643,0.5990062,-0.92141354,-2.0692432,1.284585,-0.85378057,0.7285569,0.816247,-0.45573917,1.4282066,-0.65229213,-1.0968841,-1.6100717,0.054699466,1.1767274,-0.034493744,1.6454825,0.13704002,0.2727684,-0.68568325,-1.8814855,2.2961016,-1.8437295,0.03447542,0.30010557,0.8771688,0.05562638,-0.3529121,-2.2380142,-2.7236264,-3.0119772,3.2863145,-1.4774872,0.44476166,-0.09471507,-0.7314748,-1.5446447,1.8616501,2.9271708,-2.325502,0.23966888,1.5708609,-2.647855,-1.178042,0.7976982,-0.59308505,3.0328329,-1.4763625,-0.2855349,-1.5135303,0.2904756,0.2461073,-3.9583855,-0.20703252,0.69855976,1.3203204,1.3963797,-0.979113,-1.4925122,0.18662232,2.2348008,1.3549715,1.8055964,1.6639664,-0.2348727,-0.041654572,2.4215343,1.3813931,-0.34742498,-1.2741854,0.89052075,-3.818113,-0.91780007,2.391015,-2.741483,0.9045755,0.05272778,2.3460886,0.5443069,1.0257069,0.2382386,-0.030123048,0.5245306,2.8206031,1.7512527,0.5481073,1.843133,0.46709335,1.2517473,-2.0739832,0.5547709,0.45427915,-0.8958992,-1.1397535,-0.9250502,-2.051905,1.1513857,-4.2049417,0.30526236,1.2533755,1.2306596,-0.32883698,2.8321826,1.531757,-0.09632544,0.42083618,1.2252287,0.81683207,-0.7012561,-1.6646937,0.7814435,0.32648277,-1.3097186
ST486,1.0955864,0.5491497,0.043908715,0.32515925,-1.9428166,-1.9781736,0.746184,-1.1194859,2.4588976,0.6433852,0.9725714,1.570038,1.2375712,1.3665941,0.80368173,1.1930273,0.37072015,1.1807827,-1.0611842,-2.963834,-2.2150855,-2.757885,0.53695893,-1.8772137,1.0886687,2.158209,1.5123968,1.5582913,1.0461196,1.5631248,-0.2905383,-0.27684167,-0.8877445,-0.15280886,-0.3072777,-2.2626762,-0.19912878,-1.7610103,-0.7033326,0.13131335,-1.7404715,0.5392632,0.6575738,1.4278536,0.30440897,-0.8607376,-1.1740943,-2.531548,0.38416436,0.57793057,0.05823566,0.7665277,0.31242514,-0.5368956,0.42864388,0.061984453,-0.34436214,-0.21482211,1.9886361,-3.1952448,0.6871108,0.60941267,0.98502207,1.7017534,-1.2543247,0.066457435,-1.6527637,0.45710665,-0.69473404,0.20557487,1.6204087,0.22685032,4.147408,0.09792486,1.3211124,1.056598,-2.2427833,0.8750884,-0.38904202,0.016152821,1.2317982,1.7525806,-0.90793556,-2.0942206,-2.522392,-1.2774128,0.73210543,0.74152094,-0.49366495,0.9308909,-1.0720679,-0.63324517,-1.3653094,-0.12200187,-1.0926337,-1.0381509,2.2214336,-0.6036272,0.09588985,1.150485,-1.3654455,0.78053117,-0.03519576,1.0113696,-0.734704,0.58606684,-1.286457,-2.871214,-2.4095426,1.110091,-1.4692386,-1.2514234,1.3210644,-2.018713,-0.44908136,-3.0687842
SUP-T1,2.0308592,0.85896003,0.36946437,-1.6326995,0.2126069,0.51799715,0.60336894,0.33594924,-0.5543344,-0.18289779,0.25530836,1.2034137,0.1606016,0.17173907,0.96602243,2.6745515,0.2842683,-0.14820862,-0.50014406,0.13587326,-0.47405452,-0.31871152,-0.16575193,-0.06971437,-2.556421,0.25918052,-1.0805217,2.8588948,0.7525038,-0.09360397,-0.8029579,1.1054639,-0.86449265,-1.3801641,-1.6114827,0.08010015,-2.1046443,-2.1477516,-2.661992,0.8817135,-2.8359823,-1.4228348,0.5892822,0.25192845,0.14433025,-0.8503786,1.6650755,-0.60213125,-0.4105285,-0.50159574,-0.3329083,1.253875,2.3916228,0.09321587,0.193297,1.0184011,0.93519497,1.1454395,-1.588324,-2.2639554,2.1097772,-0.23804198,0.4840568,1.329693,1.7923892,-0.861039,-0.22558941,0.66213214,-0.18713972,1.8819838,-2.9409826,1.2577434,0.099272706,-0.30846775,2.5675156,0.31683916,-2.2834177,0.039230704,-1.2171955,-0.6412343,-1.3982319,0.94403744,0.6975002,-1.0807375,1.5451878,-0.481632,0.8899239,0.71745247,-0.6873257,0.54471755,-0.37562954,-1.8727977,-1.308996,0.51484984,-0.4714347,0.11035313,2.21992,-1.1830367,-0.17741339,-1.512628,0.16493863,0.4859637,-0.36415356,0.24975112,-0.21992755,0.45590368,-0.96689355,-1.7915992,-1.0699674,2.0597878,-0.11250419,-0.45162773,-1.2692759,0.5246459,-0.19094245,0.5804372
NCI-H1299,-0.07745241,0.47861087,0.08670914,-0.3593942,0.07384321,1.1774905,0.5108561,-0.8144547,-0.41026127,1.9711974,-0.7455981,0.5751086,-1.5630132,0.93481785,-0.024481438,1.4591595,-0.66115737,-0.8110408,0.24052009,1.048184,-0.17147338,0.6950346,-0.15246964,-1.3191601,-1.8674974,-1.1631532,-1.6950021,0.8532886,-0.4581818,1.0442759,-1.1424918,2.6436598,-0.24392137,1.2632003,-0.7055953,0.56415117,-0.383269,-1.3800912,1.1000704,-0.03784945,2.689805,-0.6034895,0.9623779,-0.43165636,-1.2197372,2.697396,-2.0608916,-0.2311134,-0.6314511,-1.5051882,-1.0689496,-0.8771347,2.0084217,0.6638881,1.6115243,1.4419966,-0.93517745,-1.101671,0.8657402,3.2155044,-1.610225,0.3578475,1.6119808,-1.5443175,1.4419714,-0.6002429,1.0453699,0.80883443,-1.9221059,0.17559361,0.49123985,-0.44253647,-0.75024,0.4119054,2.2450306,1.0276746,-2.0585165,-0.22205661,0.97958785,-0.65773195,-1.7916961,1.2213855,0.08485959,0.38151726,0.3183918,2.2244227,-0.36565673,0.3598694,-0.38733894,-0.9412384,-1.6668899,-1.2870152,0.6966843,0.9976909,-0.66638833,1.9542106,-0.011681592,0.9102769,1.4907042,0.7324401,0.7860193,-1.7558148,1.3207008,-0.7896046,0.34701437,-2.2269154,-1.865698,-0.90310085,-0.61032194,-0.83467805,0.07431068,-0.2886706,-1.6161311,-0.76373214,-1.8441459,-0.9662357
KYSE-450,-0.7123742,0.13646692,2.3224206,0.085082516,-1.4715065,-0.34218505,0.76948494,-1.2216108,0.17460115,-2.749661,1.8762628,0.9582412,1.4687451,-1.3296255,-1.0602698,0.42209366,1.6494082,1.4469306,1.5291445,-1.5049005,0.96853745,0.6290069,-0.60214615,-1.854721,-0.42753497,-1.2831854,-0.20993958,0.119204104,-1.2914517,0.42493257,0.4742103,1.4616786,0.34235823,-1.2253636,-1.2671117,0.28232396,-0.7329073,-0.18423636,-0.043499902,-1.1377938,0.022954317,0.94801116,1.9056445,0.21276388,-0.36677226,-1.0560632,-2.3245473,-0.36695617,-0.060393933,-0.6542453,0.9593986,-1.1054894,0.23100714,2.5344532,1.8732218,-0.49567515,-0.16246563,1.0127363,2.0885327,0.6851029,-1.185887,0.8135891,0.29128528,-0.16449425,-0.16183145,-1.516008,1.6837257,-0.4441532,-0.75398,-1.5544269,-1.0309803,-0.6004543,-0.45743024,0.5969033,0.458511,1.2864795,-2.403627,-1.4861398,0.56187546,-1.3037733,-0.9625667,2.646785,0.24607292,-1.9821056,-0.26989102,-0.37237865,-0.9811563,-0.023349937,-0.64044607,2.426271,0.5143697,-0.8427657,0.34053814,-1.477741,-0.5511972,0.592563,-0.1252769,1.2535414,-0.14317206,0.2043151,0.1303238,-1.210412,-1.2924514,-0.12397167,0.81175566,-1.0546848,-0.50858986,0.83680415,-1.1164424,-1.9491184,-0.89277804,-0.9235409,0.7298554,0.69486535,-0.89490426,-1.111846
IGR-1,1.0012342,0.32288712,0.13984162,-1.2702553,0.27941832,2.1798613,-0.012884008,0.91972744,-0.18616708,-1.5147486,0.6430934,-0.08847919,-0.038872883,-0.5279412,0.32507753,1.3557034,-0.29668888,-0.39193904,-0.21900646,-0.27853876,0.2464901,1.728647,0.3417964,0.4591607,-0.9168309,-0.927391,1.0594146,1.7888899,-0.8665601,-1.4503547,0.9217014,0.02881907,1.0461844,1.0671228,-0.3826513,2.5990498,-0.36609203,-1.0270832,0.338222,-1.1211404,-0.39670545,-0.6362077,0.56532174,-0.15085205,-1.4486916,2.20099,-0.3471887,0.14893496,0.6794714,0.6437195,0.14770186,0.4522776,1.9162914,0.43017733,-1.8990636,0.78927565,1.1089425,0.6956425,-1.0262723,-0.2866858,0.4503736,1.5373164,0.98518693,-0.8621489,0.57113916,-0.0015508607,-0.16976848,-2.135802,0.6919763,-2.2794387,0.3977452,0.8974638,0.44097942,-0.9877108,-0.530968,0.24530108,0.5417947,1.1985444,0.48294383,1.6638519,-1.2736067,-0.17612688,-0.428473,1.8300607,1.5904385,1.9203085,0.054666996,-1.4618856,-1.402953,-0.49194285,0.29579267,-0.6363883,-1.3185086,-0.5581569,0.48039037,-2.1800268,1.2963732,0.59871453,0.10540406,0.032072634,2.5688171,0.9411365,0.3846574,-0.45089698,1.6557938,-0.7199921,-0.53421205,-0.22901161,-1.040723,0.12159838,-0.79905385,0.053010378,0.1970902,0.404022,-0.18709388,0.64473945
NCI-H441,-1.8139832,-1.7890975,-0.043364912,3.907954,-1.1051116,0.11251601,-1.2976391,0.061098132,0.045660764,3.400238,-2.851325,-1.3593774,-3.277569,-0.92383134,-0.7784472,-2.397666,-0.6401533,-0.8280408,3.0873597,-0.21657363,-0.5389208,-0.5531197,1.5798562,-1.0428004,1.7791548,-0.069515765,-0.491654,-1.6141783,-0.6943843,-0.009765111,-0.03378138,-3.6862838,-1.8080924,1.6816183,3.5230122,1.5334768,-3.3432047,-1.6710986,0.39506128,1.1780164,-0.2595535,-2.1064925,3.5035784,-1.0339848,-0.27521092,2.5278826,-0.63386273,-2.1008756,1.187745,-2.0130367,3.3102698,-0.15206051,0.4842763,2.1043599,0.7225182,0.98581195,-1.0842216,-1.6715226,1.362392,5.4267178,-0.39805874,1.08271,1.595525,-3.1185343,-0.46807837,-2.1978424,2.6155996,-0.06074094,0.10629381,-2.4217975,-1.4652497,-4.5260177,-0.32022354,1.0362345,1.4638898,3.2227786,-2.5698752,0.25200146,0.7095881,-3.1568742,0.2218461,0.5450293,-0.24691303,3.444795,-0.42396623,-0.26946914,-0.98038936,4.072718,0.4069456,0.9315271,-0.20475864,-4.265614,2.8232799,1.4888023,-3.4927685,2.144119,-2.6859608,-3.9491885,1.7717688,3.4798322,-3.0256534,-2.0807514,-0.35472235,-1.9213909,0.36485723,-2.5799234,-0.5089861,-1.0221083,3.5628085,-2.65681,1.6411847,-0.41796944,-1.0237125,-1.4714172,-4.001712,-0.55879986
KYSE-140,0.8911976,0.46986544,0.27829653,-2.1232114,-0.8703647,0.2126277,0.32903427,0.05503016,-0.5300764,-0.066069834,0.59756535,0.37478882,0.56146884,-2.773477,0.13955897,0.3796371,-0.24281745,-1.0424453,1.7215767,-0.85837203,2.5907545,0.89172757,-0.4072503,1.6434965,-2.1005838,-0.13784018,0.31398487,2.1333437,0.16403574,1.1068861,-0.26862103,1.8462431,-0.9416126,-0.77845013,0.7227054,0.7001514,-1.1086951,0.26306573,0.6758937,-2.3480892,0.04681657,0.2154361,1.1675079,-0.18673675,-0.87558657,0.85726327,-2.5168037,1.8869209,-1.7781858,0.29988152,-1.1867886,-0.69674075,0.9548761,2.8741407,-1.2217134,0.024845243,0.20873284,2.8106859,2.3692148,1.4081854,0.13239184,-0.8050214,-1.2178456,-0.2181247,0.28521353,0.07394689,0.59679615,-0.18092908,1.4718866,-0.963779,-0.80848193,-0.06722811,-1.5496604,-0.6249659,-1.4357213,0.96267176,-1.1376874,0.29955143,0.96696496,-1.4893103,-2.8077474,-0.35399815,0.4417542,0.4790979,3.24754,-1.499085,-1.0668104,-0.50623524,-1.3385916,1.3855443,3.3088117,1.0466635,0.14120524,2.1192725,-0.23851773,-0.4805832,-1.6534747,1.0444427,0.07251863,-1.1813918,1.6148626,-0.082145214,-1.6589524,1.00852,1.7922114,-0.74540174,-0.9040816,0.20055455,-0.04174999,-0.89141613,0.9514129,1.9947888,-1.3224431,1.0874078,1.6335213,-1.2584696
SCaBER,-0.08498333,-2.7530522,-0.018116973,3.4814632,-2.4047046,-3.6916845,-2.413668,-1.4593431,-2.3401775,-1.5497725,-0.7651098,2.4860268,0.24434894,2.0516233,0.6197671,-3.3657737,2.9712718,0.3812116,1.6777436,-1.0044969,3.915014,0.07259483,-0.34716475,1.2193205,2.5357807,0.8250072,0.33139235,-2.2266488,-1.3408788,1.2185998,1.2747335,-3.5713315,1.089191,-0.7461694,0.35683978,-0.49037567,0.31199777,2.2311227,3.7543254,2.4690063,-1.6224391,0.5626569,1.914655,0.33030924,3.0317125,0.0358631,-0.82463896,-2.4581866,-2.6033468,-3.2833827,-0.57351285,-1.2182438,-0.8420149,2.6021907,2.8771462,1.2693467,-2.4535244,3.6087186,2.5887587,-1.5470656,-0.38945293,-1.0946836,-0.96097475,-3.1296837,-2.5134017,-0.99377286,0.8436284,0.22486326,-0.07060721,-2.5996232,0.6157131,1.21395,-0.007256359,-0.9864539,1.8845874,0.44855976,-1.6324418,0.89291126,2.8007536,-5.0419455,-0.7905036,-0.84086746,-0.6610547,1.2119582,-0.12651159,-4.519933,-2.2469122,-0.2363941,-2.3878763,1.2254148,2.4552948,-0.9002206,5.4123816,-2.5273502,-2.3284183,-1.7731147,-2.8318696,0.7482435,1.7380434,0.01761783,0.057497382,-3.6095161,-1.7909518,3.5553877,-1.4213088,-3.606362,3.1655936,-0.45065296,1.5434657,1.2261026,-1.8271565,1.12418,-0.66343975,1.8294272,0.028456122,-1.227123
NCI-H2347,-2.4818542,-2.0298998,0.9569936,-0.37346315,0.8796303,-0.18312474,-0.25707528,-1.0350132,0.5831673,-2.082992,-0.93255293,0.7373207,-0.37538463,-1.1396912,-0.44243237,-1.9799114,0.517554,2.4695997,1.940615,-0.001981169,-1.3488301,-1.4016305,-0.61837304,0.5984037,1.7267969,0.33743536,1.5315294,-3.9113054,-0.85740286,0.33104777,1.5532084,-0.0524666,-0.5527375,-1.8207222,-0.30668795,0.5344754,-0.9288976,-1.2364237,-0.7235107,0.34118402,0.22630115,2.059309,0.6666131,0.20250432,1.971396,-2.0722504,0.2405958,0.84831065,-2.0179398,-0.9563847,1.7912595,0.42364198,-1.6979266,0.47963035,1.1207907,-2.0084734,0.4943887,-0.840822,-0.31342164,0.54868597,0.21770567,-2.859371,0.63764364,-1.6295002,-0.5871522,1.8953602,0.9981261,-0.24977788,0.6467057,1.2832243,-0.7227229,-2.6968257,2.6558933,-0.40397087,1.1558311,1.4164991,-0.42672384,2.0026073,0.48995766,-3.6469758,0.52949786,-2.056639,0.31895006,1.5284914,0.43617135,0.22419158,-0.623224,2.4672854,1.228357,-0.27805415,-0.6185551,0.5640462,3.4116905,1.2545758,-1.8920604,-2.1642103,-2.736166,-0.20440589,2.3701932,0.86413234,-0.015799768,-1.4749341,-0.6836771,-0.030014426,0.73570186,-0.892502,0.7451421,-0.44206285,-0.91734356,-1.8187362,-0.010484144,1.2864809,-0.81266534,-1.449832,0.14540893,0.94433916
NCI-N87,-0.08476206,-0.5673419,-0.55171597,-1.6266768,0.27877578,0.799036,0.43697214,0.1804107,0.54485124,-0.9907512,-0.5449762,2.2620497,-1.1172134,-1.3693037,-1.9031819,1.0385798,-0.49501267,-0.65752304,-0.11852503,0.70525515,0.31368196,2.4790287,0.9034628,2.5820115,-1.5389504,-0.051118195,0.59608746,1.6855935,-0.3378131,0.035870515,0.36219975,-0.030207563,-0.85039973,-1.3776243,2.5123198,0.5614252,0.03381265,-1.1380268,0.7657476,0.4832576,-2.2267766,-1.0772235,2.0820808,0.39051846,-1.0151757,-0.0662988,-1.4273587,0.41602743,1.2890913,0.5841513,0.19951597,-2.2050178,-0.74264306,0.83155227,-0.038371887,-0.26712742,1.2529621,0.36328584,-0.7570004,0.16881448,1.7436608,-0.80098265,-1.2353687,0.9680805,1.1489854,-0.24929997,0.9935465,0.04076259,0.72257674,-0.4644546,-0.08799845,0.9536025,-1.7275448,0.5896362,-0.32670373,-0.68867546,-0.10236803,0.07169455,0.759714,0.34370485,-0.29974607,-2.282611,-0.23374914,-0.13172099,1.5062557,0.5342045,-0.55827105,-0.59470034,-1.4098669,-0.77116466,1.1840206,-0.7465537,-2.1247857,0.45374557,-0.85041636,0.5613438,0.57322305,0.0686986,-0.47491252,-0.34302786,0.2888891,-0.99232167,-1.2513644,-0.04207287,-1.0369799,0.7786216,-0.85331887,-1.2797766,2.1262977,-0.40267652,1.122124,0.43131286,-1.272835,1.4924202,-1.2152468,-0.29605332
SW1271,-0.5225956,0.4288398,2.3738713,0.82591516,0.90496206,3.2184389,0.09158766,-0.24901843,0.7356951,2.252668,1.0124984,-1.8037373,-0.3047901,2.1591852,-0.392955,1.4700301,-0.6145033,-1.2034321,0.7350014,0.74545395,1.0714443,-0.20334569,0.27255,-1.1541883,-0.47954577,-2.7830474,0.77140516,-0.21600133,-1.8289298,-1.2848941,-1.6918243,2.1808906,-0.44566333,0.7450987,0.12624435,2.8559358,-0.7982245,-1.4006228,2.8571067,0.40500993,2.3922062,-1.2895763,-0.61270386,-3.7545931,-1.6222978,2.9352396,-1.4344108,0.9399751,-1.6969042,-0.6347861,0.7583112,-0.5394009,2.6132452,-0.8460882,0.93111694,0.22928399,-1.33387,0.04750059,-0.30612418,3.8720293,0.71025705,1.712902,2.0489542,-0.59901154,0.9262527,0.3908627,-0.7164892,0.33851174,0.0257662,-0.8182029,-1.6673502,-1.8442587,-1.9196647,1.4457101,2.2090733,0.38278377,-1.6475942,-0.74103576,-0.92407584,1.9051573,-1.0334994,1.3200412,1.0909996,2.5645986,-2.0903308,0.18440041,-2.451688,-0.62475103,-0.084551945,0.20558241,-2.1472824,-0.1208557,1.4749798,1.4831074,-0.047600493,1.1783882,-0.9371867,-0.6533359,1.1151651,1.6197507,3.1689389,-1.2851686,0.6246376,-2.3102965,0.021099329,-1.3157731,-3.0646794,-1.2082,-0.6226511,-0.91868114,-0.43595958,-0.9557207,-0.12265052,-1.5705936,-2.2080092,0.6115867
SW1417,-3.0743508,-0.30285102,-0.037057716,2.7484307,0.09823125,0.15595326,-1.0895863,0.9803857,-1.0161197,1.7061938,-0.092270136,-0.73400843,-0.33599225,-1.2543178,-0.93805397,-1.3109592,-0.5269313,-1.608253,-0.44156912,-0.28520587,3.4065864,0.017034434,0.13384181,2.4384944,0.39642802,-2.8468041,1.1725738,-0.5970909,1.2707542,0.46862084,-0.47817093,-1.8536123,-1.1845899,-1.7645746,2.8401122,-0.78427273,-0.34978312,-1.8252205,0.41094017,-0.84709823,-0.22524276,-1.8285286,1.0149952,0.07059538,-0.91400266,0.9405265,-0.70720357,0.29603374,-0.37022144,2.304729,1.3849142,-0.63164026,1.8350157,0.06424233,3.4617217,-0.44542077,-0.46106148,2.1372387,1.0522938,2.6284273,0.45401928,-0.09952468,2.1830754,-1.1746697,0.9494378,-1.1802855,4.0474386,1.5235615,1.9548128,-1.8885685,-0.4279585,-2.0274105,-1.6849694,1.4101123,0.9995432,1.9259262,0.9055144,1.130036,0.44276077,-1.1932023,1.7463143,1.5406404,0.46909353,4.429042,-0.48771447,-0.27429235,-0.12973775,-2.0245035,-1.4735632,-1.4516059,-0.67601335,-2.3369393,0.4983849,0.76743704,-3.9294925,0.71902263,-0.88767844,-3.6237044,1.693121,1.5350107,-3.1204758,-1.691369,1.016289,-0.19320577,-0.9614108,1.6080956,-0.5104197,-0.93237257,0.6226776,-0.8769108,-1.2679354,-0.90181595,-0.30084404,-0.590858,-2.3286247,-0.08138791
TUHR4TKB,-0.22026795,-1.793084,-1.1742721,0.73511547,0.3620546,0.79749936,-1.8916777,1.4752996,0.86042386,0.29520708,-0.12930077,-1.0006201,0.40344045,0.7217651,-0.652164,1.3249198,0.9938929,-0.93214315,-1.3818077,0.6740033,0.22584663,1.0837733,1.7783833,1.1586533,-1.2293557,-0.25622928,0.70991874,-0.6156507,-1.5279983,0.3012814,-0.08713273,-0.70839554,1.1157049,-0.1663591,-0.6263275,1.5883639,0.7313183,0.77418303,1.8596859,1.4219064,1.4726027,1.0920007,-1.1674721,0.2842426,-0.110033244,1.4872313,2.8000891,0.40303972,-0.57450813,-1.0084996,0.02818022,0.906641,-1.160168,-0.40834594,-2.1618824,0.34179544,-0.7115284,-1.3784553,2.0482697,1.2963845,-0.29587105,0.10400614,0.90528405,1.414083,0.60730624,1.4353985,-1.5367768,-1.0714996,0.073819324,0.514558,0.6394262,2.6658795,-0.09608121,1.3037673,-1.9607109,-1.6845701,2.2355871,0.95508826,0.7956319,1.1070877,0.043388255,0.08256384,-0.20558807,0.004588023,1.338052,0.17421672,0.043776516,0.22754541,0.98605305,-0.17170377,0.24355778,1.5961937,0.9605344,-0.39148125,1.430496,-1.5663605,0.5027346,-0.08417301,-0.6384286,-0.8822313,1.161331,1.4848368,-0.7047766,-0.30264944,-0.24213894,0.20555875,-0.44928306,1.1628661,0.52159464,-1.5617735,1.6395369,0.40975928,0.054780144,-0.72166884,-0.32812887,1.0389485
JHH-7,-2.3204556,1.8614647,1.9367182,-0.98720133,0.46011785,1.0132011,-3.4613488,1.1682613,0.5219007,0.71083575,0.231568,1.1590047,-0.35662186,-0.18209371,-0.44697574,-1.803954,2.2328804,-0.85525656,-0.9813782,0.48522684,0.90171593,-0.9162141,2.3537524,-0.97007835,-0.72199225,-0.14177063,1.2800357,1.7889382,-2.3240576,1.403853,0.64046335,1.9674116,-0.7515727,-0.11321925,-0.11398658,0.73358124,-3.2272153,-0.066932455,1.401103,-1.6646016,-1.3838532,-2.6624053,-1.1868325,-1.9475012,0.7166756,-0.38611552,-2.5065615,-1.4808595,-1.0422038,1.9378816,-1.9878659,-0.014356203,0.58982897,1.0335616,3.2543278,-1.5098917,0.63832986,1.2241715,-0.68012124,-0.43581977,0.067231424,3.1691885,0.42853397,-0.29811874,2.007654,-2.7135332,4.2658863,0.09242432,-2.3622644,-0.99769187,1.3703635,0.19533646,1.1892965,-0.3847552,-0.8444019,1.1720194,0.6837146,0.73835844,0.1434245,-0.6362805,-0.009406973,4.0388613,3.063359,1.3281453,-1.3469532,0.6760493,1.8289778,-1.0406553,1.0351468,1.148822,0.7612388,0.054034658,-3.321674,-2.3662279,-1.1525207,1.658227,1.3553944,-2.7841473,0.90409553,1.1472526,-0.86105084,-0.270681,-0.6603312,-0.97848487,1.4344671,-2.8327012,-1.4658036,0.65252376,-3.1882281,-1.3847346,0.42163485,-1.4248434,-0.7800414,1.2366978,-1.0075849,-2.7885582
TE-14,-0.12348623,-0.32838646,0.76697135,0.3141336,-0.6977939,-2.5526626,1.1547003,-0.8955529,-1.0998566,-0.88161933,1.9194226,0.07348858,2.014434,-1.4767697,-0.76300323,0.30835637,2.671253,2.2281084,1.5762483,-0.2789987,1.5086987,0.11809757,-1.6911814,-0.8683481,0.4558731,0.23281768,0.33250698,0.18078913,-1.0710474,-0.72768027,0.80360717,-0.52770334,0.5433699,-2.2558215,1.9797534,-2.1041949,-0.42893463,1.2425866,0.66722,-1.0679038,-0.13129295,1.3460966,1.104522,1.2418044,0.3619547,-1.5496976,-1.5145313,1.1727695,0.70575625,1.541345,-1.0271316,-2.4424124,-2.2079659,1.2845775,-1.0364182,-1.4418523,-0.70677596,0.7269381,2.6781502,-1.2068862,-1.1138515,-1.1462209,-3.1999347,-0.03494621,-0.56029105,0.42027718,-0.8195741,0.24194646,0.27267885,-0.76640385,1.7493181,0.8672105,-1.3456354,0.062114462,-1.0587267,-0.9103864,0.21997207,-2.6651256,1.0145328,-0.79978037,1.1867299,-0.072975084,-0.4026068,-2.8202472,-0.19842379,-3.212701,-1.6717987,0.60039556,-0.41058636,1.2934085,1.3803716,0.3158261,-0.43004164,-1.2896793,0.033567224,-1.77146,-0.98896927,1.2796513,-1.8105401,-0.75381887,0.33995056,-0.47248125,-0.72846305,0.7045422,0.12398213,0.72862786,0.61324465,0.53977156,1.5401113,1.6129373,0.3149408,0.13939562,0.13466276,2.5590622,0.8303518,-0.3154677
