,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
KNS-60,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
HCT 15,-0.17915161,0.47749272,-1.2944193,1.601479,-0.89721084,0.79306555,-0.46288708,2.060298,-1.8322524,1.9824743,1.5020891,-0.087029934,1.4406499,-1.3637996,0.69502455,-0.80601966
JIMT-1,0.031928137,-0.30843782,-0.41242534,0.5026496,-0.12250097,0.0208444,0.6821692,-0.1712271,-0.24369372,0.25786108,-0.35870427,0.5148129,-0.21688004,0.2587047,0.3130386,0.060364798
Hs 746.T,0.3134066,-0.26349276,-0.47281224,0.6559442,-0.033270985,-0.3231886,0.8907242,-0.1598308,-0.27960044,0.21289378,-0.72818553,0.63035834,-0.10187882,0.4300564,0.2430526,0.14626402
Kasumi-2,0.49908853,-0.024418682,-0.042355374,0.5197638,-0.48006356,0.1979927,0.21329597,0.16752362,0.1280048,0.29672414,-0.05581747,0.21599351,0.5628916,-0.53215116,-0.17943996,-0.03165543
MDA-MB-468,0.087000266,0.2118291,-0.70322376,0.5675809,-0.040994093,0.6476128,-0.2790306,0.55434674,-0.09646493,0.8107469,0.15026706,0.40209588,0.313335,-0.5754876,0.34954464,-0.18769494
Toledo,-0.08288326,-0.21021155,-0.18865691,0.5407011,-0.38967013,0.30760944,0.36550435,-0.19094367,-0.2535302,0.38938186,-0.10064249,0.3334205,0.10918406,-0.105696455,0.27289695,-0.083117425
JHUEM-7,0.2119581,0.21815312,-1.3782122,0.5713851,-0.4924901,1.7619699,-1.4491498,1.8991169,-0.24535432,2.7039223,-0.16457137,0.3591331,0.8956616,-1.5556391,0.44089872,-0.97792995
NCI-H1869,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
COR-L95,-0.27672368,-0.4618886,-0.17002247,0.56033504,-0.2732303,0.74855405,0.3951388,-0.26534894,0.26711482,0.6685111,-0.6749815,0.38817573,-0.2965373,0.27487558,0.32545978,-0.0779568
NCO2,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
NCI-H508,-0.109486856,-0.27268752,-0.17863981,0.38979805,-0.24577186,0.31704795,0.39152554,-0.38028514,-0.07149628,0.2848901,-0.28981864,0.42649484,-0.118248805,0.043466352,0.2913965,-0.01757244
Hs 606.T,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
HT-144,-0.096753106,-0.25825134,-0.185715,0.37256604,-0.24077818,0.29101348,0.38330355,-0.38387764,-0.09479067,0.2647186,-0.2650863,0.43227923,-0.10723075,0.022694662,0.2910344,-0.016136585
NOMO-1,0.8716695,-0.019239306,-0.030165672,0.3631869,-0.8351214,0.2823204,-0.12772837,0.5094408,0.08231971,0.69011927,-0.14688155,0.14885971,1.0218023,-1.0880939,-0.42917532,-0.2690466
