,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
Panc 10.05,-0.23702037,0.3938042,0.77411234,1.3881257,-0.6558202,0.5793962,0.037494373,-0.9155832,-0.2515728,1.0027441,-1.1019132,1.7688974,1.4725441,0.66775846,0.37538445,0.9737656
U-178MG,-0.58985364,0.13718358,1.2161257,-1.1784506,-0.5766193,0.96114266,-0.6027201,0.73210317,-0.7995446,-0.4852166,-0.11089659,0.4383692,-2.1515167,0.6441097,0.26614487,-1.6144217
647V,0.59204,0.06900119,0.19002384,0.84435683,-0.4380447,-0.4966372,0.8556685,0.99107414,-1.2056862,-0.21016514,-0.062879615,1.0064938,0.64088863,0.0073585683,0.9971831,-1.011541
Hs 611.T,-0.043923438,-1.0207208,-0.3974687,0.7291278,1.6557978,0.11881705,1.3187511,-0.017538106,-1.5323869,0.56337935,0.44743705,0.65805084,-0.6510053,-2.3317215,0.6133926,-0.09944308
KMRC-2,-0.4039914,-0.23618829,1.1184815,-0.2123707,0.27673572,0.30431223,-0.6741206,0.05606299,0.59398216,-1.6175134,-0.14735088,0.1430228,0.08674399,-1.7669173,0.6794137,-1.1864544
TE 441.T,-0.9151506,-0.30542085,-1.3657103,-0.85170686,-0.06576307,0.2599459,-0.28318617,-1.2451048,-0.9105191,-0.80826885,0.1727195,-0.008956252,-0.39411816,-0.3928261,-1.7359551,-0.7850678
JK-1,0.48301554,1.909261,0.00052475184,-0.27011684,0.43373844,1.0573658,-0.6692163,0.5398432,-0.2924558,-0.7527802,0.20236456,-0.8580422,0.74500406,-2.5261848,-0.03664282,2.9425004
HDQ-P1,1.1590042,0.0316038,0.3112988,0.40223417,-0.59279066,-1.7962447,1.3440224,0.027195077,0.3927658,0.7386051,1.1030796,0.9290332,0.99427104,-0.29308647,0.084369846,-0.013562385
HCC78,-0.124398194,0.47167403,0.0464648,0.7762811,0.31353062,0.13801424,0.08259063,0.5429792,0.41910192,0.08558122,-0.25935826,0.5133729,0.014983606,-0.45580295,1.8889909,-0.17210595
HLF-a,-1.0812243,-0.10152816,0.41488406,-1.8393798,-0.09904949,0.9441409,0.3661511,0.546411,0.56483305,0.11865272,-1.198421,0.5870309,-0.01508284,-0.95154434,-0.31985614,-1.1815569
VMRC-LCP,0.22740884,0.40792987,-0.0053243404,0.45100817,-1.1002406,-1.3632832,1.1153449,-0.010104431,1.233731,1.9298856,0.9884716,-0.47905445,0.38306385,0.6861354,0.21443075,0.38602123
EFM-192A,-0.7849261,-0.84021926,-0.8101153,1.9202137,-1.2320172,-0.1263407,0.223769,-2.2871585,0.6664667,-0.8847542,0.9275723,1.099556,-1.0502093,1.70717,0.51433897,0.06763442
AsPC-1,0.25996244,1.4669424,0.54960126,0.33198774,0.9975241,-0.5510919,-0.27915314,-0.96533304,2.2749012,0.6740814,-2.4135935,1.6639622,-0.026719017,0.41113394,-1.1191751,-0.34965348
LCLC-103H,-0.071521744,0.30117735,2.0427647,0.26887095,-1.3189791,1.1930416,-0.26032576,-0.15032282,-0.18984723,-0.76177984,0.0035979673,1.0426947,0.4986332,0.45122787,1.0636091,0.44053978
SU-DHL-4,0.6712685,0.4253483,-0.33886892,0.69197565,1.6665807,0.26762083,0.936189,-0.31969386,-2.5820448,-0.48133984,-0.25754178,0.18742265,-0.2034904,-1.1773763,1.1041725,0.35894603
NCI-H2066,-0.3491102,0.89418304,-0.87250066,-0.9732568,-0.6514607,0.9737471,-0.888583,-1.108594,0.97892255,-1.0671296,-0.7529695,-1.0932202,-0.76528275,0.24472584,0.5396964,-0.08746332
NCI-H661,0.27985883,-0.5814781,-0.085816994,-2.279219,-0.7600583,-0.58048844,-1.2295305,0.6628891,-1.9039904,-0.24510416,-0.7869215,-1.3350302,0.73722756,-0.21314567,1.1300443,-0.82915115
HCC1937,0.06792434,-0.1457649,-0.44356874,0.35218012,-0.23030609,-0.8739412,1.3098838,-0.40533668,0.06615285,1.0352156,0.61630726,1.0046611,0.1017614,0.013096757,0.24188034,-0.41116077
Karpas-620,-0.39881974,0.3333139,-0.2658025,0.77951515,1.0126663,0.09736466,0.12014126,-0.7780565,-1.4105223,1.1001998,-1.5833042,0.50268656,-1.8652563,-0.8416207,0.85232323,0.5151514
HGC-27,-1.9481066,-1.0595195,0.026315806,-2.5603614,0.14140941,-0.25274342,0.32646504,-0.45707655,-1.9625423,-0.8434397,-0.23421477,-0.028366959,-0.9070139,2.0673256,1.3837289,1.8367251
Hs 274.T,-0.7544519,-0.38127214,-0.11950199,-1.7304415,-1.0646032,0.44363773,-0.23084903,0.084736586,-0.49206707,0.73982245,-2.19336,2.003436,-1.0881451,0.26376504,-1.2726803,-1.54435
KM12,0.21535377,-0.3504694,-1.1918778,-1.4207515,0.8526077,0.9972771,-0.2666078,0.33431268,1.4483263,-0.009070594,1.6160318,1.1348002,1.1519088,0.11805697,1.0322714,4.2418156
KMS-21-BM,-2.0599377,-0.572653,-0.6723754,0.68818086,0.16259995,2.5631037,-0.24457766,-0.9762576,0.6987188,-0.21951756,-0.59441996,0.5027877,-1.9341642,-1.3145177,1.6285363,0.1438856
SLR20,-0.22459546,0.8248929,0.6485857,-0.031499807,-0.31080323,0.56142426,0.46186504,0.26817757,-0.23767334,-0.10495424,-0.9702066,-0.45806924,0.5103915,0.12994583,0.502712,-0.5604832
Hep 3B2.1-7,-0.11434266,1.0208266,-0.4358283,-1.5934993,0.103228755,0.10232892,-0.02811237,-1.7955651,1.3754252,-1.0635828,-0.42840227,-0.30848715,0.42154968,-0.5075599,0.7313103,-0.16292556
SNU-407,-1.1176022,-2.9649525,-2.207065,0.4179308,2.1994028,-0.6222852,-2.9139404,0.76022696,0.071663216,0.60896796,-1.9781871,1.6727935,-1.2835499,0.8620918,-0.5966269,0.6689303
MKN45,-0.44728628,1.6518945,-1.032523,-0.5617875,0.8146261,0.05863477,-0.32838547,-0.5011657,0.9090129,0.21180463,0.24961616,0.10052481,0.42034143,0.47922102,0.024237484,0.28646013
TM-31,0.50995195,0.3715075,1.3472755,0.014025331,-2.760747,0.58086675,-0.71494424,0.5514998,-0.812269,-1.1981782,1.1431772,0.4368274,0.66059136,1.7067446,-0.05526152,0.5168765
TE-4,1.3200606,0.22646874,-1.1086516,-0.08904612,-1.4007407,-0.1926779,-0.97291416,0.58988416,1.6906617,1.6274722,2.4712348,-0.65808487,0.7837848,-0.8171946,0.6380333,0.020606643
PE/CA-PJ15,-0.07775827,0.5350621,0.34281576,1.0363925,-0.6315605,-1.2440048,0.9237387,0.62553644,0.23764405,1.0786353,1.0239447,0.19456,0.082280755,0.8339608,0.15957095,-0.52507025
COLO 775,0.34677702,0.10055946,-1.2175157,-0.042012576,0.13291752,1.9698471,-1.6686169,-1.1253725,-0.22743197,1.3526635,-1.8161728,1.2307103,-2.473426,-1.52297,1.5448623,-0.61104214
SNU-1033,-0.063741155,1.7129124,-0.1291143,-0.9572935,0.56539464,-1.7754217,0.6198173,-0.28986168,0.48955786,0.030660922,-2.1140752,0.8936498,0.23260584,1.1156743,0.55478,1.4172257
NCI-H2291,0.34464842,1.0015006,1.071181,0.91447717,-0.4502215,-0.891915,-0.4079636,0.5334108,0.5955388,0.5555449,-1.4483043,0.4389376,1.0834001,-0.009797664,0.7256667,0.4354548
HuG1-N,-0.861623,-1.1028044,-1.4422306,-1.4063977,0.7531032,-0.94870526,0.9181938,-1.1187015,2.8192358,1.7734107,0.38712597,0.16515787,2.0910504,-0.35643503,-0.14341241,1.8249363
SNU-398,-1.0394268,0.11452723,-0.62298846,-1.7096468,-0.8901245,0.4880358,-0.49011517,-0.21556738,-1.2411853,-0.07317737,-0.06980297,-1.1762874,1.6069641,-0.7109664,-0.28047058,0.9201277
SHP-77,-1.2922808,0.3526965,-1.504899,-0.46361935,-1.1648922,0.930864,-1.2134053,-0.2810774,-0.009516826,-0.47419882,-2.5706198,-0.39828733,-1.1200693,0.023302328,-0.2553538,0.03801316
G-401,-0.23771444,0.2171116,-0.4308948,-0.65910494,0.021829084,1.1180031,-0.22328605,-0.8595741,-0.80409306,-1.4156334,-0.38724205,-0.81492895,1.093925,-0.73107237,-0.94638604,0.06767324
S-117,-0.10792012,-0.29077724,2.1136522,-0.14349581,-1.1005433,1.5700842,0.19311595,-0.056733206,-0.26456156,-0.27533486,0.026713144,1.200544,0.364093,0.21028537,0.7064368,-0.059446584
RL95-2,3.2574844,-2.9312928,-2.3782275,0.12074128,1.9284414,-0.29957688,-0.8645039,1.5324227,-0.28563303,0.63381016,3.8665957,0.18484767,0.32303274,0.70591426,0.20997891,-0.8525199
HCT 8,-1.80892,-0.033485718,0.07261215,0.78562886,0.5896872,-0.7652073,-1.0897528,-1.4722862,0.20989178,-0.72321767,-1.2990499,1.5363576,0.35031477,2.0450718,-0.6795341,-0.33247924
Hep-G2/C3A,-1.1146355,0.73190254,-1.1721747,-1.0278572,0.5171488,0.098945074,-0.055073492,-1.7423669,1.661002,-1.1299436,0.039130688,-0.14805269,0.50826854,-1.0103633,-0.05305852,-0.34609795
JHH-2,-1.7638073,-0.4325179,0.7872738,-1.771184,-1.0657604,0.2911877,-0.85294193,-0.1738826,1.1510514,-0.03688575,0.86501217,1.312604,0.32694745,-0.8361749,1.2119266,0.27996573
Loucy,-0.07674958,-0.23019364,0.033271108,1.6031932,-0.6939736,0.30784658,0.6455666,-0.7030691,-2.0900228,-0.32816502,0.15557069,-2.084045,-1.0666277,-0.0012088567,0.6210553,0.5415233
MHH-CALL-4,2.6133146,-0.26389062,0.19084212,2.121275,0.8568479,1.8041598,0.14824934,0.7044299,-2.3022249,0.5097776,0.60098124,-0.07328808,-0.97481626,-0.23109098,0.95174915,1.0828418
SNU-8,1.233925,0.25169507,0.8171569,0.032782435,-0.8926147,-1.2372755,0.6483093,-0.33016485,-0.4940649,0.061850745,-1.7731162,1.3489462,1.5877774,-0.28933018,0.32480317,-0.24014865
UM-UC-3,0.38404197,0.33455595,0.65890056,-0.32669055,-0.84713,1.1929044,-2.3909376,0.54302466,-1.3378876,0.796592,-1.3393892,0.32185912,0.61760074,-1.4960259,-0.94866467,-0.5673692
NCI-H508,-1.5076507,-0.17605074,-1.0439017,0.43790615,1.5351803,-0.9819209,0.5740844,-1.3025306,2.8924487,0.21559305,1.0984321,0.141924,0.41527772,0.17865418,-1.0449979,0.5524465
PE/CA-PJ41 (clone D2),0.24492678,-0.045181073,0.839038,0.8716481,-0.6393937,-0.63508236,1.1431279,1.370973,-0.28092268,1.362932,0.4320826,0.6115651,0.23635258,0.39061257,0.31500992,-0.84019727
F5,-0.5593847,1.138195,0.14075156,-0.7806037,-0.012850528,1.4072516,-0.38707522,0.11882975,-0.949037,-1.3121212,-1.1879433,-0.3637438,-0.35304123,0.5067813,0.48678026,-0.8720084
NCI-H1623,0.6130382,0.015195547,-0.24142875,0.18646744,-1.0291667,-1.7123228,0.79135746,-0.6112431,0.93976367,1.1870252,1.1445006,-0.48404267,0.19793484,-0.03549348,-0.3314648,0.45577088
SCC-15,0.74936956,-0.011217601,0.472877,0.20858227,-1.3487425,0.05752624,-0.06133491,1.3356742,0.41389284,2.8031995,0.59636956,0.82678044,0.83106333,-0.51116276,-0.08374003,-1.6168215
