,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48
IOMM-Lee,0.90260637,0.17940325,-0.29411212,-0.13740528,0.67979366,-1.9355885,-0.52941185,-1.7416874,2.2143147,1.1306136,-1.0889215,-0.96323967,-1.6487279,0.882529,1.4644059,0.12815484,0.9898132,-1.0738418,-0.14645793,0.0734332,-1.5526094,0.27379143,0.7488033,-0.66902924,0.5197757,1.6348609,0.6086831,-0.86082435,0.8424554,-1.0985788,-0.3438095,1.1813574,-2.9125698,-0.5697326,1.5798237,-2.519868,1.0984505,-0.030788526,-1.2519957,-0.85240215,-0.43562245,-0.14701012,-1.671234,-0.5557697,1.5370126,0.8171642,-1.403248,0.2292819,2.387117
L-363,-1.8333176,2.454335,-0.12705639,-0.7867793,0.90254337,1.9329615,-0.7294584,-1.7928375,-0.06670829,1.1657159,3.0058784,-0.2643111,-0.02269342,-2.2890134,-1.1937826,-1.0381157,-0.9403455,-0.73503494,0.044849902,0.34407154,-2.8492095,-0.83530414,1.6369401,-0.82725483,0.5546149,0.45073,-2.6014826,2.9001431,0.34595707,-0.21052386,0.5553758,0.47666404,0.39907387,1.4748979,-1.0457355,0.47439533,-0.9890099,-0.90914214,0.9510145,-0.49895507,1.5012769,-1.5763174,-1.1046408,0.16071978,-0.89751583,-1.928903,-0.95421636,1.5842706,-1.5240854
UM-UC-3,0.09057386,1.0684159,0.054061625,1.7737125,-0.019952228,-0.48940873,-0.94529945,-0.7251286,2.0724003,-0.29551637,0.8032207,1.3979888,-1.2194015,-0.72746193,-1.0209023,-0.368904,1.3930714,-1.1574527,-1.9676429,1.5914729,-0.45781392,1.4719683,0.2815316,-0.4933886,0.66697675,0.860739,-0.08536889,-0.74897015,0.031827353,-1.3289695,1.1384658,-0.16447398,-0.34817946,-0.20330998,-0.26247543,-0.5506797,0.48376203,0.016576461,-2.0187528,0.13853596,0.2223853,1.9960897,-1.0734856,0.43981186,1.7542022,0.33190462,-0.40208393,0.5724468,1.0674746
UACC-257,0.3065061,0.47030264,1.5181034,-1.2580029,0.5539423,-0.24816138,0.25050884,-0.88661325,0.033169903,0.42784092,-0.87948465,-1.9229542,-3.5511575,-0.9916379,-0.10060088,-1.8286704,0.09552926,-0.5450257,1.176833,0.15019864,1.5955427,0.47024536,-0.055614714,-1.5960166,0.15187638,0.08386469,-1.5743458,0.35139382,-1.0844395,-2.0944762,0.6682168,-1.243289,1.189881,0.10616848,-0.36404136,0.42721653,0.3153897,-1.4583737,0.2391469,1.6600252,-0.5627369,-0.12672316,-0.17689764,0.7405665,-0.68797725,3.0273507,1.0961716,1.1737609,1.1800181
KYSE-180,1.2140745,-0.16648267,0.87916976,0.7818055,-1.7527032,0.7913147,-0.2805245,1.0737638,1.6284208,0.14580432,1.0547001,-0.01920135,0.49470565,2.2493265,-0.45780033,-1.7918508,0.65038246,-1.143494,-0.22341861,-0.2614249,-1.3843671,0.43319848,1.4857067,1.8556187,1.0922875,-0.7609834,1.3938643,1.1219434,0.16849712,-0.40669018,-1.4909284,-2.009089,0.107938,-0.2275106,1.101176,-1.0974439,0.8708449,-2.4535725,-0.78141254,-0.3583048,0.21373896,0.087536246,0.09996746,0.56790286,0.090055816,-0.19526285,1.6541848,-0.92523193,-0.96222055
SLR24,1.8487843,-1.1253942,-1.5913141,-0.20347443,-0.80802,0.6221157,0.6373178,-0.77605546,-0.7318857,0.68783695,-2.2571752,3.137166,0.15975562,-0.40440664,0.15275995,-0.2680878,0.90232676,0.91569394,1.1073515,-0.2282925,-0.31040755,-0.043037955,-2.016022,-0.07486139,-1.4537883,0.6162894,0.41028783,-2.5339901,-1.1170361,0.6323976,-2.8144753,0.7338585,-3.0606682,-0.912039,1.6375374,-2.8224454,0.23400965,1.3714167,0.06287673,-0.31527248,0.22751285,-2.452764,-0.42885578,-1.5191495,-0.11630857,-1.0779314,-0.20167622,1.0497707,0.29425108
HCC1359,-0.5903301,-1.2410583,0.4857493,1.6287267,0.53636765,-0.9193686,-0.57475615,-0.7771924,0.8098552,0.72575337,-1.9002851,0.5592624,-0.43790287,-1.1195124,-1.2607023,-2.0319672,-0.39596438,-0.6874355,-1.9382302,1.6856259,-0.5725584,0.82279456,-0.36751103,-1.5428679,0.82261896,-0.1475687,-1.4351484,-1.5023609,1.1331642,-1.4706339,0.94241756,0.019937051,-1.2654383,-0.20329987,-0.2639149,-0.91367054,-1.0737078,-0.92882764,-1.8700098,0.0031877644,0.38387296,1.6318679,-0.16348563,-1.2333846,1.9978963,1.071443,0.21163121,1.3380495,1.3812028
Hs 606.T,0.083232805,-0.015031066,0.20790581,0.0091874115,0.37095037,-1.2136005,2.1437619,-1.2143805,-0.8825935,-2.030932,1.5768701,-0.34206882,0.09938572,-0.9013229,-0.34796384,-0.95605654,-0.978097,1.8510062,-0.2928102,-1.6723818,0.39380684,-0.6952896,-1.2855055,0.3351644,0.51821065,-1.0446577,0.30323946,-0.02756492,-0.5730391,0.95213336,0.6448571,-0.8117261,-0.91706324,-0.60793,-1.2560837,0.92522985,-2.181049,-0.7181577,-0.7892332,-1.7287921,-1.0186446,2.0882547,-1.0037436,0.21022645,-0.53769696,-1.4375974,-1.474906,1.531198,1.9894885
UM-RC-6,-0.34453255,-0.118805796,-1.5610126,0.9911878,-0.02925362,1.2451682,-0.43835697,-0.22268464,-1.9900798,-0.13304433,-2.9969141,2.5378678,-0.64061886,-0.35934514,1.4458001,0.03875686,1.3137894,0.60087407,-0.04571462,-0.3538311,-0.5896936,-0.09187942,-1.3321081,-1.6044893,-1.0296856,0.86453086,-0.41952103,-2.9289489,-1.3169187,-1.3092141,-2.6183906,0.499298,-0.66431797,-0.3549281,2.5617096,-3.8975177,1.1045696,-0.024692886,-0.61889917,0.14221412,1.3661071,-0.847037,0.22301753,-0.12753387,0.23831163,-0.26219794,-1.6787013,1.9676073,-0.5647784
HCC1500,-0.14315884,0.65807223,-0.19317931,0.8877609,-1.1267513,0.45930445,-1.3321689,-1.3438818,-1.2240701,-1.2768681,-1.5947421,-1.2003807,0.36762157,1.2366831,0.90172875,2.5282867,-0.7807828,-0.2734314,-0.83456683,1.1143428,-1.0364811,0.6040316,-1.5893153,-0.38281664,0.15649085,-0.684311,-2.8665173,-1.4314806,-0.22547531,1.7020335,-0.07628887,0.39865622,0.5423218,-0.2283538,0.45934337,1.1279616,-0.96321714,1.3763826,1.5340942,-2.9595912,-0.37596107,-1.2553946,-0.50015444,0.87207764,-1.6531712,0.1390913,-1.7986352,1.3963475,-0.7318343
