,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48
U-178MG,0.46416673,-1.0855494,-0.3540283,0.07250281,0.17880179,-2.0425396,2.2408714,-0.1309788,1.8855345,-0.69871515,-0.40131277,-0.51035863,-1.097693,0.10017675,0.48091286,-0.63383996,0.092936024,0.865155,-0.30863217,-0.85041803,-1.1771197,-0.45526445,-1.2423147,-0.7612913,-0.6905684,1.140069,-0.22854461,-1.4360387,0.10798375,0.20925619,0.3963956,0.96411055,-1.641514,-0.11660101,1.7431825,-1.5871593,-0.2434397,-0.10726459,-2.72162,-1.979294,-0.3064237,0.7885289,-1.7740592,-0.1207087,-1.4614924,-1.0414195,-1.5116372,0.94786817,1.4942601
NCI-H2170,0.49699602,1.2087437,0.885138,-1.1629319,0.3376175,1.7994033,-1.10019,1.213919,-1.1352661,-1.6475362,0.6693971,0.31646496,1.211338,2.0992744,-0.538525,-0.3652502,-1.0189036,-0.5215772,-0.45803478,-0.24417838,1.0365652,1.4538147,0.1310752,1.7519197,-0.8572187,0.5490861,-0.69576097,0.42049652,-0.43443894,1.7098317,-1.4149245,-1.5597659,2.4960947,1.3854256,0.6001113,1.4671286,0.19926956,-0.27736008,-0.4127257,-0.590683,-0.8907585,-0.6429255,0.89224994,1.3973455,1.6457483,0.40728426,0.30464503,-0.2929745,-2.6923583
LoVo,-0.069742866,-0.54610455,-0.35272676,-0.048344627,0.09261232,-1.9920161,-0.7303787,2.31244,-1.7480376,-0.12596631,-0.8371628,0.46158546,0.5783289,0.8956347,2.1297421,0.6175962,0.43859595,-0.9671998,-2.0790665,-0.8147875,1.194782,-0.56156194,-0.267627,-0.097998925,-0.15612102,0.4982773,0.86042345,1.8765438,0.97626096,0.8729031,-0.12058978,0.81911117,0.12807633,-1.0250986,-1.5386472,-0.79616946,-0.09236114,-0.55129933,1.4029007,0.2850184,-1.1266946,0.28678533,-0.7376127,0.13791369,1.7464212,1.7835737,-1.1956301,-0.04639908,-0.28301725
SNU-478,1.2217388,0.5445156,0.11209437,-0.012682408,-0.4724162,0.5105652,0.57692194,2.1543736,0.37875623,-0.32084373,-1.099404,0.03683463,1.0798101,-0.38729438,-0.8437285,0.549391,-1.1237768,-0.58853126,-0.10092876,-0.5928108,1.4589854,1.9942447,-0.4073885,3.313305,-1.580197,0.011347275,2.009918,0.22211823,-0.19200346,2.408362,-1.668556,-0.5582031,0.8679077,-1.3370552,0.52212566,0.844439,-0.7099233,-0.5119421,-0.20357342,-0.95897716,1.1004306,0.27302262,-0.10400235,0.11657367,0.84811723,1.3752105,0.34798154,0.090533376,-0.9492466
U-138MG,-0.23939456,-1.1015989,0.52123904,0.64787155,0.80599517,-1.274536,0.66621035,-0.5013347,1.6315962,-1.8912061,0.653538,0.9126311,-1.8484532,0.2710428,-0.11480437,0.41151798,1.0964066,1.0680963,-2.205405,-0.74436593,-0.82926816,-0.5213721,-0.42942202,-1.1827488,-1.6462756,0.45195487,-1.4472377,-0.39414567,-0.28649992,-0.2576247,2.295736,0.14150393,0.60319144,0.5669032,-0.86804014,-0.09299819,-1.6884922,0.3458977,-1.2135336,-2.10492,-1.2655945,3.069686,-1.8295444,0.04604527,-0.109906435,-1.8740969,-1.1951184,0.9903455,1.4502583
U2OS,1.6659527,-0.3216707,-1.8147899,1.55638,0.51034975,-0.6915836,1.4433156,-0.059453383,0.22555695,1.113388,0.74527735,-0.39555264,-1.004042,1.6790441,-0.18420456,1.5021676,1.5910358,0.45708257,-0.7604517,-1.7334881,-0.9589431,-1.0084558,0.97270155,0.09318978,2.1042743,-0.73122096,2.591623,0.5815009,-0.86058164,-1.5508122,1.1081074,0.45285147,-0.06836624,0.2598595,0.733025,-0.60311556,1.8250848,1.6309154,-2.0391054,0.44195166,0.21265846,0.6772635,-1.536241,0.26962596,-0.7725723,-1.1959858,0.6401574,-2.262912,1.1065674
DV-90,0.43326876,0.3454031,0.12684736,-1.4419572,-0.6967731,-1.7206364,-0.10751808,1.3732381,-0.66959465,-0.8409032,0.1658877,1.0620424,-0.05938968,1.4400562,3.1484177,1.0767578,0.04076289,-0.7082968,-1.4816852,0.4759643,0.27505687,0.3450316,-0.83322066,1.6784043,-0.86068505,-0.78501076,2.1901705,1.6725328,0.46781477,-0.099980555,1.0481784,-1.1975334,-0.0118351,-1.070671,-1.0733237,0.7510355,0.6357183,-0.4329308,0.8551494,-0.1462621,-0.50586396,1.2006401,0.15975024,-0.5300395,0.9282992,1.4047706,-0.39656532,1.210665,-1.9261111
HCC95,0.68317086,-1.5919845,0.81994003,1.7629648,-2.137866,0.9215973,-0.9283786,1.2628125,0.03802038,0.6094658,-0.13825005,-0.5471784,1.1962298,1.246195,0.4084639,-3.2979512,-0.23355012,0.39451638,-1.6108513,-0.27488032,-1.1100188,-0.25581232,0.48841777,-0.09681453,0.79101837,-1.7841204,0.45591572,0.9804881,0.25126368,-0.08109698,-0.500445,-0.43011722,-0.07175329,0.5780369,1.1563934,-1.4797139,0.6592384,-2.9208639,-0.6879288,-0.47932538,0.17323174,-0.49433014,0.6125385,-1.1805869,-0.43039197,1.5375857,1.097631,-0.8106393,-1.2859162
AsPC-1,-0.57906616,1.4006962,0.5729275,-0.0014608875,2.9785624,-0.83849233,-0.21807274,2.7666807,-0.9036418,-0.87849903,-0.5522543,1.1171994,1.1544876,-3.381379,1.3601189,-0.87659043,1.0587082,0.8553257,-0.5448136,0.34629437,1.7526668,-0.6952548,1.4045514,-0.5836574,0.58188426,1.2619073,2.3902295,-0.77762336,-0.6219455,1.6753054,0.19470428,-1.3515654,1.776701,1.3030964,-3.0325534,-1.11479,1.824488,2.1312404,1.8175186,-0.1170794,-0.7370415,1.4558799,2.0237374,-0.07432097,0.3315077,0.7168344,-0.8554541,-1.7878292,-0.5895167
KNS-62,-1.0345623,0.1771321,1.7561669,0.5301655,-0.10350189,0.084385596,0.018569566,1.5365754,2.00214,-0.18920133,-0.40396348,-1.9973446,-0.56143403,-0.7350211,1.4821895,-1.1520132,1.8293343,-0.19531609,0.38137728,-1.3315005,-0.20723185,-0.7040998,0.742242,1.5389622,0.81691515,-0.54674345,1.4742359,0.3343773,0.41545036,0.29366678,-0.28608522,-0.89512396,1.7608801,-1.978279,0.063963406,0.019038599,0.62768275,-1.7377406,-0.32602498,-0.53026897,-0.5629099,0.5298553,0.53560245,-0.6451472,0.12923239,2.711653,-0.32369202,-1.3759174,0.35422447
LN-308,1.6713732,-0.9467247,-1.5227764,-0.7467748,-0.64985025,-0.08735171,1.0273939,0.43352807,-0.5416927,-1.173103,-0.7316191,-1.0093012,-0.35666534,2.2034335,1.2821548,0.75346583,-0.801307,0.45525768,1.3478276,-1.4434645,1.0223875,0.5430726,0.20268682,-1.2545578,0.6611887,2.8276143,0.893325,-1.5510867,-0.42473844,0.30467045,-0.53520805,0.6762887,-1.9915805,0.64974713,2.3176458,-3.3314893,2.6921773,0.0010689646,-1.2408255,-0.7591275,0.42416978,-1.0030931,-0.99919987,0.8989325,-2.025678,-1.1768942,0.66184855,-1.5031537,0.2883381
MOLM-6,-0.87687004,1.1524366,-0.89450765,-1.9686363,-1.3320584,-2.107042,-0.4648922,0.9535085,0.6744637,1.8913661,0.9484616,0.6349362,0.80310607,1.2093159,0.14685756,1.7013248,-1.0948459,1.2554516,2.3698235,-0.21817857,-0.8919844,2.718098,-0.6751096,-0.028551832,-1.8500772,0.43802485,-0.064062335,-0.16153334,0.8058919,-1.1748952,-0.19454187,0.8193765,0.9047721,-0.0469898,1.9350975,-0.035301957,-1.1132644,-0.27407885,0.8596888,0.15184733,-0.008101935,-0.15289032,2.6732967,-0.3581675,1.8334521,-0.49456584,-1.6074145,0.2235802,1.0454379
NCI-H661,1.7074667,-0.7438723,-0.0851488,1.062152,1.6736803,-0.9126942,0.691029,-0.9145366,-1.7270225,0.31175837,0.107531905,1.3646661,-0.25973266,3.2982473,-0.66782534,-0.007306505,-0.97185224,-0.5896127,-2.027996,0.37596026,-0.72799915,-0.5529797,-1.8759205,-0.6941563,1.1852921,-0.16035837,-0.021412073,-0.3587825,0.9073272,-1.5140886,0.8273056,0.7380916,-0.85831106,0.8329189,-0.8214365,0.1898679,0.41586012,-0.8920674,-3.5154014,2.111517,0.99331796,0.10613116,-1.6741884,2.1263757,-0.9954514,-0.6211617,-0.2789123,0.8601831,-0.6267105
BDCM,-1.5891937,-0.24534324,1.2251493,-1.186457,1.4865319,-0.54133415,-0.44433603,0.66553855,2.1315591,1.5581561,2.2917175,-0.28625637,1.357966,-0.4697637,-0.9355238,0.39372346,-0.08721769,-0.5517359,1.683213,1.1681849,0.25213537,-0.15483755,-1.0846759,1.0850209,-1.7995738,3.0567813,0.57191914,0.51976126,-1.0170112,-1.1893911,0.15772578,1.5968184,1.2933741,-0.59148824,-0.7595903,2.3600461,-0.33464336,-1.1749295,-1.0538015,-0.20271914,0.91653866,-1.3259459,-2.2234206,1.7091831,0.92008525,0.3775338,0.46866986,0.5551633,1.4312605
COR-L88,0.6335658,-0.7262375,-0.6825548,0.5290903,-1.5676559,1.4551834,-0.9936794,-2.3685942,0.31840283,0.16426542,1.1966246,-1.1342732,0.43779987,2.3420994,1.3604412,-1.0125114,-1.6786594,-0.6579328,-0.22444946,1.2161367,1.6810085,0.07016342,0.002592272,-0.53237224,0.9949924,1.166278,-3.1137633,0.25377727,0.41002917,2.8280978,-2.6119008,1.4853004,-1.6338586,-0.7048231,0.020049602,-0.93115216,0.14675193,0.8280937,0.90310425,-0.41016552,-1.4145072,-2.1291258,-0.64692396,-3.6468601,0.7752037,0.8471037,1.5217475,-0.077093914,-1.8395692
HPAC,-1.7222655,1.1800474,0.5903838,-0.15964696,2.2202277,1.1130599,-0.057052247,2.2779222,-1.6375365,-1.7058783,-0.9041224,-0.41530553,1.9558208,-1.565408,-0.29540908,-0.23787194,1.3999459,-1.5052828,0.064818405,0.39504713,0.5214552,-0.6961819,1.3226736,-1.4138881,0.6031781,-0.848243,1.0065721,-0.5228063,1.0006757,1.6684339,1.2760189,-1.7204462,2.2538383,1.7291801,-0.60278857,0.70357376,-1.4688817,0.38576442,1.8607506,2.2457676,-0.30494022,1.8511245,1.9980514,-0.31857213,0.48079464,-0.1771234,1.3435003,-1.7805295,-1.4710444
JeKo-1,-0.9282214,1.3701546,-0.6140762,-1.2048445,0.122082904,-0.5247119,-0.005785999,0.27287835,0.8636101,2.5255919,-0.19287588,0.043655716,1.8082349,0.6597693,1.9695323,1.0265704,-0.69065845,0.9124837,-0.33022037,0.23221046,0.7840188,0.5127829,1.7572507,-0.27745965,1.0171492,2.0062623,-0.6789438,-1.1473007,-1.9406668,-1.9462714,-1.0100411,0.93372023,-0.43207148,0.43679124,-0.39607796,0.95200324,2.4514325,-0.8717335,-1.3371742,-1.6820875,1.6871358,-2.6102037,-0.56215036,2.4566114,0.53717804,-0.77611154,1.0546219,-0.3707606,1.1910597
GaMG,0.3745395,-1.1675876,0.88883454,0.81287956,-0.14939927,-0.35583156,-0.77115023,-0.66036433,1.1246394,-0.5276014,-0.8138323,-0.020109892,-0.61554086,-1.6721157,-1.7213864,-1.0930426,0.8226212,-0.41775504,-1.3645152,1.853531,0.36508906,0.995372,-1.7966375,-0.42610493,-1.5343084,-0.095770985,-0.22052708,-1.2364224,0.0012638746,-0.9652231,1.9683149,1.1605786,0.6999146,0.16205193,-0.45117745,-0.30291697,1.2642505,1.0610003,-1.6755924,-0.184176,-0.14566654,0.43708247,-1.553493,0.11416344,0.3955987,0.85205984,-0.17219728,-1.3719572,1.7702992
Mel Ho,-1.0444326,0.5844102,0.5581109,-0.9071688,0.8595085,0.42458528,0.13719785,-0.2703619,-0.001935551,-0.19100145,-0.2660493,-1.5284653,-3.9124358,-0.75165915,-0.090895854,-1.6334034,0.6253852,-1.0902025,0.72516936,-0.2528422,1.4095953,-0.3044456,-0.38530537,-2.0643845,-0.057643794,1.2587575,-2.0601363,0.37273115,-0.23476075,-1.8169403,0.5806458,-1.1397394,0.8102345,0.2821372,-0.20886886,0.053951725,-0.26360005,-0.37396163,-0.29313007,2.022521,-0.14608875,-0.42815697,-1.0984347,0.30752486,-1.0435115,2.6276555,1.4711717,1.9749373,-0.080478
WM115,-1.6370844,-1.1758732,0.9829968,-1.1895235,0.24880272,-0.39272803,0.5481648,-0.0084058205,0.5262867,-0.8925256,-0.19553237,-1.8716232,-2.4248157,-0.32705334,0.15094453,-0.35949025,1.2201611,1.3266557,1.5951415,-1.2101309,-0.03518177,-1.5204614,-0.10493936,-0.88295126,-0.31266004,-0.4319339,-1.1342452,-0.76803046,0.2472919,-1.9320905,1.4866505,-0.2706833,2.4632676,0.0011339262,-2.3229175,-0.9359173,0.45475474,0.32110268,-0.27089253,-0.031473383,-0.5145911,1.5207335,-0.22490944,0.31830686,-2.5683727,-1.0322244,0.35493818,-2.1892896,1.2439206
JH-EsoAd1,1.431741,0.9096959,0.5279673,0.43320346,2.8158305,0.9845237,0.3715529,0.59507143,-0.3517423,0.24005078,-0.8971834,-0.6216664,0.74756503,3.0415547,0.3083714,0.65013295,1.3656404,-0.1877376,2.1037662,0.16077802,-0.9200839,0.24167864,-0.516055,0.018915761,1.1127936,1.3064722,2.1801057,-2.217761,2.1403747,1.4141697,-0.4872523,-0.98182535,-2.6060438,1.065506,1.6711279,-0.73533213,1.2564673,1.0431252,-0.9358282,-0.85906756,0.37670794,-1.0422989,1.1910189,-1.1766818,1.6980155,0.62970537,1.4108565,-0.23195063,0.02478715
SNU-308,0.70378757,-1.0239743,2.3227227,-0.33065367,-0.06390054,1.5478127,-1.7349422,1.148337,0.90975857,0.48877314,-1.4595248,-0.2136015,0.2038291,0.7788129,1.6789867,-1.220029,0.9516496,-0.32679337,-0.4815532,-1.1471021,-1.2980527,-0.42070243,-0.5369988,2.34459,-0.78274804,-0.8898059,1.6111599,-0.07540738,-0.37324288,0.39034048,-0.3445967,-0.8041162,1.0728581,0.43034893,0.69783443,-0.33478144,0.22908229,-1.5059701,-0.8031029,-0.89283496,-0.553366,1.013162,1.2125567,-2.414199,1.0779727,1.441287,1.0625463,-0.011137588,-1.6190155
SK-HEP-1,0.730497,-0.45251742,0.44856244,1.1759708,1.4388263,-1.1883146,-0.67331713,-1.8647841,-0.88691854,0.7211202,-2.4757824,0.04711526,1.703552,0.0055609643,-1.5460106,-2.391977,1.2263482,-0.06062212,-1.0215645,2.1238897,-1.4821252,0.43260926,0.008340141,-1.3568864,0.46072245,0.11357025,-0.38169935,-1.1247504,0.969896,-0.8843068,0.7852068,0.3448961,-1.2204725,0.49417505,-1.4752163,-1.2748435,-1.1633912,-1.0431318,-1.4955212,0.45657003,0.45378235,-0.9684542,-0.7141993,0.37457424,1.6133851,-0.0040470893,-0.11341421,-0.564979,2.38565
LN-382,-0.92860764,-2.0474799,0.917366,-0.26744205,0.518805,-1.6771348,2.0077975,1.2657132,1.1961986,-1.7927397,0.63839453,-0.6003821,-0.4784905,0.24939369,1.6622328,0.2575086,-1.1388288,1.2092513,1.095512,-0.074480996,0.8493121,-0.7970862,-0.6006227,-1.2894334,-0.7764224,1.4307486,0.4347387,-2.8960524,-0.5798605,0.90415615,0.020823874,0.7836633,-0.96173155,0.0410299,2.3919768,-1.7251664,2.133566,-0.47320738,-0.9407404,-2.7446141,-0.791822,1.8640988,-0.025086625,0.46028394,-1.2660803,-0.9900887,-1.2937124,-0.01964681,1.3524376
TALL-1 [Human adult T-ALL],-2.8066645,2.1063156,-2.0444536,1.0173616,0.91998374,0.7861875,0.09893067,0.21217829,-1.2342563,1.040876,1.7754825,-0.99163216,0.14633393,-0.0867859,-0.9378135,2.3310893,-0.7098771,-0.5974591,-1.1075153,1.2225688,-0.2770984,-0.21199962,-0.57931983,-1.2975544,1.3399804,0.059136648,0.079091385,0.11627441,-1.2580122,-1.3227127,0.9555075,-0.65887445,2.1190703,-0.3575206,2.5379412,2.1966054,0.68433636,-0.40241566,0.07926082,-0.110536605,-0.18397872,0.34394044,0.007957354,-1.5397432,1.2814496,-0.27614635,0.5709259,2.1761024,0.5351407
MUTZ-5,-3.1079888,0.723387,-1.9667367,0.23165068,-1.6742997,-0.18792999,1.5239078,1.8733438,1.4689058,1.5273173,2.1026256,-0.15268765,1.1172833,0.6381826,0.92086244,1.4220331,-0.60090864,1.3216263,0.2955652,-0.3701998,-1.2090715,0.19710012,-0.13897042,-2.2541487,0.68071735,1.1323721,-1.0506598,-0.82366407,-0.033492964,0.1710208,0.22196183,0.96986055,-0.20090705,0.89395195,0.714216,0.12456863,-0.061518975,-0.60025746,0.64220154,-0.044626772,0.8831987,-1.9356097,-0.05580599,-0.6748978,0.26270318,-0.50433606,0.984606,-0.018071156,1.1651552
HCC2935,0.5301395,-1.4710027,2.2013128,-0.15906394,0.077344425,2.0255506,-0.49892008,3.3209422,1.218554,-2.0170465,0.6318356,0.16879196,1.4153359,2.3236816,-1.7027128,-0.7319132,0.088136226,1.3730413,2.260835,-0.56136346,-0.3101456,-0.0864907,-1.8326081,0.85692227,-3.6257384,0.7347817,-0.0025128424,0.35963264,1.1760331,2.0254543,-0.78008616,-1.2522621,1.9272021,2.596965,0.717853,2.2385025,-0.05809223,1.6349161,-0.2518819,-1.0518342,-1.0295178,-1.8021464,1.2378123,1.6331927,-0.5754435,-0.7944566,2.1980846,-1.2745017,-3.2001767
REC-1,-0.71976554,1.0066829,0.040754825,-0.25687683,1.4703736,0.2374026,-0.9976489,0.42350805,1.1562316,2.5798287,0.02988723,0.90386087,1.2865889,0.022770733,-0.17595878,0.30773252,0.29449552,0.7207833,-0.59238213,0.3330266,0.25130564,-0.003926932,0.060670678,0.043252498,-0.8024598,2.0391567,-0.326628,-0.069342315,-1.6764292,-2.429138,-0.8865649,1.1351799,0.8038682,0.6893974,-0.32765764,1.7015802,0.79142743,-0.35540277,-1.244307,-0.7161425,1.808755,-2.8232038,-1.8943259,2.0815115,1.0266417,0.06011285,0.6338835,1.0571562,0.9958655
SCLC-21H,0.14847027,1.0335772,0.2785409,0.48413992,-0.2659782,-0.57239884,-1.7000027,-2.7525632,-0.28369945,-0.14657304,1.7557204,-2.1397514,1.6122129,-0.43143365,2.8800209,-0.84099483,-0.55536133,-0.18887274,-0.5151873,1.0222524,-0.07104337,0.1795231,0.3077599,-1.8529058,1.3172204,-0.4744678,-1.8454508,0.53167427,-0.42499703,0.14550382,-1.9209831,2.9147549,0.8464506,-0.79203534,0.043663237,1.2737262,-2.1503625,1.141283,-0.15098974,0.2520423,-0.04518917,0.15257277,-2.0561032,-1.655401,0.65126544,2.19067,-1.0568258,-0.585621,-1.8137066
HCT 116,0.12717307,0.32621866,-0.53752977,-0.366734,1.4339715,0.0632342,0.03671562,-1.2582744,0.5063193,-1.0365493,-0.25590134,0.80396545,-0.62415653,2.6463602,0.89359784,1.2123555,2.0669153,-2.4080415,-0.7297534,0.18880063,-1.3640729,-0.5712626,1.1164552,0.92805696,0.935323,0.51142776,1.0547523,1.6629605,0.9506449,-1.6912239,-1.378284,-0.41544706,0.06616674,-1.4546355,-1.2809838,-0.20066515,-0.07797034,-0.53188074,1.0134557,0.33659968,-1.6653557,0.9467371,-0.26106453,-0.056766197,1.487397,0.27240622,1.3576249,-0.43267384,0.739835
Hs 895.T,0.29325736,0.014067847,1.1363186,-1.1213866,1.315878,-1.4116689,0.7737644,-1.3919327,-1.0465572,-1.8366033,0.7283419,-0.2830749,0.37705672,-0.22956687,-0.112359986,-1.3412225,-0.5638093,1.0405143,0.18166363,-0.7601867,0.21502054,-0.5078275,-0.93550473,-0.68838674,0.5364492,0.39357543,0.7134365,-0.53797776,0.0039705858,0.1785062,1.1611683,-0.64371806,-1.7265334,0.42164767,-1.1719507,0.7095312,-1.695095,-0.98999554,-1.2774496,-0.546269,-1.3457178,1.5762521,-0.632516,0.4724306,0.7245689,-0.69187087,-0.81266296,1.350347,2.0325522
KNS-81-FD,1.3807129,-2.674207,0.12676612,-0.07218105,-0.89499366,-0.77769125,-0.025936905,-0.63760984,-1.8306618,0.0986126,0.8143281,0.12636346,1.5039445,0.9868688,-0.82130986,-0.21749921,0.5482651,1.8444936,-0.94187295,-1.1835452,-0.28325045,-0.9683162,-1.3676462,0.4934985,0.5325396,-0.67430085,-0.6483325,0.53653944,-0.15762833,0.7505743,2.081456,2.191496,-1.2830389,0.98255354,-0.44500795,-0.5766041,-0.310358,0.68437696,-1.1807929,-0.90311956,-0.50151414,-0.3467471,-0.82524973,-0.047507986,-1.275301,-1.1284597,-2.2278943,-2.3965297,2.1923115
NCI-H2196,0.8405818,-2.3234515,0.122256875,0.51645917,-0.73516375,1.0854267,1.3648249,-3.0677974,0.6880202,-0.7696711,1.5674185,-0.19097742,0.22586967,1.5076859,2.3647358,1.6555254,-1.1457329,0.49417633,0.111668415,0.8102168,1.3299487,-0.2780127,-0.6080173,0.18919402,-1.3484379,0.2287773,-2.3309875,-0.32029477,-0.47426897,1.4290222,-1.5092614,3.5579488,-0.54112923,-0.38573748,0.6408847,0.89614683,1.1617801,2.2047415,1.5605153,-0.94052744,0.58209187,-0.91809016,-0.15991046,-1.8184566,-0.22615533,0.68372947,0.8656331,-0.8505971,-1.3840107
SK-N-BE(2),-0.57898813,1.3604829,0.8203852,0.7601148,1.3466223,0.30721864,-1.877946,-1.4864967,-0.9315943,-1.2985567,0.92161804,-1.0802202,2.116591,-0.25616497,0.99639684,-0.34711653,-0.9154596,-0.3181197,1.1042666,0.29775742,2.152375,-0.27305636,0.96905935,-0.15212193,1.0898671,-0.2617772,0.7334639,-1.0597632,-1.5410726,-0.16230641,-1.2065057,1.2914393,3.0805626,-1.0919795,-0.9707658,-0.02311581,-1.502462,-2.3672497,0.008234518,1.4519976,-0.4379389,3.0738773,-0.8605954,-0.33986333,-1.3346455,-1.5134296,-0.54369974,-1.0418302,1.3277347
MOLP-8,-2.1630652,2.3769755,0.28864712,-0.0061513577,1.2024488,0.45604473,0.28658274,0.24777642,-1.63828,-0.21316123,3.8444657,-0.5746213,1.1378288,-1.2867999,-1.3593295,-2.373148,-0.21960182,-0.2960304,0.07028098,0.56001085,-2.2447054,-1.8410246,1.3398099,-2.2757518,1.9625959,1.2438203,-1.4353355,2.417728,0.80473053,-0.445851,0.38834545,-0.84674656,1.402541,1.4492197,-0.91644883,-0.35615695,-0.66124296,-2.1291294,0.09829163,0.8429998,1.8061192,-0.8010991,-0.6376027,1.6668137,-0.83131045,-1.5924213,-1.1588427,1.630815,-2.2113426
ES-2,-0.22303012,0.33002687,1.0464948,0.86489177,-0.48095557,-0.561516,-1.2093962,-1.7521818,1.0114688,0.7788258,0.13961235,-1.2292356,-1.6125174,-0.5887962,-1.9565407,-1.047922,1.9683543,0.078844585,-0.4691547,0.8022756,0.04000755,-0.007090061,0.9557922,-0.7554512,0.42951962,0.24979897,0.03214518,0.12036066,0.52657545,-0.86605716,1.366684,-0.61611784,-0.52084166,-1.026062,-1.9850538,-0.8022262,0.64998955,-1.1473556,-1.4083622,0.08154072,-0.60305,-0.25138515,-1.7175812,0.03350256,2.637982,1.1418555,-0.68181795,-0.2867796,3.3259046
SNU-1196,-0.16865142,0.077816874,-1.1677508,-0.41507018,2.179609,0.22487159,0.7947867,1.0988631,0.08597407,-0.016054906,-0.779111,0.6681089,-0.27057433,2.362461,0.940818,1.1328381,2.1366558,-1.3122824,-0.72856885,0.06877137,0.12652194,-1.1633863,1.6944458,0.36883488,0.17489503,1.594152,1.6522555,-1.7497464,1.0847394,0.7710651,-0.6757228,-1.4000517,-0.018941652,-0.575897,-0.031828746,-1.5215877,1.6200061,1.652239,-0.2548379,0.43573862,0.07226886,-0.22365884,-0.32600075,-2.003015,1.5354036,0.14776312,1.6133279,-1.2761123,-0.90009207
BICR 22,1.3811154,-1.4852793,1.4166627,1.2680361,-1.0781802,1.2597696,-0.7019546,2.5557017,2.1899602,1.3796974,-0.85491914,0.6223747,-0.4200977,-1.4912372,1.1265388,-2.3817708,-0.07753408,1.6032586,1.2251723,-1.0249045,-2.093551,0.988445,-0.38957572,1.7784505,-0.30482158,-0.8103125,1.3225296,-0.544669,-1.562551,1.306366,0.24743927,-2.4028132,-1.3424556,1.7272553,2.3741024,-0.45637253,-0.5812834,0.6553543,0.6314054,-1.7107242,1.356741,0.14809483,2.320103,-2.3250096,-0.6171984,0.762279,2.2346926,0.91217315,-2.9912686
HEC-265,1.4580107,0.22850133,-1.4338697,0.53736633,1.3202871,0.4261546,0.7148459,0.6427981,-0.60709584,0.71315205,-0.9087982,0.65386504,-0.8634482,0.8725125,-0.21970291,1.058017,3.4252725,-3.167501,0.6909351,-1.276939,-0.3884424,0.3411611,-1.1152331,0.24430636,1.4516612,1.5030732,0.27589554,1.0968674,0.3123921,1.0336723,0.7612528,0.04580252,-0.9241905,-2.3804245,0.06645105,0.43226647,-1.8066949,0.42331925,0.9531935,1.6629525,-0.79561925,-1.7472436,-1.665263,-0.17041297,0.39534852,1.1039128,0.21248049,-0.2612153,1.1355346
A2058,-1.9829601,-0.025787126,-0.5014247,-1.6347393,0.38546783,0.6051252,0.59322923,-0.35927698,-0.9781182,-0.97232777,-1.287201,-0.8710572,-2.692053,-0.4770214,-0.25233373,0.34991473,1.2683434,0.036421116,0.0067484416,-1.657794,-0.20437825,0.3245349,0.44811445,-0.6085532,-0.6660615,-0.018041175,-0.82302094,0.74362105,0.3822545,-1.9902258,0.023714684,0.42582163,2.4232824,-1.0877923,-1.0914345,-1.6258576,-0.3146282,-1.2826298,-0.3293497,1.5746047,-1.0880727,0.6204838,-0.8741009,-0.261409,-0.8272455,1.5956924,1.1125395,-1.5759927,2.2818117
Mono-Mac-6,-0.52337337,0.42297482,-0.37545213,-0.29541788,-0.5420002,-2.302137,-0.6300525,-0.02184895,2.1758916,1.9739412,-0.7189785,1.0096945,-0.64155185,-0.23769528,-0.63169754,-0.055509422,-2.3943589,0.9175282,-0.47393036,0.34936464,-0.7188252,2.003346,1.4597764,-0.35428894,-3.2114906,0.22500323,-1.1809458,-0.7110812,0.22984481,-0.92473906,0.07720004,1.6384281,1.7884529,0.5438386,1.4747018,-0.054033276,-0.5381251,-1.0000302,-0.6293972,0.7066979,-0.21981652,0.37408257,1.8781297,-0.33401477,0.34622037,-0.20908777,-0.84441566,1.1679925,0.67177016
HTK-,-0.80803096,0.83580697,-1.2626039,0.733063,-0.06389676,-1.5853956,1.0439001,-0.10593641,1.3619796,-0.38931808,0.42959216,-1.7945473,-1.778825,0.26864326,-0.43961143,-0.21742013,0.6917286,-0.0064651854,-2.1002843,-1.0024801,-0.66712236,0.30680916,2.0111792,-1.4434131,1.4518448,0.53883994,1.111658,0.100818634,1.6187397,-1.8791993,-0.23326935,-0.28939065,1.0519515,-1.7957945,-0.7340194,-1.4447503,0.18523373,-0.6383783,-2.3258035,0.09246111,0.05264745,1.7215462,-1.8645661,-0.82763743,1.9089292,2.0496566,0.0043586586,-1.1224144,1.7291929
SH-10-TC,-0.9701318,1.062175,-2.0552301,-0.57382876,1.890303,-1.0056413,0.70831597,-0.9794826,0.94570965,-1.0081007,-0.94324446,0.38117954,-1.7699248,-1.8877352,-0.9655209,0.9034197,0.77657276,-1.0726982,-1.6507657,1.5000126,0.22109139,-0.8993463,1.2861848,-0.35437024,0.79478025,0.808432,1.6035582,-0.5996376,0.5646399,-0.46445465,0.94991153,0.00082793087,-1.4120765,-0.8195934,0.0956679,-1.0110233,1.3258996,1.6048607,0.103576444,1.7832274,-1.302977,1.0352197,-0.084673196,-1.0102504,-0.52434534,0.86847,-0.86563456,-0.5223988,2.1463916
