,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25
SW1783,0.84941703,-1.9604079,-1.0129074,-0.35477063,0.51922506,-1.4459465,2.4944112,0.28153467,2.6550314,2.7637706,1.8018873,-0.6184079,-1.5293086,-0.43763703,-0.6903429,-1.0965513,-2.7494874,-0.62315875,1.2838237,3.1095946,1.3141634,-2.621161,2.4120548,0.52774084,-1.0864818,0.6968024
Hs 870.T,0.30041337,-2.6719146,-1.4290465,-0.80905294,1.8682126,-2.0849965,3.7019687,1.2068375,3.6793177,4.060041,2.373469,-0.4912574,-1.7007068,-0.09781951,-0.40000674,-1.244851,-4.362548,-1.0864447,1.2680805,3.9736924,1.5572622,-3.9977052,4.1153646,0.8037754,-1.5635047,1.4933683
NCI-H446,0.5871987,-0.5215534,3.018626,0.18250573,-3.0877657,0.35146913,-0.85084474,-2.4883952,-1.9731646,-3.475504,-0.32881773,-0.31024727,-0.85928166,-1.6111845,-1.5547049,0.30710965,1.3472707,1.3086238,0.8096372,-1.3032843,0.3458554,2.1794026,-2.9796052,-1.0301663,-2.3196502,-2.1017978
KMS-26,0.35959658,0.19897364,-0.19786751,-0.77182996,0.18346877,1.5867034,-1.0482961,0.5304028,-1.2250057,-0.42938182,-0.3667295,0.6321024,0.7760276,-1.0223515,1.2980572,0.9504068,0.24060518,0.8246729,-0.72810197,-1.1190664,-0.4466017,0.50152576,-1.5846901,1.939203,-1.0285597,-0.04727579
AN3-CA,0.053693805,-0.5874476,-0.17529815,-0.35795483,-0.20789495,-0.158693,0.2154781,-0.5478091,0.19621962,-0.0830716,0.15332757,-0.120113075,-0.11224408,-0.5833174,-0.18124172,-0.13946944,-0.20939223,0.06041641,0.4258419,0.25283283,0.40238315,0.16010417,-0.107757874,0.22613563,-0.8669501,-0.039904952
HT,-0.025484871,0.20288818,-0.16255793,-0.6276778,-0.17373376,1.8816777,-1.1089855,-0.011937516,-2.3424156,-0.32154974,-1.4010489,1.4054412,1.464154,-1.6439267,2.2023377,2.0835247,0.43998343,1.206929,-1.2077961,-0.76615995,-0.79932344,1.2292159,-3.0345004,4.0893126,-2.899943,-0.03672632
SK-LU-1,0.3238661,-0.87537503,-0.6681231,0.11786495,0.29607454,-0.66684794,1.402658,0.41910216,1.3607588,1.3265005,0.7160199,-0.34731394,-0.5763988,-0.23957786,-0.15220211,-0.30445448,-1.2624077,-0.40670273,0.7071524,1.7911674,0.67011017,-1.3631226,1.1703639,0.4320837,-0.69260776,0.4642984
Hs 578T,0.56908536,-2.6639786,-1.3740903,-0.9491004,1.759367,-2.122582,3.887137,1.328567,3.919899,4.4595337,2.8653157,-0.5897196,-2.2350953,0.064896375,-0.73515433,-1.4692887,-4.6206546,-1.210467,1.6194391,4.157769,1.540504,-4.4434695,4.5614676,0.7538421,-1.3673502,1.392107
KMBC-2,0.044592563,0.4079526,-0.33896583,0.34489334,0.027372492,0.36787197,-1.045179,0.3140249,-0.4367561,0.120604284,0.14335656,-0.23782587,0.08494263,0.5844885,0.6069751,0.15330224,0.33922547,-0.36226675,0.5393949,-0.7716643,-0.18194707,0.41865197,-0.33308014,0.57254076,0.030185957,-0.02924531
Hs 274.T,0.5807828,-3.1333637,-1.6616901,-1.075605,2.4759603,-2.73085,4.5190673,1.7191464,4.708249,5.0032053,3.2697368,-0.50273544,-2.3391128,0.20289126,-0.5387029,-1.6248691,-5.7916455,-1.4580089,1.8100188,4.871489,1.7968547,-5.3248415,5.603795,0.7155439,-1.4325141,1.8988744
