,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
CGTH-W-1,-0.347306,-0.12434176,0.2320241,0.23304075,0.8481216,-0.29535443,1.3758559,-1.6683632,0.2941471,1.3126215,0.8468724,-0.24498108,-0.06072886,0.6303579,-1.4372277,0.78945947,-0.08951485,0.49581084,-1.3405154,0.17174351,-0.20079795,-0.3329746,1.4279827,0.42738777,-2.0872226,-0.45913652,-0.6731425,1.0078032,-0.41733488,0.31209257,-0.4122205,-2.9755523
Hs 281.T,1.2573112,0.77065563,0.6553215,-0.58917314,3.463962,0.2348904,3.8854506,-5.699107,0.88084143,3.1858082,1.9376624,-0.28030863,1.0059854,2.7174072,-3.5374408,3.5707536,0.6500876,0.5114701,-3.8309972,0.34028172,-0.76654255,-2.170152,2.4068367,0.69698936,-6.1465654,-1.2401319,-2.3062725,3.6445405,-0.5586041,0.8138317,-2.8053062,-8.417486
HTK-,-0.410069,-0.1151207,0.0920254,0.22319257,-0.041441828,-0.27717465,0.39393106,-0.17440984,0.095882714,0.498336,0.22956234,-0.009455182,-0.2976069,0.008882242,-0.5938124,-0.12572302,-0.06680538,0.30488247,-0.50428164,0.021221565,0.001586698,0.028739344,0.6142944,0.26491132,-0.504937,-0.13783568,-0.2251144,0.032510117,-0.21124476,0.064938925,0.06742445,-0.6607777
SU-DHL-5,-1.0928534,-0.87186295,-0.4524603,2.8243296,0.23374617,-1.4214896,-0.71947676,6.0725703,1.3695986,1.5519719,2.9874427,0.52974766,-0.13381386,-2.1600416,-3.55346,-2.4479723,-0.8387232,0.9504816,2.6537907,0.0795878,0.65656376,-0.24476156,3.035001,1.92914,0.63963544,0.5075118,2.8910716,-0.6950701,-1.067252,-0.338236,1.7942959,0.13826239
Ku812,-1.5629722,-0.16551068,0.46175277,3.1407409,-0.74779755,-1.54538,-1.5367923,5.3831034,0.1821545,1.999054,1.9702172,0.34405005,0.38941422,-1.3567591,-2.569997,-3.1941285,-0.2868011,-0.17942296,2.6294205,0.7217192,0.41567466,1.0104841,1.9666852,1.7813606,0.1260008,-0.12847921,3.2828543,-1.281977,-0.39321458,-0.2466099,1.6796011,1.3069109
MDA-MB-231,-0.20305385,0.05714914,0.19842096,0.09534933,0.35359475,-0.2302948,0.2862965,-0.67926615,0.23179242,0.19149813,0.46337757,-0.083865605,-0.2839368,0.22292112,-0.48802927,0.14245853,0.019744415,0.25262043,-0.5606126,0.18087469,-0.13792923,-0.030141212,0.48530984,0.24002188,-0.5387488,-0.09644333,-0.14226957,0.360779,-0.050510626,0.18000367,-0.18293835,-0.8644963
PE/CA-PJ41 (clone D2),0.64238226,0.15219748,0.42832696,-0.69455206,0.92027587,0.9759548,0.95064795,-2.216986,1.0185707,-0.69534683,0.6501892,-0.24366748,1.195098,0.66908205,-0.021375533,1.0523778,-0.13733381,0.3482547,-0.6201955,0.99765545,-0.3097031,-0.1433675,0.2922464,-0.095445424,-1.1288483,-0.30627814,-0.6778503,0.95275897,0.6749124,0.33855534,-0.8907602,-1.5370687
HEY A8,-0.16725354,0.020687604,0.10395861,0.040975075,0.1763488,-0.23744258,0.2850292,-0.3392973,0.2848029,0.6237732,0.16264789,0.07177188,-0.23393925,0.18553254,-0.67591584,-0.15459207,0.023745961,0.26054484,-0.48272508,0.030056467,-0.15955557,-0.100043975,0.48858196,0.33053374,-0.66889125,-0.10991863,-0.16290972,0.24343677,-0.17139916,0.06794821,-0.13170335,-0.7847645
NCI-H647,-0.13306399,0.25011078,0.3602298,0.028006654,0.05584199,-0.1161688,0.20164791,-0.3738182,0.293832,0.11502633,0.26364425,0.13411301,-0.07198875,-0.07526364,-0.34056127,0.021506712,0.089062646,0.33414105,-0.098416895,0.30766362,-0.15476288,0.33799258,0.2179262,0.35544536,-0.41101596,-0.19193558,0.24760649,0.39945126,0.29041037,0.11120827,0.024134625,-0.43899694
EFO-21,-0.028408283,0.1276476,0.43891734,-0.031288087,0.5181936,-0.108638585,0.07633967,-1.0634837,0.3881152,0.17709476,0.3924739,0.060779743,0.30205962,0.37401456,-0.23170294,0.4051848,-0.17217407,0.14990963,-0.36207575,0.16142666,-0.38358268,0.3017204,0.22212644,0.2976131,-0.8452627,-0.39695525,-0.21600014,0.53930706,0.24627694,0.38600287,-0.37014285,-0.8890393
T98G,-0.3442319,-0.19345918,0.16222388,0.28982764,0.65393645,-0.28456694,0.8832198,-1.0004327,0.23508745,0.7892002,0.6706878,-0.19858521,-0.29762098,0.37471843,-1.0345962,0.46723473,-0.09735398,0.4523606,-1.100463,0.2565367,-0.22849081,-0.1562638,1.254511,0.2749396,-1.4950306,-0.1478877,-0.26628238,0.6399019,-0.49654958,0.1343812,-0.08409554,-1.9874734
HL-60,-1.2700465,-0.44238368,0.52992696,4.0898633,-0.4474329,-1.8679303,-1.2859991,6.2005343,0.77811605,2.418673,2.251527,0.2550122,-0.19262485,-1.524394,-2.920524,-3.5451157,-0.97457623,0.26826578,2.8155317,0.71105075,0.30391827,0.73995036,2.3855963,1.9379864,-0.18155192,0.23820955,3.694504,-1.024321,-0.09727083,0.066685215,1.946233,1.1483308
Karpas-620,-1.1609749,-0.6700001,-0.22358549,2.9245865,-0.02083341,-1.0965196,-0.9134129,5.5907936,1.359113,1.3026348,2.613547,0.107329674,-0.039095815,-2.1388261,-2.9032376,-2.3771894,-0.9955814,0.5404915,2.5043163,0.2823232,0.8174874,0.1913937,2.5623045,1.837041,0.5338162,0.33699444,2.9510307,-0.63967675,-0.64315116,-0.44488963,2.0615454,0.20200121
MEC-1,-0.6639145,-1.0620576,-0.52281064,3.47824,0.6386275,-1.0999112,-0.8982963,6.174456,1.4673284,2.0175648,2.89404,0.15197441,-0.31413704,-2.3914607,-3.276074,-2.79204,-1.1397437,0.7187847,2.9127834,0.593222,0.45536625,0.018788524,3.107925,2.4763288,0.016913544,0.22875404,3.305911,-0.82788503,-0.5543602,-0.11819508,2.1108131,0.079879954
HMEL,1.6657095,0.54598814,0.7072079,-1.2926873,1.6867324,1.2745343,2.729378,-3.7848356,0.7233147,-0.3302154,1.4056883,-0.6909259,2.3157773,1.4462899,-0.7109283,2.4945786,1.0044132,0.15305102,-1.4283559,0.6595225,-0.4252084,-1.3319726,1.0730152,-0.10805532,-2.3770897,-0.9451184,-1.7290877,1.897344,0.6284166,0.08686137,-1.8128262,-3.8572428
Pfeiffer,-0.96326864,-0.8412478,-0.31683272,2.236957,0.2607802,-0.9908879,-0.9892002,4.888134,0.7914939,0.8943521,2.393397,0.30245903,-0.036795836,-1.5757426,-2.570227,-2.0883296,-0.6083446,0.79227513,2.4195352,-0.091626786,0.13916108,-0.086837254,2.3949745,1.4729085,0.78001106,0.4578801,2.087734,-0.79467845,-1.1029565,-0.54789245,1.4801311,0.40156776
RL95-2,-0.073819324,-0.23476419,0.6318027,-0.58059055,0.28969496,0.9520197,0.097716205,-1.236265,0.7130121,-1.5013258,0.72919285,-0.3215993,1.297624,-0.23312144,1.2069898,0.21805608,-0.59599525,0.24546264,0.3456553,0.69682884,-0.034141205,0.9926717,-0.059664436,0.10294606,0.055834826,-0.31737134,-0.22823417,0.6051789,0.6981495,0.2642011,-0.13912962,-0.18489367
NCI-H1568,-0.18055502,-0.3995436,0.352421,-0.547707,0.35762715,0.95543015,-0.28674236,-1.349695,0.56430805,-1.1178637,0.4765085,-0.36799037,0.9773018,0.27631176,0.6095093,0.19519973,-0.4514169,0.07057178,0.02450842,0.7257086,0.2521483,0.5860635,-0.14974043,-0.02920447,0.07698049,-0.32662618,-0.38502938,0.5538289,0.38951388,0.5859253,-0.32342437,0.22411595
SEM,-1.2428708,-0.5171153,-0.06778673,3.2576528,-0.47491258,-1.5458156,-1.2678958,5.4132667,0.75790316,1.6982179,2.1013987,0.1313695,-0.3233423,-1.781633,-2.8956907,-2.7162912,-0.67755085,0.35214633,2.2946732,0.14889047,0.68961704,0.16509935,2.4080405,1.5872641,0.7378973,0.15931475,2.9717717,-1.184846,-0.83827424,-0.15390767,1.6205322,0.9295782
SF172,0.30463284,0.034250252,0.8055682,-0.45611763,0.8952622,0.900014,0.42772925,-1.749659,1.0396832,-0.7316983,0.76683843,0.047816154,0.98297673,0.3286633,0.3745054,0.35389054,-0.46016818,-0.08175078,-0.124549866,1.0508996,-0.24253653,0.644244,-0.21485227,0.2634755,-0.7205447,-0.18775362,-0.31410688,0.776153,0.62788904,0.63905835,-0.5714766,-0.6290695
DMS 79,-1.3732604,-0.5007296,0.79525906,-1.2981869,-0.8433245,1.2886444,-0.63639474,-0.9966385,-0.66370076,-2.7949145,0.7344721,-1.0655667,1.824078,0.42637414,1.1788175,1.2982029,0.15324715,0.4555637,0.82074326,-1.0071298,-0.2238396,0.7087341,-0.8270886,-1.8772924,1.4642555,-0.83752066,-1.0034173,0.35851055,-1.0801,-0.087375276,-0.30254054,1.9002997
A101D,-0.4343103,-0.10940934,0.01451911,0.06628527,0.3570782,-0.09128219,0.65511405,-0.4579851,-0.048849106,0.4691729,0.5652792,-0.13085842,-0.1260287,0.08305475,-0.74372166,0.09211038,-0.21334742,0.021631327,-0.82017154,0.2097101,-0.24449885,0.21982732,0.77175856,0.29871568,-0.74884593,-0.37759468,-0.15481456,0.18203636,-0.38411504,0.1741213,-0.1239178,-1.0002928
PANC-1,-0.2516712,-0.081158035,0.04258325,0.090282366,-0.015742492,-0.13674691,0.08252262,-0.3338914,0.2486075,0.039079376,0.19969663,0.016423702,-0.1165221,0.041454315,-0.2293131,-0.11554321,-0.008514546,0.13884296,-0.22330178,0.05002012,0.09810695,0.039171174,0.23754449,0.1510851,-0.16937749,-0.026667405,-0.250777,0.036930434,0.089181215,0.09427157,-0.058038615,-0.19517235
ECC12,-1.2778143,-0.4707319,0.44939154,-0.69796735,-0.98785734,0.80874425,-1.0382466,-0.22693555,-0.94827396,-1.9485545,0.4027792,-1.0095713,0.9786732,0.33294985,0.40964457,0.844042,-0.0073372424,0.2908483,0.2957641,-1.4063,0.19915202,0.46812725,-0.60231483,-1.1588975,1.583515,-0.9833671,-0.4667605,-0.09817937,-1.1142776,-0.20557326,-0.3311135,2.2838898
CAL-33,0.3156776,-0.1850518,0.8766066,-0.60537326,0.74430096,1.6421218,0.89018726,-1.8566494,1.202348,-1.7162684,0.8820774,-0.3519035,1.5927342,-0.1695964,1.0084634,0.9278068,-0.66423094,0.13184908,0.22031821,1.3621101,-0.22478788,0.6164369,0.21441399,0.18826683,-0.7295952,-0.6128107,-0.1698752,0.92841184,1.0610535,0.47157788,-0.45324424,-1.015401
OS-RC-2,-0.0015782155,0.12962914,0.37064794,-0.09517893,1.0423743,-0.108541384,0.6623894,-2.3903272,0.5639774,0.74008745,0.4436196,0.16603407,-0.13899913,0.85525066,-0.8855178,1.0190876,-0.31333947,-0.016834639,-1.3700427,0.16744612,-0.40100902,-0.4586384,0.5225506,0.42320564,-2.1176655,-0.49780318,-0.63514143,1.1187925,-0.081784844,0.82987714,-0.88205004,-2.3273873
NCI-H226,0.062079422,0.15402675,0.22270834,0.21254338,0.48359984,-0.17548534,0.410138,-1.0233814,0.3311768,0.70059955,0.42605975,-0.12053376,-0.19760853,0.45754135,-0.9375533,0.5263964,0.09063794,0.34306577,-0.8620291,0.25448158,-0.33024868,-0.22098982,0.70933235,0.2986318,-1.1053464,-0.15940808,-0.36460665,0.5146257,-0.32757208,0.27072048,-0.52077466,-1.4922355
MKN1,-0.42742547,0.018224288,-0.13535279,-0.16291222,0.32005405,-0.11594287,0.38861778,-0.7220759,0.4781532,-0.20691496,0.26530388,-0.11114258,-0.04490527,0.0677928,-0.08443909,0.19485545,-0.0076384023,0.5742122,-0.4053625,0.22910011,0.03508341,0.101677395,0.43023807,-0.109321974,-0.30816898,-0.03742434,-0.24088582,0.27518028,0.2350213,0.112915605,-0.076418355,-0.723466
NCI-H2066,-0.8613726,-0.1262343,0.56588626,-0.43472123,-0.5781508,1.0038742,-0.7944561,-0.74213135,-0.52398694,-1.5774281,0.2777407,-0.62273395,0.85033524,0.5183473,0.44535476,0.70915073,-0.15145342,0.19601895,-0.021397315,-0.70290035,0.045874458,0.26608875,-0.88924694,-1.0374877,0.93440276,-0.6897965,-0.53594047,0.10066335,-0.7397062,-0.020021705,-0.45235166,1.7625773
NCI-H2122,0.15729685,-0.47461075,0.96751875,-0.41038096,0.004538998,0.88931495,-0.15328866,-0.48335975,-0.124907315,-1.5977126,0.8340832,-0.5747234,1.198133,-0.47745776,1.0314758,0.2156299,-0.3143279,-0.14366774,0.7590045,0.6155725,0.17776932,1.01818,-0.23344415,0.5701183,0.34644437,-0.60790825,0.23723575,0.4856984,0.20676771,-0.07934799,0.29091024,0.20638543
Hs 737.T,1.8036,1.2368333,0.91184694,-1.024743,4.50648,0.31925598,4.7576156,-7.3812814,0.9954763,3.3998568,2.3958945,-0.30253953,1.5163364,3.453894,-3.9292178,4.550891,0.91304207,0.41236922,-4.5048127,0.4640779,-1.1614298,-2.5648186,2.5234303,0.5876077,-7.3380466,-1.5499287,-2.757195,4.569958,-0.5088078,1.0575216,-3.5666971,-10.117224
ONS-76,-0.39023405,0.2013008,0.013609119,0.017261542,0.06857436,-0.06944303,0.5865977,-0.5751769,0.28967533,-0.07718443,0.23637728,-0.06835722,0.05798386,-0.019098056,-0.18484503,0.28241947,0.033225693,0.3090799,-0.42919356,0.072102614,-0.06405887,0.00061971694,0.4824564,0.005152896,-0.29705024,0.015961267,-0.18422452,0.21988802,0.14716135,-0.040045515,-0.07566521,-0.6406196
MDST8,-0.35811377,-0.1452044,0.104279235,0.20517837,0.53550905,-0.20926526,0.7650154,-0.9696032,0.241555,0.8601381,0.64481944,-0.08844551,-0.27882668,0.396462,-0.92535806,0.27215567,-0.072279036,0.42620865,-1.0364374,0.18560764,-0.124396294,-0.012434676,0.9893565,0.22045949,-1.2711328,-0.20797084,-0.36816257,0.41634983,-0.4993092,0.29129463,-0.24593718,-1.6110822
M059K,-0.070571765,0.1067256,0.10184683,0.11342776,1.2646412,-0.19246224,1.3707964,-2.0970557,0.44378003,1.39311,0.92413294,-0.20189026,-0.09930222,0.9738996,-1.8303552,1.2150365,0.0056700483,0.31611958,-1.7487077,0.18014748,-0.16047001,-0.6098936,1.5955808,0.3469436,-2.5725002,-0.34811315,-0.7769895,1.2265722,-0.60458755,0.37925163,-0.74592334,-3.3046007
SNU-1079,0.21047832,0.13433361,0.7533087,-0.2270595,1.2421247,0.5022504,0.22849217,-2.3195724,0.55088687,-0.06517837,0.31748727,0.122746766,0.577919,0.7069761,-0.20241097,0.91222906,-0.6197344,-0.31315932,-0.52151227,0.4009409,-0.41299117,0.2732234,-0.21620089,0.22965226,-1.5866413,-0.57054335,-0.60157114,0.7920246,0.22863385,1.1594092,-0.85786426,-1.0769902
KP-N-YN,-0.7292092,-0.059337907,0.5756691,-0.47410786,-0.3897848,0.7204628,1.1553115,-0.75122356,-0.59298986,-0.9768463,1.7519444,-0.78064287,1.9592319,1.0944556,-0.59210813,1.0744283,0.5085823,0.3699533,-0.39634418,-1.0145966,0.1615853,-0.1522781,0.77831316,-1.2559925,-0.107501,-1.2909459,-1.055552,0.09844965,-1.6566181,-0.5960369,-0.5635996,-0.116854
PK-45H,-0.257923,-0.012508471,0.10128029,0.12545082,0.2297689,-0.12323795,0.15924878,-0.6476911,0.3426326,0.015909057,0.30319655,-0.059656724,-0.2401629,0.04101749,-0.26534575,0.14124545,-0.1430174,0.21832563,-0.39105654,0.18792371,-0.08440079,0.0703729,0.3629709,0.23534158,-0.42979544,-0.12381619,-0.13279903,0.35541707,-0.0036361944,0.25838426,-0.17713703,-0.60103077
U-118MG,-0.2377551,0.012775846,0.48527527,0.19899105,1.2721633,-0.1627841,1.773774,-1.7928777,0.46845403,1.6998607,0.82690406,-0.1606771,-0.28839946,0.7963473,-1.86182,1.0702688,-0.034482062,0.40618864,-1.7382145,0.11952379,-0.28824577,-0.75367475,1.4070927,0.7518006,-2.7633674,-0.3814036,-0.7929429,1.2439957,-0.5481239,0.32474774,-0.67523724,-3.4750106
EWS-502,-0.66633236,0.14031625,0.023134097,0.17877607,0.5036172,-0.2517297,0.784191,-0.02960669,0.1790617,-0.11084957,0.8816074,0.09024361,0.3860434,0.3835989,-1.0197297,0.1007077,0.2836099,0.5043374,0.12633786,-0.5701789,-0.03868361,-0.7783292,0.53128684,-0.52199835,-0.15593655,-0.11274708,-0.43041444,-0.33217746,-0.7723805,-0.3143567,-0.19616781,0.029000793
Fu97,-0.4972346,-0.41860408,0.2423586,0.2522105,-0.2521023,-0.129362,-0.29028136,-0.6154474,-0.21973611,-0.19832447,0.56727034,-0.25330403,0.85000503,0.018093897,0.38956276,0.18312263,0.17779762,-0.23483925,0.2251104,0.2893387,-0.27978113,0.3786044,0.3961136,0.4199552,0.6378944,-0.84017545,0.31782755,0.21258868,0.15282343,-0.15501918,-0.02167229,6.3400716e-05
HEC-265,-0.2179894,-0.50766444,0.47410494,-0.04157331,-0.18732923,0.781208,-0.6757602,-0.31493556,-0.054290928,-0.7372804,0.742768,-0.46278217,0.7980041,-0.19759423,0.7379583,-0.22383273,-0.19562168,0.08511315,0.66920406,0.3927609,0.43950033,0.6373143,0.2509585,0.6289819,0.32727706,-0.7134598,-0.13631177,0.39983642,-0.1792221,0.38356742,-0.056572214,0.7720921
SNU-C1,-1.3877071,-2.3310785,1.8285146,0.7039354,-0.08197443,1.3683676,-1.8440667,0.6400689,-1.2452626,-2.6722672,0.85127634,-1.544476,1.1758152,-1.5698943,2.5412123,0.35116112,-1.1683654,-0.7231332,1.3814168,0.34031832,0.85213584,1.8778443,-0.959548,0.57956284,1.8234054,-1.0226966,0.83408785,0.03614656,-0.30192083,0.06561205,1.2447389,2.3643944
L-428,-0.7292114,-0.233356,0.01616072,1.8169152,0.4235026,-0.43537545,-0.3415008,3.1648498,0.6858562,0.7182201,1.672815,0.33425122,-0.37336484,-0.9903641,-1.665524,-1.4195665,-0.6499777,0.14468612,1.5478462,0.024510076,0.22742394,-0.0750186,1.1322402,1.0512843,0.28777945,0.5535646,1.4357738,-0.57178587,-0.3730867,-0.34345743,1.012776,0.2794306
F-36P,-0.96657896,-0.048670128,0.5768916,3.039068,-0.32376713,-1.4216908,-0.7201948,4.849145,0.06579611,2.6479328,2.1250072,0.3674858,0.63792205,-1.4091274,-2.6138391,-3.0430238,-0.25553846,-5.2303076e-06,2.3443668,1.0721344,0.11351247,0.9798941,2.2188685,2.1531408,-1.1783513,-0.75927335,2.8028219,-0.6467405,-0.5035381,-0.11707466,1.2815837,0.19935891
HCC1833,-1.60278,-1.2213079,0.9416418,-0.55425996,-1.1660054,1.5963638,-1.7053707,0.111834325,-1.4699135,-2.8705933,0.3163107,-1.6140726,1.4297702,-0.26544303,1.6935062,1.2807715,-0.39537978,-0.07907969,0.548705,-0.83991474,0.48425588,0.8325231,-1.2098864,-0.765899,2.2292771,-1.2966844,-0.36967257,0.5210102,-0.9306502,-0.076662466,0.32712922,2.864943
MDA-MB-435,-0.38092363,-0.15212941,0.045789793,0.089162305,0.33634454,-0.05309195,0.4482012,-0.3574143,-0.046555907,0.31232506,0.3919408,-0.22503677,-0.13127539,-0.05329782,-0.54039,-0.08471304,-0.27731603,0.012552787,-0.59486276,0.21984215,-0.21106192,0.32729703,0.5559889,0.30384028,-0.5900663,-0.34523457,-0.06009016,0.22493578,-0.47716537,0.112727515,-0.0027350783,-0.681987
NCI-H1793,-0.15436177,0.1902614,0.15554966,-0.05543372,0.7342564,0.051301412,0.3625198,-1.3228135,0.7174038,-0.118735276,0.31521,0.19330555,0.063061744,0.23545069,-0.18208972,0.27216452,-0.26051217,0.16174772,-0.36025992,0.46456525,-0.2450932,0.27515003,-0.040396385,-0.07264303,-0.71790767,0.046008214,-0.28584704,0.28320438,0.26637682,0.52299184,-0.33437,-0.55673844
Hs 255.T,1.8696493,1.2158351,0.9010727,-1.0253894,4.3084097,0.4868776,4.597842,-6.843334,0.66045773,3.0403223,2.1660573,-0.44910562,1.6145406,3.4310074,-3.7282634,4.4400034,1.1308005,0.28183553,-4.07856,0.2084056,-0.9183541,-2.5614178,2.3296378,0.41242936,-6.866929,-1.4593525,-2.700504,4.214625,-0.7302141,0.77206445,-3.6165135,-9.4704485
OVCAR-4,0.048824526,-0.09769913,0.59278005,-0.04217826,0.5432461,0.74405265,0.0333997,-1.5078334,0.59012574,-0.48099288,0.81121135,-0.122136004,0.98523104,0.3736083,-0.039129272,0.73239493,-0.26451892,-0.17359515,-0.19991602,0.62348306,0.102875575,0.4128677,0.5051311,0.36692482,-0.8103915,-0.48909497,-0.37761766,0.81778616,0.23340121,0.4676622,-0.6830678,-0.89388263
RT112/84,0.08906565,-0.39788708,0.49755967,-0.42300677,-0.30172893,0.9502262,0.03556875,-0.44914967,0.24102081,-1.402374,0.43716407,-0.4879234,0.9109588,-0.4343626,1.0019567,0.15150446,-0.43985426,-0.007184401,0.27634093,0.6365405,0.19221638,0.5020906,0.0977976,0.26432827,0.46202812,-0.46536538,0.08352462,0.34073776,0.20117775,0.066723324,0.12983984,0.28921846
ZR-75-30,-0.37755328,-1.4048095,0.85621643,-0.0744268,-0.296173,0.86035454,-0.84803176,-0.27647135,-1.1062888,-1.3495293,0.4855154,-1.1438522,1.2443211,-0.44312578,1.1394937,0.78306115,-0.1240681,-0.66421896,0.8945388,-0.15011035,0.6820474,0.98311675,-0.020248406,0.63127667,0.75420505,-1.2559478,-0.23312473,0.32620114,-0.56610996,0.20713782,0.05621391,0.79515207
EoL-1,-1.0770273,-0.5471279,0.39805797,4.4406624,-0.24865687,-1.6976067,-1.2364786,6.3452225,0.88745123,2.7382905,2.3589962,0.14745083,-0.29118818,-1.7569342,-3.302338,-3.4917629,-0.9780139,0.23000948,2.7698383,0.58442914,0.3545578,0.392742,2.7234116,2.2472851,-0.53603286,-0.001548517,3.6678102,-1.0510297,-0.2024001,0.020806795,1.8332703,0.71858686
Malme-3M,-0.30126402,0.03777621,0.092585444,0.0050214306,0.5927593,0.07615457,0.67700016,-0.5549972,-0.13115494,0.7154389,0.7006781,-0.16581002,0.20615198,-0.009425002,-0.9922127,0.15211847,-0.250553,-0.011586446,-0.8736206,-0.0068653394,-0.42725962,0.26643142,0.73911476,0.49983865,-1.0955418,-0.5742286,-0.19720405,0.1478931,-0.48411444,0.32678086,-0.17394681,-1.2201668
Hs 343.T,1.1785866,0.76265484,0.6649169,-0.55363053,3.3473928,0.10647669,3.7879953,-5.66603,0.8757087,3.0695386,1.8407738,-0.23013061,0.91621816,2.6316767,-3.4339685,3.4278793,0.4895453,0.4924073,-3.7294111,0.35902253,-0.7086162,-1.9194684,2.3049533,0.73637795,-6.023725,-1.1894109,-2.1603227,3.550321,-0.5125961,0.9109245,-2.6724968,-8.16018
MOTN-1,-0.8697002,-0.47311407,0.28002578,3.8213406,0.34028956,-1.4629349,-1.2706511,6.316023,1.1327412,2.4504495,2.642494,0.5788044,-0.47640827,-1.8531744,-3.070889,-3.5237832,-0.8824256,0.30763978,2.7485597,0.5294651,0.67516804,-0.061588205,2.376047,2.1759892,0.48737222,0.84448504,3.305181,-1.2388211,-0.38646528,-0.19946614,2.1108713,0.60105634
CL-34,-1.2495215,-2.2615476,1.9934983,0.76205313,-0.16348247,1.4581307,-2.0216944,0.6462183,-1.4970396,-2.7577705,0.73735803,-1.4804724,1.0923861,-1.6455653,2.6653287,0.34966147,-1.3112,-0.7821667,1.3829278,0.34725475,1.0085794,2.0951188,-1.1180743,0.75783217,1.6652476,-1.2093412,0.6993645,0.23105492,-0.46088535,0.18622832,1.2931768,2.6123297
NCI-H1703,-0.25135422,0.08246726,-0.06967065,0.027706642,0.11243268,-0.10580504,0.24072918,-0.54529345,0.26863754,0.16082457,0.31368017,0.12960404,-0.112623274,0.3344169,-0.5779969,-0.12802748,0.010802649,0.34319243,-0.43551573,0.036485225,0.046893265,-0.12530091,0.3612023,-0.03814324,-0.4022921,-0.09395783,-0.45253825,0.01906737,-0.24640165,0.10143761,-0.26436278,-0.12861988
SK-MEL-5,-0.37892753,0.02473509,0.019344494,0.05497614,0.36624578,0.06293737,0.34193617,-0.29092425,-0.18024416,0.19953081,0.5647455,-0.042808,0.12617685,0.017193811,-0.73786885,-0.049427863,-0.32759523,0.08117662,-0.4399498,-0.12793282,-0.36626545,0.3185992,0.3000977,0.2156348,-0.5976283,-0.41727242,-0.25859314,-0.09565915,-0.6014694,0.24625483,-0.0746028,-0.33526453
NCI-H1944,0.036820896,-0.03149023,0.34007332,-0.31499666,0.092277594,0.26149747,-0.18904752,-1.1158937,0.11943671,-0.45912254,0.123647496,-0.20122012,0.3540397,0.16907246,0.510452,0.31675738,-0.20340542,-0.105198205,-0.06565494,0.20474829,-0.24984899,0.22066504,-0.3389092,0.20683932,-0.3571773,-0.6175298,-0.24867293,0.2612359,0.09572229,0.16793717,-0.4440523,-0.11964545
SNU-245,-1.1890625,-2.5533757,1.977963,0.60069466,-0.13498424,1.5277479,-1.9835056,0.39430365,-1.2954712,-3.0625548,0.78942883,-1.6359824,1.5402399,-1.6722038,2.8341355,0.5256674,-1.4695177,-0.7063799,1.5153452,0.4882911,0.94413763,2.1843882,-0.92225456,0.78490865,1.923682,-1.2036654,0.7956601,0.21009664,-0.3686547,0.25365138,1.2668086,2.5746384
U-BLC1,-0.15676722,-0.34148085,0.6660528,-0.14573394,0.3310007,0.72252285,-0.24654184,-0.9429681,0.49721727,-0.83701605,0.53064156,-0.17142248,0.7127937,-0.01553804,0.52748793,0.30413795,-0.500644,-0.062400457,0.091155745,0.523109,-0.034167662,0.68876684,-0.23528132,0.21635842,-0.09608723,-0.3176555,0.11300982,0.45241517,0.30583438,0.54978484,-0.10060791,-0.025563266
OUMS-27,0.06860358,0.17272648,0.09890655,-0.2542985,1.4325049,-0.32454625,1.9699225,-3.1294274,0.6286424,1.8162336,1.0268165,-0.29762813,0.14677037,1.4720885,-1.9929252,1.6214607,0.21939924,0.7018158,-2.0516064,0.2107357,-0.4474302,-0.9594211,1.8346968,0.40648335,-2.9300923,-0.5431216,-1.0224288,1.9266535,-0.37072092,0.49049777,-1.2033812,-4.7296906
SW579,-0.21445149,-0.058839537,0.25467288,0.077824555,1.132536,-0.32044291,1.6960982,-2.4181333,0.46977007,1.629871,0.97563535,-0.2517243,-0.03217497,1.0742707,-1.7279744,1.198051,-0.033601895,0.65126425,-1.8001919,0.31139284,-0.47990447,-0.5785695,1.5290302,0.5554113,-2.5997322,-0.4738896,-0.8328798,1.5469431,-0.41657862,0.4852735,-0.7507334,-3.9268005
YD-38,0.5578084,-0.13895243,0.5022098,-0.41310847,0.2203503,1.0015386,0.30795112,-1.2395877,0.70132285,-0.99523807,0.6706825,-0.48020005,1.2293559,0.12673655,0.24577838,0.5725865,-0.24518241,0.34396833,-0.050390065,0.8692658,0.0028073117,0.30405912,0.23918577,0.28203857,-0.43441847,-0.46741056,-0.45165613,0.5817341,0.35944438,0.17521092,-0.44879878,-0.40087274
DB,-1.4102528,-0.78316176,-0.31621644,2.4053774,0.044004478,-1.5260537,-0.60931474,5.6916947,1.3427508,0.8914496,2.888731,0.3715057,0.017951246,-1.9365051,-2.9452405,-2.2314312,-0.6579169,1.0382897,2.6417913,0.0235778,0.73194385,-0.014550142,2.617337,1.4196789,1.1367583,0.63278186,2.710749,-0.8175328,-1.031107,-0.46196845,1.6401128,0.2672228
