,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
RMUG-S,0.03202668,-0.44079617,0.62420666,-0.47918856,0.24270263,0.9801183,-0.0038208272,-1.0116494,0.3787422,-1.20304,0.7630197,-0.5336246,1.1888812,-0.18180165,0.7770238,0.14640538,-0.35565192,-0.0016593374,0.34413344,0.8243983,-0.0034076124,0.7145257,0.13292511,0.34756252,0.18322827,-0.63245726,-0.13823569,0.6435251,0.2973156,0.40439638,-0.21252021,-0.07484616
HCC95,-0.13488303,0.1505957,0.055775665,-0.85678184,-0.00066071004,0.9406651,0.31893757,-1.2161947,0.7170316,-1.6274704,0.38106793,-0.36972243,1.0395967,0.097015895,1.0789127,0.5313732,-0.25651526,0.5858302,0.15214644,0.4356041,0.0419038,0.25516215,-0.40442625,-0.5384909,0.19098619,0.004825235,-0.5861733,0.6697797,0.6410997,-0.15488392,-0.1810225,0.15173328
Hs 746.T,-0.37904277,-0.06583895,0.19062108,0.17930295,0.4797216,-0.22434732,0.59288806,-0.6483817,0.42917737,0.6303382,0.34534818,0.031660363,-0.2943396,0.0749692,-0.7371613,0.08272309,-0.15415998,0.190135,-0.70936954,0.09561017,-0.15690023,0.030037776,0.72489893,0.31314301,-0.9170122,-0.09951888,-0.21663177,0.36575085,-0.23662396,0.21570505,-0.20874436,-1.2114875
LNCaP clone FGC,-1.2117097,-0.66225225,0.5483962,-0.18843572,-0.044485267,0.77844393,-1.0253714,-0.27411008,-0.72476065,-1.5803119,0.22603408,-0.62432206,0.5936012,-0.20989084,0.8544093,0.30165765,-0.14831416,-0.23136806,0.6911259,-0.2751464,0.1240872,0.7324934,-0.79728067,-0.3551912,0.79269767,-0.6980518,-0.3031211,0.105904,-0.5057537,0.30637154,0.10310267,1.4466281
RCC10RGB,0.46296045,0.319675,0.7010593,-0.47411364,1.8517556,0.09538824,0.8275418,-3.3057394,0.8004703,1.0433801,0.64073473,0.1517452,0.26942614,1.3846476,-1.1959584,1.4964308,-0.33219445,-0.21115242,-1.5734907,0.25160754,-0.5822835,-0.5481287,0.2532826,0.521139,-2.82406,-0.64979386,-1.0423726,1.699378,-0.14835887,1.2260239,-1.4948437,-3.0445478
HSC-3,0.562108,0.22624853,0.1261876,-0.38306284,0.13187751,0.47174075,0.496983,-1.0859745,0.6878691,-0.32703194,0.45635054,-0.1700046,0.61267126,0.3505719,-0.3725266,0.36852187,0.17877305,0.3282995,-0.49297592,0.52180284,0.04033184,-0.2874674,0.37969354,0.122683346,-0.60439366,-0.17903903,-0.58615243,0.46856916,0.3354579,-0.05709716,-0.54758096,-0.80227745
Hs 571.T,2.3402953,1.5470107,1.0869377,-1.2715933,4.8016114,0.5894998,5.31474,-7.9429374,0.8159302,3.544817,2.5766118,-0.29156965,1.8797528,3.9555821,-4.2232313,5.0351186,1.2275177,0.2870734,-4.7659364,0.48519465,-1.2824428,-2.969911,2.4834192,0.49945766,-7.935812,-1.7255808,-3.149544,4.8272614,-0.5548228,1.0240287,-4.1723866,-10.910134
Becker,-0.5615444,-0.19140181,0.09704471,0.20497027,0.68305904,-0.33191183,1.0458302,-1.417393,0.32769886,0.7425103,0.71597034,-0.13564137,-0.24805574,0.3680729,-1.0418212,0.5551025,-0.21807013,0.486603,-1.1860012,0.31393173,-0.19270287,0.0026044808,1.0657818,0.28516474,-1.5143028,-0.14529815,-0.5129358,0.7383219,-0.4154856,0.38029417,-0.13579048,-1.9947323
HEC-6,-0.27925643,-0.0806901,0.15051824,0.2939996,-0.029358078,0.30675817,-0.58293855,-0.51190037,0.07414018,-0.2861131,0.21134993,-0.18571368,0.14715932,-0.082132295,0.1487566,-0.2108549,-0.21867554,0.074384674,0.012381547,0.04769966,0.41424885,0.32125401,-0.21325672,0.17524996,-0.00086183846,-0.22175936,-0.37854883,0.017085984,-0.18368767,0.29422706,-0.16888928,0.6489515
LS513,-1.2335366,-2.018971,1.7751338,0.4913274,-0.09508298,1.2108119,-1.6932526,0.5172173,-1.3283827,-2.4601753,0.68241966,-1.3542125,1.0348283,-1.4243317,2.3976848,0.31369296,-1.1150395,-0.61931664,1.2677455,0.3044519,0.6737225,1.8310066,-1.0294129,0.55223405,1.6880589,-0.9837933,0.6452602,0.20613037,-0.47035232,0.042460866,1.0787479,2.1461554
A-204,-0.3600037,0.032397874,0.046864897,0.26290274,0.07383365,-0.31630456,0.7519217,-0.29158404,0.26666966,0.31490058,0.42301884,0.15400931,-0.160799,0.035074666,-0.8313042,-0.17776614,-0.17651616,0.3811449,-0.28425255,-0.06048084,0.010974437,-0.083537854,0.6620579,0.13276128,-0.72311366,-0.05773795,-0.32045513,0.119021654,-0.30844212,0.08593255,-0.008931264,-0.65012014
NCI-H2085,0.08153016,0.015899755,0.10910918,-0.2897371,0.32429144,0.35054076,0.105579115,-0.95874417,0.4996157,-0.399987,0.59698725,-0.29690734,0.57860774,0.47337836,-0.25901562,0.48274562,0.011450432,0.21104667,-0.37453705,0.45622686,0.053494345,-0.09292013,0.4435828,0.11090581,-0.3958625,-0.22222611,-0.45056847,0.38629383,0.10881601,0.16737428,-0.46765256,-0.73033714
KG-1,-1.1228946,-0.22653446,0.3725479,3.9407985,-0.3481145,-1.6120334,-1.3567507,6.1125736,0.8059,2.5165346,2.4259288,0.30237782,-0.19788028,-1.7055523,-3.16565,-3.5554588,-0.79304683,0.09873526,2.7800193,0.6887081,0.61037403,0.4048561,2.467028,2.1327214,-0.16210781,0.14603235,3.4701693,-1.1945122,-0.31547165,0.06614213,1.8055259,0.6624294
HuH-6 Clone 5,-0.7071172,-1.1204945,0.7005157,0.47269493,-0.439736,0.47807494,-1.0826192,-0.29279453,-0.75461704,-0.99046063,0.33603624,-0.6115265,0.9401288,-0.24542648,0.83811563,0.21058369,-0.36088908,-0.44518903,0.47527358,0.063217856,0.41814023,0.7131989,-0.47126666,0.46241993,1.0558386,-1.1553074,0.06645455,0.29566777,-0.26781404,-0.0219261,0.1466362,1.4553134
KMBC-2,0.20109262,-0.6890103,0.37707883,-0.37654054,-0.45044523,1.247471,-0.057492197,-0.28422195,-0.009552419,-1.685395,0.78030294,-0.80482036,1.1175375,-0.53118855,1.2082646,0.55778897,-0.5931517,0.27842814,0.3096813,0.4589166,0.12607703,0.45992422,0.20299359,0.49283165,0.54543626,-0.91738105,-0.09883107,0.24532016,-0.027506392,-0.008348072,0.07288243,0.30910185
JMSU-1,-0.2838041,0.030494735,-0.0624232,0.079431266,0.35322186,-0.2716548,0.17165,-0.82325864,0.4172137,0.2813943,0.34574685,0.13385595,-0.2645848,0.27967042,-0.56004417,0.05527645,-0.20644294,0.3546758,-0.7027309,0.20219302,-0.0893358,-0.05003506,0.35768318,0.1904688,-0.56801075,-0.04904776,-0.32677135,0.1774842,-0.12548222,0.3600123,-0.18028782,-0.57691646
HLF-a,0.9486704,0.72631556,0.52525216,-0.50143486,2.9239473,-0.0045888796,3.3144684,-4.784421,0.8028342,2.7165418,1.6641,-0.33308896,0.69785285,2.2548368,-3.041183,2.9130723,0.51117486,0.53101045,-3.1613994,0.20028019,-0.5927424,-1.7618524,2.1320193,0.7278568,-5.193535,-0.9264957,-1.7624372,3.0102541,-0.51410294,0.7202942,-2.331832,-7.1979976
COLO 818,-0.38323843,-0.08838495,0.011419669,-0.096852824,0.55148906,-0.06347673,0.843667,-0.8602408,-0.023921,0.7203254,0.75285655,-0.17815629,-0.004649859,0.23547149,-0.89821225,0.27721447,-0.25921196,0.13339366,-1.0644059,0.11468583,-0.32192448,0.100811355,0.9108659,0.38082042,-1.1940374,-0.53283113,-0.32668403,0.4472664,-0.4837781,0.1555707,-0.29196855,-1.5876185
KMS-21-BM,-1.0158308,-0.22169143,0.19930911,2.3103914,-0.18131775,-1.1701813,-0.7634116,4.433343,1.0829172,1.2760204,1.8105708,0.33745417,0.06854677,-1.2971305,-2.2244427,-2.1651223,-0.5210392,0.30415714,2.1949985,0.037220173,0.31938818,0.30118224,1.7348194,1.4658564,0.6442069,0.48753193,2.1361682,-0.8773215,-0.2976649,-0.5619816,1.8192445,0.39546454
HEC-1-B,-0.23291996,-0.05015266,0.22937673,-0.11946507,0.15460807,0.01725971,-0.4332076,-1.1612765,0.11415283,-0.22248608,0.2727899,0.04791844,0.17941856,0.29035726,0.40926376,0.075665615,-0.40272784,0.017721713,-0.09223306,0.07429466,0.106463894,0.50377923,-0.18830806,0.14479715,-0.32499662,-0.45686108,-0.43210226,0.16928615,0.041065715,0.64135873,-0.27103123,0.3595985
Hs 578T,0.70311683,0.60891396,0.39091194,-0.41218752,2.550282,-0.050996803,3.006294,-4.6196623,0.8305768,2.624797,1.641263,-0.43974727,0.60700256,2.3147855,-3.202521,2.9414546,0.7760767,0.57697123,-3.134385,0.120623186,-0.57745254,-1.8338274,2.548163,0.62677556,-4.9737005,-1.0507323,-1.653014,3.210969,-0.5057132,0.55893224,-2.2006223,-7.2544746
SNU-410,-0.21649058,0.093247004,0.15746984,0.026190575,0.4779566,-0.18366851,0.3043703,-0.9133267,0.39986372,0.072641805,0.3534928,-0.017308194,-0.18161212,0.13807775,-0.2823888,0.2635843,-0.0010766685,0.29925287,-0.42700234,0.24021553,-0.27847502,0.13484542,0.4084377,0.13803081,-0.6850199,-0.21128686,-0.074741885,0.35282773,0.12083584,0.31573024,-0.22114828,-0.92019665
OV-90,-0.031193791,-0.4519389,0.41902277,0.1214204,-0.12262532,0.41161773,-0.29542446,-0.6587938,-0.43356442,-0.36158544,0.43108043,-0.43739402,0.7139865,0.09105878,0.33235908,0.48157582,0.11260961,-0.37337804,-0.14558381,0.1441497,-0.12240009,-0.0012207851,0.13389994,0.27963448,0.15969695,-0.9994766,-0.12500016,0.26922274,-0.2705877,-0.104986556,-0.16826952,0.036243863
