,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125
HCT 116,-1.1808087,2.3504786,0.43219867,0.051212277,-0.12909368,-0.36688146,1.8558595,-1.0061123,-1.1148208,-1.9437565,-0.12363078,-0.5400507,-0.8710604,0.29214615,-0.55106854,0.9775731,0.71315163,-0.6433059,-0.91491205,-2.4626198,0.10582799,2.0978847,2.0009298,-0.6668234,0.633743,0.26753205,-0.6555775,1.2270879,1.0827049,-1.0836263,-1.592766,-1.1476766,1.4593717,-1.565719,-2.5611515,0.4078259,0.4447662,1.3872273,-1.2055492,0.8498188,-1.6289388,-0.79751015,0.57589716,0.1527097,0.7404263,-0.5763425,1.0068438,0.6672469,-0.88779104,-1.3272403,1.6922754,-2.0118399,-0.7050082,0.838218,0.9868383,0.5577433,-0.6875865,1.3612891,-0.18487224,0.85845006,0.69448864,-2.3582218,1.099855,-1.5120356,0.18373974,-0.47196412,-0.01110068,0.3883662,-0.90406364,1.5919183,0.50199455,0.936182,1.5862039,-1.0796686,-0.8831791,-1.6650847,-1.3847055,-0.099798664,1.0646492,1.0979663,0.26463324,-0.2801179,1.2771437,-1.0961741,-1.9611639,-2.627295,0.66228324,0.68508774,-1.1591103,-1.1233534,-0.381312,-0.6910857,-1.577884,2.3930035,-0.8928069,1.9029149,0.2043047,-0.73174787,-1.625771,0.76008403,1.2680707,0.010602891,1.2847621,-0.18844105,-0.26123312,-0.6809222,-1.6655227,0.21229848,-1.4214277,-1.3537873,0.4462625,-0.10553672,0.9044588,-0.3564315,-0.44997025,0.4148299,1.3501515,1.087909,-0.13528351,0.39010727,-1.3476036,-1.0449255,0.7149495,3.124164,-2.2236316,-0.87692827
HEY A8,-2.5856824,-0.9309783,-0.64512724,-0.27430314,0.57386005,-0.025069688,-1.1081727,1.6308366,0.98338753,-0.34014484,-1.4034458,-0.46555755,-0.9324522,-0.2810286,-0.83057946,-0.32995385,0.7188272,0.30038306,0.47418332,2.6899807,0.4933131,-1.6027418,-0.5760263,-0.5173131,-1.0103652,-1.291907,-0.6929335,-1.6293843,0.5429283,-0.2884668,-0.24901189,0.46720132,1.054703,1.2060379,-0.6124945,2.6541178,-1.0952547,0.45102754,-1.1068612,1.6896667,-0.4035706,2.5267375,-0.2632703,-1.3400344,1.4302478,0.5468452,0.61358243,0.15872118,1.1934948,0.10646734,-2.6775348,-1.7095085,-1.4361972,0.51325846,-0.37223947,0.03392752,0.07915868,0.7360705,0.92151415,-0.68935096,-1.5444125,-1.1964972,-0.96312106,1.3924717,-0.5179732,1.8582948,-0.42922795,-0.4737915,-1.5446581,-1.5467176,0.1893378,1.5759623,-1.0272284,0.27987015,-0.9999218,-2.1632814,-1.3487042,-0.717424,0.26247174,0.71546245,0.41089597,-1.9914559,4.0765376,-0.797883,-3.0835733,-1.8551272,2.2417657,0.65554154,-1.3345138,-0.47445175,-1.6758583,1.0091285,0.7770293,-1.441677,0.24059063,0.3481356,-1.0055587,-0.69662493,-0.44645363,0.17617384,-1.9947505,2.6745777,0.28279874,1.1079848,-1.2499976,2.7407157,-0.5318849,6.083802,1.0256025,-0.18883492,-0.8656564,0.81950635,-0.51248807,1.0149467,2.2522314,-1.6339353,0.37327534,-0.95801425,-2.0313659,2.1035166,1.0879974,0.5436197,1.7845595,-1.527919,-1.7246877,-0.7485609
SNU-869,1.7525872,0.6488756,1.5691198,-1.3146911,0.9679039,0.8852598,1.2874659,1.6792274,-0.21791022,0.7957725,0.8664708,-0.6982803,-1.6949347,-1.7074404,1.0676548,1.0658511,1.5548116,-0.9358113,-0.9476469,-0.6075504,-0.6982083,1.1352186,2.2026203,0.860422,1.7181098,-0.10246214,-0.17114976,-0.8970377,1.6801451,1.7589841,-0.67272675,-2.0042343,1.3535382,0.2123104,-0.56286156,1.1418967,-3.124148,1.5815936,-1.9405388,-2.4651783,1.6470649,2.021876,0.36806396,2.9196599,0.14316408,-1.4004532,-1.078025,-1.0304937,0.74285775,-1.8450146,-0.97373194,-1.6817958,2.2191737,-1.5514094,-3.4560847,-0.037667986,-2.0421455,-0.938369,1.21563,-0.9960263,0.116477996,0.9887451,0.1107518,0.8088449,2.0616498,-0.6859132,-0.8969929,-2.458212,-0.89331275,1.6130835,1.5365429,-0.65223014,-0.47204053,-1.3075209,-2.2722328,0.53134876,0.94444025,-1.420062,-1.418782,1.077145,2.0775392,-2.1477892,-1.016191,-0.18283126,-0.15242654,-3.3780088,-2.7451117,-1.5255742,1.4287801,2.5709066,-0.9184495,2.09348,1.4795046,-3.9301944,-0.29182625,-1.7006991,-3.261633,-0.7932775,0.1687567,-1.4538337,2.434625,-0.7196389,-1.13202,-0.9924418,-3.6347706,0.67482096,-0.36045486,-1.9330488,-0.8552137,-0.6343489,-1.2566996,0.1118485,0.1799367,1.1527488,0.9181844,-0.58507395,1.4488976,-0.5111961,1.5975746,-0.8727328,-1.1368768,2.0706918,-3.4499598,2.824425,0.23390238,1.7088909
DMS 53,-0.71208894,1.3753154,-0.6971134,-1.5445479,-1.0969596,1.9924047,-1.236623,-1.3117576,1.5422479,2.333417,-1.7420251,0.06965276,0.7489107,0.74294454,0.26817572,1.82603,-2.3564587,0.36751205,1.3281047,0.21338543,0.38304693,3.829493,-0.4162212,-1.4931767,-1.120935,-0.665169,-4.387706,-0.6915546,-2.5082996,1.6878273,-0.33495098,1.6252261,0.82592607,0.11267009,0.52834404,-0.30827087,-0.4508183,2.9795187,-0.93188643,1.0145597,0.44112518,0.31949,-1.5677657,-0.53914654,0.50285894,-0.13635576,0.98647815,1.5385054,-2.029042,-0.01522905,-1.3722919,2.6204066,1.0585891,0.31792122,0.056294814,1.0738556,-2.2223175,0.98790944,2.3489213,2.1592798,-1.4431835,4.216779,-0.6851073,1.3138003,-0.4581592,-2.871699,-1.0790777,-1.3333848,2.2388601,2.3256905,1.4717822,-0.6166341,0.67066294,-0.48972684,-1.3642542,-0.87540346,0.10067223,-0.5468882,1.5953097,-2.0700455,0.20898053,0.24428056,-0.56353164,-1.4509077,2.0188982,-0.7226436,-1.6152021,-2.1222208,1.7355754,1.6803346,1.0649993,-0.59864306,-1.3434056,0.46691883,2.1331072,-1.6623317,-3.4567256,-3.1076636,0.4034276,-2.0132005,1.0131314,0.4615441,-0.07007626,-0.76353455,1.8630102,2.606179,0.6446925,1.1327437,-0.3484103,0.6089657,-4.6007233,-0.83914274,-0.21581106,1.4226332,-1.2790645,0.82356,-0.9718688,-4.1317315,2.216078,1.0924542,0.9615337,-3.428134,1.2397017,0.62350607,1.5266206,-1.031893
RERF-LC-Sq1,1.7326318,-0.49744162,-2.7624,-0.92883426,1.3185469,1.7745376,-0.23807134,0.60630906,-0.25464052,-1.5094042,0.5826736,2.2457135,-0.94204897,0.18875448,-0.38897875,-0.24392177,0.059282046,0.18207441,3.8051143,0.8141791,1.9389662,0.7638357,-2.3070147,-0.045547344,0.15136215,-0.5570902,1.5262674,-0.6225755,-0.62958014,1.0008034,-1.1807729,-0.36248362,-1.6077646,-1.0617985,0.7264854,-1.6926386,1.4913204,-3.368037,0.4660631,1.0708554,-0.69974035,0.39508864,0.098126404,-2.3946784,0.70090866,0.007973636,-0.8659707,0.15249759,1.2076834,-0.4257976,-0.3112393,0.9090925,-0.15697333,-1.7961563,-1.6947978,0.25290796,-1.6487943,0.05282127,-0.901894,0.39256975,-1.3653976,1.6720974,0.14904651,2.8139524,-0.13612892,0.1292392,1.8769354,1.639789,0.29746896,-1.9771845,0.15707427,0.28909072,-4.339409,0.43280888,2.4761033,-1.1820444,-0.667195,1.0833802,-1.1787564,-1.4316726,-1.0760629,1.0232406,0.7113024,-0.5138181,-0.77743673,3.4609401,0.7422493,0.7338679,-0.03924381,-1.0689254,-1.0604417,-1.5972072,-0.3889,0.9566821,-0.22723502,-0.70527977,-1.6698322,1.1773008,-0.21768123,0.42922798,-1.930755,0.15908511,0.22189073,0.71295583,-1.0477483,-1.3926376,1.8190459,0.9230155,-2.155434,-1.5993096,1.2409154,-0.569944,0.25002053,-0.48769677,0.018311538,-0.11746893,-0.18395409,-0.0804488,-2.4392264,0.19099467,-1.4531281,1.9280696,1.2380005,-0.3440966,-1.1144593,-0.99811226
BJ1-hTERT,-4.02599,-0.28202894,0.3022271,0.619418,-0.3236835,0.3065077,-2.5408947,-0.7234739,-0.96986794,-0.10936704,-1.3247825,-1.444495,0.42083645,2.2851017,-1.0102878,2.090519,2.6955454,0.8854776,1.372252,-1.67584,1.1218746,2.1146958,0.12411316,-1.1420641,0.252787,0.12325335,1.0337014,0.2745471,0.51473635,0.3528499,-0.5661601,0.19979498,-1.7579224,0.98240834,-1.0026474,0.17455086,-1.5242498,-3.0360975,3.0636683,-1.444355,-1.1015282,1.4968308,-1.0019544,1.4195949,-2.1933997,0.054424852,2.4687161,0.8863189,1.7608247,0.39012766,-1.994111,-1.3233366,-0.5401036,-1.3485377,-0.7119667,-1.9926883,0.15432525,-0.18629906,-1.8846867,0.8801064,0.7545207,-0.8440768,-1.2225105,0.39477116,-2.2239373,3.1294262,-0.9068971,-0.21645433,-1.898917,-2.8440413,-0.7874693,0.28420785,-1.6355872,0.9408272,-2.8836737,-0.26611635,0.44930375,2.8997045,-1.1932825,-1.5833882,2.0367463,1.6050766,1.3761886,-0.4772938,-0.11881924,2.1591733,5.971082,-1.5597192,1.7835648,-2.620364,2.4645777,-1.2448714,3.4785748,-0.40920746,-0.85924894,-0.14475045,2.0096238,2.1148725,0.5984329,0.31287017,-0.39587453,-2.1983654,-0.043111086,0.18321429,0.790868,-1.0096722,2.0329864,0.13583544,-1.5269917,-0.08603326,-1.585023,0.95626414,0.098657794,1.178861,-0.052986205,-0.99015206,1.8088328,-2.248981,0.5017762,-4.1614203,-1.5754399,-1.6868157,-1.1160114,0.56400114,1.0202156,0.21779026
BT-549,-0.036524042,-1.3199971,-0.59441066,-1.1210932,-1.1984985,1.680883,-1.8326535,0.41528127,0.0013914616,-0.8960732,-0.4661919,0.054208077,-0.36546904,2.5182157,-3.0994508,0.15031065,-1.9507434,2.9539254,0.39293948,-0.53522605,2.2276347,-1.3186066,-1.0749741,0.3943817,-2.2908044,-1.1326356,0.55407155,0.80507475,0.3666078,-2.774385,-1.1170453,-0.9285709,1.1415348,-1.2789742,0.119350925,0.21385945,2.499508,0.7556963,1.7279519,1.6442624,-0.4317005,-1.0418822,-1.4175956,0.76116973,-0.45736974,1.120006,0.949151,0.18256672,2.3627484,0.57640994,2.0990317,-0.7337847,1.0656546,1.7792197,2.4135602,-0.38850725,0.48337203,-0.9809251,-0.7786184,-2.0510485,-0.15186581,0.3369877,0.6576257,1.5377302,-0.8670898,-0.4404449,0.31981483,1.4874412,0.048157953,-0.5691254,0.23920181,-2.5516217,-1.4648275,1.216232,0.4730789,-0.82617813,-0.6245501,-0.49609402,3.3504608,-1.2893814,1.7693939,-0.79649395,1.0965174,-0.0029888381,-1.5858322,1.9243495,2.3684049,-0.14220807,-2.9797757,-2.3806992,-0.23452444,-0.45831186,-2.5547822,4.1639423,-1.1122832,0.083180994,1.2525496,1.4021469,0.539368,2.3897462,-2.0628843,0.32155165,0.5704483,2.4725633,1.7470635,1.4645339,0.23698708,-0.5950313,0.77901345,-0.5044443,-0.32671627,1.0445595,-1.966292,-1.1509124,-1.3021513,1.1968763,0.25074506,0.3989614,-1.8531731,-0.7966622,1.6353782,0.21480393,1.3609434,-0.8161244,0.9420812,-0.3243172
L-540,-2.243873,2.254071,-3.6391516,-2.7863789,0.49683428,-0.2802236,3.3959472,-0.5686643,0.36377445,1.3109272,-0.34329483,0.5636447,1.6343983,-0.24063273,1.776893,-1.4633749,-1.4786268,3.4647036,0.25788936,-0.2795202,0.69855773,-2.5700903,1.8954873,-0.90988237,-0.517657,2.5124106,-2.358753,0.85125285,-3.1959505,-0.63746023,1.1510463,-0.46959955,-0.34738636,-0.73816043,-0.8143508,1.1313736,-0.5304473,-1.3976748,-0.9107711,2.7518258,0.6429596,-1.4739256,2.6388311,0.928979,0.3423661,-3.0636237,-1.069809,0.5702007,2.022303,-0.21451503,0.0582229,-1.735737,1.3565347,0.7206072,-0.87686276,-3.0658126,-0.6301305,-0.7027817,0.20077279,1.4681679,-2.8834832,0.8441791,1.657823,-0.3858867,0.84839696,-1.3154969,0.047723886,-0.87011206,2.4404523,-1.3922683,-4.246453,0.8078761,-0.73165804,-1.4575762,-0.025163915,1.8289907,-1.281745,-0.8739694,1.1916671,3.9423885,-1.3806087,-1.6827813,2.08706,0.6866238,-1.8556274,-1.3698977,0.54734796,0.12362167,-0.75515455,-3.683856,-1.1930285,-0.06628071,-1.0042598,-2.0760503,-1.101427,-2.093045,-0.36969706,1.2665472,-2.838559,-2.1952934,1.0064542,-1.0732309,-0.2206253,-0.5131455,-5.388157,-2.4885325,0.45936298,-2.058142,-1.9842813,-0.24815145,-1.2214916,0.6032682,1.7319767,-0.06625593,-0.72666556,1.7206662,-3.51424,-1.6998745,0.16568454,-1.9466109,-0.10945697,1.1413183,-0.54030716,-1.9460765,-2.1132448,-0.76852596
JMSU-1,-1.2208352,-0.43131578,0.9779741,-0.1767561,0.4105017,0.7520154,-0.089410625,1.2747881,-0.856582,-1.637756,-0.77018106,-0.54120994,2.060173,2.9161048,-0.83635837,1.2014794,1.3127346,-1.1080034,-0.55064607,-0.21220659,2.132412,-1.5167549,-0.83057415,0.72903085,-0.3553217,-1.5489457,-0.10958294,-1.34422,-0.06601783,0.46293136,-0.20239078,-2.2619014,0.8712178,0.5025775,0.34591654,0.5737286,0.86383533,-0.8539302,-0.2595157,1.2693685,0.1981102,0.42227054,0.78736407,-0.20027454,0.24704099,2.1713536,-0.2571885,0.585916,1.5905186,0.06277841,0.9424779,-1.872567,-0.8331531,2.7202046,2.0193021,-0.6246051,0.5356362,-1.2794785,-1.0462536,-1.8594806,-1.0448791,0.17765042,0.60761595,-0.3001094,-0.5305058,1.2885439,0.287437,0.93789434,-0.79718906,0.91584533,0.09723585,-0.053175773,-1.6592987,1.5606121,-0.31966484,-0.28402334,-1.6648992,0.55982226,2.472718,-0.9201032,0.57877636,-0.3355822,1.405551,0.43797696,-1.3530077,-0.33690977,3.8595889,1.4414163,-2.474776,-0.4644722,-0.98783594,0.06524567,0.5513657,2.767005,-0.24506676,0.6940708,-0.22500518,-0.36321884,0.72170174,0.8930939,-0.7635174,1.8964367,0.66654444,1.2589399,0.1732195,2.1451437,-0.23533042,4.885757,0.7066004,-1.0405567,1.3771231,2.9784086,0.8772058,-0.96845204,1.3879204,-0.011579946,1.5439512,0.10701782,-0.08226192,-0.4034734,-2.0381122,1.6819708,-0.3952837,0.85299355,-2.0088682,-0.92023367
COLO 849,0.3305788,-0.22737555,1.9295701,1.3850887,-0.5381981,0.61403966,2.3435547,-1.2626995,-1.5671065,1.4500252,0.74830216,-1.8781737,-0.32317755,-2.5270858,-0.5351944,-0.80146194,1.8959625,-4.3865137,0.5263346,-1.6055286,0.72180957,0.03526229,1.7555076,1.1175525,-1.5214155,2.973499,0.90117997,0.8857445,-1.7248079,-1.8258243,0.4680925,1.2351195,-0.40912774,2.3518252,0.097292535,-0.3742043,0.514487,-0.473086,0.81997466,-1.7245883,1.1671475,2.1616514,-0.27889875,0.2881322,0.6254145,-1.9231839,2.0531719,-3.1103644,0.376253,-0.32451376,0.630352,-0.93240905,-0.6111686,0.3907949,1.5759379,-1.3590919,0.7416615,0.005601447,1.2405906,-1.0667075,-0.16400076,-0.5265505,-1.3361233,-2.7126453,0.5380445,0.6766795,-1.7623975,2.2540634,1.2155111,-2.9276447,-3.4709446,0.18068488,-1.4465983,-0.50224745,-0.34124315,0.49605834,1.1300335,-2.0095367,-2.1549659,-0.086948276,4.1388316,0.43384114,-0.6063139,-2.1536837,1.1375057,-0.27896133,1.3076899,1.2175134,-0.1739553,2.392816,2.5280259,1.0406457,0.42714128,-0.728133,-1.6999913,1.4579865,0.39845,-0.08933473,1.6271162,-0.3356285,-0.83760536,0.35474804,1.5318441,-1.4204719,0.57716453,-0.6705451,-1.1965635,-1.2349318,0.6203314,-0.37979978,-0.5036236,-0.201353,-0.2877194,0.92314374,0.056058735,-0.6993562,0.5868101,0.94337404,2.1375935,-1.0187777,-1.2634547,2.3520806,-1.1612864,3.4005063,0.7224893,0.93381435
SCC-9,-1.5051231,-2.9232159,-1.7541379,-0.0030034184,1.5523326,-0.054874472,-3.034226,1.258903,-2.6522026,0.4283269,-1.0658728,1.5285629,-3.411554,-3.809965,-0.37186942,0.69108796,-0.5358831,2.1888278,-1.3715384,-0.28312805,-0.78701484,-0.57343024,-2.6615925,0.25011468,1.1355238,0.34811828,-2.4461744,0.85491484,2.2110164,-0.32911357,0.6460763,-3.523374,-1.8360925,1.3768921,1.9303782,-2.15915,0.076552555,0.6267591,-0.29925483,0.3292752,0.8250882,1.9926507,-1.7631212,1.2505068,-2.2347798,-0.8571004,-2.0524404,0.3011531,0.48869884,-0.686345,1.4015528,-0.61248565,1.4277241,-1.7571084,1.1203845,-0.22547324,1.2227936,-1.2969842,2.882764,1.1153313,0.17304716,-0.39901346,-1.7831317,-1.6735992,-0.85496986,1.2285067,-2.965647,1.4033045,2.7690563,-2.514842,0.6462002,-2.1095698,-1.8242046,0.52092355,1.0170748,0.34700015,-1.6202163,3.868548,1.7530081,-0.090951994,2.5009742,3.669058,0.028394898,1.4468757,0.98640776,2.235145,1.459007,2.631589,1.1528308,0.35744303,-1.8954393,-1.2744672,2.783748,0.34161913,-1.46572,-0.749451,3.6466947,2.701573,-1.2991389,2.9848294,0.6666832,-0.3432578,1.7708434,-0.12782395,0.5444296,-1.711946,-0.4543928,0.27295107,-0.28499526,1.760099,-0.5838934,-2.1152747,0.80564827,1.7595092,-1.6267343,-0.25578648,-0.5695343,-1.3178979,-1.3283275,-1.7934877,2.977404,-1.1048951,-2.466591,-0.017460048,0.9455454,0.032283112
786-O,2.88005,1.2536265,-1.8548374,-0.489568,-0.82599515,1.5423455,0.089564614,-1.2857947,1.0560876,-1.794719,-1.198646,0.44088414,-0.38601777,-0.040884428,-2.499346,-1.1162125,-1.0908595,-1.0131787,1.4890465,-0.28235206,1.2790265,-0.9362802,0.20246598,-0.28869295,-0.56028396,-0.18620498,0.48496175,-0.4406752,0.9679301,-0.5030813,-0.7597654,1.7163347,0.14545761,-1.1188132,-1.3552202,1.2128481,1.131288,1.0970553,0.4470095,1.0468159,-1.072362,1.370732,-0.35012382,-0.8212004,-0.49787462,-0.2367767,0.60313654,0.920437,-0.8418669,-0.33029962,0.4959658,0.12140581,1.9788401,1.3534975,1.2480266,0.5463632,0.67676336,-1.1871521,-1.7085166,-0.19878235,-0.8216807,1.2060844,-1.356124,1.6554544,-2.2476203,-0.9135178,1.1075041,1.672761,0.25871992,-1.4666125,0.8297972,1.4104768,-3.7096815,0.50106,0.36944687,-2.798022,0.2223168,-3.1513884,-0.19165553,-1.5840462,-0.90960014,-0.98857975,1.4758801,-0.9640549,-0.17497216,0.29978997,0.42197746,0.8450838,-0.07817826,-0.84701675,-1.2708106,-0.6767657,-3.573586,0.43536857,0.06278012,0.4442965,-2.448519,0.9077679,0.00095785037,0.070204884,0.47279933,3.4810944,0.38690946,0.85723907,-1.4962085,-2.324443,1.0349085,2.2904263,-2.563592,-1.5307912,1.6282394,2.4953713,-0.76086986,-1.2169648,-1.549998,-0.8247224,0.6329631,-1.192364,-2.1959488,0.06377655,0.16783072,0.89840925,-1.226165,0.594956,-0.29563504,-0.41731626
SW948,2.2630575,0.7176826,-0.5130027,1.4302464,-0.098290205,0.8945261,2.9935877,0.39579982,-0.36498752,-0.43580744,1.2768435,0.39118266,-1.8431516,0.2280145,-0.42517442,-2.37334,-0.7919416,2.7023444,1.3816739,0.14914533,-4.0165033,0.5530741,0.81809634,1.7836933,-1.2161376,2.603073,-2.4876716,0.8086108,-1.7376513,-0.01862185,1.4739738,1.9149175,0.692853,2.1813612,0.8753067,1.7393124,-2.1557002,0.6915997,-1.4252454,-1.4671633,3.658836,-1.6167876,0.3735939,1.4216543,-0.09733006,0.30594435,0.05580258,-0.15903983,-1.6893204,-0.27721667,1.6369776,0.9536074,-0.93526214,0.47690699,-0.90036887,-1.3069503,-2.0948217,0.37673062,-1.1897274,-2.4391952,3.3435879,1.0560899,-0.8760347,0.13228226,0.05310443,-0.14186172,1.4289335,-0.01167478,0.7108818,0.1196016,3.5209668,1.3201005,1.1632978,-0.45228612,1.9649366,0.075321525,0.8673951,-1.9876195,-1.3900476,0.14743674,-3.842918,0.4818255,-0.7499973,0.05010656,0.43947452,2.373002,-4.196516,-4.803277,0.6240487,-0.86543196,-0.7943038,0.6191996,0.2543562,-1.0437813,-0.14131044,1.1532946,-0.12153509,-0.9792104,-0.25662908,-2.8726285,-0.8985295,1.2586062,0.031091563,0.14196357,-1.0905622,0.42525133,-0.13806087,3.1770022,-1.1178131,-0.45025158,0.3207169,-0.41632065,1.2543659,-0.30171922,0.17241317,-1.1860281,0.80627745,0.27331367,1.8509854,-1.6776892,0.47969738,0.35024577,-1.3272876,2.672579,-2.3872747,-2.5444608
Toledo,0.33969024,0.98566556,-2.5836015,-0.010963112,-1.0332619,1.3337964,1.4673675,1.1459991,1.0478069,-0.7612709,-3.166831,2.1826267,2.9010868,-0.79805726,-0.5573216,-0.7000457,-1.783378,-0.8741578,0.7264715,-0.90783936,0.7391698,-0.9710741,-0.9094627,-0.5807215,0.13973519,-0.30574504,1.8060224,-1.6271341,0.7547007,1.9094193,1.7621547,2.967236,-0.6720636,1.352402,-1.3359219,0.36056075,-0.76219445,-0.7881966,1.4830437,2.2288382,2.2198727,-2.1554174,-1.3969587,-1.6487039,-0.75041866,-0.9508201,-2.2845697,1.8302678,1.0511484,-1.2026126,1.1467035,1.0450745,-1.6845169,-1.2606008,1.1726851,0.6600207,0.4856989,-0.573338,-0.28484163,1.0624995,-1.6467414,0.31353468,3.5129955,2.1940403,2.4434373,-1.959551,1.569055,-0.38695467,-0.8434435,1.0598037,-0.5945558,0.29558018,1.7869046,0.21589395,2.5356345,2.406194,-0.60673356,-1.0074818,-1.7021443,0.9658285,-1.9421014,-2.3312745,-2.003543,-0.5775895,1.7482954,2.6061003,-2.9206986,1.7017713,-1.4802759,-0.7130198,-0.7305933,0.028588586,-0.30306506,-1.3843498,1.5009341,-0.9279666,-2.3977466,0.2582832,-0.50848013,-0.6538613,0.6376731,-3.1558523,2.104349,0.39663473,0.06780976,0.51430887,1.0187546,-2.6730242,1.4153395,-1.8213849,0.9489107,-0.7826431,1.328818,0.23197068,0.65241474,-0.35226655,-3.4479213,0.6222304,-0.0926587,-0.2497037,-0.9887759,0.46175283,3.306666,-3.0952132,-2.0870492,-3.4234629
NCI-H1781,1.5720319,0.010996787,-0.9561195,-0.3895434,-0.44470102,-0.9148809,-0.84983724,-1.2695446,-0.18646891,-0.47077104,-0.47861832,-1.2967563,0.49999514,1.0285895,1.0763295,2.047773,-0.1455582,-2.0098562,-0.8600405,0.70880985,-0.32232943,0.82971877,-0.6184741,2.3823972,1.0850381,0.6412704,-0.75975156,0.106102675,1.3171976,2.3523178,1.932814,-1.1143169,0.47643068,-1.5796956,1.4784414,1.3392144,2.1909425,0.13709612,-0.85009515,-1.1663344,2.460002,0.41058394,1.2920818,0.6527052,0.5479815,0.43807846,-1.2490845,-0.0032413602,-1.8256277,-2.454917,2.4505427,-1.1280351,0.671117,0.9693485,-3.584744,3.35568,-0.8737265,-0.14247863,0.97495073,1.7428175,3.7714272,0.24002515,-0.4669394,-2.6403067,-1.0988119,0.061547916,-1.0917437,-0.6841751,0.12926662,-1.0762256,3.5515242,0.04573319,2.331273,2.5139914,0.3219547,1.0726213,-0.40922242,-1.4277768,1.8088,3.4906132,-0.792509,-2.2680173,-0.5612991,1.6043533,3.775948,-0.5234878,-0.7098103,-1.6608784,0.124504186,-0.5438196,2.3816319,2.9431853,-2.975047,1.8714787,0.105974525,-0.096519165,-0.2754221,2.0467362,0.8697757,-1.3188297,0.75088084,0.3561381,0.33805776,-0.93466854,-1.7097535,-0.2438001,-1.1348968,-0.3656277,1.6065598,1.2547103,-2.0311277,-2.7725935,-1.3333476,-1.7908734,2.4814558,1.7766708,-1.881079,1.0502663,3.4857385,0.4040153,2.5265012,0.33878106,-2.9473,0.440637,2.3041048,1.9406143
HCC364,-1.7723253,0.76434755,0.29366302,1.3933176,-1.1560624,-0.06160155,0.27937546,-2.9013793,-1.3451722,-1.5773,0.0985297,-0.352583,0.50265276,0.5722345,-0.9913233,-0.31098458,0.78841776,-0.9959743,0.28196466,-1.6134874,-0.16651316,1.8626727,0.48606926,-0.36695033,-2.4132752,-0.3017871,1.0164586,2.2425718,3.6077158,-0.9428708,-1.5835869,-0.61885667,0.24064264,-3.652108,-1.8584445,0.80077547,-1.3541402,-0.27528796,-0.0181111,-0.32205257,-0.7314244,1.5158026,2.3907728,0.0023495108,-0.84299845,-0.1931214,1.3129961,-0.0020347703,0.12725028,-0.5627107,-0.086397685,-3.0334144,2.0861278,2.109452,-0.26526457,1.2112223,0.7058512,0.12938197,-0.123505786,3.013602,1.4888853,-1.5943491,-1.260801,-1.6740665,-0.35032976,-1.7614841,-0.8431348,-1.4633164,-0.5714961,-2.907883,-0.64350754,-1.2644715,-1.8152328,-0.65169173,-1.7029496,0.5019867,-2.242715,-0.115111254,-1.1529701,-0.988749,1.9570526,-1.429593,1.1296186,2.078349,-1.837616,-1.4673773,3.85766,-0.32621142,0.32782412,2.0251641,2.6785533,-2.1918356,-1.2998929,1.4859017,0.12866785,0.86562586,0.8584367,-0.09767373,-0.364776,-1.7138324,2.1010036,2.7690325,-2.2459455,-2.0132015,-1.120823,-1.0025516,1.610736,-0.9452355,-3.2712214,0.36037746,-0.6999043,2.9184206,0.19706342,0.9712082,-1.0905455,2.4408398,0.87161887,-0.6735398,-0.32257703,-1.6000923,-3.2907836,-1.1667778,-2.245778,3.9682472,0.64430773,-0.07371543
