,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53
Karpas-620,0.33008695,-0.10488542,0.28920022,0.11372147,-0.315264,0.32802206,-0.54919815,-0.27541947,0.31973487,-0.036714368,-0.51612467,0.10843601,0.6774362,0.17024337,0.6487633,-0.08952997,0.8204496,0.32914513,0.32755536,0.5539523,0.17180568,0.75245243,1.0217593,0.3497685,0.6205447,-0.4437819,-0.050259374,0.10136491,0.4098194,0.38612688,0.057142027,0.19630933,-0.10680977,-0.36792502,0.018134985,0.7479516,-0.90415365,0.15112723,0.12537442,-0.6622739,-0.40023106,-0.37944275,0.97602475,0.2666731,-0.858608,-1.4962343,0.43262583,-1.2382044,-0.22763932,-0.43607867,-0.100594416,-0.5774774,-0.29990256,-0.17635582
C32 [Human melanoma],-2.4594858,-0.6789545,-2.9517794,0.8099886,0.6505351,2.858797,-2.9711978,0.75045663,-2.1174338,1.6180071,0.8968216,-0.735571,-1.0287424,0.7113382,-2.3644302,0.2988544,0.16594486,-1.9310056,2.4356556,1.2415736,-2.2591622,3.907158,1.4226543,-2.038571,1.1476841,0.08056356,0.8823645,2.3782082,-3.5619872,0.61548346,2.6654756,2.1937206,1.2126445,0.29494476,0.31918707,-1.6825418,-1.923479,1.1558795,2.8897412,-0.7811232,-0.72889477,2.7929409,-2.8627279,-0.8870722,-0.43273628,-4.162341,-2.6442113,-0.7203879,-0.80950344,2.0914035,1.8012486,0.7394872,-1.4591964,0.029164255
PE/CA-PJ15,0.20053475,-0.5893369,-0.14594091,0.56660354,0.031120444,0.9079352,-0.13060562,0.030083224,-0.5355365,1.0155079,-2.0892754,-0.96407175,-0.37547332,-0.14583042,0.12883696,-1.6444262,2.6536129,-0.6002453,0.6489122,-0.59990084,0.8276295,0.45287973,2.6174572,-0.39121008,1.2868717,-2.6228456,-0.94611114,-0.22787683,-0.40309936,1.1967824,1.9665883,1.030581,0.27880618,-0.44973275,-0.7759135,0.5786384,-0.38440928,0.18049115,-0.68348014,-2.025756,-0.28927508,0.0009267628,1.2362266,0.2083272,-1.0626163,-1.9008095,1.863494,-0.5130702,0.097736195,0.18756026,-0.7388007,-0.36280236,0.09734264,0.44159976
RERF-LC-MS,-0.07267423,1.3695493,-0.87641513,0.3087854,2.3602862,-1.6779479,-1.2003593,-1.0733004,-0.1721022,0.120239355,0.44993478,0.30929518,-0.3309632,-0.8335756,0.89603627,0.21835291,0.2009996,1.0175083,1.0179887,1.3750309,-0.81595206,1.5567408,-2.249133,-0.8598805,-0.60006964,1.617244,0.67089844,0.72808844,-0.40937832,0.8129624,-0.99546295,0.19980323,-0.8080026,0.040506676,0.96754444,-0.73282427,-0.68852705,-0.1091477,0.936794,2.6501474,1.889657,-1.5800765,-1.4135274,-0.48197746,2.074529,1.3085834,-2.1511989,-0.8529204,-1.4113456,1.0348175,0.4863722,1.6653969,-1.6805246,0.94998354
SUIT-2,-2.7550507,1.8985136,0.013683401,1.5491822,3.0259151,-0.6568464,2.7622848,0.75516826,-0.284601,0.27816463,0.5666026,-0.30172133,-0.016301034,-0.19739771,0.10217699,2.3407097,-1.7552419,-1.5477668,-2.5864394,-1.4991134,3.41844,-0.45005545,-2.8526554,0.75546306,0.42676973,0.7444923,-0.7853627,-2.816245,3.221797,-0.47958395,-0.36923578,-0.71782434,-1.816429,1.2251819,0.64552444,-0.2857201,4.369377,-2.241214,0.36542314,1.687242,0.17387119,1.0799134,0.5457066,0.8599328,4.0692987,3.7932458,-2.3194392,1.481029,-0.5645639,1.184471,-2.2064288,1.1787512,-1.2839975,0.36851245
UM-UC-3,0.85381705,1.6478407,-0.8706548,-0.9244064,2.8889213,-1.9399832,3.870095,0.55122423,1.4884984,0.24638057,2.6263971,2.7090197,-2.2721143,0.26810274,-1.9445852,1.6585538,-1.9113774,-0.09860474,0.8580659,-2.371573,1.0007894,-1.7438868,-3.041367,-2.4861817,-0.8904461,1.8064882,0.96547675,-0.8044863,6.112511,-0.5806433,-1.3346001,0.11144015,-0.6422642,0.80371994,0.16760337,-3.977809,5.3774567,-1.0318792,-0.5331669,2.4535751,1.512552,0.79324293,-2.1629722,1.6865245,2.399113,2.7643201,-1.1726487,3.4644878,-1.2815995,0.46007898,-2.0635805,3.4153147,1.3874894,-0.8167249
HPAC,-0.7495496,0.52280694,0.7924548,-0.62741923,0.0032641217,1.2872618,0.6783958,-0.7874506,1.5918411,-2.118037,0.9039048,0.68688226,0.350765,1.1231933,1.7667805,1.1995369,-3.1339023,0.5396629,-1.0621216,-0.33582243,-0.14641285,-0.82578546,-2.916476,0.45992488,-0.5750958,0.7138104,0.31181788,0.18485367,-1.2877891,-1.3436778,-0.6561993,-0.08739156,-0.44403484,-0.14832425,-0.5858729,0.9185828,-0.17949079,-0.12555805,0.79083055,1.0987582,0.91635424,-0.09588955,0.0065188,-0.038856886,-1.5696976,2.2965286,-0.9468503,-0.09260684,-0.9848596,-0.3009947,-0.34182087,-0.6095047,0.18540102,-0.06362632
NCI-H660,0.49670506,-0.5469091,-1.1739516,-1.0505911,1.5788264,-1.9247152,0.7425694,1.191829,0.3848463,3.7321217,-0.22393844,2.5930128,-1.4722841,0.33416194,-0.48729044,-1.7835212,-0.18644112,0.3224141,-1.6654606,-2.519598,1.7943069,-2.90851,0.17480722,-2.3538308,2.508557,0.71713775,-1.2181551,-1.268652,2.4838343,1.0159172,-2.6530302,0.23049977,2.3925438,-0.6637629,1.5680158,1.9786141,0.8364904,-1.0597479,2.108999,1.2955389,-3.3426251,-0.39436567,-0.79126734,-1.3584129,-0.08778688,-1.344072,-0.8369484,0.98726356,2.2961805,0.789492,-3.2274358,-0.5482046,-0.04269958,0.70216644
U-937,1.0249393,-0.49133918,0.30944043,-0.38008082,-0.8316858,0.21083666,-0.5876775,-0.14474545,0.18632802,0.2870661,-1.1788163,-0.010999462,0.84020746,-0.0329412,0.46794164,0.101343036,1.4241838,0.20336986,1.0445476,0.543821,-0.14902923,1.1480006,1.261627,0.33636826,0.521392,-0.3516697,0.15701827,0.39954263,-0.15116005,0.22148022,0.13773616,0.31971246,-0.022290282,-0.5498771,0.042432744,1.1734891,-1.3549155,-0.017058663,-0.62198657,-0.9017359,-0.48661062,0.6552961,0.90302646,0.47839555,-1.0082772,-1.7714175,0.6773571,-0.84165716,0.042966764,-0.27771053,0.28894415,-0.4461211,0.04002507,0.25494966
NCI-H1792,0.4093792,2.4138997,0.95444757,-1.692577,0.32006386,-0.10527427,-1.0610123,0.012479957,-0.95319223,-2.1064801,-1.9726106,3.2738464,2.0323215,-2.3033924,2.1282425,-1.9164551,0.079376884,1.0184661,0.30651924,-0.2650386,-1.4114873,0.8486191,-2.0153956,-1.6723756,1.4889641,0.6966935,1.3795706,0.9023859,-0.08728399,1.6091064,-0.63532984,2.3097005,1.6852136,-1.4962568,1.0883236,-0.10233335,-1.3926915,-0.40502524,1.8451407,2.4793565,1.5662758,-1.7992476,-2.6636875,1.5589278,0.14282855,-1.3812747,0.44253984,-0.44379964,-1.4604387,-0.31690544,0.13584328,-0.5567596,-1.6397641,0.37016633
COLO 829,-1.5791255,1.3717363,-1.4254106,-0.42023474,1.5319619,-0.62448776,-0.66816485,0.5383099,0.32992578,0.19378874,1.0164955,-0.6486597,-0.21770062,-0.42386043,-0.83355045,0.1168105,-1.8533418,-0.22720115,-1.0516822,0.55545574,-0.18032463,-0.22400454,-1.2107381,1.102301,-0.86715704,0.68247765,1.143795,1.0524871,-0.22665203,0.14295685,0.10410768,-0.25280386,0.13902098,1.372025,0.27853388,0.005592704,0.06886479,0.4122076,1.4915769,1.4594053,1.0041243,1.3930566,-2.0703816,-0.9571944,1.8909262,2.3688006,-1.9097941,-0.85370713,0.43349466,0.9079661,0.23129438,0.98263896,-0.9412114,-0.09029149
F5,0.9771027,0.14174248,0.28298342,-0.46097392,-0.80715543,0.1968599,-0.45457652,-0.1823361,0.49485874,-0.14628896,-0.9239685,0.01155605,0.93410563,0.4196514,0.38077897,0.03568521,1.2594206,0.37126583,0.4606301,1.1004694,-0.016475134,1.0090172,1.1275895,0.48594496,0.35791126,-0.16046536,0.27689666,0.49591935,0.123443596,0.23709917,0.16152835,0.2944245,0.10633647,-0.6450481,-0.09883763,-0.64002556,-1.0243113,-0.0009065755,-0.50989383,-0.7191497,-0.4148531,-0.16047566,0.84226674,0.5926259,-0.66966605,-1.4968123,0.61097777,-1.4485598,-0.043833256,-0.38255116,0.3057028,-0.42902935,0.07351208,0.076294765
Hs 940.T,-0.21183127,-0.15363488,-0.2055858,1.2738879,-1.4847634,0.82394546,-0.70722735,2.6657333,-0.6947021,1.2852345,1.0212696,0.47646388,-1.8979692,2.0093493,-3.661005,-2.8686652,1.1926945,-0.83202213,2.2626905,1.1722188,-1.6309695,-0.2883109,-0.558728,-1.5488992,0.11580765,-2.3387756,-0.31400406,-0.22293633,0.013421774,2.0469606,-0.4725596,0.6506103,0.92679656,2.1550727,-0.50282824,0.38716963,-1.6208739,1.1923957,1.4776156,1.63468,-1.0078167,1.403272,0.09299494,-0.30747366,1.3572855,-3.123093,-1.4420925,-1.4194065,0.5519711,-0.20471263,-0.053648107,0.32189596,-1.8705565,-0.59199476
KMS-20,-0.89277977,1.5311109,0.7441862,-0.83345735,-0.35579646,0.27116376,1.3281531,0.39112192,0.72694397,0.64744604,1.0725229,1.0923042,-0.78130907,0.49509153,-1.3464704,-1.8158925,-2.6171536,0.57247907,-2.0573158,-1.1798983,0.62096107,-2.0802958,-5.010746,-1.893541,-0.816569,0.3051649,-0.71524316,-0.9397205,-0.31809872,-1.7899039,-2.0267828,0.26049542,1.5226613,1.258637,-0.515652,3.0766788,-0.5907973,-0.37084204,1.3636001,2.0434155,-1.2979392,1.819233,-1.4014096,-2.4570932,0.4483435,3.264365,-2.2003446,0.43784654,0.68048894,0.50441194,0.051159117,-0.3608268,0.016582502,1.6913829
HD-MY-Z,-2.3365145,-0.12991911,0.541926,0.6238017,-0.5738967,1.8378714,0.97888994,0.13114616,-0.32568938,-1.2944671,1.1364655,0.15953209,0.30968592,0.14564563,-0.116934344,1.0395485,-2.6082282,-0.65942174,-1.4903159,-1.3350906,1.1547519,-1.0652666,-2.0097196,0.62350106,0.48764956,0.5192309,-0.7336873,-1.1709487,-0.32717264,-1.3430345,0.7040088,0.12654278,0.40903312,0.5133424,-0.36053264,1.73691,1.8218685,-0.37348008,0.9263899,-0.9812972,-0.44192275,1.6253312,0.11289852,-0.48912865,-0.015117675,1.6666448,-0.5661164,1.1456403,0.36538935,0.6803336,-0.18956417,-0.9593737,0.22078513,-1.1696105
SNU-1079,0.1100095,-0.77781034,1.0379522,-0.99032915,-1.1641177,-0.76051354,1.9698137,-0.38212052,-0.40176728,-1.2721194,1.1224413,-1.1546606,-0.49244118,-2.4033895,-0.46608403,-3.2852411,-0.25417095,0.9065834,-0.2572723,-2.4539797,-1.0165658,-2.533508,0.8719194,-1.3734958,-0.08089408,1.0453265,1.2357297,-0.19745708,0.12194742,-1.744991,0.289333,0.5424869,1.756967,0.88480973,-1.1331339,0.8530214,2.0819333,0.7238062,0.1425717,-1.892228,-1.2239245,2.243942,-2.3747423,-0.82324404,1.2473395,0.5089407,0.46130657,2.2430956,1.2982935,-0.15912269,0.82954633,-0.79984623,1.7669535,-0.6066511
JHUEM-7,-3.9441352,1.0700804,-0.6092915,1.3634256,2.660739,1.5867832,-0.82218784,0.34716946,-2.877682,0.5673727,-0.5428773,1.1550839,-0.65597516,0.7367015,0.37523833,-0.2142542,-0.8033584,-1.1584312,-0.23958583,-0.31343785,2.0842025,1.2001064,-0.21574807,0.4099602,0.86208314,-1.4857156,-2.560319,-0.57745934,-2.3831747,2.397733,2.2695582,-0.5500537,-0.93699515,1.0561532,0.09156579,0.03662923,-0.05486509,-0.10966292,2.5775905,0.70421594,-0.24093834,-0.49916267,0.3213473,0.30764157,0.7136187,0.14088875,0.85685366,-2.3548748,-0.4585842,1.2892176,0.24081938,1.03803,-1.8698748,-0.49793172
MFE-280,0.9099424,1.3676953,0.7148013,-0.14774825,1.2276827,-2.0768986,-0.3363123,-1.2042336,0.29776466,1.083108,-0.029686019,0.53292584,-0.5946954,-1.5766298,2.3803678,-4.466688,1.5418452,2.3751981,0.6958637,-3.4454575,0.35695216,-1.309936,0.8673569,-2.657289,-0.5202003,1.5569851,0.18219835,-0.1277004,0.7659778,-0.021050304,-0.78388584,0.8950436,-0.44899082,-1.7357178,-1.0366921,0.12394732,1.5309737,-1.4190544,0.7596727,-0.35863742,-1.7398928,-1.7435257,-1.6308467,0.23050681,0.20325491,-0.8061199,0.3694671,0.7512273,-0.9915348,-0.6826151,-0.12068635,0.72245324,0.91504335,1.5830549
DV-90,-0.044659704,-0.73568934,-0.35577214,-0.6832764,0.15631625,0.5231514,-0.5778399,-0.8649078,0.51691574,0.5674479,-0.1532329,0.5100884,1.1125692,0.56979674,0.7519546,0.3848691,0.8854033,0.41448188,0.45577228,-0.123933986,0.5120196,0.48738945,0.7843577,0.81451845,0.221279,0.1991236,0.31620556,0.72461855,-0.44472203,0.42011827,-0.091115415,0.047956377,-0.08019406,0.07000087,0.09377104,0.59185797,-0.89340377,-0.60326946,0.001115744,-0.74230653,-0.8241613,-0.33633712,0.3486762,0.36333045,-1.0092176,-1.3653953,1.055877,-0.54126704,-0.24959254,0.14184351,-0.06551658,-0.9812067,0.5511031,-1.0810393
EBC-1,-0.63601756,-0.6782533,-1.7941226,1.7897451,0.46463776,-0.20887065,1.0427238,-0.8527922,-0.063717164,-0.2684644,0.69854474,-0.7602457,-0.78909963,1.2006814,1.9993312,2.8884776,-2.6612535,0.2175013,-0.16205953,1.5288794,0.86266726,0.8845575,1.0326277,1.2608893,-0.08578097,-0.48434284,-0.41260716,-1.3152754,-1.5985562,-0.7730236,0.5795623,-1.6476938,-3.001942,-1.5367798,-0.51171833,-1.8295462,0.35878366,-0.25151888,1.3473742,0.31302124,1.879696,-2.263749,1.6185098,-1.1633073,-2.1212652,3.1200294,0.7396977,-0.25827125,-0.3468696,-0.6637936,-1.2790604,0.5427525,-0.1567891,0.076479524
SNU-878,1.0624944,-0.46036553,0.30991763,-0.3926867,-0.8302984,0.20085588,-0.7613555,-0.14447021,0.28285393,0.4480694,-1.344309,-0.00504788,0.8690177,0.09978534,0.042861074,0.064563334,1.336337,0.53093463,0.3979907,0.59367347,-0.14093743,1.1072713,1.2449532,0.2850289,0.5475713,-0.40255123,0.22006187,0.7450402,0.36280355,0.2430309,0.12637421,0.32070392,0.038488027,-0.57324123,0.28268546,-0.0063282587,-1.061428,-0.045667082,-0.6407289,-0.83097106,-0.42558822,0.08293602,0.8290515,0.5312988,-0.97249526,-1.8776727,0.54891384,-0.99021196,-0.006457489,-0.29784468,0.30452096,-0.47734278,0.0647818,0.08372694
TE-11,0.16445154,-3.0508585,-2.7137344,2.5183954,0.08680205,-2.1158085,-1.0523065,1.7227901,-1.2887976,5.2501345,0.29219696,0.35838518,-3.7203186,3.340199,-1.2433716,2.0333276,0.15471289,-0.86294514,0.832092,-0.4030888,2.6735156,-2.8555527,3.8530898,0.6909068,-0.17754076,-0.38923138,-4.975974,-2.9932668,0.5601206,2.6049056,-1.708439,-4.1914964,-3.481168,-1.1738002,1.8287808,-1.8711811,0.68427944,-2.1821468,1.5181537,0.93535197,-2.134156,-6.4237466,1.9487609,1.8521526,-1.5862978,-2.9146175,1.3028167,0.8177811,0.49827707,-1.3993634,-3.01551,0.04892327,0.7549921,-0.6642843
TO 175.T,0.95995796,-0.3930969,0.16073422,-0.4085523,-0.9070062,0.4411355,-0.8716038,-0.096977316,0.29435554,0.331226,-1.3591301,0.10234539,0.9526984,0.5096952,0.17287217,0.38175482,1.2959788,0.2824682,0.44303232,0.796771,-0.1228971,0.8182591,1.0311792,0.27755713,0.36759746,-0.47663656,0.24695164,0.3698365,0.05906075,0.23106202,0.15332487,0.59342957,-0.22470173,-0.51288176,0.07850976,-0.24492282,-1.29337,-0.066569746,-0.54649705,-0.74946684,-0.5150247,0.12753838,0.8590345,0.61486334,-1.379333,-1.6439782,0.21390128,-0.8692275,-0.011594966,-0.4502868,0.21808974,-0.25764227,0.11939203,-0.14937446
RERF-LC-Ad1,1.2827348,-0.005839726,1.0285287,0.26989028,-0.4560145,-2.2293413,0.35120988,-0.10418446,1.0697192,-1.3526502,-0.49520555,-1.3953174,-0.33670366,-1.4419552,1.7279325,-0.00667144,-1.020987,0.8463354,0.022658914,1.7424836,0.5758469,-0.9221118,-0.40571204,1.1899471,-0.4208965,0.46431184,0.18251695,-1.9986727,1.5177959,-0.43090293,-1.1068258,-1.1986252,-1.1330414,0.35659143,0.032805637,1.2927324,2.4865315,0.77732384,-0.31567678,0.12182236,1.8977975,-0.9979663,1.9113443,-0.6957555,1.9122056,2.3307073,-1.5436113,0.43872052,-0.054504685,-0.69436365,-0.43110457,-0.07006125,-0.45299524,0.33583376
IGR-39,4.8062644,-1.8535143,-0.10154043,3.7866023,-2.0837247,-2.6631894,0.63654774,-2.101251,-3.3179903,0.6980119,-1.2732651,-1.1901693,1.4362066,-3.8162284,2.2441506,-1.335678,4.87488,-0.9224222,3.5335798,0.944079,-5.076357,5.4423695,-0.2654062,-5.147135,2.89295,1.289157,-2.2003403,-1.2441663,0.56893784,-0.158895,-5.335739,0.39712265,-0.34776324,-1.4169233,1.2260389,-2.476558,1.1098917,1.250047,-1.605448,-0.9540993,0.42797074,-2.1302001,3.0900393,-0.4343414,1.0866958,-4.383786,-2.466998,3.5243902,-4.400919,1.5562842,0.42023328,0.96634996,-2.5257103,3.0681772
HT-1080,1.5832765,-0.8650584,0.13595523,0.5066508,-2.411693,0.8156483,-0.12872443,0.3199187,-1.3223822,1.3221871,-2.4883566,-1.1329187,-1.0076531,-0.03422779,-1.7849398,-1.8193692,2.8452039,-1.2189918,1.3865405,0.04208178,-0.93768454,0.61508965,2.9114368,-1.7707273,-0.03001681,-2.2851021,-0.9769267,0.6463873,-0.86612993,0.7492788,1.9290446,1.1641058,-0.1789546,-0.03074503,0.1310061,-1.4537948,-0.6286925,0.71593153,-1.943276,-1.9585173,0.73615503,-0.38504958,1.2226344,0.6832904,-2.0444775,-2.401041,2.0039937,0.1387168,-0.7222718,-0.407815,0.39148036,0.9468711,1.0359688,1.0567583
JHOM-2B,-1.2597002,0.6475586,-1.7131271,-0.6392411,0.23314916,0.17544061,0.89955497,0.5118726,-3.078462,-0.27221367,-1.7064661,2.0233,1.5253654,-2.195752,0.99036944,0.0975614,-1.8398862,-0.7464701,-0.90142006,0.44719407,1.9747179,-0.22418949,-1.1443694,0.5597236,0.6642323,-0.991339,-2.544632,-1.2101864,-1.4082053,1.0165359,0.56391567,-0.86005294,-1.9315765,0.70842415,1.4770386,0.11847389,1.586362,-1.0656278,1.6778109,0.44512564,1.0768702,-1.3195312,-0.8276946,-1.589874,-0.51676315,3.6087117,1.9422314,0.77299887,0.7503596,0.8138167,0.1517401,0.26470363,0.97708786,-1.4350983
SK-HEP-1,-1.7265475,0.2213308,-0.48415142,-0.26144356,-0.5854369,1.3126638,1.1830177,0.7268411,0.2088984,-1.3823303,2.0054371,0.7933812,0.010635151,0.2820291,-0.19689031,1.0872511,-2.950976,-0.6816075,-0.53700376,-0.15256882,0.7971419,-1.4271078,-2.5353796,1.0273336,-0.5085326,-0.4844172,-0.8646472,-0.83789563,-0.1890199,-0.39148217,0.46339288,-0.6655953,-0.7675081,1.4299641,-0.6822315,0.6935855,1.9664956,0.00033335574,0.4764655,0.04365161,1.0838057,1.0429449,0.18261231,-0.3976125,0.19835946,3.368993,-0.11074677,1.0972669,0.3469623,0.41989827,-0.12160861,0.3918623,0.5849238,-2.0562341
SNU-61,-2.1724691,-0.08328843,-1.1663046,0.6802205,1.5793519,-1.0011483,2.3115685,1.0170975,-1.3110547,1.9933147,2.25828,-0.11790275,-2.040925,-0.35765928,-2.3323066,-0.9258234,-0.9588416,-2.0533185,-1.7577727,-3.495638,0.98896205,-2.0326667,3.3306293,-0.5904669,0.12976643,0.41731516,0.7296605,-0.80608904,1.4563614,-0.76465607,1.6253191,-0.4124559,3.2663865,1.288004,-0.6484771,0.13373609,1.2769163,1.0333632,1.4678144,-1.778769,-2.3575957,2.0481086,-3.368685,-1.5127366,0.8309013,-0.22272514,1.6589081,1.3896341,2.1981776,-0.026695073,-1.0067179,-1.6093057,0.9699442,-0.78580844
T3M-4,1.1240703,-1.516302,0.24508357,0.62957716,0.07145061,-2.0993621,-0.2745908,-1.6030601,0.039048735,1.2846884,2.42523,0.26790816,-1.8999058,0.6417727,0.8566158,-0.7758659,0.38669017,2.1002045,1.8144647,0.21654534,-0.055590183,-1.3627193,1.3639287,0.256287,-1.4091797,0.41845742,-1.5077586,-0.91513467,-0.22638792,0.23284051,-1.5646437,-2.408845,-0.49192238,0.45221597,-0.5785833,-0.14124519,0.8483125,0.2275612,-0.7611304,-0.10401506,-0.6412951,-1.6242782,0.84434205,-0.5211788,1.2734133,0.016159907,0.31348994,-0.09004435,0.11650716,-0.40636057,0.8090162,0.7195549,1.740979,-0.81177634
HCC1937,1.5881767,-1.0475786,1.4871416,0.65615404,0.19385383,-1.0842367,-0.71847564,-2.0144918,0.9722866,1.3141253,0.7921696,0.28942594,-1.0176404,2.2451406,0.9553356,-0.5211946,1.6426806,1.6743863,0.15864165,0.46892616,-1.3647388,-0.11108188,0.022451088,-0.23575525,-0.97196996,0.2677403,-1.1646299,0.3036634,-1.2108424,0.16672039,-2.0236144,-2.037124,0.12862808,-0.23760301,-0.5685765,-1.2998403,-2.2332244,0.5557622,-0.9864001,0.891406,-0.018549558,-3.0433567,1.9104754,0.3975929,-1.3224976,-1.5358628,-0.08397641,-1.7537272,-1.447227,-0.94842494,-0.15308048,-0.19383498,0.30356798,0.8668381
T98G,1.0444038,-0.22622758,0.429298,-0.42630166,-0.8061084,0.2875148,-0.48346466,-0.1337332,0.06869367,0.22441642,-1.2179217,-0.003287932,0.84900093,0.164312,0.35269612,0.21245024,1.2862515,0.11448833,0.6572169,0.29719663,-0.17763656,1.0724282,1.2639519,0.24816796,0.4176355,-0.26951045,0.3622166,0.25968215,0.067889266,0.25714326,0.16036247,-0.4448656,0.021344092,-0.5699156,0.11463177,-0.46274054,-1.2006493,0.03835101,-0.6370886,-0.86833084,-0.40597823,-0.20598994,0.9702313,0.5614971,-0.9275121,-1.8298825,1.0378141,-1.0730494,-0.0028028395,-0.30632076,0.24891242,-0.3510815,0.08051358,-0.13425444
TE 125.T,-2.9641125,2.0362062,0.5858382,0.7300412,3.3620813,0.92108756,0.29212686,0.81099254,0.25064972,-1.3503807,1.2086098,0.51620847,-0.93936944,1.436102,-0.65089417,2.000949,-1.3725733,-1.5747024,-1.4923041,-0.61590034,0.9243655,-0.87869483,-3.1537979,0.5322042,-0.05723962,1.113455,-0.3914894,-0.36736387,1.2340144,0.7211894,0.42320076,-0.13663904,-0.4293779,1.6031382,0.64722764,-1.0157396,2.562022,-0.30401927,0.16045004,2.8897514,0.6544673,1.0660639,-0.3828361,1.799737,2.5242538,1.1685419,-2.9296443,0.32299477,-1.3464569,1.3660296,-1.6126734,1.3954175,-2.108652,0.2449962
SW1417,-0.39640227,2.8635468,0.17023517,1.6969981,2.7983692,-1.1850666,3.051134,-1.692104,-0.04191694,-2.343638,-0.030693889,-0.3172365,-0.11233581,-1.0150647,1.2300423,2.5527287,-1.2503167,-1.5081071,0.06426663,2.2587986,-0.34453624,2.339502,-4.106431,-1.6718103,0.304932,2.2045183,0.42674235,-1.7643397,1.1026778,-1.2365862,-0.88066864,-1.2218008,-1.7177849,1.4638246,1.2054493,-2.1572495,2.0625956,-0.21404582,0.9033941,1.9834427,3.6921892,-1.8090221,0.40633398,-0.6409915,1.7600598,3.484766,-3.4088185,1.437668,-2.8970287,0.31009966,-1.593408,1.0342112,-1.0803971,1.1347065
CAL-85-1,-0.53067684,0.13476405,0.6412341,-1.7539274,1.4494898,0.11148571,-0.52520984,-1.5041527,1.2573758,-0.9494537,1.6681052,2.382746,1.6366856,0.51630545,1.1042805,-1.1103449,0.6492065,1.9009252,0.62792915,0.1443988,-0.50122106,-0.3636509,-1.6429765,1.050248,-0.89632905,-0.34684283,0.35860237,0.65067923,-1.1549215,2.0047429,-1.1325419,-0.03644138,0.8865619,1.5374982,-1.082705,1.2658708,-1.777622,0.19103149,-0.41223234,1.2867061,0.40314385,-0.592615,0.5291595,0.5938567,0.15717039,0.014359005,1.444995,-2.052431,-0.8466781,-0.07497965,0.3862974,-0.9691618,0.88451004,-1.7396184
Hs 294T,0.3702401,-2.062394,1.0769113,0.32534888,-1.1298829,0.6456094,0.5630066,-0.9910179,-0.6210798,-0.059446983,-0.68063664,-0.73921764,0.25321817,-0.47917008,1.047249,0.6270859,-0.093082115,-0.43609238,0.6313963,1.1032298,-1.1858727,1.7981243,1.509138,-0.0603734,1.7844682,-0.17766628,-0.4415108,-0.08522453,-0.653453,-0.83230525,0.26063037,-0.7333571,0.5864135,-0.13993558,0.13560282,-0.6331477,-0.3262576,1.3834718,0.2080727,-2.2378857,-0.39483267,0.83187497,1.8776413,-0.58541536,-1.4683919,-1.6518322,0.06064479,-0.8588042,0.03407672,0.46921742,0.75335467,-0.57590145,-0.06436723,0.43614158
Lu-65,1.2495931,-4.6355925,-2.2042153,-2.0213754,-2.021349,-2.185813,1.9326545,-0.3886018,-1.4618843,3.2122715,1.9543264,1.1570926,-2.5870683,-2.235295,-1.4654927,2.4527504,-3.9633896,-1.5392606,1.5542829,1.7731552,-3.674818,0.19840966,-1.3030976,-0.99210227,2.2150035,1.3700719,-4.327457,-2.097903,0.43338275,-0.17221548,-3.2158024,-2.7615724,0.5513039,3.278426,2.855858,-3.2771664,4.2664766,3.2301114,3.178288,-0.715284,1.3206613,2.2249308,-0.32481092,-3.3336358,-0.029786438,0.7506726,-4.2078543,2.3437111,0.8479802,4.6578655,0.36507955,3.3132749,1.8266399,-1.8386285
SNU-761,1.0739897,-0.5366757,0.33842212,-0.38488126,-0.8408946,0.22775196,-0.44119617,-0.13256049,0.33374724,0.3753969,-1.3142956,-0.00999725,0.9815653,-0.18397044,0.20498782,0.026552722,1.4627258,0.084864564,0.7473121,0.7618026,-0.10610896,1.1115661,1.2525799,0.28510967,0.4909708,-0.35333568,0.35228574,0.4161654,0.30980432,0.29242656,0.14088987,0.089770526,0.08042496,-0.5887136,0.14242604,-0.22004451,-1.3179708,-0.08525485,-0.64962745,-0.8323351,-0.47360337,0.17966428,0.9304198,0.53359586,-1.1401907,-1.7371314,0.8218192,-1.2502091,0.03622326,-0.30490565,0.28054512,-0.28258035,0.035358112,-0.039474472
SW1116,-0.68611336,0.73462623,-0.19884671,-0.89621174,-0.9725565,0.7558725,-0.9901611,0.67065674,-1.3809468,0.21684165,0.38385928,1.5743458,1.131721,-0.8443095,-0.11860709,-1.9680591,0.4285862,0.06133906,1.6344798,0.05808287,-0.2407097,1.1344967,-0.8130386,-0.6047909,-0.61187774,-1.0457515,0.45334172,0.9713397,-0.83676016,1.2642684,0.18803222,1.693315,1.2601637,0.37519008,-1.0841851,0.32334387,-1.2563509,-0.26900643,0.37457755,-0.3147358,-0.75814563,1.8072749,-1.0041616,-0.27633664,0.7379622,-1.0983007,1.1710982,-0.78062755,0.18725304,0.6958231,2.3530755,0.59511465,0.10437611,-1.2997768
