,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53
P12-Ichikawa,1.1351826,-0.18896818,0.45767477,-0.30750695,-1.0118186,-1.559819,-0.07345298,0.776172,-0.46398866,1.7073147,-0.05171123,0.6714403,0.17117213,-0.8103997,-0.17785704,-1.3254884,0.6578946,-0.30344185,1.4295733,-0.83246654,-0.11778095,-0.20864555,1.9656229,-0.5979022,0.16156188,-0.22482137,0.63744587,0.45320967,2.1640337,0.4417247,-0.4362452,0.34537208,1.6078454,-0.63690746,-0.91406375,-0.7690167,-0.59720427,0.5525945,0.032657377,-1.2088962,-0.5332514,0.2345006,0.08909683,-0.087767676,0.20007092,-2.0325556,1.455694,-0.6013079,0.9378521,-0.784297,0.34296516,0.06653489,0.33388695,-0.20825048
Hs 939.T,-0.05230411,-0.93208164,-0.06348163,-0.020154549,-1.4713845,-0.42258057,-0.6589851,0.32082933,-0.63611114,0.8129431,-0.018201357,-0.87679195,-0.21550526,-0.6681044,-0.19467883,-0.6541351,0.25232401,-0.1427982,0.81832737,0.2703554,-0.8175996,0.9817527,1.951001,0.10862844,-0.045826804,-0.094723396,0.45610458,0.76129556,-0.7481921,0.3961776,0.3179719,0.36257985,0.95238024,-0.051000774,-0.63428956,0.007380128,-0.82633406,0.7406192,0.2648443,-1.4130896,-1.147373,1.4048783,-0.19314018,-0.64369124,0.6608722,-1.801599,0.1154248,-0.917513,1.1524938,0.23891146,1.8784279,-0.09526022,-0.034367137,0.13423842
SNU-899,-0.452646,-0.23303384,2.9496963,-1.9077971,-2.4973621,2.2452133,0.5041323,0.12686177,2.7414742,-3.6077964,2.9300132,0.22334382,-0.1938858,1.2660351,-0.15681767,-0.7379314,-3.8367815,1.3270165,0.14195913,-1.6499755,-1.5869219,-2.7379084,-4.472068,-0.04301116,-1.8476583,2.168664,1.658144,1.3639251,0.57006466,-2.996001,-1.9619154,1.2290282,-0.032579616,1.0491186,-1.5548202,1.0622417,1.564917,-0.36386132,0.7111163,1.0543749,-1.0580827,3.344133,-0.9577938,0.83491856,-0.046478868,0.8562412,-2.508172,1.7008483,-1.2812488,0.34203327,1.3004993,0.4496789,1.0493962,-1.737736
RMUG-S,3.3492997,-1.5805649,1.4093586,-1.0569066,-1.898654,-0.119899385,0.6277024,-1.2664932,1.7569206,-0.3116361,-0.67340195,-0.7299502,0.49272466,0.32291883,0.6274278,0.21917017,1.8850808,1.2750843,0.29747856,0.21728517,-1.9108135,-1.1586266,1.7304513,0.024818808,0.041901816,-0.22812651,0.4802735,0.46044675,0.20576662,-1.4165792,-0.57234925,-0.16833001,-0.06078878,-1.1314127,-0.5937692,-0.7715471,-0.37209892,0.17932728,-3.0876844,-1.119105,0.21942574,-1.5949997,1.6548314,1.540634,-2.8130498,-1.1761531,1.3977839,0.65826255,-0.33559677,-1.8251551,-0.8105717,-1.1385494,1.7571836,0.30498338
RL,0.015816351,-1.7393216,-2.2655382,1.7208084,-0.3470508,-0.559336,-1.6124548,1.4724628,-2.4482024,3.9066858,-2.3159726,-2.3179698,0.04004363,-2.5674796,-0.8584117,0.28460836,2.9855156,-1.687247,1.5665178,1.9888539,1.1068358,1.7458825,5.47723,0.5308513,2.7230043,-2.802909,0.6122069,0.3399447,0.6496065,2.0336704,1.6995858,1.6476412,2.1627896,-1.2462897,-0.6850141,-0.3072315,-0.6531441,1.2668929,-0.48350006,-4.0106406,-0.23956782,0.84973323,1.305716,-1.8440661,1.1347562,-2.9708135,0.6505476,0.12532735,2.6966467,0.93036926,0.022309363,-0.10633807,-1.2786584,0.63898695
HK-2 [Human kidney],0.9275753,-0.33666757,0.40767175,-0.37564868,-0.7461287,0.26024196,-0.802377,-0.06333083,0.45975953,-0.036814034,-1.3509381,0.020386487,0.92946553,0.008527234,0.11779711,0.14213507,1.4280068,0.23413998,0.29670423,0.71970475,0.040632553,0.91368395,1.2339716,0.42792147,0.42718446,-0.6319083,0.10311195,0.24632591,0.045431048,0.40139797,0.19292091,0.61104685,0.17250893,-0.46956724,-0.17991118,1.0820663,-1.0384045,-0.01475108,-0.5185785,-0.80678195,-0.58572775,-0.12319113,0.8487094,0.47969902,-0.70603484,-1.7298357,0.5161871,-0.98532724,0.07120562,-0.34134907,0.1902251,-0.7312223,-0.0107435975,-0.20111662
JVM-3,1.0557082,-0.45439044,0.2754929,-0.380264,-0.9533903,0.24356557,-0.7248272,-0.16674271,0.44671577,-0.06251024,-0.92768294,0.11161192,0.8724106,0.2277851,0.52051026,0.20247215,1.0608957,0.39190823,0.8244431,0.86558414,-0.3250182,1.0362896,1.0191453,0.19517252,0.27749267,-0.49245137,0.029596552,0.847698,-0.13295409,0.2256576,0.09517027,0.35921836,-0.092284076,-0.59653413,0.066429794,-0.313753,-1.2148327,-0.097351,-0.51453424,-0.6891368,-0.26122326,-0.09389487,0.85434,0.576813,-1.0347034,-1.5597486,0.5447019,-1.1417499,-0.117216825,-0.41696158,0.35610482,-0.2716139,0.06628204,-0.11531723
NCC-StC-K140,0.9201447,-0.24475223,0.48830408,-0.22563575,-0.8225512,0.304177,-0.85832685,-0.07038034,0.11490558,-0.11124462,-1.4424081,-0.16893488,0.9805779,0.021778673,0.12976693,0.08293701,1.3868712,0.2596497,0.6042679,0.5808896,0.052138455,1.0512569,1.321627,0.2609123,0.61016846,-0.6965862,0.32141286,0.41054362,0.06126213,0.20559339,0.20379083,0.4045253,0.093904786,-0.5524997,0.25934637,0.48287904,-1.2112991,0.08510386,-0.5003478,-0.89963484,-0.5067047,-0.021018095,0.8533561,0.40323117,-0.75786155,-1.9073437,0.54900295,-1.1569552,0.09108395,-0.36669546,0.09933241,-0.5691466,-0.12058082,0.1344102
RPMI-8402,-2.4992466,0.15616357,-0.007837846,1.0714251,0.76212835,-0.16680981,2.8579779,0.44090724,-0.99402195,0.73206365,0.22797954,0.37983885,-1.1965318,-1.245962,-1.2647524,5.24715,-5.0563807,-3.2091615,-3.6526923,0.700878,2.0578294,-0.45639548,-5.03205,1.0296446,1.0104668,0.78570855,-3.3670466,-3.763688,2.470992,-1.558435,-1.0197184,-2.9550805,0.40404025,1.640268,1.6062274,1.1912193,4.145045,0.68154347,0.9193589,0.43759692,1.5583493,2.3043125,2.0699217,-1.813487,2.1987305,6.3277454,-3.4490108,3.2159038,1.2537409,2.5744076,-0.79002553,0.2448585,-1.3839915,0.45070532
SNU-46,1.0365847,-0.47911322,0.21858835,-0.37464863,-0.8254736,0.19897524,-1.0287362,-0.1501533,0.55192316,0.515029,-1.2205993,-0.033066645,0.9659683,0.27246702,0.07894175,0.36509228,1.4287453,0.11668023,0.99469435,0.48006108,-0.08308982,1.1273221,1.304092,0.31418955,0.52737224,-0.3701465,-0.084868744,0.56343305,0.22412227,0.32235074,0.14803538,0.21423092,0.15952796,-0.6201615,-0.09898056,0.31448045,-1.2496943,0.14098069,-0.6252893,-0.9409741,-0.4543853,0.033294693,0.8374942,0.48408648,-0.77184856,-1.9649323,0.6318809,-1.1498708,0.061844893,-0.2610446,0.26884085,-0.4043115,0.012123174,0.2360031
Jurkat E6.1,0.2452466,-0.46178144,0.08242448,-0.30676493,-0.84660447,0.40448767,-0.8023401,0.20843309,0.1110781,-0.20390457,-0.53800696,0.040673204,0.4819679,0.26970315,0.49459237,-0.04604946,0.15196006,0.4604548,0.9152285,0.5092113,-0.23297809,0.35548082,1.0173544,0.61453545,0.29313812,-0.25070465,0.057876676,0.55830324,-0.41961652,0.32709384,0.088651076,-0.041404366,-0.37512368,-0.34625638,0.070841074,0.56967974,-0.63828975,0.1415111,0.4739224,-0.32529396,-0.557384,-0.16139933,0.46933287,0.46459678,-0.9166327,-1.5120533,0.29525715,-1.1005262,0.034844454,-0.39705554,0.25631174,-0.323364,-0.17740561,-0.36671764
SNU-1,0.96442854,-0.071570426,-0.020595456,0.1668353,-0.27680716,-0.5008711,-0.9185909,0.116797626,0.24288023,0.20264883,-1.0028125,-0.2992255,0.8623276,-0.52811664,0.6779543,-0.43165508,1.8492643,0.26917955,1.1249645,0.22772121,-0.30454153,1.0514977,1.3782138,0.1626352,0.32996997,0.045121185,0.21307433,0.28633747,0.6553966,1.0356696,-0.13176507,0.4911465,-0.6945998,-0.51708215,0.6009234,-0.272488,-0.44525337,0.1758984,-0.46211183,-0.008291331,0.07839326,-0.53722376,0.6035372,0.8396191,0.06316865,-2.0411394,0.21405946,-0.66277504,-0.8903932,-0.06004107,-0.29807997,-0.17189062,-0.7336027,0.023790255
