,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
KM12,-0.19355321,-2.9463618,-1.0491216,-2.0909133,-6.1056294,-4.7967525,-0.8066792,-3.4473104,0.7114647,-4.1233106,-0.6470334,-0.31295395,4.3414593,1.4837625,-4.031493,1.872471,3.2000818,-0.7744277,3.8156667,-3.026282,-2.3482823,-3.4425097,-0.26303583,1.215064,-2.411431,0.35028672,0.79099524,0.22618012,-4.763122,-0.34411976,0.32704198,0.63933146,0.12775026,-4.1752653,1.2140044,0.88489413,-3.6849737,0.3333686,0.580281,1.4784648,4.501088,-4.7606936,-2.016264,2.0655077,0.4389778,0.011854161,2.437191,2.6956487,1.4343649,-4.171132,-0.108971074,-0.5782137,2.0032682,-1.5883493,-4.7742457,3.2147775,3.100129,-0.80220944,-1.2724162,2.4498205,-6.239813,3.1359832,2.7291179,-0.8459465,-0.7369423,-1.1150761,1.0040065,-4.358006,-1.0892714,2.653542,2.5044518,-5.3760257,-3.8563516,4.3823457,3.682407,5.658584,1.0356627,2.3474982,1.8160869,2.0604346,1.9752295,5.4745793,1.6417454,-2.2442465,-1.6132576,-4.895701,0.13107401,-2.9502783,1.0914859,2.129397,-0.36655125,-2.3146942,2.8636541,-1.3132738,-1.7756597,-2.2638245,0.5089898,0.31800497,3.1716268,1.022847,-1.0629528,-0.7962333,0.4845047,0.015031785,3.555968,-3.225204,-1.7276969,-0.8599247,2.8810022,0.5887541,2.7612076,-1.1596421,-1.3829693,-1.6790239,-0.20285252,-4.084607,-4.20582,2.8055155,1.4960103,0.4567063,-1.2349231,-0.46545509,-1.4614139,-0.85258484,2.4854019,1.8876576,2.2243602,-0.32022002
OC 315,-0.44451237,0.33384925,1.0105435,-0.06944269,1.6280082,0.04394667,-0.21140963,-0.03793621,0.8783941,-0.24613465,-0.09623827,0.12642896,-0.63324827,-0.2206122,0.36624074,0.17628935,0.14570418,1.0545825,-0.7787116,-1.203884,0.5197278,0.28084698,0.1589357,-0.9271547,-0.04126829,-0.27222183,0.18600923,0.2376549,0.6719142,-0.065399006,-0.06443349,0.50646126,-0.61932003,-0.3152312,-1.4739844,0.16889887,-0.06339523,-0.21255305,-0.4988546,0.38148862,-0.9190411,0.1393789,1.1870788,-0.35068792,-0.656724,0.48065352,0.08582703,-0.72737867,-0.3547504,0.59538954,-1.2303195,-0.31082976,0.069243744,0.74845034,1.0156144,-0.61757934,-0.28948924,-0.54268825,0.19496658,0.44326234,-0.021172136,-0.23872174,0.55015934,-0.4738953,0.6717943,0.23767434,-0.20138872,0.6802729,0.66572267,-1.0891979,-1.2749183,0.14451355,0.6833757,0.5132252,0.6288354,-0.49280134,-0.47109526,-0.16843045,0.7963988,-0.46088606,0.036250256,-0.56010014,0.44244468,-0.07829419,-0.5204433,-0.45676783,0.067102775,-0.24441582,-1.1462934,-0.589753,0.16523716,0.67850626,-0.86377406,-0.28184086,1.0760952,0.3417052,-0.027837798,-0.18798861,-0.26496446,0.7928182,-0.8131573,0.6706121,-0.6803503,-0.55922526,0.90027165,-0.2295382,1.4060156,-0.35953227,-0.45169973,0.07454088,3.4237912,-0.19780126,-0.8139003,-0.07790094,0.6925826,0.25496265,0.15901953,0.2968499,0.86506826,-0.19794191,-0.111614674,-0.033447832,0.3012576,-0.67139775,0.5378306,-1.3279243,-1.070962,-0.86887866
PK-59,-0.5780829,0.12356258,0.88183796,-0.90646666,-0.33463115,0.1584661,1.2821045,-0.8550509,0.24871874,-0.21755159,-1.6301224,-0.25743848,1.9464163,0.32607138,0.32140866,0.17696854,0.05401852,0.7112309,0.36237925,-1.3732669,0.14064781,-0.8742603,0.098166,0.49851236,-0.7544267,0.3437854,-0.108871564,-0.41087097,-0.51455474,0.120577306,0.6307663,0.6990862,-0.021504927,-0.030041397,0.8444975,0.25419024,0.126237,-0.35491017,-0.104395665,0.7706255,-0.5313194,-0.44290453,-0.7528574,0.44559494,-1.8453128,0.8328148,0.18937355,-0.033732142,0.4664633,0.2671217,-0.23899184,-1.0493152,-0.7187283,-0.07575728,-0.41816473,0.19197378,-0.40639576,-0.2523212,0.118048884,0.74162877,-0.01368653,0.51728433,0.722511,-0.8743996,0.61783385,0.16937566,-0.30348995,-0.46372837,0.07817893,-0.32260936,-0.4755714,-0.06940399,1.0958946,1.1028328,-2.2671883,-0.47869623,-0.38400877,-0.2814495,0.82866585,0.17077792,0.50137144,-1.4063858,-0.6329379,0.28310528,0.67132014,0.65128773,-0.21856119,-1.2183759,1.1952612,0.43217528,-0.25755197,-1.4603139,0.88259405,0.029202942,1.0026336,2.5381057,-0.5488815,-1.0914071,1.7686332,-0.75003767,0.9611827,1.0738555,0.24750063,-0.5931284,0.9785039,-0.3520102,-0.24136834,-0.64712536,0.43028733,-0.23068422,0.522859,0.2554714,-0.43045786,-0.19050339,-0.08069105,-0.40338656,1.6606708,1.3160682,-0.65141994,-0.4237144,0.30056024,-0.023507223,-0.5731051,-0.67850137,2.051661,0.94922286,1.0007467,-0.084222704
SNU-245,-1.0119396,0.34715536,0.8598172,0.46735227,1.4913939,0.17950197,-0.23323622,-0.03511789,0.7426658,-0.17274581,-0.021331983,0.114870965,-0.7239976,-0.15113719,0.38907608,-0.016764939,-0.35003528,0.67884886,-0.18758664,-1.1712124,0.5625182,0.5953643,-0.008510595,-1.3364803,-0.09959603,-0.62703645,0.5580074,0.27993885,1.1948253,0.004245769,-0.4041662,0.5008892,-0.76924556,0.2614587,-0.803442,0.12189314,-0.22666061,-0.23072337,-0.49162036,0.61257637,-1.0685852,0.1693731,1.416861,-0.3728701,-0.46066684,0.52865297,0.07537698,-0.36246365,-0.45981592,0.5873649,-1.0869492,-0.3608303,-0.025875613,1.0016234,1.8620603,-0.61852777,-0.20953012,-0.6533709,0.5128537,0.2415739,0.80905503,-0.30982667,0.5364575,-0.5368309,2.7725673,0.333503,-0.18072952,0.9180731,0.6841784,-1.0911131,-1.076551,0.46559888,1.4193442,0.47068334,-0.43770802,-0.50116146,-0.5131912,0.1919269,0.78384465,-0.42454663,0.30535647,-0.48780322,-0.69341147,-0.33163995,-0.5200275,0.07017827,0.08565157,-0.2967287,-0.8164964,-0.42645893,0.20425747,0.70146906,-0.9431917,-0.21536879,0.9667937,-0.5032152,-0.020404167,0.048400734,-0.43003944,0.7339939,0.07072771,0.67073315,-0.9434347,0.36584944,-0.23668009,0.09923553,0.5353105,0.78940403,-0.4668518,0.09674557,0.16057247,-0.37524787,-0.9433423,-0.04012248,-0.030802906,0.27724546,-0.17668477,0.32718992,0.80511576,-0.1812724,0.15245436,-0.24705493,0.09384249,-0.749628,0.59445596,-0.5278532,-1.5297103,-0.68544304
SNU-8,-0.9725829,0.7685248,1.0549935,-0.75154793,-0.19294804,0.09160252,1.084985,-0.6371848,0.97602975,-0.5068329,-1.1511935,-0.03699591,0.06796084,-0.08460723,0.9111954,0.124954075,-0.57883674,1.3483497,0.498431,-1.3744166,0.51372397,-0.0018083751,-0.07437481,-0.17623891,-0.21973766,-0.22764182,1.1064242,-0.403459,-0.33955216,-0.12031963,-0.058818415,0.9604083,0.38832033,0.5843353,0.3919744,-0.68887764,0.29275692,-0.48571372,-0.8244744,1.0662318,-0.749296,0.17960648,0.08064042,-0.28823483,-0.98756164,1.509511,-0.039198212,0.08168637,-0.3001954,0.12473339,-0.7496605,-0.96531224,0.29927367,0.25750813,0.8490803,0.04945619,0.65937567,0.028989574,0.4571403,0.8141613,0.7213136,-0.14875235,0.702954,-0.82763267,0.67079353,0.08907002,-0.34042808,0.06961617,0.92148876,-1.1062378,0.044592544,0.5117666,0.9674363,0.97770697,-1.6743928,-0.35385475,-0.70596856,-0.74767816,1.2917104,0.028834764,0.5800992,-0.7880836,-0.48712823,-0.65484434,0.33165175,0.6102432,0.18651241,-0.83023095,0.71372855,-0.7051425,-1.0161563,0.09642909,0.06572772,-0.11689874,1.5187227,1.4733928,0.23929553,-0.8469305,0.93562686,0.7773447,0.31159014,1.779529,-0.14465263,-0.033096418,0.13678965,0.71114874,0.2935053,-0.35881418,0.036663637,-0.29763883,-0.13163862,0.091745414,-0.63924944,-0.2162129,0.5930626,-0.298315,1.3964342,1.0066473,0.030668981,-0.3115101,0.16193661,-1.3442185,0.024019426,-1.0206664,1.4278476,0.315482,0.3029756,-0.3305134
HCT 8,-0.5149178,0.17460547,0.61314714,-0.8781997,0.09532131,-0.44808933,1.2109338,-1.2797217,0.0764911,-0.033948515,-1.7617071,-0.13126396,1.9001164,0.37870857,0.3103108,0.20757337,-0.04497564,0.6827923,0.7242372,-1.2564585,-0.3917536,-0.49134755,0.17418687,0.7136821,-0.7903496,-0.16763715,-0.15549754,-0.37373552,-0.88868564,0.12821218,0.67990595,0.77654445,0.03493449,-0.09320587,0.9519982,-0.39768454,0.150964,-0.79237825,-0.14451623,0.43767947,-0.8243753,-0.4677989,0.4645688,0.6118151,-1.2745458,0.79846525,0.7314311,0.012010199,0.51779073,0.68806887,-0.20654717,-0.40938082,-0.7068897,0.13192827,-0.5899967,-0.066697806,-0.043439746,-0.19121563,0.15467206,0.83864355,-0.017774941,0.51425385,0.7348441,-0.66557765,0.66057587,0.15782943,-0.44347978,-0.4614992,-0.12550266,-0.08760096,-0.51272064,-0.073439546,0.8689568,1.0213317,-1.3153876,-0.47379377,-0.61882454,-0.5940116,0.81509805,0.45802867,0.47008464,-1.305742,-0.7448603,0.100536615,0.50681734,0.6176058,-0.22468893,-0.6107907,1.1987861,-0.62566,-0.11179164,-1.8134212,0.9014672,-0.23112522,0.93659735,1.4679502,-0.5436688,-0.93150353,1.7590936,-0.69355744,1.545302,1.1545036,0.101578556,-0.6064677,0.79742575,-0.2001485,0.023570716,-1.3132243,0.4142601,0.527038,0.12802783,0.03646349,-0.57566774,-0.2569418,0.24852493,-0.4422359,1.8335396,1.3419844,-0.63767356,-0.48695594,0.17401657,-0.24616754,-0.9040419,-0.5480056,2.111671,1.0190704,1.0894556,-0.0491474
Hs 688(A).T,0.11221443,-0.23557585,0.06999323,0.19045413,1.2072614,0.18696485,0.43544158,0.0008601872,0.69977903,0.5930028,-1.1207657,0.34767982,0.8895314,0.29476586,-0.1551995,0.57708335,0.2896114,0.24560401,0.026568025,-1.1667484,0.5835729,0.73266083,-1.4298803,-0.8731193,-0.4948202,0.5267724,-0.7601608,0.145385,0.24447393,0.24400058,0.7566228,0.3572821,-0.8809104,0.48125535,0.15902558,0.07099083,0.06347197,-0.51183105,-0.13548735,0.24659514,-0.72466415,-0.37577832,1.2614092,0.1299751,-1.133088,-0.16649158,0.75582147,-0.34371734,0.36114976,1.2862704,-0.61380935,-0.6450043,-0.64011705,0.3511896,0.17544018,-0.43819138,-1.0066947,-0.77131397,0.407756,0.39053205,0.03742875,0.32268515,0.63869613,-0.32401633,-0.47184265,0.42406175,-0.10393365,0.2012573,-0.048143722,-0.11458802,-1.7401538,-0.08790577,0.67248243,0.47031158,0.42271218,-0.9266561,0.02341044,0.09574863,0.22421435,0.02222126,-0.09253007,-1.2524788,0.2744382,0.61537707,-0.310011,-0.33280343,-0.14725202,-0.062782526,-0.66620314,-0.87819254,1.084333,-0.89329576,-0.15259692,-0.2898971,0.9776813,-0.21503063,-0.861965,0.034678295,0.3239138,-0.654597,0.9953942,0.015473917,-0.5993898,-0.8097118,0.5566509,-0.6475518,0.30025876,-0.39651805,-0.1396873,0.3461218,1.1007495,-0.01988462,-0.46960813,-0.016438618,0.08973594,0.3028663,-0.002777189,0.5633556,0.044569895,-0.23240793,-0.085261434,0.649823,-0.86829203,-0.4396746,1.1445382,0.032776147,-0.6239269,-0.713516
SNU-182,0.087550014,0.6243647,0.6688263,3.003022,2.2035074,-0.33569208,0.9163306,1.0862918,-0.2818906,0.9505807,-0.9660931,-0.22821994,-0.8726219,0.036477536,0.16810392,0.70335764,1.4141959,0.9445276,-1.766835,-2.0246902,1.0222548,1.6440299,-0.028628856,-1.0054471,-0.21136108,-0.19408351,-0.6546458,0.5494004,1.5264437,-0.09823565,1.6782538,0.20453194,-1.5117401,1.9870802,-2.7203336,0.6134403,-0.03181552,0.51753813,-1.154591,-0.45820016,-0.048130244,-1.8486063,3.932657,-1.2572639,-2.5103352,-0.08397432,0.72438097,1.4641216,-0.6578101,0.65978414,-0.9217563,-1.5190016,1.835597,1.9751835,-0.89638406,1.2627627,-2.7644353,-0.39838922,1.3578157,0.85200894,-0.20995903,-0.26111233,2.4744208,-0.43024874,1.3981551,2.52823,-0.5762542,2.8045874,1.044149,-1.1396635,-3.372902,2.095523,2.481059,0.66326755,2.242621,-1.8612462,-1.0458627,0.8618576,1.3205159,-0.42984354,-0.44644156,-1.437832,-0.7766603,0.51038027,-1.8564764,-1.0184689,0.68100816,3.0691998,-3.0500426,-0.25653055,-0.23556972,1.1479638,-0.6167708,-0.89167494,0.8115106,-2.1692777,-1.4432652,0.20228204,-0.53805745,0.032044977,-0.49208078,0.44354025,0.37819564,-0.27874961,0.8829115,1.2726362,0.4271561,1.4875278,-0.2453275,1.797805,-4.187828,0.7307112,-1.4952589,-1.6069967,0.03465368,0.6330437,0.80111235,0.5591468,-0.37126702,-0.1469666,0.97900635,0.5827682,-0.8875457,-1.6318268,-0.7886968,-0.21077767,-1.7369244,-1.8463408
TEN,1.0290562,0.38704842,1.0954756,-1.2330136,-1.2755923,-0.9805931,-2.9449544,0.30747363,-0.837304,0.3608107,-1.5498754,-0.13947444,-0.6412999,0.5361863,0.58845925,-0.11075928,1.8164933,1.314903,-0.8774104,-0.8357112,-0.66014415,0.49176463,-1.0665967,-0.49292633,-1.2914742,-0.5354013,0.13340509,-0.14040257,-1.1878324,0.59708196,-2.1032076,0.24562116,2.0134006,0.57757664,1.0985457,-1.5773674,-1.5154116,-0.046035096,0.4304402,-1.5930078,0.7656629,-1.0702567,1.0753446,-1.4687594,-1.9668543,-0.17395723,0.06928101,0.46838194,0.35419145,0.9929818,-0.8283112,-0.87095404,0.0740951,-2.3818243,0.5844276,0.74733824,0.9458215,-0.47140107,0.70618314,1.201266,0.013752282,0.7249692,1.1313603,0.6284132,0.7574476,-0.13087347,0.25520054,0.66673684,0.84138006,-1.3518326,0.20512223,-0.2698238,-1.2725289,-0.19916885,-1.6995099,-0.7409521,-2.111277,0.27491373,-0.4001443,-2.0847256,1.0089301,-0.538061,-0.93224263,0.17390028,0.20173302,0.6287769,0.9202707,-0.90798247,-0.09581308,-1.0382061,-0.66007024,2.4294176,1.3198944,0.77968925,0.5701813,2.558878,-0.2875518,0.08717599,-0.069100246,-0.29405805,-0.6508236,0.40499556,-1.743415,-0.28877032,-0.20922372,0.24736819,-2.2599733,-1.3777525,1.8738387,0.24800622,0.7152946,1.7727429,0.37658355,-1.0789976,0.41168797,0.35138768,0.5304668,1.2216444,1.5557686,-0.57595503,0.5624427,1.3280656,-2.068621,0.33283952,0.61065567,1.7080477,1.665434,-0.46866164
Evsa-T,-1.0350691,0.23108836,1.9541273,-0.21565402,2.2003977,-0.81282973,-3.4716048,-0.1464355,0.65246916,1.7761567,-1.3650923,-0.07592641,-1.9940834,1.374594,0.5323862,-0.059536718,3.0277145,2.3870006,-0.42245996,-1.4402838,-0.3025927,0.60917807,-0.90633166,-0.96990025,-2.198294,-0.19769043,-0.09000492,0.661587,-2.5595047,0.31296757,-1.3705156,-0.0048539788,-0.62403667,0.4325952,1.0853066,-0.7123586,-2.0427399,-0.20801723,-0.18380296,-0.50050485,-0.84816,-1.1435434,2.6289015,-2.0460336,-3.9731233,-0.27501965,1.7812431,-1.2466727,-0.35225636,2.86471,-1.6469545,-1.1084528,-0.22743668,-0.16761796,3.107302,-0.40604776,0.5972771,-1.8464543,1.5219568,1.139992,-0.10909483,0.8109697,2.9280682,-1.1867266,2.525293,-0.08258447,0.28034294,1.4490124,1.3694131,-2.7578077,-1.4877262,-0.029426992,-0.24889491,0.5641746,2.5422878,-1.4321424,-1.8121672,2.3482208,-0.056787997,-4.0147824,0.8478818,-0.78797567,-0.5326082,1.60617,-1.7503334,-0.087812185,0.3519434,-1.8661677,-1.4599929,-1.9709276,1.1035051,3.268418,-0.9354905,0.90653837,0.9384309,0.96215665,-1.6028054,-0.6358869,-1.0376463,1.5597961,0.2798995,0.61698616,-3.0203264,-0.566871,1.5031352,0.4613328,-0.03193352,-1.0674107,0.63182837,1.322514,5.4950566,0.90993035,-0.22620669,-1.6475861,1.8915538,-0.53858995,0.47294697,1.9928823,3.1886432,-0.20224825,0.053362772,1.019646,-1.1266629,-0.0946447,1.6264596,0.927973,0.3975157,-2.0930443
G-402,-0.82199955,-1.0055559,0.37622726,-0.13166316,-0.20352817,-0.30648643,0.531747,0.6435652,-0.034343764,0.47204474,-0.94631696,0.012662947,0.22236204,0.49342507,-0.9830282,0.59460205,1.0334218,0.1982528,-0.25075528,-0.95193547,0.03708247,-0.30351117,1.79327,-0.52823067,-2.3324778,1.2162179,-1.5597298,-1.1809592,-1.6816207,0.30897307,1.0714898,0.26507533,-2.0185912,1.788398,-0.53680074,-1.2525716,-1.161401,-1.0057709,0.8935819,-0.87036896,-1.0108138,-1.5613585,1.7007467,-0.15498883,-1.6760061,-0.14773747,0.93474656,0.0048790574,0.585678,1.9208773,0.08328801,-0.34579912,-1.0901093,1.1540203,0.48306656,0.28298825,-0.5708219,-0.9696045,0.7695766,0.6119169,-1.513199,1.4537693,1.374908,-1.3258439,2.5102272,1.2387704,0.1465301,0.3383317,-0.43167222,-1.3400108,-0.03772217,-0.018734246,1.0871608,-0.47070435,1.9805502,-0.7539889,-1.3053486,2.3938098,0.5243345,-0.8231991,0.58713615,0.43161696,0.9768829,0.568836,-0.9897848,0.43082353,-0.33094043,-0.49743378,-0.2196452,-1.364666,1.4817245,-0.8920002,-0.1465536,-0.14022888,0.49540603,-1.2327098,-0.60469836,-0.5616437,-0.068819426,0.7825171,3.5077004,-0.9888845,-0.12811701,-0.6089703,-0.6043926,-0.2714125,1.0021838,-0.5903071,0.062468216,1.6133158,2.6732657,-1.9302878,-0.5796656,-0.81726885,1.2890522,-0.7724874,-0.4650066,0.42380232,0.6720801,-0.007510431,-0.10698551,1.7722307,-0.1491574,0.4326781,0.83836603,-0.12130073,-0.49750438,-0.32303417
KP-N-YN,-0.9812203,-0.49306002,-0.021090299,0.023583189,1.0981705,0.26725328,0.42298755,0.442324,-0.22886188,0.6718075,0.1816876,-0.8170469,0.12797162,0.49669465,-1.0088845,0.46475092,1.1559273,0.4290415,-0.82210195,-0.80532587,0.14319351,1.4948368,0.7333516,-0.052611284,-2.3542492,1.7657157,-1.5423589,-1.1523331,-1.0854815,0.2403687,0.2244874,0.5624883,-2.2452044,1.7904012,-0.4350569,-0.87799704,-1.1901753,-0.9929209,0.7729889,-0.89939857,-0.29261553,-1.5547959,1.2269938,-0.14521152,-1.8257728,-0.18106467,0.97314554,0.39659625,0.5992786,2.0478368,0.13465014,0.14249898,-0.6663332,1.0728824,0.27396327,0.2584738,-0.99030805,-0.9978225,0.7351572,0.5918319,-2.006409,1.4026567,1.3019032,-1.3395714,2.2437463,1.1141945,0.07341769,0.37860125,-0.33040696,-1.2506198,-0.67696345,0.027476838,0.019169599,-1.0563905,1.5396317,-0.7292579,-2.6743252,2.3906553,0.5427975,-0.47292978,0.5903483,0.49885514,0.6264765,0.18204893,-1.0521152,0.34664744,-0.016466387,0.2659234,0.10460268,-1.2143875,1.8198875,-1.038578,0.10667285,-0.11585143,0.44469714,-2.0421233,-0.31207606,-0.5572993,-0.101196304,0.7958778,1.104633,-1.289505,0.114521876,-0.59175056,-0.13483581,0.59327364,1.0915121,-0.019787788,0.09941326,1.4028318,0.413971,-1.6551133,-0.3917839,-0.81760246,0.15059984,-0.7984455,0.13048588,0.52817774,0.5866298,-0.0044750497,-0.18886593,1.4136676,0.65089273,0.29023856,0.65236807,0.365911,0.14806604,-0.36476797
RT112/84,-1.0768173,-1.489266,-0.009601504,0.2588034,-3.4823694,-0.51344347,2.2374876,-0.6763691,0.9111128,-2.6152313,1.1049592,-0.10159877,-1.1559767,-0.9027387,-1.3684142,0.8240974,-2.382748,-0.7893189,1.5862243,-1.1416062,1.1709728,1.0865568,1.2132899,2.2098382,0.3516299,-0.57337403,0.8430676,-1.0567505,-0.8454758,-0.98649323,-0.28444985,1.1707287,-0.8694111,-2.5783322,-0.46802133,0.5430417,-1.3929083,-0.20885868,0.2018804,2.00872,0.46537754,-0.4736486,-1.1995316,1.388938,3.0423896,1.6143014,-1.6253017,1.7966793,-0.5493642,-2.6189167,0.13848342,1.025467,1.6714417,0.37098038,-1.5274444,0.85075736,2.0356061,0.5985447,0.023991466,-0.5790428,-3.2493854,-0.063439555,-1.0631152,-0.5988847,-1.2926862,0.3109155,-0.2870103,-1.3162824,0.24701975,-0.17306438,3.484993,0.04316107,1.534318,0.43379405,1.7410576,3.3127787,-2.005721,-0.44504172,2.2287502,2.7036312,0.895955,3.5838823,1.025905,-1.4053787,-0.32427686,-1.1589743,0.07043293,0.099482,0.78078437,0.7561061,-0.3653709,-0.37183577,-1.5037153,-1.4089282,0.2851392,-3.7187924,2.7477934,0.45896268,-0.23264256,2.1701114,0.631778,0.28363505,1.6528094,2.3287544,0.42420983,-0.053336084,1.6942267,2.6853282,-0.52970445,-0.42496338,0.94830054,-2.2174802,-1.4681518,0.317329,-0.066277266,-1.0712806,-2.5678756,-0.8241062,0.483126,0.019246167,-1.0799301,-0.78803664,2.4076777,-1.024181,-0.75530577,-0.7431879,-2.4685411,-0.42242205
HOS,-1.0706345,-0.3198943,0.7891184,0.38604644,-0.15467319,-0.11738164,0.2163563,0.049522832,0.16507924,-0.20409882,1.3807658,-0.6899398,-0.800757,-0.12898314,-0.70236415,0.48090875,0.121680215,1.1134049,-0.029726759,-0.82765824,0.6028331,1.4041259,0.73374,-2.296189,-1.5712559,-0.06263594,-0.97403944,-0.98281693,-1.3056328,0.1517826,-0.010456501,0.40099224,-1.9430557,0.5593289,-0.19272768,-1.2289379,-1.526329,-0.7764002,0.12378669,-0.4037149,-0.96539694,-1.1293358,2.0102243,-0.41677228,-1.0131092,0.5732549,0.24714862,0.6562515,0.037794176,1.3248152,-0.14435945,-0.10034706,0.017490912,1.0780545,0.64588714,0.19848794,0.19489995,-0.71357524,0.8059031,0.4780377,-1.4677508,0.90389127,0.93685466,-1.1545678,3.1325545,1.0054513,-0.055499636,0.6502582,0.115085185,-1.9659863,0.22516492,0.8653647,0.9559991,-0.67348504,2.648213,-0.53799105,-2.2283235,1.9759895,0.95945334,-0.41844484,0.82877445,1.3110754,1.1179291,-0.29794395,-0.98365134,0.2476649,0.29001963,0.4925065,-1.0004506,-1.4822576,0.78049713,0.15332495,0.13219458,-0.4651476,0.6836442,-0.9645084,0.17027976,-0.37878308,-0.6041865,1.7925274,-0.38217604,-0.42436373,-0.1745825,0.37951517,-0.7893842,0.8345315,1.8578573,0.3805525,-0.24941848,0.99254024,1.3709316,-1.4946401,-0.5444132,-0.6680995,0.40255243,-0.5930592,-0.59387076,0.108876064,0.67940295,-0.11801161,-0.18883184,0.76726794,1.0008937,-0.4278379,0.18484947,0.31457275,-1.4834647,0.21174133
SUIT-2,-0.57570213,1.2396619,1.1438174,0.0830491,-2.6116786,-1.2416115,3.2511227,-1.3376452,0.28726202,-3.293843,0.28759655,0.8153319,-0.65354294,-1.4273069,1.7348397,0.097672604,-3.4698932,0.203047,0.8049138,-1.901445,0.9707606,-0.22774523,-0.29415083,-0.297491,2.785743,-1.3567578,4.3057904,0.039165676,3.4640784,-0.9434699,0.8315651,2.0548267,0.5667815,-1.7603781,-1.4756336,1.1442708,1.7273635,0.6580919,-1.4805616,3.9133317,1.8562582,1.5555977,-3.2754502,2.1346226,3.1874619,2.7728777,-2.8494604,1.3855646,-0.7534891,-5.8193345,-0.048671126,-0.7498534,3.1956594,-0.5542855,-3.5681384,1.390834,1.1987109,3.3880234,-0.79657227,-0.4569321,0.93707424,-1.8647711,-1.4489306,0.32900214,-2.8826058,-0.67543554,-0.7831583,-1.372081,1.26974,1.0727638,2.740193,2.2182522,3.2428455,1.9011672,-3.9693534,2.2283032,1.0681615,-5.0426188,2.3322055,4.567365,-0.20054623,1.081761,-0.70054394,-0.8322679,1.5241926,-0.06896764,0.29307336,1.4674186,1.5943929,2.7408311,-3.8805332,0.08507314,-0.967613,-1.2391603,0.67192256,1.8798537,2.5513885,-0.93387896,1.5169003,-0.03639917,-3.710235,3.89758,2.5516381,2.423106,0.27666694,0.49145797,-0.8776888,0.8274789,0.43882442,-2.2919314,-0.022068482,1.7267363,-1.3655051,0.39715654,-1.674628,-0.45206103,1.0611632,0.10602431,-1.8843181,-0.23103024,0.99144125,-3.233717,0.9501385,-2.702553,-0.18673307,0.4014203,0.6537998,0.776144
Hep-G2,0.29474664,-0.14160794,0.49487907,0.5512151,1.2925647,0.44026437,0.4642256,-0.3633058,0.038326435,0.587113,-2.0371916,0.112785384,1.1042235,0.3739069,-0.15126933,0.6054324,0.4379566,-0.037593685,-0.4101741,-1.0718151,0.27829465,0.14663254,0.31208387,-0.5708323,-0.45428196,-0.10842717,-0.8199114,0.1661892,0.018384546,0.2377554,0.5739156,0.10743159,-0.8921314,1.0033597,-0.024315692,-0.112552315,0.08269399,-0.33611315,-0.12584402,0.09562967,-0.79174376,-0.35979697,0.8114862,-0.14425334,-1.0380573,0.06980969,0.56105083,-0.47384623,0.36242104,1.2648379,-0.5949715,-0.4781513,-0.69393677,0.19618598,0.18230608,-0.09578709,-1.1840541,-0.75827456,0.35187963,0.38985586,-0.19251901,0.29131848,0.6490638,-0.5491344,1.6153207,0.48788637,-0.17955834,0.34551823,0.00624308,-0.29402012,-1.3888239,-0.07222386,0.19272828,0.21508181,0.76386994,-0.92684895,-0.17932922,0.78908694,0.54781115,-0.29332766,-0.024455287,-1.2416998,-1.0303739,0.031985372,-0.3249882,0.21557868,-0.5408977,-0.4393923,-0.08093436,-0.7076092,1.2445285,-0.90113604,-0.2344219,-0.12199931,0.43867135,-0.1213037,-0.87740993,0.096220255,0.35303944,-0.6337165,1.3001913,-0.17539573,-0.40846303,-0.8871138,0.7396108,-0.8857384,0.41913643,-0.18532625,-0.13275793,0.49729955,0.5328967,0.049286984,-0.9556047,0.012651354,0.27108502,0.5129021,0.34602392,0.692695,0.06600268,-0.17255105,-0.20599517,0.61264837,-0.6519118,-0.26924944,1.1115516,0.3846623,-0.65664184,-0.5077107
