,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106
NCI-H520,0.45607817,0.34128183,0.30949867,-0.8272285,-0.48875275,-0.08318773,-0.41431427,0.31184274,-2.389033,-1.2209377,-0.42385486,1.0067995,-0.62937623,-0.097940445,-0.80993956,-0.8835728,-1.0452528,0.11187497,0.9958281,0.42119977,-1.6809351,-1.6319042,-0.007707268,1.7940024,-1.0546714,0.3717307,-1.3841302,-0.32028884,-0.0024924208,1.5747371,0.28979844,-0.8657166,0.90813804,0.16789266,0.73985994,1.5221857,-0.6526162,0.18705031,-0.867206,0.5562252,0.09701088,0.9212266,-0.8735724,0.84543914,0.28569034,0.9436805,1.2075865,1.59212,-1.5475821,1.3794444,-0.70278513,-2.0088599,0.15346317,-1.0122453,-1.2953197,-2.2864025,1.8298867,-2.58899,0.75154895,-1.2120346,0.32821494,1.0385637,0.79285246,1.5028828,0.54756117,-0.6164307,0.4548597,0.43198514,1.4530499,-0.8853618,-0.9184758,-0.62282586,0.54357153,-0.7292849,1.0626131,0.8313243,-0.9910934,-1.326475,2.2602403,-1.7670939,0.29546005,-1.726558,2.874802,-0.77173483,1.4405204,0.27921695,-1.5575845,-0.38811222,1.633185,1.1555731,0.57734513,-0.7358888,0.4600759,-2.3654618,0.9457134,0.21231994,0.29914045,-0.6779658,-2.8514755,-1.1188904,0.82006663,-1.7038612,-0.6155102,0.9997136,1.6465143,0.020909578,-0.79806966
ME-1 [Human leukemia],-0.7849197,2.4908977,-0.2046992,-0.73514557,1.1412349,-0.945948,-1.5602134,1.0042219,1.1291182,-2.1647909,1.2524749,-0.49044502,-1.2396086,1.2792703,1.4724578,0.2142888,-0.15113461,0.37914273,-1.6014746,0.5409107,0.013852894,-1.6223043,-1.4370141,-0.18724906,-0.51784873,0.46393377,-1.8884207,0.63324934,-2.7048314,-1.8263497,0.2245203,-0.22903967,-0.15654531,-1.4985772,-0.11030927,-0.8014855,-0.34964618,-0.11335915,0.0029287972,-0.7098549,-1.6883912,1.5049219,-0.45378262,-0.4375071,-3.2778823,1.0501963,1.6437889,0.67069966,0.7723696,-0.65123326,0.7056263,-1.4351321,-0.9685477,-0.40842372,-1.0405929,-2.3920507,-0.46628952,0.85317945,1.1947048,-1.6214961,0.6513741,-0.81058943,1.8716284,0.23586759,1.086966,-0.18065031,0.14201611,1.3039975,-2.142068,-1.9662043,-1.2053736,1.035609,0.14183721,0.009082794,1.1134286,1.1893673,0.7648579,0.6528407,0.3672527,0.9392618,-0.3092386,-1.4889755,1.7292074,-0.58620775,-1.6648686,-0.49462456,-2.4200315,-1.7668912,0.22280075,0.6868458,-0.48641175,-0.09909131,0.38380924,-0.7820462,0.77927214,2.046637,0.035919607,2.3813994,-0.23387,3.0052624,1.1966966,0.19568875,-1.2487257,2.1040633,-2.541228,1.5503005,-0.07151866
SU-DHL-10,3.3112094,-0.7841964,-1.8053391,-1.5675925,2.5552554,1.3989918,0.31277335,-0.94964457,2.223431,-0.69255936,0.6914102,1.3975596,-0.25199896,-3.539937,1.3427598,-0.5847105,-0.47179252,-0.48779124,-0.9129422,1.5249673,0.66861904,-0.10338774,-0.12261596,-1.4432065,0.48733297,0.21157888,-2.8019724,1.00573,-4.0872555,-1.9092414,1.6871645,-0.008740775,1.0778309,-2.5136487,0.89919716,-2.0248902,-1.3140438,1.7082937,2.246522,-0.9569226,-1.9230103,1.1827369,-0.95905495,-0.63105583,-3.9544964,0.2262969,0.8153033,1.7457479,0.3731488,-1.7802272,-1.3160448,-3.9063315,0.09696437,0.24126619,-1.1760783,-1.9781924,2.0752087,2.680091,0.6238213,-1.3688345,-0.838367,-2.3900132,1.143761,1.61614,1.1924373,-0.84984237,-1.5492063,1.5457584,-3.6916108,-0.576548,0.054849997,-1.2367015,-2.867468,1.4797144,0.5158761,3.4764986,1.3049415,0.9841232,0.56678313,1.1878896,-0.7617836,-0.20001227,-1.0981908,-0.9195088,-2.056605,-0.16561341,-2.087992,-2.887842,-1.2851866,2.5976279,0.24610081,-0.55614513,0.60216784,0.605305,-1.0154945,2.7815187,3.022256,3.5344927,-0.66541076,3.160298,0.5339536,0.8500633,-0.68673694,2.1307654,-3.0055926,0.11543056,-0.11164558
NCI-H1666,-7.7775517,1.5391704,-1.4094592,-2.9248242,3.9500966,1.8671153,2.77483,-0.05188515,-3.1495678,4.2143145,0.80470794,-2.5041506,-0.9440902,-2.3922262,-2.0188503,3.303883,-0.11026192,2.9771047,-1.9338975,1.8283167,-2.007668,0.16114914,0.78701186,6.9833326,4.5779786,3.4959602,4.3022285,-6.7779565,2.8830655,-0.7915545,-2.6550896,2.8707263,-8.967441,-10.692472,-2.8914642,3.6871367,2.106693,-1.6572272,-0.6582661,-3.5393884,-0.7115793,-5.015113,-4.602983,2.7300205,10.138081,-0.5155422,1.602165,-1.9930786,-6.179745,2.17284,4.5555677,8.644555,-1.0226103,1.1173385,1.0446746,-0.07519847,-1.8537673,2.8254867,-0.50662315,-2.0670562,0.5848404,2.961805,4.616801,-2.190281,-2.8003361,0.4850843,10.692855,-2.8250654,3.781265,5.229923,2.5388668,3.6509304,0.65903157,5.073164,0.16822568,-3.496875,2.1202555,-3.9675705,1.4066087,-4.8703003,0.73118865,6.0228043,-0.7028526,-0.36506894,2.160883,5.126651,3.1904511,1.9572153,-4.235211,-12.945755,1.8083357,-0.9282968,3.163756,-7.5489883,1.8516871,0.50258684,-5.5325017,-0.0046457946,4.621373,-0.3126434,1.8244271,-4.1815944,-6.716883,4.227573,-3.8369837,2.35109,0.9930898
LAMA-84,-0.940382,1.0873716,0.8411222,-1.881636,0.2133508,-2.0448186,-1.821085,1.6165338,0.5407257,-1.214349,0.24248438,0.82013786,-0.8598094,-4.8165545,0.5654235,-0.15973842,-0.74213576,1.1865848,-1.3699379,1.8113877,-0.2685582,-1.5166171,-0.39723042,-0.088231266,-0.4795519,0.039967284,-0.6858146,0.056713104,-1.1013637,-1.9991745,0.9108924,-0.4874017,0.8062006,-0.046568125,0.11004022,-0.61240643,-0.3313378,0.60252357,-0.28669402,0.066741824,-1.8507202,1.3707643,1.0316757,-0.2267729,-2.6883228,0.55831873,1.1053371,0.85271704,0.21184182,-0.26286334,-0.14290088,-1.3224533,-0.87402064,-2.9533434,-0.45275024,-1.4486809,0.24903426,0.51525044,0.89179957,-1.503457,0.8160481,-0.71682155,1.7223899,0.020132095,0.8938229,-0.09482956,-0.7172217,-0.1766453,-1.9184966,0.05047822,-1.8828778,1.8040556,0.3808154,0.7896044,0.7180891,1.6023726,-0.63680875,0.35440236,-0.15542504,0.43276927,-0.93738186,-2.262584,1.5429494,-1.052541,-0.77086073,-2.018834,-2.4947762,-0.8173757,0.02319199,0.57116103,-0.9056448,0.69717383,0.27777678,-0.5786507,1.2390211,1.5443295,-1.0009731,1.553993,-2.3821638,1.0138822,0.015145778,0.048470527,-2.0075736,0.34381834,-1.2969321,0.25190705,-1.573534
NCI-H2228,-5.2996664,-0.095585406,-2.628147,-2.15558,1.6381787,-1.0449357,0.6527992,-3.6603243,-4.1379433,2.8430636,1.9097221,-1.9303391,3.5142486,-1.8895574,-1.1954236,4.029476,2.4128103,0.05556318,2.1453648,-0.8773107,0.5586629,4.529755,4.486722,4.506996,3.6513906,0.8271172,4.2466617,-1.6684802,6.755745,2.8160205,1.5816661,1.810879,-3.520158,-4.6756563,1.0856193,4.459593,-2.2510095,-3.3884115,-1.9594451,-3.5346239,-0.85162264,-3.6438112,-3.4717653,1.8472657,9.783008,-2.7462177,3.5565848,0.6365236,-7.031347,2.008468,1.3569858,4.237663,1.576223,0.33501852,-0.46919316,-0.010436479,0.43810087,-2.5580413,-0.6860049,0.4580652,3.148724,3.3205237,1.3342197,0.48849988,-3.0130522,-2.5863516,4.297775,1.1305695,3.8786082,1.461302,4.106763,0.037556045,1.2465717,0.4947999,-1.0388086,-5.9584684,-2.5483317,-2.6361692,3.2005634,-3.2537818,2.0434246,0.95410854,3.2265568,0.39388293,2.6897533,1.8599185,4.1148477,1.84617,-3.321393,-3.4438376,0.24551421,-3.0108418,1.4937842,-1.2539585,2.6562328,-0.38449684,-2.224779,-0.7583823,-0.62882686,-8.163746,2.435142,-2.3259459,-3.2344058,1.2819625,3.033525,0.6556891,-1.1104562
SNU-C1,0.22364901,-1.0664029,-0.04343818,1.609396,-1.6013125,-0.9531582,-2.865813,-0.05381179,-2.4490058,0.5438456,0.931589,-2.039819,-1.4555618,-1.3139614,0.25161242,0.017571464,-5.155197,0.6276874,-0.14688152,1.2997886,1.3574749,-1.5710834,1.1727005,0.019941479,2.7281883,-1.9672529,-1.6523101,1.1097693,1.7275473,0.8783943,-0.8321556,-0.6752341,0.09533894,-2.4791791,1.724879,-0.16763052,-4.205191,0.27460644,1.9678239,-1.9710536,0.64226145,-0.105398774,-0.2296992,1.5241796,-0.117673874,0.808197,1.584771,0.87834245,1.9592469,0.6495754,1.4218796,-1.4173689,-1.001723,2.0360465,0.32270607,-3.064579,1.8272059,-3.5559344,1.3826739,-1.912571,1.632246,-2.1465077,1.9372258,2.3444345,-0.41308463,-1.3282955,-0.48453712,-0.10857952,-0.83315206,-0.041644752,-1.0275382,-4.5034466,1.7878296,-2.160956,0.45396683,1.2799559,-0.22864398,-3.818052,0.5399763,-1.1785544,-1.057278,-1.7261237,1.6703447,0.2042821,1.3438569,1.1932881,-1.0774804,-1.1342221,0.6574846,-0.41797316,0.091760844,0.8638362,-0.6863781,-1.0252157,2.7848182,0.8169927,-0.98209786,-0.87696856,-4.5324483,-0.27456346,-0.55055416,1.2001941,-1.6529673,-1.6703198,-0.24477464,-0.4588856,0.9732765
G-361,-1.2592087,1.80275,-0.62623316,2.6480558,-1.3273401,0.1865597,-0.62114745,2.3036277,-1.9755571,-1.2845982,-1.5802923,-4.6665206,-2.843316,-5.9242396,1.4095513,2.404186,1.4340087,-2.3954248,-0.1447143,-0.055187136,2.3479521,1.0849907,-0.5213976,-2.6914606,-0.20228696,-2.85031,0.58735216,1.5581648,-0.36253598,-0.6741547,-5.8090982,1.4519713,0.5507564,-1.5915439,1.2001348,-0.92316204,-2.6074,-0.5505586,4.3018246,0.6164679,2.5772095,-0.27427506,2.57078,-1.5122192,1.7871426,1.1416633,-0.2774196,-0.73244876,5.4325886,-1.3098451,-1.095417,1.2404006,0.7089181,4.266158,1.3972801,-1.4870949,-0.92248917,-3.1667511,0.5793488,-1.7044113,-2.275393,-0.11411611,1.3797839,-0.44206643,-0.08452135,0.12534928,-0.007234152,1.1554024,-0.9955299,-0.47188288,0.017933384,-2.1248968,2.6909502,-2.9859235,1.9017612,-1.4302386,2.1645162,-0.72171956,-2.4430468,-1.7880479,-0.6774485,2.717537,-4.4269295,1.3556828,1.6000874,4.837023,2.7637312,-1.640876,1.4539242,-2.4076116,-1.4794276,0.29214686,-3.4421163,1.9493636,1.8183244,-3.3476284,-1.7578342,-1.3264458,5.412396,-3.7780147,0.655514,3.7998,5.5371256,-4.288247,-2.730227,-3.5431485,-0.5016482
M059K,0.9121531,0.5874455,1.2236614,-4.502105,-0.45783046,2.2154932,-4.0979486,-6.3634233,2.7951322,0.9605292,0.40905666,0.29501215,0.2608969,3.596142,0.5802256,3.177962,-3.0344589,-2.011471,-1.6171448,-0.09782636,3.667318,3.4256773,1.7054722,-4.243945,2.6716723,1.0954399,-0.54122216,5.000478,1.5503323,-0.06101334,3.0105395,0.7450248,1.6109302,1.5917058,2.3862746,-0.71582586,3.3783026,-4.743353,-0.5428114,4.6001315,0.40141463,-3.3764973,-0.4388508,-4.0669084,1.3096714,-0.98586655,-6.0538483,-2.2671723,1.3978657,-0.18061265,-5.4927273,1.8246796,6.16252,2.957474,-2.587318,8.478082,-1.1806959,-0.8383643,2.0410137,2.2965758,-0.8494318,-0.60213125,0.16599417,1.4007256,-0.37703133,-1.6912321,4.2985263,6.0753136,-6.1044273,-3.4446492,3.5398242,1.07293,0.39871213,-1.4655828,-1.5127006,-2.034754,1.0098583,3.059,-1.9465368,2.1516778,-2.7661047,4.6319237,-5.0052395,1.8926378,-3.3588238,-1.4841394,4.763426,2.2452838,-3.7354608,-0.08566949,5.129415,-2.6007318,0.23288424,4.079849,-5.9146,0.5981755,1.8756964,5.2098303,-1.1920118,3.1297288,2.9094663,1.1984316,3.4431214,-5.679557,1.1610078,-3.3056178,-0.54692256
HCC1937,-1.6599352,0.45629844,0.11036595,0.80636436,0.0038632676,-2.7378044,-3.1176393,0.59651387,-0.91535085,-0.5438401,-0.9157043,-0.25720412,-4.3989115,-0.60763234,-1.0459839,-0.725358,-3.0680444,1.4420255,-3.1006064,1.3899235,0.6989328,-0.62725985,2.0359466,3.8170009,1.8562254,1.9015028,-1.4675117,-0.080905825,0.6443074,-1.2302563,-0.22184044,0.1714563,-3.453908,-2.6643565,-1.6904241,1.5568396,-1.6972809,-0.9191278,0.10515556,-1.0414898,-0.79473484,-1.3729415,-1.5048681,0.104488194,1.0305326,1.3773203,-0.19614393,-2.5668402,-0.033391904,2.0642593,0.010198642,1.6492964,-1.0362948,0.6114567,0.0977799,-0.48429832,1.5714301,2.5353181,0.48808485,-2.7152863,-2.170095,-0.6967686,3.4766803,0.20350683,1.5755684,0.32637355,0.44584718,-2.0478425,-0.94277114,1.7959794,-1.2790437,-1.866083,0.06721106,-0.6882377,-0.112111315,0.26737258,0.1732553,-1.9767662,0.29880396,-3.494954,-1.7274756,0.2373582,-0.6470182,-2.2874365,1.776467,1.0792968,-1.1104584,0.55630624,-0.9557361,-2.5141616,0.76243263,-0.1407899,1.5560858,-1.7678378,0.61465997,3.0894802,-1.3416053,0.7121153,-2.9940395,-0.055933475,0.73012286,-2.5280304,-2.567435,-0.74105465,-0.39591795,-0.23113967,1.1229196
SNU-1214,-2.9153147,-1.7176155,-0.9091245,-4.4934206,-0.34473646,3.917986,0.38476074,-1.3912029,-1.6953295,1.5781217,-0.20234221,-0.36615273,0.9210845,1.0735153,-1.9336625,2.2273123,3.0940635,-0.7534377,1.7772558,0.97463447,1.0309198,1.8703921,0.10686293,4.860241,0.47135782,-1.3108109,2.758399,-5.301914,3.9204235,1.3603833,0.93509007,-0.16148977,-1.1278036,0.3230536,-1.4148383,0.9418343,0.10625538,-1.3341637,0.009835541,-0.7650143,1.435391,-4.3406487,-1.7928631,-0.83179414,5.524445,-1.3227983,0.8158036,-0.1330867,-3.0212622,0.743654,-1.0293528,5.216426,0.7174876,3.885317,-0.68566334,3.3151104,-2.3528252,1.7997464,-1.173479,1.9179175,-0.8138426,2.7554374,-2.3862774,-2.3780694,-0.7636771,-0.9587355,3.544184,-0.8347956,3.8542438,5.2582192,4.7876396,0.23732692,2.272587,-0.6713534,-1.2697904,-5.1845617,-0.94672585,0.21931656,1.3127148,-0.07141562,1.8688123,3.3209794,0.9335923,0.87818635,3.0241902,2.782925,2.9675288,1.8781961,-1.7598964,-2.7525387,1.506216,0.21323559,-0.6932242,0.43437332,-0.5977344,-2.919372,-0.04351151,-3.7274835,3.080888,-4.2602797,-1.6713164,2.4733193,-1.6302361,-1.0376053,2.0832253,-0.76593137,0.68664443
LUDLU-1,-4.306937,-1.9014766,-3.7806153,-1.0500611,2.7137408,1.3985422,0.70395076,-2.0330653,-0.29679608,3.48765,0.8223747,-6.5576687,2.611967,-2.9272199,0.028011918,2.8975194,1.5819125,2.673157,0.71488667,-0.82207537,2.2815073,4.147033,2.5049481,-0.6770548,1.6416292,3.4085374,5.2338223,-4.5003734,4.34432,0.97779703,-2.124238,1.1657461,-5.504544,-7.1764946,-0.8488183,1.9720308,0.21599984,-5.455928,3.2759924,-3.738184,0.76552343,-2.3204978,-3.5525208,3.8940358,9.566096,-1.2807182,-0.35475665,-3.5135593,-1.0041459,1.0069455,1.1046335,6.9669495,-0.4454488,3.6751442,1.8586417,3.1262014,0.1132988,1.6686685,-1.1031004,2.9214258,-2.527917,3.8612428,3.2363858,-4.1523986,-2.7004962,-0.32478654,4.617475,-4.168108,3.16674,5.737451,6.8336277,-2.748531,-0.5199655,0.7466681,-0.4451298,-5.796987,0.5163132,-0.48079848,-0.2707063,-3.1243193,-0.17848173,3.6206934,-2.5901623,1.5358007,2.8493896,6.8605623,3.595878,-0.67543477,-1.7233821,-5.1147366,0.7309117,-2.4490027,0.41889173,-1.7871451,0.30462766,-0.64697444,0.16517994,-4.603898,6.702962,-7.734011,-0.11940393,1.8127079,0.7662679,3.164631,-2.1995275,0.22516575,3.311562
NCI-H460,0.5609141,0.4124998,-2.038283,-1.4015619,2.0754557,1.6095558,0.3767957,-2.1846871,-0.2778356,-0.7601801,2.3150842,0.32668066,2.6491888,-0.9977324,1.5092273,0.061378717,2.2226107,-2.3920438,1.1010871,-2.233728,-1.4827995,3.3155155,-0.8301034,-0.60125834,-2.423125,3.12038,-0.8209158,-2.8547134,-5.346461,2.3743303,-1.6724929,-0.48864043,1.8926297,-2.9111135,1.1932403,1.9321169,-0.094014525,-1.2512717,-0.7398252,-0.8765962,-0.12599349,1.1537297,-2.6238732,0.5616974,0.40122,-1.5772462,2.2604842,1.3944422,-4.3379436,-4.048426,-0.41728866,-1.8225025,0.022591714,-0.6240327,-1.4385828,-2.1477017,3.4798589,-1.9669865,-2.497172,-2.2654822,-0.15200564,2.4728534,-1.7711732,-0.32369474,-1.2253435,1.2067498,0.3376513,3.6108282,1.0820525,-0.24643312,2.5104108,0.64355576,-2.8805902,3.869372,-1.0015616,-0.5737916,1.2022414,0.50615823,1.9006255,1.9129975,3.8687344,0.65057635,0.56266654,0.026710987,-2.2452087,0.13816367,1.6819218,-1.2408189,1.1578926,0.91199833,-0.27381313,-4.763332,0.09241629,-0.8890542,-1.2344115,0.9094365,0.66841376,2.2452078,2.0446074,0.0077016503,1.7709166,-1.118301,0.8449118,3.7647393,-1.7604373,-1.2798462,-0.0016166866
MDA-MB-231,-0.72384566,-0.90663874,-2.3656387,1.4728245,0.2876091,0.9907926,-0.5552746,-1.5868882,0.09857163,0.64214027,1.43133,-1.5828861,-2.78082,-1.447121,-0.4786804,0.26250154,-3.6635332,-1.111707,-2.932796,0.86422974,2.0539708,-0.82023,-1.378658,-1.0674425,3.4300642,0.958279,-2.0997586,-0.7014737,-1.0131439,-0.24391733,-0.46130323,0.668082,-1.9768746,-4.204475,-0.6158304,-0.18516457,0.61015403,-1.4314623,0.5148939,-0.8580801,1.6584988,-3.507843,-1.2899692,-0.33797398,-0.97112,-0.52923423,-1.9621695,-2.7312686,-0.0029486716,0.9076971,0.14743954,2.6499949,1.4408035,2.3145564,2.4806569,-1.5935998,0.8208517,-0.46296075,-0.72754085,-2.1725914,-1.4222013,-0.39988494,2.5759058,-0.83373296,-2.5232286,-0.031131068,1.9911401,3.082609,-3.9335034,-0.7038438,0.5933432,-1.2351103,0.82919794,1.4035174,-0.34527782,1.3447168,2.9126072,-1.6736469,0.14721568,0.9132984,-0.74838436,3.096465,-3.6512508,1.1308116,-1.0529851,1.9324789,0.94680804,-0.08078143,-1.1290419,-3.7730584,4.185331,-0.6174496,0.41549027,-0.66274816,-1.29332,0.6524985,-2.7896268,1.4859446,0.7283837,3.2774131,2.9214025,-0.2835459,1.0092313,-0.12673178,-2.7732086,1.0753032,0.02327919
TE-11,-1.1106012,-4.640891,-5.4485965,-3.420978,-1.337641,1.6572833,-1.5285668,-3.6055713,3.9787085,0.6542576,2.1366656,-0.015029818,-1.0750805,-1.1580449,-5.4265037,-0.14423856,-2.8738565,-0.91448677,-2.1658356,0.7974441,0.0160214,-1.1938902,3.188926,-0.7839808,2.733533,3.241009,-1.7651641,-0.5720445,4.0983706,0.122127175,8.094518,0.52263784,-8.833614,-6.135937,-1.0375519,-2.7777147,3.641655,-0.12729913,-4.512209,-1.8992167,-2.7460213,-4.7350135,-3.3774953,-2.9468534,0.58375484,-1.182017,-3.0207295,-5.174939,-3.967552,6.5239277,-2.0453053,4.937357,3.621567,-0.4213313,0.5694331,2.6623225,0.5326233,3.3226242,0.23261619,3.3981988,1.3784281,-3.8168466,7.7631445,-1.2192094,-2.9182012,-2.4455624,3.987228,-2.9855328,-1.9106578,-1.1470993,-0.06478822,-1.3825202,-1.4425474,0.20425692,-1.2827218,-2.6784575,2.9504097,-1.3059723,2.7035472,1.0686547,-2.616146,-1.5880711,-1.1735367,-2.3650498,3.326345,-2.1069448,-3.4065998,5.045495,-1.6963927,-1.1218121,8.875835,0.8025202,6.7795863,-3.4133534,-4.5324364,1.5464277,-1.0291655,1.6353126,-2.4673216,3.107392,0.8056948,-3.3691363,-8.431769,3.6224802,1.6001354,1.2940415,-0.56993526
U-937,3.0742977,1.4313066,-0.6034063,0.11976981,2.2799597,0.37342823,-0.70738375,0.089126736,1.5695463,-0.6535015,-0.5677193,1.5127308,0.3694601,-2.03076,0.5788229,-0.73564327,-1.0121195,2.0455918,-0.7296411,1.7375631,-0.3333994,-1.7532775,1.136864,2.7377474,0.036121607,0.3557871,-1.2262245,0.45869267,-1.7663172,-2.874956,1.6631134,-0.8788682,-1.622896,-1.1847053,1.3384287,-1.2246338,-0.69951445,0.70548916,2.4468298,0.44288424,-1.8441125,1.0022159,-0.58052933,-0.6112841,-1.0736904,0.35808754,-0.7614203,1.9526429,2.7134633,-1.1405706,-0.16629069,-4.355675,1.8455333,-1.035695,-2.6972036,0.36924052,1.4489433,1.180869,2.6182787,-0.85770667,-0.43079367,-3.3004897,1.1460122,3.4369674,1.2388153,-1.2948292,0.7457998,0.11049507,-0.92905486,-0.8059005,-0.28000313,-2.587574,-2.2811642,-0.44048792,-0.046658285,2.7841911,0.8951263,0.5241767,-0.12560785,-0.7996527,-1.6847248,-1.0774075,1.6727746,-1.2091613,-0.80478394,-1.93674,-1.7975483,-2.85742,-2.0879369,1.3124434,0.21605262,0.8318552,-0.5462471,-1.4205129,-1.0419058,1.8100805,-1.5630207,0.9599305,-2.4349954,0.9946771,0.6717063,-0.009428948,-1.5427085,1.1435655,-3.0238643,0.8475647,2.1644871
LS513,0.1504702,2.4525785,2.5373306,0.5800185,0.4630949,-0.57789016,0.14341107,3.6237748,0.65851104,-0.7835026,-0.12424123,-1.18333,-0.90310955,2.292269,-0.4366177,-0.84981257,-1.2830641,-3.3793354,-0.66501164,-1.2275649,-0.8419209,0.64230406,-1.051324,0.32327497,0.58423257,0.480697,-1.7550998,0.6517677,-3.1817954,-0.63494605,-0.99617136,2.472818,0.54688394,-0.9630323,0.42157748,-1.0172144,-0.1688425,-2.3322802,-0.58082604,0.9274473,2.8026245,1.8045728,2.2697468,-0.63775355,-2.640858,-0.20508298,-0.020935506,0.785789,0.91822404,-2.2519894,2.7244587,-2.3334966,-0.19010785,-2.6523209,-1.1515417,-1.1880952,-0.6145236,-3.7278306,1.7310485,-0.8592879,1.6020908,-1.3781464,1.6172287,-0.33524108,-0.68003345,-0.15082422,-0.2490046,2.4206357,-2.1984732,-3.3444197,-2.544195,1.548171,-0.34983313,0.1636336,1.3791989,2.2451022,-0.25851735,-0.62773716,-0.0031810403,1.6783415,-0.49705032,-0.41399986,1.225531,-0.05311078,-0.53218615,1.2355826,-1.4587148,0.6648743,1.9614024,1.8049479,-2.2098327,-0.8480787,-0.3771668,-2.1312928,2.062446,-0.103631854,-1.5357432,2.4814487,-0.050550975,3.0621305,2.3914595,-0.49093142,3.6962883,-0.17680213,-1.5155749,0.32966006,-2.0558794
HCC1171,-0.08848941,-1.561469,-1.5027645,4.2231255,2.7757277,0.87995505,-1.6639457,-0.49796972,2.0901363,-1.3741286,1.190404,-1.9970611,0.30953732,-4.354647,0.7020924,-1.8450845,0.656224,0.42846704,-0.96377844,0.6182858,1.6511111,2.2398849,0.66836774,-1.650096,-0.98086387,2.981454,-1.293361,0.02993831,-3.902314,-1.8883003,1.4977405,0.7927557,-0.23302662,-4.447689,-1.2591822,-2.450474,-0.75900686,-1.0795887,1.534898,-2.8579535,-2.1322808,3.5797057,-1.3432782,0.70320404,-2.791754,0.092261024,1.5190036,-0.038366716,0.08749949,-1.5491482,1.4451553,-0.94377005,-2.7110581,-2.5006576,-1.9695442,-1.693505,3.8506117,2.46379,0.5190805,-1.500285,-2.0568676,1.135326,3.5409555,-3.2670782,0.75308794,-0.25552803,0.86117846,-1.3508854,-2.0009005,-1.427079,1.073134,0.24102163,-3.4093647,2.4785192,-0.5582894,0.9804541,1.0178329,2.0570757,-0.07994192,0.3468693,-1.7357244,-0.71624297,-0.024765655,-0.04236144,-2.0551987,-0.22046024,-3.1611993,-2.1578152,1.762701,2.668211,0.70633286,-2.5767176,2.9524987,-1.3512704,-0.05948335,2.5253038,1.887917,0.5625128,0.98043364,4.602196,-0.14014551,-0.019520938,-0.4063377,4.7256637,-3.7823675,-0.30830926,0.93624115
COV434,0.36876673,-0.45964748,-4.2472725,3.555324,-1.0146346,-0.61667067,0.7398102,0.0603711,1.2793705,0.46075538,3.067663,-2.373319,0.32134858,-0.76935667,-0.937127,-0.27025524,2.7999318,-2.6998107,1.021506,-0.99929816,0.6128676,2.8749225,1.4340874,-1.9332938,-1.7446284,0.8028033,1.8198712,0.00039815903,1.478462,3.591,-6.203114,2.440823,-2.2632415,0.6408857,0.21925774,0.78349054,-0.32732874,-0.16730852,2.1724327,0.44263107,-0.5031208,-2.9819536,-1.520466,2.372126,4.240636,2.0037272,2.2076375,-2.0154054,-2.008199,-0.6691592,0.3056159,1.583427,0.46618938,3.76067,1.5677835,-2.4275458,1.2632691,0.29462278,-1.8595442,0.22166598,0.062535524,1.3983175,-2.4736598,0.77795804,-0.20833361,0.33360088,0.030809045,-1.8396659,1.7482907,3.026579,0.7431021,-2.268891,-0.6434381,-1.1867449,0.8830788,-0.9225285,2.3643832,0.23952326,2.0274458,0.8186666,1.1719369,0.6534791,-1.7808409,2.4498148,4.9531093,3.3871253,3.0469623,-1.3153695,-0.7047553,-0.92066705,1.3522512,-0.42081574,0.16130997,2.1861193,-1.3076463,-1.3416963,-0.17753437,-2.0476944,3.5400593,-4.0386105,-0.45304632,1.4953526,2.705592,-0.80396134,0.3098697,-0.25965092,0.91171813
