,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94
M059K,0.8686434,0.08757344,0.57087207,2.2940638,-1.9984586,3.4601123,-0.30612725,-4.2597423,-4.5601444,-0.55034846,2.2334208,2.1334274,3.1240702,2.3972988,-1.9527676,-0.23985624,-0.61450857,0.90092015,2.7696316,0.64229035,1.8549474,1.5475492,3.6918554,3.4113493,1.0985886,1.6045717,2.1525576,-2.3939896,-4.7818427,-0.63949156,-2.745242,-3.2646878,0.18179153,0.3179967,-0.46133235,2.2248683,0.44447792,-2.6914475,-4.0546627,-0.6623534,-0.25502273,-0.20750263,2.5691967,-0.6621415,1.421807,-3.1345804,3.4707472,0.48740208,-0.6992108,-0.47658262,-1.4354674,-1.2995163,-3.4954731,0.28673849,3.286116,1.9146916,4.53288,-2.7659416,-1.786559,0.71485233,-1.0196854,-4.3689294,-8.739612,1.8685187,-3.2966766,0.28216764,-3.735305,-3.6534328,-2.3931184,0.99792004,-7.5130353,1.1197947,-0.6627575,3.2169585,-3.8352923,-2.5471847,3.339388,5.739964,4.4084344,-2.6158395,2.177963,-4.715062,-0.30356562,3.7438793,-1.1480858,-1.7991996,-1.1560233,4.5012345,0.20700845,4.099545,0.9503166,-2.1688626,4.4918184,3.5634062,1.0262402
DM-3,-0.19016698,-0.63833433,0.008270945,-0.30218425,0.54917985,-0.6277629,0.46785563,0.09590067,0.4289257,0.3138683,-0.25732237,-0.6901283,-0.10727188,-0.16667852,-0.01126289,0.52586675,1.2546289,-0.93925285,-0.97945523,-0.47874376,-1.010329,-0.08038019,-0.14157633,1.8512108,-0.74500847,-0.08399838,0.32729504,0.06633199,0.5039554,-0.0678221,-0.61718017,0.4944411,0.52899575,0.5939724,0.08327606,0.16649958,-0.007794136,0.069945246,0.10524273,0.29884824,0.834296,-0.20784684,-0.966737,0.38102326,-1.0554178,-0.07694989,-0.08950653,0.41254932,0.33411643,0.1632451,0.8491733,0.39176223,-0.61918235,-1.2096012,0.17063497,0.14305913,-0.14167969,0.36874312,0.1540907,-1.0463662,0.9019585,0.32914212,0.45069993,-0.30244428,0.2477849,0.8211728,0.13170962,0.037866503,-1.3996402,0.9158652,0.7850459,0.07740279,0.47494277,0.48929468,0.011046872,0.090970606,0.08609164,-0.5781431,-1.4378966,0.44120613,0.43331835,-0.004394234,-1.5106913,-0.7548158,-0.09241973,-1.1804811,1.4698513,-1.2016373,-0.01441066,-0.25892967,-0.635221,0.031510435,-0.23420395,-0.92345977,-0.82314587
TC-32,0.06291977,-0.4578493,0.5937959,0.15943386,-0.02326049,-0.93662906,0.8261073,0.09930572,-0.92263687,0.41841933,-0.16885734,-1.5133435,-0.2323001,0.056836527,0.14073233,1.1234133,1.8125348,-0.61317927,-1.4899274,-1.2913975,-1.4909306,0.46503764,0.34130198,1.7409673,-0.88467026,-0.3565129,0.70344305,0.38737833,1.2419144,-0.30180752,-0.026886731,0.022376806,-0.08583166,0.43944776,0.19859527,-0.010635674,0.17216639,-1.2750641,-0.015734196,-0.31992295,1.0819129,0.1418984,-1.5061826,-0.03788984,-0.21247879,-0.31669447,-0.4381326,0.40817624,-0.07218734,0.64266133,0.3007386,0.84833366,-0.61808133,-1.5917767,-0.1919426,-0.5001848,0.35129815,0.11502931,1.1370974,-1.2865577,0.60027134,0.19534293,0.23588766,-0.54462355,0.21200432,0.83222663,-0.022694126,-0.90793943,0.9935661,0.19329831,1.7247767,-0.38546422,-0.4014842,0.5641651,0.29423442,0.094719596,0.9006252,-0.1290726,-1.4126201,0.20804785,0.55857575,0.020990945,-1.4340962,-0.37139088,0.23571359,-0.7258203,1.4576628,-0.3518373,0.38561866,-0.3432914,-0.25833794,0.18490885,-0.41618657,-0.6309508,-0.965969
SNU-216,0.9313592,0.17895168,1.8387071,0.38038903,-0.81257766,1.5761335,-0.5234997,-4.9336305,-2.7418537,1.2276053,-1.9622284,1.8245262,0.6504651,-0.87239814,0.90144867,1.3693993,0.8868774,-1.5582423,-0.29787105,-2.4159207,-3.0955138,0.52269113,0.8092496,2.4671445,1.3387322,-0.8064181,-0.7991493,-1.1173687,1.4901531,1.4198163,-0.33577466,0.12892002,-2.9131238,-3.6551037,-1.0172381,0.49508417,1.3413625,3.274878,-2.072551,-1.6723839,0.5606982,-3.6050272,-2.0445585,0.25247335,3.8593552,-0.102193,1.6139375,1.08052,-0.48588705,-1.232826,0.06043536,-2.873825,0.48218638,-1.5440834,0.99602306,0.83509535,1.3593775,2.1477122,1.3659447,1.2895869,1.9402392,-3.847968,-0.9659467,0.36356223,-1.2513047,2.1261775,-0.7484416,0.80465287,-1.8600751,0.15909693,-0.76690894,3.1382296,-0.3929428,2.7346323,-2.2288327,-1.6571964,-2.0263581,5.220777,1.5719956,0.7408328,0.9102321,-3.5527253,-1.1221412,-1.3195096,-0.51830626,-1.0540279,0.49317005,-0.13221177,-2.5129035,0.7289275,2.4201055,1.156354,1.2407737,-0.04255277,-1.8709576
SNU-840,-0.9582952,0.036368206,0.26167133,-0.8846089,0.9122716,2.549911,0.25425267,-0.521611,1.0208794,2.0108356,0.68284196,3.6081696,-0.76909024,-0.37624398,-1.3380123,1.1005392,0.8921902,-0.13620423,-0.06247281,-1.0367104,1.4551762,-2.706419,0.3858534,-0.6126025,0.47899947,0.93744296,-1.6181415,-0.35034966,-0.50007135,-3.4868133,1.9764415,1.4181455,-2.9105816,-1.8668804,0.46984988,0.073071845,-0.05065144,-1.771351,-0.5951816,-0.8464656,-0.43194807,0.9433732,1.1434072,1.0805368,0.07245846,-2.3104122,2.1510663,0.28981242,-1.2336282,-0.57476425,0.4538346,0.19669628,0.18971859,0.0122066885,-1.751652,-1.0090711,-1.2640082,1.139907,-1.6460129,3.927543,0.69096553,-1.623314,3.7419014,-1.0497348,-0.21219324,0.13234606,1.4026965,2.7093048,-0.56661844,-0.69476575,0.5258757,0.97446907,-1.2681708,-1.6125482,-0.060645383,-0.5815622,0.81860137,1.3995625,0.46668908,2.7375388,-0.065638214,-0.40121496,1.5178196,-0.99735564,0.42489237,0.90176564,-1.8716472,-0.73533803,-1.1033194,0.2026763,0.59807485,1.3802923,-2.8246126,-4.8055634,0.985593
HT-1197,1.8374627,-1.1394768,-0.68174976,0.3863654,-1.8226452,-0.98082805,-1.5514239,0.079177625,0.9197301,-3.7245245,1.363446,4.3911786,-0.6421581,-1.7079633,0.32796302,-0.6553797,-1.3223855,-1.4948401,1.1188686,1.3436588,0.14588785,-1.0417793,-0.69310164,-1.592838,0.00988625,-0.4937545,-1.3194058,1.2262301,-0.26412445,0.9919324,2.7766492,-1.1306145,3.9429524,-2.1975121,0.005541049,-1.9468098,-0.29596484,0.5588651,2.1276088,0.7551462,0.27207989,1.9117192,1.969167,-1.8850639,1.8570485,-0.7753226,0.49958664,0.013473898,1.2986624,-1.0026442,-2.5403032,-0.26786366,-0.75456965,-1.3771774,-0.1891329,1.0166433,0.42923367,-0.45799664,-1.1113569,0.66822153,-0.5304196,2.74487,0.03875868,1.0885206,0.011588883,-0.7032758,-0.18497983,0.45240945,0.14890742,-2.693037,-0.48842278,-0.90827596,-0.90261984,-0.9157363,-3.2478447,0.51925755,-1.7409106,2.3227346,-1.2928122,0.45983702,-0.32907847,1.9734521,0.826777,0.62440616,-0.6663952,0.19976103,2.1317215,-0.26565266,-0.052917033,-0.6381004,-0.85391855,-1.135828,-0.102159545,-2.5175128,3.1330163
MFE-319,0.15133682,-1.4464369,-0.5908729,-0.55313957,0.28018475,-0.7937888,0.02010534,0.54041976,0.49188653,0.69617134,0.58870983,-1.1577501,0.6071702,0.94398713,-0.7751327,-0.033616617,0.7407902,-1.5300336,-1.4318709,-1.8382936,-0.7426174,1.1118728,-0.16662043,0.8392818,-1.678406,-0.12931067,1.0258532,0.3886679,0.6070547,-1.6173426,0.6200665,0.0003042221,-1.3907044,2.0139627,-0.09423903,1.0084176,-0.53599167,0.7674467,0.3601659,0.47098127,0.28420633,-0.9361495,-1.2134076,1.6581845,-1.2539287,0.2821153,0.5918968,0.9437941,0.25795218,0.27961475,-0.21243495,-0.7827309,0.57166976,0.07380962,-0.78683776,-0.4231844,-0.6243754,1.2606742,0.15738305,-1.379579,1.7431548,1.1399547,1.6403388,-0.79243684,0.25667614,0.10414707,-1.0910336,-0.27764332,0.11277449,1.4009802,0.7801371,-0.52695584,1.5427104,0.87730736,0.09151871,-0.31684944,0.6627616,-0.6901989,-0.19657837,0.029808514,0.648927,-0.18268496,-0.39274564,0.7049017,-0.5447695,-0.56026804,1.9117788,0.63374674,-0.39812973,-0.1617716,0.14170323,0.051019408,0.0003684871,-1.471159,-1.2368468
T24,-0.5505979,0.011621624,-1.6068919,1.1499218,0.055442303,2.7465556,-0.43151394,-0.9336909,-0.173334,0.060698688,0.8473419,3.951429,-0.4848085,0.21579662,0.2881322,0.27689865,-1.2328799,-0.021440625,2.1508594,0.9263811,0.3703818,-1.3293505,0.78864235,0.20933402,0.6718904,0.6896371,-1.2117598,0.1882227,-0.23933743,0.9074207,0.5443122,-0.11621097,1.8284042,-1.9192613,0.6342013,-1.9793911,0.06337802,1.4164994,0.6551169,0.8251199,0.12266472,1.0138731,1.5477514,-1.5477424,3.0282242,-0.5620792,1.9201173,-1.5185809,0.29236823,-1.4406705,-1.3523635,-0.9933822,-1.9318209,-0.23932797,0.22653994,-0.24607827,0.7776103,-0.65253407,-2.549246,2.4830487,-0.7441812,-1.1163418,-0.18836385,0.113307744,0.20668346,0.5833003,-0.28626436,1.0710654,-0.32380763,-2.5864573,-3.148923,0.8709529,0.089158595,-0.1445194,-3.9639509,-0.9608786,-1.6491824,0.6478517,1.5990647,1.125714,-1.548935,0.78122205,2.058322,-0.3118201,-0.14276926,0.5114587,-2.097407,-1.0171981,0.8279939,0.16901612,-0.13886589,0.11794728,0.21898969,-1.5630746,1.0706259
NCI-H2122,0.37794548,2.1331158,1.5556384,-0.92984337,-1.4951019,0.39282662,-0.63498384,-1.5202758,-0.888329,0.12901904,-0.05552718,0.93160677,1.4884744,-1.6474493,-0.8302515,-0.1882554,-0.046919353,0.5972461,1.3186214,-2.575295,1.5936861,-1.0958614,1.7206383,-2.0423803,1.3912783,2.2712333,-1.2567141,0.04359941,-0.7494709,-0.66685075,-0.53318083,0.10831536,0.16769509,-2.4296765,1.2587934,2.3505607,-0.63905793,-2.1980145,-1.5598814,-0.2768306,-0.36298037,2.4743166,0.5505959,-0.23919834,0.6728612,-0.31804466,1.4796529,-1.2322514,-1.2598567,-0.67656285,0.8640198,-1.7690778,-0.49539804,1.8071421,0.64245534,0.71620643,0.31668672,-0.5185919,-0.9647166,0.49620646,-0.40334725,-0.55843675,-2.885227,-0.04622309,-0.8660531,0.34520233,0.5414732,-0.69934684,-1.987078,0.028792396,1.1832482,0.8532969,-1.2568448,0.660833,0.0968854,-1.1748929,-1.1838824,2.9955747,2.0792878,-0.05378563,0.5485341,-0.7233203,-1.2997885,1.5736511,-0.1267067,0.07757789,0.068764895,0.46454635,-0.6881954,1.4676756,-0.40730652,-0.18482476,1.4654872,-0.44105163,0.5452922
Detroit 562,-0.009126194,-0.40739533,0.3539647,0.19394833,0.7013707,-0.9307378,0.52608705,0.35395464,0.33723375,0.42200735,-0.19355212,-1.3992289,-0.17850676,0.0005613165,0.1483328,1.3712709,1.8889765,-0.98367727,-1.2236887,-0.8502079,-0.97386193,0.94056106,0.2851466,0.9133589,-0.91052216,-0.045678217,0.54906327,0.2207799,0.9435326,0.07579361,0.17809778,0.513656,-0.22437888,0.56479263,0.16526762,0.38180694,0.08809,-1.0129975,0.01785949,0.7668841,1.0175328,0.37781584,-1.2453654,0.2642201,-0.22284992,-0.2589572,-0.43890357,1.0132928,0.0036281273,0.6190168,0.40208912,0.95569617,-0.6357955,-1.6564307,0.5141407,-0.9909538,0.3141301,0.22869067,1.0010065,-1.2644182,0.3867215,0.39745235,0.33193254,-0.21397129,0.0034554452,0.5591211,0.019343674,0.41257793,0.8750237,0.4278085,1.114191,-0.2299674,-0.25364313,0.5402633,0.27951562,0.46965736,-0.28190544,-0.64366776,-1.1833478,0.19139904,0.38257357,-0.3584046,-1.4464477,-0.043203898,0.32888603,-1.3337051,0.9667382,0.58257806,-0.60583496,-0.39559293,0.103698984,0.26961705,-0.38087308,-0.79336196,-0.9788155
PE/CA-PJ49,0.47272617,1.76903,-0.059845753,-1.0095462,-2.1422172,0.718331,-1.8852015,1.1396365,1.3212873,-2.142057,-0.03771872,1.3421029,-0.9835948,-0.9646238,1.2082586,-1.5883387,-2.766278,0.6148537,1.9662037,0.41413867,1.443813,-2.655257,-2.7748318,-2.5860445,0.46999624,0.99827254,-3.3273973,-1.3123394,-0.60149777,1.8799531,-0.1828543,-1.0450736,1.8124807,0.014903173,0.14541054,-0.6936579,0.24873805,-0.46323365,0.31361228,1.2986734,-1.5578457,1.7674357,2.4409325,-0.26282036,-0.6305134,0.25833893,1.1435628,-0.6051783,1.8922523,-0.5466944,1.8004036,0.18839698,0.33327824,1.9596689,-0.0766127,0.9330423,-1.4542701,-0.885458,-1.4356043,0.6801601,-1.2149309,-0.14757371,-0.24179898,-0.28325617,-1.7117183,-1.4049573,0.803882,0.3490257,0.8533162,-1.7703558,-0.97544575,-0.21973649,-0.40983343,-1.5944738,0.32636046,-0.22006756,-0.9284941,-0.96543735,0.18477668,0.2582113,0.20119628,1.251623,0.061312478,0.62374234,-0.27634078,0.9521646,-0.5283898,-1.3847805,1.0739841,0.5140757,-0.64427805,1.0508947,1.7705297,1.6861985,1.9713004
EB1,-0.1757438,-0.60891825,0.15239704,0.2456718,0.36258405,-0.87642074,0.55266917,-0.27163598,-0.14825821,0.10982331,-0.1110748,-0.5056701,-0.39947343,-0.17475906,-0.040241424,1.3052003,1.5027342,-0.76956934,-1.3391281,-1.1665438,-1.3206779,-0.042440772,0.21830857,1.9323306,-0.7518935,-0.002119787,-0.08884281,0.256386,0.84341025,-0.24865827,-0.5101844,0.58630025,0.006011933,-0.14536238,0.34674117,-0.025598027,-0.42563602,-0.3432901,0.29876947,0.16971692,0.95675653,-0.067106575,-1.0113169,-0.04850249,-0.05775988,0.16577435,-0.4415863,0.005061537,0.10314043,0.34082052,0.32352257,0.77568316,-0.8946784,-2.0087318,0.109027766,-0.40102988,0.10266507,0.2773698,1.3316436,-0.93714786,0.4820342,-0.23322624,1.0696075,-0.3369593,0.32244396,0.45621547,0.38633716,0.46773267,-0.27334312,-0.030860543,1.1958678,-0.1368659,-0.122032925,0.36916545,-0.27603784,0.28197497,-0.1925088,0.17181358,-1.2763833,0.6941955,0.8320646,0.35108536,-1.3360981,-0.18566966,0.27910024,-0.9010404,0.9557104,0.6351718,-0.14851426,-0.44105607,-0.09699094,0.12740254,-0.10361322,-1.4961286,-0.6926965
EM-2,-0.4334039,2.214047,-6.46859,-1.4004539,3.4511993,6.2374306,-0.51269454,0.5982668,1.2254542,0.2004196,3.2484477,3.249739,-3.3780582,1.3256655,-1.6588488,-2.8032439,-1.8364326,0.6616707,2.5176086,2.617112,2.7799993,-7.393739,-5.9033732,2.2457438,0.26422462,2.7664413,-4.9703503,-2.3858862,-5.593687,-1.0361176,-0.83885556,-2.0129812,-2.4531121,-0.09753496,2.1141644,-1.5490639,0.84338105,-0.83939385,1.2734879,1.6732868,-4.1601367,1.3822815,7.73381,5.755855,-1.969795,-3.2003045,1.7840456,2.5731845,1.6287788,1.1250428,2.2241895,4.009741,-0.05454599,0.90117943,0.21287549,-2.2665768,-5.03994,2.8786166,-3.0587015,5.3916,-3.0289955,-4.2670007,3.496141,-2.1338487,-0.98517215,-4.8537893,-0.109210074,2.192083,5.624144,-2.8427281,-4.5310745,0.7277486,-0.15791416,-6.6010695,2.6207323,1.8979752,-0.28267694,-2.2238474,1.053663,1.2948982,-1.4052879,-3.3424308,2.4181077,-3.5467992,-3.2658865,-0.8302258,-5.631044,-0.37928736,0.76109284,1.8674307,1.2858334,2.7025535,-3.0150595,0.52648,3.8116744
NCI-H2126,-0.9271364,-0.737712,1.7784791,0.31472147,-0.34828943,-1.7287835,-0.2541687,0.6794532,-0.36306086,0.82144284,-0.5682838,-1.5049465,0.74786395,0.9659804,0.695897,1.889882,1.67528,-0.52326155,-1.4197145,-0.48734933,-0.0456551,1.3490193,-0.00639607,-0.4788806,-0.49366802,-0.21329828,-0.32070896,-0.33750713,1.3439378,0.32627702,-0.76521444,0.58866245,1.5297881,0.40331638,-1.8577615,0.77427894,0.84628415,-0.016111054,-0.1771988,0.35025394,0.3983082,-1.4796616,-1.0193149,0.36616227,-1.8394562,1.0327141,0.43005905,0.39708665,0.63231564,0.6816902,0.71217936,0.609072,-0.43353826,-1.8231655,-0.77177846,-0.8405598,-0.38701692,-1.2224414,0.7237297,-0.45974916,0.24995863,-0.007797554,0.019265473,-0.63275397,0.10572693,0.59298986,-0.57889426,0.107275724,-0.3265683,1.7646029,1.5172354,-0.6322263,1.9955757,1.1899207,0.4958554,0.07684149,0.84199136,-0.59971654,-2.1072755,0.2615949,1.3813956,-0.6986566,-1.0345482,1.1244508,1.4407591,0.9210817,2.1466484,-0.8718356,0.5907614,-0.04473661,-0.88383454,-1.2159587,0.56986535,-0.63922936,-0.86851543
Hs 616.T,-1.1510098,4.487288,-0.86069846,-2.6967409,3.8919575,4.6626225,-5.2224636,1.0013208,-0.79016066,5.587722,-5.5698195,0.40648055,-3.348254,-2.6213484,2.9404454,1.9365835,1.9078413,2.7444415,2.2181423,-3.9852054,-2.458109,-2.928622,4.4809885,-7.4990163,5.5058327,7.0211496,-4.1762743,-3.4795985,-4.092569,-4.078789,-1.3649385,-4.7122602,-0.3432419,5.101339,2.7831898,0.6060107,2.756964,-1.0861473,-5.078632,-2.1135128,-4.1835155,3.073331,6.3356323,0.41963756,0.29530853,1.1504397,6.196907,0.867384,3.4313304,-0.47815832,1.0508368,0.35826668,-5.1939144,3.9582572,-4.342156,2.392753,-0.43305975,0.43194067,-1.8378489,1.6197267,2.8726594,0.7743394,-1.7663676,-3.9480715,-4.3230467,1.1999208,2.0235589,1.6106306,2.1362336,0.24838436,-8.024482,4.5411487,0.8362253,-0.5626341,3.4489737,-0.4258512,0.8965087,-2.2414641,3.5267997,-2.824322,0.9197852,-3.0520267,0.97839963,1.535307,-2.6444905,3.693073,0.013763212,-0.030496996,5.460639,-0.42211342,-2.5679913,2.1710925,-3.53347,-4.7647333,-4.3969007
KMS-26,-1.2115867,1.3899553,-2.3811598,1.4038264,3.176308,1.394944,-0.14725934,2.535904,1.4825646,-1.5418794,1.0191053,-1.0384417,0.8079177,0.98699635,-0.99573576,-0.2742878,-3.4186537,-0.30675718,-0.47038612,-4.0949135,3.5457768,0.36746374,-1.5014309,-2.1318822,-0.15849963,0.80439323,-3.82689,-0.044312626,-1.3586506,-2.1199858,-1.8085787,-1.3342528,2.558376,3.47822,2.915301,-1.9964192,-0.959795,0.023635045,2.2780375,2.0118709,0.22378021,-0.6035835,-0.4502614,-0.5105507,-2.927952,-0.1293206,1.6756448,-3.5466192,-1.1450589,1.4461074,-1.6744109,2.7284968,-4.2512784,1.9133202,-1.2907114,-2.739759,-2.5132096,-0.26494798,-1.4272108,1.3713822,-3.8544347,-0.11150054,2.8135962,-3.1789055,-1.3846171,-0.8787821,2.9928455,0.17894994,-0.6095735,0.6637653,-2.741853,-2.4187646,1.7664863,-2.3484824,-1.4344559,-2.073567,1.3213663,-2.3489065,2.981949,1.1970333,0.3300261,1.3873273,3.6246827,1.427677,-0.17910331,4.731046,-1.5993483,-0.18452293,-1.4159858,-1.3727442,-2.0722375,-0.13038395,2.097563,1.3572373,4.0947285
Calu-1,-0.43356058,-0.022725135,-1.609992,-0.20402846,0.8704609,1.2746787,-0.0963865,0.16340461,0.4466907,0.9577262,0.17684256,0.47348276,-0.3715755,-0.7233046,-1.5475795,0.29037803,-0.9947467,-0.17463493,0.71922123,0.40030783,0.6799567,-0.7647978,1.023277,0.6727492,0.7302572,0.81243,-0.4758168,0.41014674,-1.1428692,-1.0058218,0.31128204,-0.053711236,-1.1451894,-0.71233034,1.2645313,-1.6670561,-0.24939859,0.92569894,-0.6078236,0.048960533,-0.1362558,-0.6542649,1.8108982,0.32981685,0.9124967,0.08985514,-1.0337968,-1.1056213,-0.9200008,-1.4201151,-1.2506642,-0.76971096,-0.4633213,2.1536233,0.011545675,0.52042776,0.8590256,0.0070464946,-0.44523862,0.7775409,0.42761576,0.832346,0.16364801,0.43216717,0.29501358,0.7874602,0.82359487,-0.19652948,-2.1177077,-0.9455943,-0.5015015,1.2536118,0.17075461,-1.4714805,-0.8320132,-0.18976638,-0.05390507,-0.04189478,1.8915468,-0.12261203,9.5523894e-05,0.71268064,1.2776991,-1.1949894,-0.41173336,-0.06935376,-1.4618922,-0.9488137,0.23199569,-0.114333615,-0.14351262,1.7599481,0.013112016,-0.5498581,-0.68755007
LOX-IMVI,-1.3369614,-1.144053,-0.2309949,0.20358096,1.0352384,2.0550878,-0.45345366,0.5361134,0.5923587,-1.4684676,1.3879048,2.9172516,2.5521553,-0.39183784,-1.7600844,1.2952467,0.6607006,-1.6995442,0.06946331,-1.9709233,1.4920615,0.6023874,1.2963016,-0.2717147,0.7406978,0.16981243,0.86117715,-1.1380312,0.8170053,-2.4850228,3.0617616,-0.77119464,-1.2534039,-1.1621408,-1.3767955,0.2533043,0.19557162,-1.7760067,0.80306655,-0.43201214,-0.54238975,-1.5760614,0.6865535,0.08940845,-0.6387415,-2.0173678,0.13679837,-0.70383275,1.0898488,0.79586905,-0.69156486,-0.0055321082,-1.0233659,-0.942263,-1.1588619,1.0885876,1.49482,-0.38187546,-0.10595745,1.6509768,-1.1789026,1.2704811,2.547152,0.84462464,0.5190762,0.2905427,-0.69468516,0.6692957,-0.804364,2.2808895,1.2744141,-0.064779505,0.11534589,-0.16389915,-1.3970981,0.6886515,1.4005678,1.8424239,1.1845024,0.690268,0.100472465,0.8304543,1.5845706,1.0242778,0.510102,-0.3525405,1.9104972,-0.85665154,-1.2716832,0.42567763,0.44301125,-0.9046507,0.9622407,-2.6715727,1.2253219
Hs 739.T,-0.6222828,-0.53175735,0.054921165,0.5662227,0.005736381,-0.8546858,0.57089674,0.32170683,0.28942847,0.8114563,0.026847761,-1.4015634,0.1576608,0.16842525,0.18224731,1.7734176,1.5709898,-0.5884437,-0.81346315,-0.87986934,-0.72950125,0.4238842,0.74279207,1.0160702,-0.8175202,0.61658055,0.40489164,0.33726496,0.6106473,-0.08199909,-0.521702,-0.07385537,0.08338738,0.6168813,0.096190125,0.18255125,-0.42963645,-0.27835447,0.20711762,0.10326468,0.9447433,-0.45517552,-1.3228531,0.15184626,-0.3838609,-0.20183527,-0.3340287,0.5965465,0.21729203,0.34725684,0.5714779,0.8442269,-0.47510093,-1.6807824,0.32954913,-0.84389883,0.5673279,0.28447968,1.0641358,-1.1018806,0.2274104,0.7395543,-0.069444776,-0.7525699,0.47518277,0.63262427,-0.01937519,0.30197448,0.037929468,1.3119345,0.93410826,-0.16559486,-0.23924309,0.5018897,0.44919994,-0.07158055,0.1099451,-0.98380697,-1.2513995,0.075798936,0.34559217,-0.040313818,-1.2266276,-1.3959386,0.37765744,-1.0289752,0.44459492,-1.6761242,-1.5255873,-0.11144206,-0.2793489,-0.26400083,-0.49478605,-0.6469007,-1.3494962
ME-1 [Human leukemia],-0.4913899,-0.45564365,0.51317835,0.7448272,0.11102903,-0.86162,0.4259401,0.33890438,0.11703389,0.48565167,0.004998617,-1.6794779,-0.20755641,0.07969447,0.20528851,1.4410255,1.7348624,-0.70846945,-1.0846627,-0.27507257,-1.2255296,0.467246,0.35414627,0.96083593,-0.8621572,0.15717584,0.5399765,0.2453205,0.83928055,-0.37130517,-0.6667027,0.23682746,-0.54026455,0.5691735,0.12924255,0.5561727,-0.07947735,-0.40678993,0.10387101,0.6480393,1.0193859,0.04986463,-1.1804724,-0.2677429,-0.27898705,-0.35379764,-0.45922112,0.6484252,0.10996361,0.3779368,0.58936405,0.8234426,-0.5971387,-1.8055629,0.66519207,-0.35137165,0.37613142,0.015077502,0.9449713,-1.2633727,0.46737918,0.4788277,0.46881238,-0.16166788,0.4422778,0.7893698,0.10104078,0.8380141,0.24352756,0.91743183,1.0213783,-0.2555632,0.29702792,0.47880286,0.4784587,-0.1900696,0.6311747,-0.7522167,-1.269354,0.09583615,0.040749874,0.1856649,-1.4305252,-0.8531064,0.44522506,-1.1383502,0.9378302,0.57252884,1.1976715,-0.2760275,-0.48500305,-0.10167269,-0.35217765,-0.8870981,-1.0662525
YKG-1,0.6359807,-0.111291185,-0.8677536,-0.9179156,1.2660992,1.7054149,0.59190226,-0.062602945,1.158947,-2.164004,-0.4020459,0.74574643,0.34302434,0.2120423,-1.1542767,-1.2894725,-0.94034636,2.2337697,1.0763417,0.5609909,2.0160937,-1.8616797,-1.1864864,-0.54235363,0.38956645,1.1914297,-1.1640208,-2.3150713,-2.9569216,-1.388594,-0.67894834,-1.4441724,-0.5928649,1.2434598,0.7632657,0.111223385,-1.061934,-0.97659504,-0.19027783,1.3097445,-2.3282406,0.89441246,3.6628294,1.7338591,-1.468457,-0.6487511,-1.4662658,-0.064825416,1.14495,0.6005755,0.085395604,0.35025924,-0.677281,1.8482469,1.5622971,0.6532967,-1.235566,0.030159704,-0.13013613,1.5057318,-1.6543275,0.13123676,-1.0120003,-0.1369709,-0.17269239,-1.5633523,-0.3174721,-1.5776597,0.13040838,-0.89139897,-1.1988046,0.07458974,0.083708405,-1.8260814,0.4636186,1.0698514,1.2840142,0.68153894,0.3974263,-1.1048763,0.4567004,-0.42568326,1.7780386,-1.0342896,-1.9556161,-1.0073735,-0.26831543,0.725404,1.2800663,1.0442148,2.0917509,-0.22705048,0.6044606,1.0067073,2.0366035
MDA-MB-436,-1.8312876,0.72759765,0.030763626,1.9856495,-0.9552256,-0.71348995,1.9561493,-0.47934547,-2.0567224,4.7833853,-1.8963218,-3.497893,0.6152199,-1.905781,1.5298173,1.6630583,4.272366,1.9650483,0.15335095,-2.9179177,-0.68754685,2.705329,1.1059543,0.6585476,-1.1565418,-2.843964,3.0821838,-0.5964321,1.9872868,1.9663709,-1.3848532,1.5457083,0.1514281,-0.10181177,1.66584,1.3895378,1.1664162,-1.0899557,0.12716115,4.8753834,3.2727637,-0.10948689,-4.7012014,-0.22235152,0.10160976,2.4527614,-1.6283277,-3.5429246,-2.2335277,2.620465,-1.8369524,1.3290267,-1.2126601,-2.563104,3.3444328,-3.2345076,-1.331998,-1.047746,1.857223,-0.5269998,-1.482421,-0.0450478,-2.6231508,-1.3918145,1.4776757,1.2569566,0.2899367,1.4207251,-3.8756542,0.906063,4.3888025,-0.56407356,1.3387513,3.2919288,0.94462216,1.36744,-0.8145938,1.1451985,-2.6814682,0.67764837,-2.020779,1.2725728,-2.0976477,1.7626992,3.9149113,-0.4827319,-2.7863667,0.17619652,-2.1836705,-0.8487795,-0.47935873,0.8923439,0.27256414,0.8701216,0.10005821
