,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
KYSE-140,3.6913278,-9.146476,-4.0922236,-5.169637,0.33793887,-16.235977,19.963238,-15.696051,-20.903074,19.782219,-7.220279,7.8457713,18.708258,-28.764034,14.426255,-9.899848
RCC10RGB,40.012707,3.1852224,-11.195514,14.706755,8.059645,11.649186,-56.03291,31.545868,43.373585,-59.276222,36.088566,-8.278663,-43.547813,51.87955,-34.868683,10.1757965
PANC-1,5.5319414,-1.185614,-3.5151496,0.58975804,1.2583677,1.8213931,-5.465782,1.9809576,3.484177,-6.938571,4.4211497,-0.9695068,-5.105788,5.2465625,-4.7059274,0.8984958
KYSE-70,0.38296598,-2.5098054,-2.512105,-1.8977892,-0.5981467,-3.6683767,4.7720594,-3.3637516,-4.266374,4.547248,-1.5983634,1.3147883,4.553171,-5.918997,2.3265717,-0.9511965
BT-549,10.535825,-5.1736093,-3.1705225,-1.5363637,7.571681,-7.120352,4.754849,-15.054307,-15.628819,4.803706,0.96895194,12.501303,5.5920687,-18.27557,9.580801,-13.853662
PK-45H,-1.1836634,-14.246033,-11.168525,-12.222847,-5.2514234,-27.606386,31.786438,-17.304398,-25.93346,30.001675,-12.122375,5.6581683,31.661568,-35.968925,18.794945,-6.2153125
PF-382,-1.1151613,-13.808508,-10.806886,-11.839712,-5.1899605,-26.75557,30.756073,-16.650461,-25.005346,29.00774,-11.721802,5.379639,30.659555,-34.663914,18.14563,-5.9317513
CAL-33,-1.1956738,-14.331518,-11.212196,-12.292951,-5.3350754,-27.851528,32.01911,-17.347677,-26.0622,30.201855,-12.243589,5.6581197,31.924162,-36.146603,18.943686,-6.1964293
SU-DHL-10,-1.1958112,-14.40153,-11.285467,-12.3852,-5.385058,-27.986637,32.153263,-17.41649,-26.164162,30.328415,-12.274688,5.6590996,32.0656,-36.281258,19.004187,-6.2156997
RPMI-7951,19.960289,1.9053328,-4.5039935,7.6955204,7.3519506,8.213351,-27.523026,10.929789,17.701107,-28.464941,17.105057,-0.085339025,-22.15834,22.438953,-14.810916,0.70278245
SNU-119,12.724732,-0.5473099,-3.0356064,4.0254354,-1.625553,-3.5590665,-15.60831,12.011926,15.303193,-16.359306,11.327176,-4.703337,-8.45495,17.115482,-9.569941,5.2751265
BC-3C,-1.1472517,-14.37257,-11.233781,-12.330164,-5.3692613,-27.916807,32.099987,-17.407476,-26.139639,30.298214,-12.251537,5.6610465,31.99412,-36.263504,18.98395,-6.2468424
DMS 153,15.858341,-0.47952947,-5.450298,3.2975564,2.8213916,2.9981036,-20.121374,11.276734,15.020509,-23.366304,14.087468,-3.607121,-16.12651,19.659603,-13.455967,3.9312608
A2780,0.67924446,-11.773946,-9.504232,-8.533082,-2.1620166,-20.80893,24.15367,-14.102064,-20.59132,22.092012,-9.664587,6.0774302,23.149036,-28.610714,15.388201,-4.838693
F5,-1.348898,-13.323171,-10.407633,-11.582451,-5.1856046,-26.319054,29.998419,-16.014067,-24.212801,28.265812,-11.54131,5.141867,30.09454,-33.534935,17.645117,-5.604437
SF126,-0.09900453,-9.865219,-7.0231743,-8.219918,-3.5961425,-19.137058,22.54979,-13.0700035,-19.137337,21.862013,-8.349787,4.4813924,22.281164,-26.858856,13.763268,-5.712341
KMRC-1,2.0284398,-5.0145373,-4.8163104,-3.5999677,-0.035657033,-6.6866274,6.877258,-4.7653227,-6.411903,5.3117943,-2.7802753,2.248132,6.2715554,-8.062024,5.011584,-0.6309562
TE 125.T,31.259872,2.8036635,-7.1392455,11.93068,7.4774027,11.525575,-44.72357,24.252518,33.883682,-46.515125,29.29611,-6.045137,-34.705086,40.638596,-27.606926,6.0821047
COLO 775,-1.6544442,-19.113068,-15.319286,-16.524553,-7.0678973,-37.127583,42.4312,-23.041325,-34.575596,39.892242,-16.081326,7.494794,42.34863,-47.928143,25.022427,-8.025418
Hs 698.T,-1.1835427,-14.17497,-11.040504,-12.17167,-5.3190804,-27.623499,31.704506,-17.125507,-25.774328,29.896215,-12.134704,5.5618205,31.643745,-35.731823,18.775793,-6.129205
Panc 04.03,18.274357,1.6259817,-4.283024,6.6480412,7.1250963,9.011539,-25.071741,10.312806,15.680483,-26.30765,15.308587,-0.5245114,-21.255268,20.000042,-14.573348,1.2704735
NCI-H1650,-1.2468884,-13.644755,-10.709094,-11.823214,-5.175244,-26.645939,30.516975,-16.436476,-24.741873,28.76264,-11.676496,5.305938,30.523188,-34.28915,18.001717,-5.77802
