,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68
EFO-21,-1.9923462,-1.2006135,0.32868773,0.78305703,1.3632808,1.2292193,0.73530436,-0.94724655,2.7604473,0.4939327,-0.6848098,-0.84366536,1.8629351,1.2507043,1.2903538,-1.0276377,0.649174,2.496549,-0.14116547,-0.6843513,1.36797,0.57825094,-1.2557806,0.12269021,0.1456629,0.14760925,2.2312825,0.98545563,-0.361634,-2.207985,2.0025969,-1.2174052,0.54028046,1.9053464,0.21067463,0.47719768,0.5971934,-0.62761235,0.57614505,2.435325,2.667257,1.3270694,-0.73474157,-1.9112587,1.506977,-0.49066588,1.5948305,0.16405214,-0.13145146,-1.3142269,-0.10813986,1.8810434,-1.2532016,-0.074420445,2.6858947,-1.6798095,1.6961777,1.5708327,1.1647787,0.0780844,1.785465,0.8723731,-0.2951822,-1.2940763,-0.727398,-1.1427535,2.227478,1.1398302,-1.6097201
HCC2279,0.76437765,-1.0293934,1.1616249,-0.39498073,-1.6638829,-0.10841557,-1.0021769,0.8163111,-1.4064457,-0.17664427,-1.6662095,-1.1302409,-0.92893136,-0.28082645,-2.0730207,0.51743954,0.3526089,1.0121789,0.14067794,1.2516547,0.8471509,0.7547108,-1.3543345,-0.964101,1.8866019,-0.43195707,-0.25373322,-1.4514834,-0.03033361,0.96803254,0.85542285,-0.24292064,0.30333933,1.2453125,-0.6808884,-0.61820966,-0.5836767,1.4352202,-0.8161891,1.5757952,-2.9406557,-0.32287633,-0.45330644,-0.9216475,0.6784862,2.546749,-1.1605858,-0.8755506,0.070411064,-0.08800296,-0.2231395,-2.030839,-1.1963508,1.6682552,-0.43121865,1.1961634,1.8787355,-0.4900707,0.95085394,-0.094184324,0.96110725,0.38883543,-0.8929925,0.23844732,1.0789796,-0.2942158,-0.60343796,0.50123626,0.41774958
EC-GI-10,0.7605371,0.6452042,1.6615303,-1.8529559,0.59015244,1.0426142,-0.21747208,-1.0882206,2.466575,-1.692876,-0.8740767,-2.3388956,-1.2901182,-0.73226565,0.68328,-0.74628055,1.9911933,2.077907,-2.060096,-2.5047686,-0.07336804,-0.10646043,-3.226569,3.9248738,-0.8115593,2.644509,-3.4068444,2.4515162,-2.3393784,-1.7638015,-4.300371,1.3699737,1.7736382,-2.1546125,-0.21051173,-0.7402178,1.4800291,-0.4367286,1.7690601,2.0318797,3.4052434,2.2623158,1.1131504,0.061496213,-0.62624353,-0.23358074,1.4328672,-0.054359388,3.4874022,1.3726823,2.0930707,2.1145232,-0.50226927,2.2319298,2.2031066,-0.33744022,2.9184823,0.20908922,-1.599191,1.196098,2.3570952,-0.28613818,2.0232182,0.49542326,-1.4207476,-1.4128039,-0.7187034,-1.2491455,-1.3354172
NCI-H322,2.4763772,1.2371478,-1.3278004,3.24418,3.2950628,-1.8310727,-1.9424487,0.5140518,-2.4190307,-3.728652,2.6173475,-0.35480875,1.8589791,-0.55672216,-2.1302884,-0.34890884,-0.8731831,-0.9490627,-2.0883183,0.9680042,-0.7551123,0.7768257,-0.98942804,-1.4122235,0.5140856,2.569432,-0.6171396,-1.6601655,0.9226719,1.7820624,-0.6969015,0.28480452,-0.99804205,2.1929064,0.99709374,2.7548912,0.3363874,3.1148782,-1.3585273,0.9001219,3.855394,1.6393998,0.9585762,1.4881891,0.7050667,-0.7160593,-1.2783928,-3.5767806,-0.18631124,1.6749685,-0.9509358,0.21263956,-0.82395387,0.7031791,-0.502039,1.5823213,-0.032660853,0.4053598,-2.709113,0.36809137,3.1000586,0.4797204,-1.1469271,1.3731414,0.67155206,2.8453677,-1.1727872,-1.4606676,-2.5114658
Ci-1,0.23194174,-1.3954788,-0.43581372,1.2560835,1.0894384,-1.2144496,1.3489547,-1.6195567,-0.7490977,0.6095189,0.52720094,0.08515076,0.7973298,-0.8330868,-0.46250433,-1.5008848,-0.31901678,0.024924913,-0.16981407,0.12629756,-1.7224019,-0.85925174,1.8784838,0.5582099,1.6168103,0.34592354,-0.5556587,-0.6052413,0.17760381,2.0153506,0.8943801,-2.1489377,-0.9439478,0.5589162,-0.62693894,-0.11217919,1.2701008,1.7792605,-0.23131864,0.6166365,-0.8794736,-0.36445543,-0.9072864,-0.14483695,-1.3230618,0.07970583,-1.8277669,-0.52449226,-1.4367279,0.59814847,0.159208,0.007845571,-1.4639165,-1.8758094,-0.48805317,1.7308061,-1.3399833,0.1275998,-0.22521718,0.43992504,0.5862361,1.0747707,0.035553172,0.2504366,2.3368702,-0.442038,-1.0048548,-0.7177695,1.5664177
COV504,-0.56596565,1.6201638,0.7178538,0.2637623,-1.383862,0.87287056,0.21224874,0.49937457,0.24796772,0.841308,0.29489738,-1.521946,3.0487323,-0.5465072,0.4583271,-0.7070501,0.7285237,-0.07096387,-1.3631293,-1.7649226,2.7559109,-3.5915935,-0.6976242,0.46858826,-0.64048564,0.91332835,2.8748264,-0.46534333,-0.8736491,-0.44976217,1.0198375,0.39787853,0.2997369,-0.5165203,-1.3157954,-0.40574533,-1.4095265,1.0302722,0.7039859,0.49464217,0.7765296,1.7197616,0.7318801,-0.5752827,1.6974363,1.2048353,1.10868,0.7863357,1.469679,1.3858455,-0.28472564,-0.57016,-1.0888696,-0.5741309,1.6678895,-2.2771,2.5061257,1.8394775,-1.0038327,0.5236995,1.5652834,-2.441618,0.09629196,-0.084387854,0.6406159,-1.1422356,0.1755009,1.0149869,1.4016958
RERF-LC-Ad1,3.0955212,0.15701261,-0.7841229,0.58624166,0.07911006,-0.70611185,-1.3241484,-0.8065028,-0.68729246,-0.93876725,-0.57845545,-1.9492602,1.3606334,1.6862057,-0.28561094,-0.7116671,2.5013814,0.66681975,1.5145968,0.083531976,0.5020881,-0.93422514,-2.9270306,-0.34598148,0.085682385,0.95075077,-0.6365007,1.7308403,1.8273638,1.1210861,-1.637374,2.662863,1.5320493,1.9825374,1.1848583,1.5709478,-1.1923685,-0.06206103,-0.9955256,1.8666937,-0.9252316,1.2886529,0.45196807,3.1140482,1.6077726,1.1844126,-0.2266098,-0.9151971,-0.344396,-1.0148106,-2.1659372,0.22519462,-1.7354653,1.1187537,1.9204446,0.7001326,3.9018812,2.4340382,-1.0400604,0.6685424,2.5496526,-1.1100352,0.38421327,1.5466102,-0.044407334,0.5229828,-1.8110387,-2.2553713,1.7806464
MFE-280,-1.0454489,1.5270195,-4.108129,0.3349601,1.0695894,0.47833836,0.6657056,1.2282188,-0.07790625,-0.1260686,1.7873486,-0.72389483,1.1661637,1.1873542,2.0202923,1.9042512,-0.7766319,0.7082082,-0.33452734,-0.6232158,-1.0021981,0.45883045,-1.482618,2.5106556,-0.16464561,1.2320762,-1.9209077,-2.2617092,1.5374068,0.17710121,-0.9094071,3.4081476,-0.031892363,1.9417405,-1.2358704,0.51359206,0.4788443,-3.5647688,0.11805795,3.0409923,0.11989472,-1.0848619,2.2758043,0.89901334,1.5047587,-2.0899677,2.280589,0.8570377,0.5321096,-2.785843,0.5396615,0.19205804,1.4476064,-1.7151287,2.762895,0.9460696,-2.315524,0.3951924,1.0212137,1.4954672,-0.3889553,1.6008456,3.2618635,-2.4594138,0.26410514,1.825646,0.9183308,0.237665,-1.4070733
Sq-1,1.2616473,0.7642647,0.16673554,-0.35483694,2.1010067,1.0730513,-0.7843449,-0.40246534,0.28807342,-0.14594539,-0.32138613,-2.5841758,1.2913675,0.7890569,-0.5553678,-0.08823827,-0.67509645,1.6290895,-1.4776602,1.1136103,1.8812505,-1.7031419,-1.4975951,0.9051641,1.6801746,2.4666808,0.09578269,0.3534033,0.51556975,1.0211463,-1.5367842,2.396948,0.33068052,1.6658158,-3.5720694,-2.0504344,1.0121232,0.10037596,1.1667647,1.3702631,0.12474159,1.313287,-1.8106693,-3.1872,2.025602,1.8481679,1.3483603,-1.7942045,-0.025393885,-0.2460724,2.9191196,0.9764764,-0.440389,-0.4093103,1.8342828,0.013919622,3.2481549,-0.40909755,-0.4061231,0.5692053,1.4966015,1.3834999,-1.0909184,-2.1674135,1.679883,0.112971514,-1.0804003,0.34566325,-2.6994534
G-401,-0.15720828,-0.15584092,-0.34128124,-0.36194822,0.5973019,1.4197587,-1.2818023,-0.27522737,0.25404254,1.2788303,2.987733,1.249756,-0.8749943,0.14567244,-0.78514534,1.4714442,-3.6681564,0.95383435,-0.03541681,0.97518265,-2.3940473,0.61499053,0.8699345,-0.9147547,-1.1307809,-0.52419955,1.1550535,-2.596119,0.6231471,-0.10716862,1.4852163,0.5343942,-0.5499379,0.35823977,0.51129353,0.0075089457,0.37331825,-1.3360708,0.93948066,-0.6409876,-0.9015341,-3.0804539,-1.2878454,1.4501328,-1.1583043,-1.8567739,0.5168941,1.268149,-0.8397161,0.9617114,1.262369,-0.3982824,1.1225444,1.6737183,-0.5281773,0.2193962,-2.9320538,-0.63956934,0.2087745,0.8957356,0.7701616,1.2606957,-0.41692,-1.524042,0.27183494,-0.40992102,1.4638438,1.8853818,-0.645547
SNU-738,1.3948643,-0.13968399,0.38712472,0.030100822,-0.16740927,0.8359058,0.29813707,0.6390399,-0.5035878,-1.0525504,0.1269429,0.9645671,-1.4772687,-0.9982721,-0.5968362,-0.12087047,-0.8189646,0.17042032,-1.56311,0.48031762,-0.7344388,0.5704338,-0.8031881,-1.148125,0.7393348,-1.7845352,0.32850727,-1.7598072,-0.10505992,-2.2137628,2.9828098,-1.53408,0.1704885,-0.305141,-0.11108534,-0.35817343,-0.15512845,-0.14469421,0.7615729,-1.9217963,-0.80746824,-0.6045399,0.59252536,-1.0812212,-0.6175828,0.21919501,-0.55406207,-0.88344055,0.9329787,-0.06599677,0.5743836,-0.5832819,-0.5160491,2.0550127,-1.0374287,0.5537487,-0.06205389,-0.95462805,1.4080387,0.6826583,0.18011978,0.3107642,-1.3152761,-1.1382563,0.4400046,-0.39308584,0.9195838,2.462297,0.46183258
HCT 15,-0.4311203,-0.09043911,-0.529666,-0.17768824,0.85919535,0.24467383,-2.7927995,0.09031087,-0.9595089,-0.26790756,0.39831024,0.49019134,-1.3846593,-0.14042862,-1.4570088,0.45618665,-0.8977132,-0.22493514,-0.73092747,1.8863226,-1.0373548,-0.24768816,-0.2067774,-0.6163506,-0.3271042,0.8844867,-1.017259,-1.7641413,1.3907354,-0.13593456,0.99560595,1.4814575,-0.41374078,-0.42910126,1.6481609,-0.5397561,0.5045065,0.27699012,2.216332,-2.4813824,0.349806,0.2572044,-1.3182244,0.48785233,-1.0513523,-1.5385004,-2.2448916,1.5744987,-2.4374185,0.91620994,1.0632972,0.4600339,0.81137925,0.6531689,0.021929204,1.4800476,-1.1810842,-1.9515913,-0.051918413,0.06114965,-0.096932106,0.10809152,0.2869387,-1.5602525,-0.36085474,0.28558692,-0.29543468,-1.3127043,-1.0232961
L-540,0.074599355,-2.2521837,1.1259296,0.60435915,0.67348146,0.3335002,0.5447146,0.502989,1.2113005,-0.42956576,-1.6814282,1.6186544,0.33559114,-0.37484455,-0.99939626,0.18731578,-0.05624549,-0.4866234,-2.1212218,-0.7953371,-1.2966822,-1.0405515,1.3193243,0.3180052,-0.28725922,0.47561064,-2.778842,-1.7547008,-2.4772084,1.2497674,-0.50340784,-1.7504723,2.0639539,-1.2665796,-1.1327968,-1.4573712,1.0081426,0.30077028,0.40957963,0.8991607,-1.8402984,1.4671988,-0.07843112,-0.18471818,-0.8329441,-0.22642337,-1.6055903,-0.62840766,-0.6023903,0.41502073,0.38465554,-0.76443976,-3.2551818,-0.6848397,-0.29056436,-0.5875737,-0.51550704,-0.79074657,0.9063534,-0.4664284,0.024492238,0.5828552,0.10390864,0.40059355,0.095465444,0.5260315,-2.9626458,-2.0405707,-0.54871637
Daoy,1.744353,1.785894,0.31647226,-0.712162,-2.3671098,-0.7232073,2.2917662,0.21445772,2.0355263,-2.2781367,-1.7577288,0.71162623,-1.5786623,-0.65234673,2.8914526,-1.0859188,2.2221894,1.5497562,3.307286,0.6932616,5.621929,-0.37545395,1.3089757,0.7338385,-2.1875324,-2.419224,-0.78905576,7.217739,-2.4898415,0.843273,-2.0241418,-0.8998453,-2.1114993,-0.16200104,-2.6067483,-0.87567586,1.996964,-1.5389619,0.7219536,-1.6008618,-1.9113638,-1.5885264,-0.10611153,-2.8774743,-3.2807717,-1.3772854,3.701345,-1.4936461,-1.4556569,0.732409,0.6491422,0.8266166,0.38306323,2.4331002,-0.81004393,-3.1574824,3.8793538,3.4469814,-0.86354756,-1.2904416,1.0699301,0.72505367,2.5238452,2.6198816,1.2824693,-2.9682298,-0.21278039,2.7433894,0.33800673
ACC-MESO-1,1.4338028,-0.35711962,-1.3375872,1.2298387,1.0192262,0.7523455,1.2063758,-0.9638419,0.74040544,0.6713796,0.50230473,-1.9142083,-0.9359943,-0.27471596,-0.32257962,0.94793594,1.5661714,-0.005877875,-0.6184264,2.2952535,-3.3339484,0.61123556,0.34349346,-0.38820362,-0.8270721,-1.845678,0.71764547,-1.2420824,-0.020345047,-0.5462,2.1201067,-0.31976387,0.24105668,0.682309,1.6522788,0.78232586,-2.6650844,-2.2755592,-1.7119505,-0.6086115,-2.4760625,0.5326272,2.2257712,3.0836468,2.9190242,-0.12887412,-2.9037664,-2.1309195,-0.08993782,2.4066896,-0.46715763,-0.04721429,-0.20461485,0.16981004,1.5651234,-0.99885905,-1.6309767,1.7160699,2.277144,-0.14043005,1.0547168,-0.32126355,-1.4691688,-0.47356272,-1.0741886,-1.569774,1.7614567,2.0434332,-0.120106295
HuG1-N,-1.4894,-0.51268685,-0.7572181,-2.40482,1.6058495,0.41906208,-1.4055425,0.47351277,-2.7159715,0.22963324,-1.806959,-0.82233614,0.054854117,1.6084015,-2.6344676,1.4959482,0.5329734,2.9032526,3.3325622,-1.682365,-1.2835311,0.29749689,0.26754653,-4.057423,1.7408857,-1.5530928,-1.1287775,1.3888359,2.7360625,0.14439455,-3.752197,2.232664,-0.3021809,1.9789207,-0.27358365,1.0919039,0.43093604,-1.5399567,-0.7131751,-2.3470416,-1.3633453,1.6186607,-0.5158767,-0.6646414,1.0475065,-1.1531664,-3.2550128,1.172441,-0.18297292,-2.6952927,0.07759724,2.5033836,-0.71144587,1.1443855,0.4806528,-0.924104,1.7012103,-0.32111573,-0.09007766,0.7085226,-0.7416107,0.23742265,0.8609996,0.7480995,-0.5402563,0.06122197,0.57709295,0.3541287,1.0193366
SW1710,-0.968866,-1.5721959,-0.91082907,-0.16012305,-0.2061873,-0.45261514,-0.61035895,-0.043881413,1.118341,1.8430576,-0.506301,-0.3303203,-0.85578454,-0.35760576,0.51459956,-0.5742663,-1.8132757,1.2721367,0.2751611,1.9165392,1.0181015,0.98537403,-1.0172592,-0.87995785,1.283611,-0.66872364,2.0431302,-1.1592941,-0.7766446,0.68677473,2.3422177,-0.6376548,-1.0477849,-0.03655286,-0.70385987,0.7067269,-0.5398752,1.6367402,0.23050082,1.2144933,-1.7170879,-1.878761,0.5131038,-0.97075826,0.6155195,0.7842779,0.9312535,1.2357454,-0.28334594,-0.52147585,0.055135205,-0.8624479,-0.2668013,0.6395842,0.75571305,-0.41651875,0.5437113,0.21927056,2.0420146,-0.89462966,0.67414945,0.25418383,-1.1352903,-1.2686604,-0.15521464,-1.1627578,0.14163937,1.0645025,-0.9270201
Capan-2,0.3098106,0.42996776,1.5570585,1.0528406,1.8692405,-1.9835538,-0.73788255,-1.7301217,0.8917997,1.0511422,-0.31651402,-0.24062374,2.1037867,-1.2364889,-0.64898914,-0.5772687,0.11136082,-1.6930578,0.18874882,2.4741762,1.4899741,-0.68125683,-1.1594483,0.006463945,2.5852625,1.5621624,-0.9469797,2.3152268,0.160207,0.0959247,-0.36973485,-0.35138738,0.548743,0.28206873,1.2955825,-1.2045346,1.3173478,1.195107,2.0487704,-0.09322145,2.0258324,1.6783717,-1.4118605,-1.2892967,2.1757812,0.251765,-0.34043065,-0.2086707,-2.1557534,1.0566711,0.11935723,0.21782373,-0.009331301,0.18479592,-0.20911664,-1.4388636,2.5852926,1.755813,0.24488118,-1.4868445,0.69046754,-1.0452156,-0.4023918,-0.028286973,0.78176063,-0.12174864,-0.7369832,0.763597,-0.77897096
Panc 02.13,0.43588424,0.8464915,0.96085405,-0.3303024,1.9938719,-2.2486005,-2.7342515,-1.3196748,0.10453509,-3.9508405,-0.032058094,-0.13267048,-1.599988,-2.47643,-1.3380575,-0.8302419,1.8300256,1.9829721,-1.9477775,-0.7034076,1.1088314,-2.5005548,-1.3213183,0.48588148,1.5102609,0.56634545,-3.1505122,2.1556635,-0.207937,-0.77365875,-3.678671,-0.28755692,-0.30720496,2.3231251,-1.6913732,0.36299616,-0.33813205,1.7633543,0.5496369,1.4287537,1.4489686,2.895977,1.9579912,-2.1831255,0.18644273,0.4905327,0.40904433,-0.17606342,-0.024579894,-0.6665163,1.1402142,1.0054702,-1.601117,-2.1517467,0.3544668,-0.44500303,3.4164157,2.854621,1.0326247,-0.10037631,0.4164536,0.6480393,-0.69359165,1.1755589,-2.4598396,2.6036007,0.066005625,-0.47591388,-1.655267
BT-20,1.0669721,0.9629081,-2.394447,1.3275808,0.31422874,-2.594156,-0.022103049,0.22543682,-1.13434,-1.9362624,-0.15430048,0.9263632,-0.85990137,0.05116841,-1.6430855,0.26928794,0.10561039,0.35223374,-1.396315,-0.8237681,-1.5064567,-0.17226934,-2.2149053,-0.026303604,2.6264725,-0.04178672,-1.3107885,-0.8158617,1.2374365,-1.3869461,0.7573037,0.9640606,-0.72454184,1.4048122,0.560268,2.775992,0.58246326,0.67148995,0.4858072,0.18247306,0.6686719,1.1300315,2.059689,-0.1502193,1.1272614,-1.2980534,0.8366857,-0.9157155,0.020283516,-2.8183947,0.6770865,-1.1120251,1.1343778,-0.96884286,-1.8926358,1.7905138,0.8679646,1.1366053,1.1235038,0.21261981,-0.97702646,-0.7897391,1.4121975,0.27844226,-0.35430992,1.9254638,0.19505997,-0.07056581,1.3418362
COR-L105,0.93703353,0.064986415,0.089603186,1.7007697,1.7249223,-1.1260738,-0.755759,-0.1135924,0.2247336,-0.50514305,-1.6834108,-0.054315973,1.833582,1.0269518,1.0787506,0.2746124,2.0505595,0.36821204,-1.5884523,-0.8722825,1.1331917,-0.41899708,-1.3173254,-1.6077127,-0.01284105,1.5620269,0.9069218,-0.83463526,-0.8489993,-0.18613258,-1.4300284,0.58972216,0.8181927,1.267401,0.03648865,0.22428064,0.3611418,1.167742,-0.26353988,2.105826,1.1400528,2.1748378,1.0325363,-1.1106669,2.495066,-1.8767891,0.36018404,-0.5709322,-1.0812392,0.22686918,-2.3913949,-0.4124513,-0.25115833,1.0839878,1.5377355,-1.9057959,3.0086064,3.5002337,-0.25537902,0.19472936,1.6763583,0.981764,0.65367794,1.7111865,1.7591846,1.1338376,-0.87712675,-0.20321417,-0.79919404
KNS-42,-0.55467016,2.0971446,2.6323867,-1.7210745,-0.23898092,1.9610829,-1.0739584,-0.13182488,-1.5008264,-0.38708782,-1.2101896,-1.8286439,-0.8616361,-1.4256617,0.27918035,-0.08954379,-0.07268451,3.3555815,-0.81164974,-2.2781672,1.2267408,-2.3721538,0.98976505,-0.6080563,-1.6080093,0.035048753,1.7727274,-0.7411664,-0.8320883,-0.1105651,-1.2354728,-0.1770487,1.5282131,-0.03365277,-3.177762,0.8983703,-0.6337831,-2.0076494,-0.003510006,0.21334247,-0.99780756,-0.28813618,-0.61024076,-1.0818064,0.16053945,0.78265625,2.422689,1.864094,1.8425888,-0.51390284,0.26353505,0.10681698,-0.19298296,1.6141115,-1.2818619,0.8431405,1.6385455,0.9680054,-1.7899423,4.1545653,0.96649903,-0.12777571,0.67012465,1.5751852,1.9847136,0.5995457,-0.35566026,-0.058309503,1.567813
RERF-LC-Sq1,2.0020096,0.25153965,0.44013327,0.37602055,-1.687444,0.1595317,1.6252004,2.194277,0.039414357,0.2661903,0.07125879,-0.28690892,0.17578453,0.0087002665,0.2946238,0.21410745,1.0087392,-0.5158608,0.14960296,-1.2764108,1.7807717,0.2152014,-0.4687222,0.41784117,-0.31824696,-0.46243885,-0.2513637,-0.218256,-0.46309283,-1.9169104,-0.33749837,-0.97531044,-0.4549998,0.023946058,-1.2353667,-0.16133104,0.3645169,1.237655,-1.664704,0.32861924,-0.53772014,-1.0193043,0.91553414,0.07588977,1.2020713,0.4740164,1.80532,-0.85410357,0.72867495,0.17548487,-1.8636097,0.2564408,-0.39809543,0.6614885,-1.0781765,0.369835,2.5224326,1.7515428,-0.18124738,0.60134965,0.6770987,0.9364162,0.6397877,0.90402895,1.2430491,-0.6238891,-1.0271599,0.29600412,0.7555278
SW579,1.5185928,0.42240968,1.4536426,0.3674855,-2.4388754,0.5499555,-1.725788,1.2486376,0.094655134,-2.174835,1.4826207,1.9771385,-2.3914158,-0.83411366,-1.7102045,1.2140938,0.1527925,0.7634164,0.27799416,-0.9595756,1.6018817,-0.9528717,1.0721755,-0.06474363,-1.0831313,-1.8379629,-2.274264,-0.07626951,-0.4200535,-2.622981,-2.3526702,-1.268157,-0.72440046,1.1586372,-0.287331,-0.30168834,0.17742227,-0.33622763,-2.454576,0.7395347,-1.9548545,-1.8162708,-0.89059407,0.83290184,-0.3620047,0.37581512,2.6585383,0.3205054,-0.40347034,0.5490441,-0.6655574,-1.1672637,-0.15704611,-0.26588264,-1.6861919,-0.1826005,2.5819962,3.4093878,-0.13233766,0.61102337,1.1285509,2.739424,1.0102293,1.8650054,-0.24319267,2.0570667,-0.5015459,0.33438492,0.20442037
BICR 6,1.3004024,-0.12011454,-2.2968214,2.057887,-0.6160015,-1.5869768,-0.13176729,0.5482947,-0.6749787,0.36928734,0.63803285,0.6761481,0.37431714,-0.010847941,0.9680599,0.4364017,2.079287,-0.79842013,-0.7512646,-2.3391743,-1.2815394,2.203963,-1.0872809,0.5690733,2.1781986,-0.40464678,-1.1431221,-0.1925014,-0.2682978,-1.9858979,1.1016524,-0.32790953,-0.27731317,-0.5025207,1.0150217,-0.22596055,0.7389091,2.061247,0.9357579,-1.165913,1.6276236,1.2954865,1.2080549,-0.7225964,0.2739735,-0.98328304,-1.5618522,-0.3616971,1.368986,0.12925027,0.24065992,1.3115104,-2.5981917,0.920847,0.8026528,0.8579738,-0.52469015,-1.2220303,0.18728341,0.4080571,-0.6522205,-0.30447274,-1.1717212,0.32938102,-1.3460095,-1.136729,0.959154,0.17345664,0.82492745
HEL,1.4229163,-3.1196384,1.4072417,0.6011046,-0.49716136,0.12286283,3.1913366,-2.815864,1.2606444,1.284715,2.5798826,0.41794437,1.245824,1.5971327,1.2899841,0.08463615,0.6577788,-0.94668657,-1.0795786,-0.03307572,0.10832299,0.6669556,-0.9994151,1.6040735,0.11369993,1.1363373,-0.4760083,0.089540996,1.9007617,-1.904261,-2.763216,1.6723663,-0.05138573,1.2382002,2.7888274,-1.2969141,2.5055137,-0.47530103,0.8654511,4.054694,0.97041714,-2.0095541,-1.3006074,1.8963237,0.17213196,0.3555702,2.7216601,0.6182988,-0.5805188,-4.404284,-0.25916463,-0.5641792,2.2019043,-3.128831,-1.4263383,0.051372096,-0.39135915,-1.6120865,0.81817985,-2.2406294,-2.9900918,1.8778677,1.0869137,1.2849028,-1.8707229,1.6833637,0.03209674,-0.16912892,0.9318335
NCI-H2286,0.889924,-0.49115312,-0.7153474,0.34270477,1.9247928,0.6320725,0.021274555,-1.6499199,-1.3752921,-2.9407277,2.6838365,0.21736196,-2.471605,-1.2862302,0.58839995,0.21383154,-0.56447506,2.2306912,-0.51883817,-1.5911628,-0.78996646,-2.7545094,2.014575,-2.7684128,-2.4682188,0.13402623,-1.0449759,0.6053886,0.8664929,2.0035567,-0.41841522,1.6417723,0.02378653,2.3810475,-1.092205,2.9901671,-2.3491218,-0.036704954,1.4330595,-1.5553863,-0.845949,-2.0307643,4.1943707,0.35551947,1.2276723,-1.7005761,-1.6479931,0.35500115,1.1552782,-2.3452103,1.4074192,-1.4440753,-3.4206944,0.889623,-0.3220806,-3.7826953,1.0125788,1.1674418,1.6907566,-0.47294497,-1.7239008,-0.9132573,-0.36984295,-0.58763045,-3.9900384,2.0360715,0.38446084,1.651237,0.6261008
EM-2,1.9970558,-2.2474082,0.2811433,-2.5337403,-0.20490414,0.5753254,3.415227,-1.6993521,1.7631565,2.8043962,0.3971205,-1.0716093,3.0824132,0.7951473,-0.0758909,-0.8209314,-3.4363508,0.092885226,-1.2952877,-1.0420898,-1.2139419,-2.3720345,-2.5224626,0.800688,-0.554807,0.54497325,3.1302586,-0.5529255,2.263145,-1.9686649,-3.7011893,1.6584,2.112048,-4.7564616,-1.6262876,1.3668472,1.4134306,0.30994946,-0.91763103,1.3837179,0.8056201,-0.5110517,-2.2437165,4.0401974,2.722038,2.8192067,2.678585,2.3917778,3.497542,-2.927365,-0.29938272,3.3170593,1.9658798,-3.288264,-0.53960127,-0.9440595,1.3431214,-0.92920285,0.3049109,-0.7578812,-0.20658693,-2.5394425,-0.008376084,0.9653856,-2.8251786,-1.7338862,-0.71215767,-2.9916182,1.6214813
HCC202,0.38366944,5.7178664,-1.8543571,-6.2130475,0.44384935,-0.3752525,1.8695674,-0.06307693,-3.3374019,-2.3816288,-1.4125814,-2.9317913,-0.22454765,0.85559154,1.8215685,2.7661335,-2.3379564,1.6523026,1.6714948,-0.6679094,-0.25107467,0.84177774,-2.3683317,2.1724296,0.9669161,2.4326792,0.9851036,6.3304906,-3.3071592,3.3881474,-5.204092,1.2563368,0.27580342,-2.4718633,-5.2348633,-0.48845556,-0.035753936,-0.7362366,0.04655313,-1.7719865,0.4863499,0.14094341,-0.18601835,-5.261237,2.9892435,-2.5566268,3.4662201,-1.8556092,3.8165138,-1.6598608,3.4552693,1.6006631,4.043995,1.2725642,1.1905699,0.83718824,0.29632965,-2.7307663,-1.8604851,-2.4619586,0.093667775,-0.7478844,2.5696163,-0.23183477,1.3898002,-0.7909232,-2.594553,-0.018969826,-1.1794974
HEC-50B,-1.2412363,-2.2225826,-0.84926,0.23913401,1.816529,1.190034,0.18575571,-1.268759,2.9514081,1.3706375,0.2757553,-3.5343964,-0.7679573,3.050834,0.2036427,-0.47314057,-1.9575083,1.3783038,1.0701776,-0.6377148,-1.3542995,0.5306785,-0.12886815,-0.33938715,-0.9016521,1.7795508,1.5580479,-0.53908885,-0.30281135,-0.9524364,0.73473674,1.1757685,-1.2616949,-1.1198528,0.34643877,0.81828773,-1.0297564,3.0690138,-0.3587247,-1.0466212,0.98497146,-1.7633942,1.6164,0.613419,-0.8856604,1.1232295,1.940037,-0.107322216,0.30059823,2.1786408,-0.92176735,-0.96110755,0.1627332,0.06189205,2.9276874,1.6183035,3.1126337,-1.8395712,0.24341142,-0.7703186,-0.16706748,1.293347,-0.06499989,-2.1323133,0.77327335,-2.2933226,0.8900993,-1.0756263,0.6362999
