,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123
COLO 699,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
MSTO-211H,1.9455605,0.5766202,1.390482,-0.3838653,1.706348,-0.19658998,1.8049573,0.3477006,-0.33187142,-0.32695255,-0.52933383,-0.36937806,-0.47790366,-0.014425119,-1.5391161,-0.47060376,-0.5313059,-0.3185132,1.014026,-0.18831715,-0.06612694,-0.10491669,-0.8422078,-0.62841415,-1.5223354,-0.58487904,-0.903205,0.26245895,-1.8025243,-0.42782867,0.20738745,0.1364975,0.82362735,0.902385,1.2306706,0.13798997,-0.6562927,-0.38245317,-0.62650454,-0.46679884,-0.40576452,-0.6431289,-0.48766908,-0.94315016,-0.6827238,-0.6282501,-1.2015355,0.63191175,-1.9942925,-0.0076886388,0.21687251,-0.032937802,-0.16880153,-0.52566034,0.095146626,1.0016805,0.74912983,0.6033782,-0.60299337,-1.710174,-0.35722312,0.98437375,-0.47953993,-0.20974956,0.34728357,0.0806206,0.70135164,-1.6273456,1.0900898,-0.44452918,0.29838172,0.34025478,1.3720224,0.038135022,1.8974962,-0.2835176,-0.26294836,-0.52018046,0.45177996,0.05988574,0.8385057,1.2952619,-0.66146725,0.24643515,-1.0146312,-0.48132858,1.0195677,-0.30636722,-0.13452363,-0.5903822,-0.02385506,-0.49529362,1.0950706,-0.46127194,-1.2650366,0.4232093,-0.86935544,-0.3355443,1.0042553,0.8411411,0.96954143,0.10452376,-0.22885145,-1.1042913,-0.85006773,1.0170317,0.98268,1.382142,-0.5240112,0.23081876,1.5023488,1.1060529,-0.05491677,-0.5204253,-1.2111568,1.1706929,-0.98264635,-0.04365602,-0.41644654,1.0725105,0.7347688,-1.361977,0.6551102,0.50019
L-1236,0.76496977,0.24710359,-0.12259306,-0.8818782,0.6519277,-0.56711733,0.65300226,0.47227293,0.0067067742,-0.017105192,-0.543754,-0.14258355,-0.11822766,-0.5870546,0.0020242594,-0.3884644,-0.16596422,0.4496469,0.54396963,-0.07141175,0.38818663,0.15580398,-0.10320708,-0.6328577,-0.523162,-0.5924435,-0.74332863,-0.7832867,-0.827408,-0.8467746,0.34031433,0.15826896,0.8377478,-0.21163553,0.4196388,0.3408443,0.9246676,-0.24589278,-0.32781345,-0.6124603,0.2227164,-0.036472254,0.76431024,-1.0518131,0.4088772,-0.49090874,-0.28826368,-0.33062926,-0.1254029,0.18428212,0.10848082,-0.3466293,0.23913167,-0.21335427,0.3335409,0.1179862,-0.9324491,-0.57379985,0.16660336,-0.86469364,-1.1582448,-1.0566249,-0.5401428,0.8681863,-0.71846616,0.6888592,0.576621,0.20110232,0.53137374,-0.007050395,0.28059337,0.47941527,-0.044866577,-0.57414806,0.7916001,0.3178272,-0.37829503,-0.69487965,-0.036320925,-0.48805195,0.42512664,0.74197125,0.6620737,-0.11974206,-0.24808821,-0.10120186,-0.42889616,0.2703901,0.60410345,-0.060250223,-0.48101884,-0.31386393,0.49438298,0.12380619,-0.071900964,-0.010115139,-0.109576374,-0.24690473,0.5531159,-0.42738077,0.731992,-0.15062244,0.743588,-0.39705032,-0.80510503,-0.50832146,0.040282443,-0.23673376,-0.20069368,-0.26064765,0.26299167,0.9156542,0.015844584,-0.18426862,0.44617447,0.1344654,-0.45356148,-0.0031393468,-0.3037379,0.6853241,-0.58195376,-0.7315886,0.14760649,0.19673306
AsPC-1,1.2443414,0.27526575,0.7188488,-0.33358437,1.0156205,-0.24646524,1.1383774,0.22731215,-0.2134389,0.030452654,-0.38110507,-0.24801037,-0.11493993,0.14537804,-0.8297574,-0.46822822,-0.24419492,0.043907285,0.87019396,-0.28238544,0.21436864,-0.060213834,-0.2633845,-0.39485592,-1.0172176,-0.31229818,-0.5035694,-0.028638542,-1.1476443,-0.5149469,-0.10367656,0.37422198,0.8270112,0.5732648,0.6946878,0.28413394,-0.18420146,-0.28387257,-0.42918485,-0.26293546,-0.02301947,-0.4306636,0.025174648,-0.7326064,-0.33169895,-0.24074052,-0.45374346,0.28913268,-1.2823918,-0.0050849887,0.06880794,-0.16459444,-0.025627598,-0.076554224,0.27463213,0.29836732,0.26486188,0.24664092,-0.21533181,-1.1007566,-0.35256967,0.43650764,-0.21878695,0.09389754,-0.07688323,0.25067577,0.45960593,-0.9940984,0.85052407,-0.47330326,0.32175866,0.18642291,0.900684,-0.25226477,1.1773503,-0.16828904,-0.47158775,-0.2571802,0.32370764,0.05021715,0.5662922,1.0392721,-0.1985794,0.11503087,-0.72717535,-0.22128877,0.5719813,-0.04307706,-0.09492302,-0.23142383,-0.37486696,-0.68327236,0.5430484,-0.29763192,-0.51965624,0.29558825,-0.7800672,-0.521606,0.8059013,0.6011354,0.82328993,-0.045763746,-0.06602563,-0.80997443,-0.4666567,0.30831844,0.33284378,0.80443275,-0.3695683,0.23574986,0.94184893,0.84752727,0.2199479,-0.63130105,-0.69667035,0.56362504,-0.7377337,-0.3922502,-0.103700995,0.7092334,0.4138121,-0.8185768,0.2192708,0.2543731
HMEL,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
HEC-108,0.9174879,0.18191703,0.55957705,0.32401234,0.42674616,-0.116170466,1.0095948,-0.33643588,0.119433165,0.79355264,-0.41369736,-0.61563873,0.29126543,1.044991,-0.75283164,-0.31991273,0.2396856,0.38311264,1.2555805,-0.65462303,0.22322637,-0.5217079,0.3566636,0.078271285,-0.98022056,0.45097762,-0.0006818548,0.24173567,-0.85111,-0.4072463,-1.0076756,1.1471418,1.2254878,0.5438618,0.55366576,0.5971868,-0.40042758,-0.5617,-0.06933284,0.18865162,0.4110546,-0.28736693,0.11867955,-0.18238565,-0.33365124,0.8045379,0.2237829,-0.059402503,-1.3156806,-0.13693622,-0.046890937,-0.3600749,0.51728433,0.52326804,0.42358688,-0.23810673,0.4812073,0.5481294,-0.066062436,-0.6570802,0.27705038,0.9121645,0.35659945,0.16163583,-0.16430488,0.43675333,0.27156153,-1.1907549,0.6808336,-1.2234194,0.9295984,-0.019219182,1.215043,-0.8314537,0.7047152,-0.27045462,-0.8183514,0.5389757,0.41164124,0.15875489,0.64558214,1.38598,-0.06920302,0.21426311,-0.8842944,0.601344,1.0247225,0.5380154,-0.6296084,0.1319977,-0.9556638,-1.3437552,0.07446829,-0.11126457,-0.29794568,0.31439042,-1.3204551,-1.0697843,0.8739685,1.0397358,0.91044235,-0.005041197,-0.33267832,-0.8243134,0.5420191,0.36667472,-0.05545251,0.85761046,-0.1361845,0.47758663,0.9183818,0.87732404,0.893725,-1.3307507,-1.0413971,0.2024948,-0.83473396,-1.2299821,0.7644369,0.52564335,0.6604923,-0.37238112,-0.22532165,0.39210504
VMRC-RCW,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
Ki-JK,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
SNU-620,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
Hs 606.T,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
NCI-H2228,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
SCC-15,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
SNU-C2B,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
NCI-H2347,0.4625674,-0.02617769,0.093784615,-0.17235726,0.30469224,-0.3380249,0.5291933,0.007727295,-0.13537669,0.4493895,-0.0809157,-0.014627248,0.39938974,0.3624404,-0.22520538,-0.4168254,0.026154935,0.35688847,0.57133114,-0.26799157,0.3622676,0.114637256,0.41943178,-0.038346693,-0.46482512,0.02425605,0.07631319,-0.18702438,-0.41521525,-0.42258796,-0.5062098,0.69629824,0.6142839,0.45629215,0.048123002,0.29600152,0.031050459,-0.20088924,-0.25143695,-0.073972404,0.18240525,-0.15792352,0.28201267,-0.37094495,-0.2398812,0.16751327,0.40758574,0.0037054047,-0.6467198,-0.035436954,-0.06457899,-0.16302195,0.0066453665,0.28119868,0.3911411,-0.36279368,-0.027393162,-0.008375347,0.09990372,-0.50742185,-0.22373593,0.22553688,0.18426305,0.12961473,-0.27421287,0.24615557,0.27111793,-0.67332095,0.51648116,-0.58401656,0.26369533,-0.061135404,0.52705634,-0.4094886,0.43665522,-0.22514093,-0.5815481,0.0062532723,0.39592797,0.30756384,0.21206562,0.79550064,0.15078282,0.07055035,-0.5166887,-0.0023854673,0.35304365,0.17652518,-0.018404454,-0.006024301,-0.5527245,-0.75191694,0.04127931,-0.18129481,0.1719237,0.16065514,-0.71740514,-0.5567671,0.51043975,0.56510997,0.56576955,-0.049547985,-0.13630487,-0.54843926,-0.09534526,-0.20375961,-0.16009443,0.29193255,-0.14397743,0.36496067,0.26878655,0.42682022,0.49656135,-0.76303434,-0.36666062,-0.04721886,-0.47426298,-0.6911442,0.23986834,0.28731117,0.14475715,-0.15086642,-0.25696054,0.046582878
CFPAC-1,0.3863486,-0.18009837,-0.0483606,-0.5415681,0.3696821,-0.34522918,0.23647258,0.34346858,-0.3602102,0.09641299,0.023639075,0.2705367,0.26625538,-0.017256042,0.053025458,-0.592693,-0.15221334,0.26178926,0.35751662,-0.18416485,0.60057074,0.36490354,0.25847825,-0.22880308,-0.29496425,-0.3171178,-0.041845478,-0.45745164,-0.29435557,-0.57617545,-0.12154007,0.28451946,0.428346,0.357531,-0.09853402,0.22463313,0.35671306,0.09745483,-0.40741068,-0.1454423,0.16278182,-0.27914262,0.51819193,-0.6312618,-0.053627536,-0.29291844,0.3264675,0.19098887,-0.40830138,0.0278789,-0.11177906,-0.1307433,-0.33873498,0.25920588,0.43269876,-0.45255882,-0.29147142,-0.31362402,0.20032513,-0.4530499,-0.5258217,-0.28621966,-0.050226204,0.2160501,-0.46045056,0.18918541,0.1568821,-0.23062015,0.6329695,-0.11313447,-0.14149174,-0.060121983,0.1664465,-0.14582041,0.39264736,-0.11177847,-0.5621458,-0.27472675,0.22247487,0.23115754,0.032893926,0.40885574,0.18694904,-0.08678126,-0.27991453,-0.47397384,-0.1631892,-0.1634565,0.17808878,0.01067391,-0.4355835,-0.572242,-0.03389185,-0.31772834,0.46308377,0.15478492,-0.4271527,-0.45298868,0.44695252,0.2498366,0.48121804,-0.25715423,0.07349883,-0.42597365,-0.4783856,-0.653258,-0.35995698,0.11069608,-0.31251442,0.2680238,0.14911902,0.27623546,0.2417793,-0.42970648,0.038792524,-0.08684188,-0.31211933,-0.4592184,-0.16095954,0.19223714,0.003947437,-0.18742725,-0.19445625,-0.26300526
NCI-H460,0.9288725,0.34426206,0.10609929,-0.9029596,0.89815986,-0.6115062,0.89427924,0.50337756,-0.09659845,-0.16687965,-0.46220875,-0.03670776,-0.15002966,-0.7185395,-0.2747659,-0.36590588,-0.32095182,0.2731307,0.40157047,0.096409775,0.2031855,0.31307387,-0.2582465,-0.6652884,-0.62109303,-0.72192234,-0.7803136,-0.64528334,-0.9807287,-0.6975862,0.48035032,0.05578354,0.61037695,0.03919071,0.49350375,0.15138909,0.6358657,-0.25065497,-0.44314146,-0.7489322,-0.07997465,-0.05615335,0.41592863,-1.0665203,0.11625452,-0.72342193,-0.49095416,-0.15753832,-0.35738978,0.17816997,0.17842376,-0.18023935,0.04578589,-0.49561864,0.2135283,0.41669512,-0.69529796,-0.44792095,-0.012436539,-1.1021433,-1.1584997,-0.72349423,-0.5796339,0.57402784,-0.41750482,0.4854837,0.7159264,-0.17940766,0.53615844,0.04116285,0.12951085,0.48043278,0.10568456,-0.3174192,1.0306818,0.16986123,-0.19192395,-0.8816074,0.1433323,-0.29497075,0.42241973,0.7736514,0.44271356,-0.02983217,-0.36093903,-0.31014404,-0.19727752,0.09393185,0.7083553,-0.31340927,-0.16867167,-0.069818914,0.7512144,0.025591925,-0.34548795,0.010240354,-0.07135022,0.0057100058,0.5155703,-0.27412215,0.66969883,0.003982827,0.56130326,-0.49558342,-1.0608437,-0.17356819,0.39567202,-0.051658124,-0.21205951,-0.20394742,0.3170953,0.8552474,-0.15176785,-0.06967977,0.22139665,0.33968765,-0.48891908,0.25296262,-0.482965,0.76395917,-0.50445193,-0.8397912,0.29368865,0.27910155
